a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
71931.86, 71933.076582051, 71933.093225625, 71934.093147512, 71934.10980458, 71934.526435016, 71934.543109526, 71935.543022383, 71935.617484838, 71938.742702347, 3.550003271314272, 1.173879512195122, 1.8702604878048783, 3.018515852967132, 1.1743625806451612, 2.0419469354838706, 1.2894877553053075, 1.2259162068965517, 2.0115072413793103, 2.77396011620337, 1.150463188405797, 1.8474382608695654, 9.554460537099509, 1.1841999061032862, 1.9480412676056333, 71931.7611455, 11.1908, 11.3807, 13.5573, 15.7533, 1.14964, 1.94842, 51.882, 71932.9871455, 11.2504, 11.4618, 13.4761, 15.6484, 1.1496, 1.85551, 51.8367, 71933.0051455, 11.2007, 11.4517, 13.5167, 15.6717, 1.16025, 1.89119, 51.8408, 71933.9941455, 11.0813, 11.2894, 13.6183, 16.0562, 1.271, 2.10503, 52.0452, 71934.0251455, 11.0614, 11.2894, 13.6183, 16.0562, 1.28104, 2.11157, 52.0253, 71934.4271455, 11.2106, 11.401, 13.5066, 15.7183, 1.15847, 1.91369, 51.8365, 71934.4511455, 11.1908, 11.4212, 13.5167, 15.73, 1.17806, 1.91907, 51.8587, 71935.4661455, 11.1112, 11.3401, 13.537, 15.8698, 1.23494, 2.0119, 51.8581, 71935.5211455, 11.0217, 11.3604, 13.6284, 15.9164, 1.2646, 2.0691, 51.9268, 71938.6651455, 11.2703, 11.4821, 13.5066, 15.7183, 1.16565, 1.86787, 51.9773
71938.769, 71939.98556812601, 71940.002248666, 71941.00211595201, 71941.01880397201, 71941.435431944, 71941.452101428, 71942.85195805701, 71942.86894229501, 71944.13517325901, 3.3088601770310366, 1.2188765476190477, 1.769375476190477, 2.7293012717029597, 1.140272507246377, 1.7873205797101455, 1.4640605040534032, 1.2605780645161293, 1.7442170967741937, 4.1072127662807425, 1.1162733814432992, 1.6709873195876286, 3.4523803803088726, 1.1266895180722891, 1.7068019277108433, 71938.6811455, 11.3002, 11.472, 13.466, 15.695, 1.15573, 1.8453, 51.9331, 71939.8911455, 11.4394, 11.5632, 13.3746, 15.5202, 1.09325, 1.703, 51.8975, 71939.9191455, 11.4096, 11.5531, 13.3441, 15.462, 1.09206, 1.69311, 51.7687, 71940.9071455, 11.33, 11.5937, 13.2832, 15.73, 1.30469, 1.7587, 51.9368, 71940.9251455, 11.3002, 11.5835, 13.2628, 15.73, 1.32549, 1.76643, 51.8765, 71941.3361455, 11.4295, 11.5632, 13.3136, 15.4969, 1.1182, 1.68458, 51.8033, 71941.3621455, 11.4195, 11.6038, 13.4253, 15.5552, 1.11248, 1.71828, 52.0039, 71942.7521455, 11.3002, 11.5632, 13.405, 15.5901, 1.18022, 1.77359, 51.8586, 71942.7851455, 11.3996, 11.5125, 13.3847, 15.4736, 1.06324, 1.72283, 51.7705, 71944.0381455, 11.4394, 11.614, 13.2832, 15.392, 1.10356, 1.63018, 51.7286
71944.15, 71945.366556472, 71945.383201205, 71946.383104158, 71946.39976623599, 71947.01638586, 71947.033063839, 71948.632897109, 71948.649869109, 71950.33272268099, 3.2611697655343406, 1.1232177906976744, 1.7804899999999995, 2.6607137320782965, 1.1596383333333335, 2.032416818181818, 1.7648854586314462, 1.1939965853658538, 2.028639268292683, 4.522210662519082, 1.17989572815534, 1.8367405825242715, 5.539722807857164, 1.1985643859649127, 1.931604210526316, 71944.0521455, 11.4593, 11.6647, 13.3542, 15.427, 1.09724, 1.63487, 51.9053, 71945.2801455, 11.2206, 11.4314, 13.5573, 15.7416, 1.15255, 1.91921, 51.9509, 71945.2901455, 11.2106, 11.401, 13.5472, 15.7183, 1.13799, 1.92394, 51.8771, 71946.2961455, 11.0316, 11.2792, 13.598, 15.8698, 1.21645, 2.07332, 51.7786, 71946.3141455, 11.0714, 11.2691, 13.6183, 15.963, 1.22416, 2.09184, 51.9217, 71946.9251455, 11.151, 11.4314, 13.4964, 15.7533, 1.22379, 1.9295, 51.832, 71946.9551455, 11.1908, 11.3908, 13.4964, 15.8465, 1.2278, 1.95322, 51.9244, 71948.5421455, 11.3698, 11.5734, 13.3339, 15.6134, 1.19631, 1.73563, 51.8906, 71948.5811455, 11.3002, 11.4618, 13.3746, 15.73, 1.21323, 1.83428, 51.8665, 71950.2421455, 11.151, 11.2285, 13.537, 15.9746, 1.21174, 2.06168, 51.8912
71950.349, 71951.465604078, 71951.482284894, 71951.882238583, 71951.898909607, 71952.415507965, 71952.43220889599, 71953.432104426, 71953.449280259, 71954.315346666, 3.0949043066534014, 1.2100034666666672, 2.0553174666666663, 1.4008246295722453, 1.1771065517241377, 2.041308275862069, 1.1074384714502699, 1.2521375000000001, 2.1886961111111116, 3.094692257691926, 1.2313959701492543, 2.031541492537314, 2.933483289494022, 1.2362203389830508, 2.218093389830509, 71950.2561455, 11.151, 11.2285, 13.537, 15.9746, 1.21174, 2.06168, 51.8912, 71951.3831455, 11.1808, 11.2894, 13.6081, 15.8931, 1.15137, 2.02929, 51.9714, 71951.3831455, 11.1808, 11.2894, 13.6081, 15.8931, 1.15137, 2.02929, 51.9714, 71951.7941455, 11.0515, 11.2285, 13.6995, 16.1261, 1.2492, 2.17221, 52.1056, 71951.8141455, 11.0614, 11.1778, 13.6691, 16.0679, 1.20977, 2.16378, 51.9762, 71952.3381455, 11.0913, 11.3502, 13.598, 15.963, 1.26147, 2.05359, 52.0025, 71952.3381455, 11.0913, 11.3502, 13.598, 15.963, 1.26147, 2.05359, 52.0025, 71953.3441455, 11.0913, 11.3705, 13.466, 15.9164, 1.31629, 2.00231, 51.8441, 71953.3661455, 11.1908, 11.33, 13.466, 15.9513, 1.26333, 1.99177, 51.938, 71954.2281455, 10.962, 10.9851, 13.8519, 16.1494, 1.11682, 2.32564, 51.9483
71954.334, 71955.650513614, 71955.667203167, 71956.667097401, 71956.6837705, 71957.100387661, 71957.117061343, 71958.316928637, 71958.334511453, 71959.11686782, 3.834301777888074, 1.2162873033707868, 2.0661453932584273, 2.9461669195208637, 1.214968095238095, 2.1661309523809518, 1.17456042425429, 1.2171944827586212, 2.3756403448275862, 3.3013894964794575, 1.1949965432098766, 2.1173616049382717, 2.5702298017957355, 1.1784105660377362, 1.9759518867924533, 71954.2441455, 10.962, 11.0865, 13.8112, 16.1028, 1.16244, 2.27055, 51.9625, 71955.5521455, 11.0813, 11.2691, 13.598, 15.9746, 1.23473, 2.08641, 51.923, 71955.5791455, 11.1112, 11.2691, 13.6487, 15.9863, 1.19939, 2.09211, 52.0153, 71956.5721455, 10.9122, 10.8634, 13.862, 16.3242, 1.1611, 2.42792, 51.9618, 71956.5841455, 10.8525, 10.9344, 13.8519, 16.2776, 1.2075, 2.41038, 51.9164, 71957.0041455, 11.0813, 11.1271, 13.6487, 16.1028, 1.20276, 2.17758, 51.96, 71957.0291455, 11.1112, 11.1372, 13.6284, 16.0446, 1.1759, 2.14495, 51.9214, 71958.2301455, 11.1311, 11.2792, 13.4964, 15.963, 1.26024, 2.0385, 51.8697, 71958.2431455, 11.1609, 11.2285, 13.5573, 15.9513, 1.18578, 2.05766, 51.8981, 71959.0201455, 11.3698, 11.4111, 13.3441, 15.6367, 1.12725, 1.79667, 51.7617
71959.148, 71960.164570526, 71960.181257759, 71961.181148542, 71961.197828156, 71961.614431912, 71961.63111063601, 71963.230938752, 71963.247764041, 71964.297512869, 2.9134010895769222, 1.202613970588235, 1.9115801470588234, 3.2270355641147996, 1.1851124999999998, 2.0528142647058836, 1.507071547006991, 1.2526813333333335, 2.0378846666666672, 4.721294576494693, 1.2143388349514563, 2.155132718446602, 2.972794514713169, 1.185521739130435, 1.847030869565218, 71959.0491455, 11.3897, 11.4415, 13.4253, 15.7183, 1.12785, 1.82177, 51.9749, 71960.0651455, 11.2305, 11.3097, 13.4761, 15.963, 1.23415, 1.99086, 51.9793, 71960.0881455, 11.2106, 11.2792, 13.4761, 15.9164, 1.20892, 1.99565, 51.8824, 71961.1001455, 11.2007, 11.2387, 13.4863, 16.0212, 1.23826, 2.04097, 51.9469, 71961.1001455, 11.2007, 11.2387, 13.4863, 16.0212, 1.23826, 2.04097, 51.9469, 71961.5241455, 11.141, 11.1677, 13.5269, 16.0679, 1.23673, 2.10566, 51.9034, 71961.5331455, 11.1908, 11.2285, 13.5269, 16.0679, 1.23944, 2.06928, 52.014, 71963.1511455, 11.3499, 11.4111, 13.3441, 15.7066, 1.1695, 1.82094, 51.8117, 71963.1511455, 11.3499, 11.4111, 13.3441, 15.7066, 1.1695, 1.82094, 51.8117, 71964.2031455, 11.3798, 11.4821, 13.4152, 15.7416, 1.16726, 1.81519, 52.0186
71964.315, 71965.631567559, 71965.648264745, 71966.64816604601, 71966.66480641901, 71967.08143938401, 71967.098119096, 71968.29797919301, 71968.31472038901, 71969.78119371501, 3.140028513776399, 1.1840841758241762, 1.7760459340659331, 2.894082565066106, 1.1722794594594597, 1.8990794594594587, 1.1600795512196185, 1.200377096774194, 2.0121896774193546, 3.2085266909173202, 1.1928315189873415, 1.8647503797468354, 4.250303314472944, 1.146121826923078, 1.9767277884615384, 71964.2321455, 11.3698, 11.4618, 13.3441, 15.66, 1.16134, 1.78617, 51.8357, 71965.5501455, 11.4792, 11.5227, 13.3136, 15.5202, 1.08518, 1.68762, 51.8357, 71965.5501455, 11.4792, 11.5227, 13.3136, 15.5202, 1.08518, 1.68762, 51.8357, 71966.5561455, 11.0913, 11.2792, 13.598, 16.0329, 1.26097, 2.09428, 52.0014, 71966.5791455, 11.1311, 11.2792, 13.5777, 16.1261, 1.29361, 2.09928, 52.1141, 71967.0061455, 11.1908, 11.3401, 13.537, 15.7766, 1.15194, 1.96243, 51.8444, 71967.0061455, 11.1908, 11.3401, 13.537, 15.7766, 1.15194, 1.96243, 51.8444, 71968.2011455, 11.2405, 11.4821, 13.4456, 15.7183, 1.21143, 1.86215, 51.8865, 71968.2151455, 11.3002, 11.4618, 13.4863, 15.695, 1.14085, 1.85374, 51.9432, 71969.6941455, 11.4096, 11.5328, 13.2933, 15.73, 1.23152, 1.75525, 51.9657
71969.796, 71971.01253289501, 71971.02918561701, 71972.029134747, 71972.045789205, 71972.562414714, 71972.579100553, 71973.77895588601, 71973.795767623, 71974.995510737, 3.5087054964777575, 1.172596047619048, 1.6606021428571425, 2.8052638882536622, 1.1557821739130432, 1.4365627536231884, 1.6950755281983683, 1.1318939393939396, 1.7458400000000003, 3.3532939370533454, 1.1910293827160492, 1.8688798765432104, 3.818388325439228, 1.2406285869565215, 1.5598872826086958, 71969.6961455, 11.3599, 11.5531, 13.2425, 15.7649, 1.30759, 1.76072, 51.9204, 71970.9151455, 11.6284, 11.6545, 13.1207, 15.427, 1.12503, 1.52363, 51.8306, 71970.9331455, 11.6085, 11.6748, 13.2019, 15.392, 1.08738, 1.53553, 51.8773, 71971.9411455, 11.5588, 11.7255, 13.1918, 15.4387, 1.16231, 1.54467, 51.9148, 71971.9471455, 11.6085, 11.7255, 13.1714, 15.5086, 1.17954, 1.54168, 52.0141, 71972.4771455, 11.33, 11.3705, 13.466, 15.7649, 1.12623, 1.88623, 51.9314, 71972.4841455, 11.2902, 11.3705, 13.405, 15.8581, 1.21976, 1.90732, 51.9239, 71973.6801455, 11.3798, 11.3908, 13.4253, 15.695, 1.09881, 1.83551, 51.8909, 71973.7051455, 11.33, 11.4415, 13.3339, 15.7066, 1.19867, 1.81493, 51.8121, 71974.9191455, 11.5886, 11.7661, 12.9887, 15.4037, 1.25249, 1.46025, 51.7471
71975.015, 71976.231566198, 71976.248221142, 71977.048129251, 71977.064803178, 71977.581455058, 71977.598092772, 71978.597980345, 71978.614979981, 71979.93119481, 3.9648154361326595, 1.1944574444444451, 1.3796358888888887, 1.9624663979481258, 1.2207145762711866, 1.364938305084746, 1.8430751004203985, 1.2493740540540539, 1.5759762162162159, 2.8085183974696832, 1.2352771014492752, 1.7452615942028982, 3.722845100609162, 1.214177474747475, 1.7134296969696965, 71974.9191455, 11.5886, 11.7661, 12.9887, 15.4037, 1.25249, 1.46025, 51.7471, 71976.1331455, 11.6782, 11.7763, 12.9074, 15.2988, 1.20474, 1.37972, 51.6607, 71976.1711455, 11.6881, 11.7763, 12.8973, 15.2872, 1.19948, 1.37081, 51.6488, 71976.9591455, 11.7578, 11.7965, 12.9176, 15.3105, 1.17401, 1.35387, 51.7823, 71976.9791455, 11.708, 11.8473, 12.8871, 15.3804, 1.26997, 1.36394, 51.8228, 71977.4921455, 11.4792, 11.614, 13.1004, 15.7066, 1.32034, 1.65139, 51.9002, 71977.5131455, 11.4892, 11.614, 13.1714, 15.6484, 1.25269, 1.6515, 51.923, 71978.5021455, 11.3499, 11.5227, 13.2222, 15.7416, 1.29838, 1.76263, 51.8364, 71978.5151455, 11.3897, 11.6038, 13.2628, 15.7999, 1.32124, 1.74884, 52.0562, 71979.8481455, 11.2405, 11.3705, 13.4456, 15.8581, 1.22437, 1.93377, 51.9148
71979.947, 71981.36357081699, 71981.380193035, 71981.980173244, 71981.99680659799, 71982.613421538, 71982.63009760299, 71983.63000088099, 71983.64682421, 71985.71312046499, 4.481553862910034, 1.311754380952381, 2.1171809523809517, 3.987262847837434, 1.0419129333333335, 2.2342068888888886, 3.96703738376414, 3.3431249999999983, 3.8113597619047628, 13.10823501173747, -0.3125845468750005, 5.1086321875, 11.447032732642809, -8.873644256756757, 4.394012567567566, 71979.8481455, 11.2405, 11.3705, 13.4456, 15.8581, 1.22437, 1.93377, 51.9148, 71981.2741455, 11.2305, 11.1677, 13.6487, 15.963, 1.08218, 2.08043, 52.0099, 71981.2851455, 11.141, 11.0865, 13.6183, 15.8814, 1.06744, 2.1088, 51.7272, 71981.9051455, 9.90755, 9.88962, 14.1768, 17.9377, 1.80253, 3.55912, 51.9116, 71981.9051455, 9.90755, 9.88962, 14.1768, 17.9377, 1.80253, 3.55912, 51.9116, 71982.5161455, 8.44529, 11.8675, 12.6231, 19.9251, 5.07192, 3.47193, 52.861, 71982.5341455, 8.45524, 11.9791, 12.5418, 19.7824, 5.1008, 3.38045, 52.7585, 71983.5471455, 9.74839, 6.52208, 22.9367, 12.3975, -6.6687, 5.54128, 51.6047, 71983.5471455, 9.74839, 6.52208, 22.9367, 12.3975, -6.6687, 5.54128, 51.6047, 71985.6191455, 10.4248, 5.62948, 24.7515, 10.4517, -9.31336, 5.60374, 51.2575
