a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
47472.097, 47473.113622419005, 47473.130261606006, 47474.53012966201, 47474.54680126701, 47475.06342094999, 47475.080085154994, 47476.08000076701, 47476.09660651799, 47476.813258600996, 2.973798860890543, 0.4915594805194805, 1.905105714285714, 3.4155401257726794, 0.47390437068965524, 1.7854359482758624, 1.1501885796981097, 0.42261569230769236, 1.2754207692307693, 2.8497301263024486, 0.3153596582278482, 1.3544883544303798, 2.03997302493065, 0.42325843859649126, 1.6310247368421051, 47471.999784, 12.807, 12.3897, 15.3327, 16.6633, 0.399166, 1.78327, 57.1926, 47473.028784, 12.5493, 12.1954, 15.3532, 16.9303, 0.536269, 1.98292, 57.0282, 47473.034784, 12.5294, 12.2363, 15.4043, 16.8955, 0.524852, 1.98037, 57.0656, 47474.440784, 13.1638, 12.8292, 14.8315, 16.2452, 0.472698, 1.33617, 57.0698, 47474.458784, 13.1936, 12.9008, 14.8111, 16.2684, 0.50922, 1.30789, 57.1739, 47474.963784, 13.263, 12.8803, 14.8008, 16.0594, 0.384164, 1.24123, 57.0036, 47474.980784, 13.263, 12.9314, 14.8008, 16.1407, 0.441203, 1.24627, 57.136, 47475.983784000004, 12.9359, 12.5225, 15.302, 16.3962, 0.297788, 1.63756, 57.1566, 47476.018784, 12.8863, 12.5532, 15.2407, 16.2917, 0.315028, 1.60417, 56.9719, 47476.729784, 12.7971, 12.5941, 15.2611, 16.5239, 0.46339, 1.67741, 57.1762
47476.83, 47477.84660753202, 47477.863281057, 47478.863180253, 47478.879866699994, 47479.49645385401, 47479.51311365502, 47480.313004108015, 47480.32987073001, 47481.329607228996, 2.4835567538705225, 0.4189960555555557, 1.6629630555555561, 2.6311840223236302, 0.44553689610389624, 1.449846493506493, 1.3202569370259407, 0.43569370833333343, 1.339385625, 2.161312737394632, 0.4334013833333332, 1.1752739999999997, 2.7525777494125654, 0.47168309876543224, 1.3971835802469135, 47476.756784, 12.8169, 12.5634, 15.3123, 16.5471, 0.428629, 1.69787, 57.2398, 47477.750784, 12.9259, 12.635, 15.0975, 16.3846, 0.436577, 1.55701, 57.043, 47477.771784000004, 12.8665, 12.635, 15.0259, 16.3149, 0.465122, 1.54092, 56.8422, 47478.763784, 13.0152, 12.7679, 14.9645, 16.2452, 0.453323, 1.42825, 56.9928, 47478.796784, 13.0548, 12.8599, 14.8929, 16.2452, 0.507164, 1.37331, 57.0528, 47479.416784, 13.1341, 12.9008, 14.8827, 16.1523, 0.45397, 1.31421, 57.0699, 47479.416784, 13.1341, 12.9008, 14.8827, 16.1523, 0.45397, 1.31421, 57.0699, 47480.219784, 13.3026, 12.9928, 14.8315, 16.0014, 0.376344, 1.19139, 57.1283, 47480.233784000004, 13.3522, 12.9723, 14.7497, 16.071, 0.411886, 1.18021, 57.1453, 47481.236784, 12.9953, 12.7372, 15.0361, 16.2452, 0.417006, 1.45984, 57.0139
47481.346, 47482.762569954975, 47482.77926278499, 47484.17909487498, 47484.195736638976, 47484.812406063, 47484.82902518099, 47485.82892336799, 47485.84578441599, 47486.862144497, 3.8405391492171677, 0.5070949320388349, 1.464129320388349, 3.8427571111929386, 0.48037607758620726, 1.6553292241379312, 1.2494133645875876, 0.5157861346153845, 1.5735594230769228, 2.7361727341803723, 0.5467628461538463, 1.337255256410257, 3.480396589330517, 0.5286665625, 2.1342588750000004, 47481.257784, 13.0052, 12.727, 14.9543, 16.3381, 0.484699, 1.46256, 57.0246, 47482.711784, 13.0251, 12.8088, 14.944, 16.2684, 0.485614, 1.41428, 57.0463, 47482.711784, 13.0251, 12.8088, 14.944, 16.2684, 0.485614, 1.41428, 57.0463, 47484.085784, 12.8367, 12.635, 15.2509, 16.5936, 0.497651, 1.66779, 57.3162, 47484.111784, 12.8863, 12.5737, 15.1077, 16.5355, 0.488231, 1.62423, 57.1032, 47484.715784, 12.9458, 12.7986, 14.9338, 16.3497, 0.556174, 1.45697, 57.0279, 47484.733784000004, 12.9061, 12.7577, 14.852, 16.4078, 0.618088, 1.47461, 56.9236, 47485.749784, 12.9755, 12.7781, 14.9543, 16.3265, 0.514969, 1.45364, 57.0344, 47485.749784, 12.9755, 12.7781, 14.9543, 16.3265, 0.514969, 1.45364, 57.0344, 47486.777784, 12.2321, 12.1239, 15.6294, 17.1325, 0.610551, 2.20752, 57.1178
47486.879, 47488.09554241701, 47488.11220546001, 47489.112099946025, 47489.12879860301, 47489.645378625006, 47489.66207195401, 47490.461977048006, 47490.47882811901, 47491.54520888803, 3.5533583812398954, 0.5626802395833331, 1.7142701041666675, 3.1597608905095416, 0.47868865789473686, 1.4110061842105264, 1.4475078376752606, 0.5310463421052632, 0.9708772894736841, 1.9450072238062357, 0.493158262295082, 1.002877704918033, 2.8932033831302197, 0.4887111688311689, 1.098908051948052, 47486.803784, 12.3907, 12.1137, 15.5578, 17.1325, 0.567234, 2.14686, 57.1946, 47488.021784000004, 13.2134, 12.9723, 14.7906, 16.0943, 0.465465, 1.23508, 57.0706, 47488.021784000004, 13.2134, 12.9723, 14.7906, 16.0943, 0.465465, 1.23508, 57.0706, 47489.046784, 13.2729, 13.0132, 14.5554, 16.0478, 0.541756, 1.13828, 56.8893, 47489.046784, 13.2729, 13.0132, 14.5554, 16.0478, 0.541756, 1.13828, 56.8893, 47489.547784, 13.5603, 13.279, 14.3508, 15.7459, 0.48905, 0.858151, 56.9361, 47489.577784, 13.5306, 13.371, 14.3303, 15.7343, 0.546101, 0.832858, 56.9662, 47490.389784, 13.1539, 12.8803, 14.6781, 16.1175, 0.512841, 1.25673, 56.8299, 47490.389784, 13.1539, 12.8803, 14.6781, 16.1175, 0.512841, 1.25673, 56.8299, 47491.458784, 13.3224, 13.0337, 14.5042, 16.071, 0.561225, 1.11163, 56.9314
47491.563, 47492.67960240099, 47492.696260581004, 47493.69618465601, 47493.71286223399, 47494.32943024301, 47494.34609839999, 47495.545989627, 47495.562785227004, 47496.379236557004, 2.7679419094958666, 0.5522377037037038, 1.2841638271604938, 2.5704642395135826, 0.5006512705882352, 1.337200117647059, 1.52832419851898, 0.5120662499999997, 1.0479527272727274, 3.810605323061199, 0.5050231222222221, 0.852439733333333, 1.8756436027940364, 0.49503193220339, 1.2205505084745767, 47491.483784000004, 13.3324, 13.0643, 14.5042, 16.0943, 0.579888, 1.10582, 56.9952, 47492.579784, 13.3324, 12.9519, 14.6474, 15.9317, 0.39736, 1.13294, 56.8634, 47492.619784, 13.3423, 12.9519, 14.719, 16.013, 0.396127, 1.16731, 57.0262, 47493.600784, 13.2927, 12.9621, 14.6576, 16.1988, 0.529903, 1.20859, 57.1112, 47493.624784, 13.2828, 13.003, 14.5758, 16.1639, 0.573573, 1.17156, 57.0256, 47494.242784, 13.4216, 13.1052, 14.4838, 15.8156, 0.446746, 0.995806, 56.8261, 47494.265784, 13.5009, 13.1768, 14.4735, 15.862, 0.466737, 0.962378, 57.0132, 47495.449784000004, 13.5009, 13.1666, 14.4531, 15.8736, 0.476477, 0.963061, 56.9941, 47495.474784, 13.4612, 13.1359, 14.5247, 15.9201, 0.468993, 1.01179, 57.0419, 47496.280784, 13.0746, 12.8803, 14.8111, 16.3149, 0.573537, 1.35886, 57.0809
47496.395, 47497.51155509501, 47497.52823054701, 47498.528111461004, 47498.54479820599, 47499.06139459101, 47499.07808139001, 47500.67792440201, 47500.69461398401, 47501.361185302994, 3.370811355735244, 0.5317975833333332, 1.164860476190476, 2.8186036699917505, 0.5466784533333331, 1.2886669333333327, 1.410054547685455, 0.5391254666666665, 0.9695068888888888, 4.774676412432029, 0.5954766640000001, 0.8614573760000004, 2.140069503638631, 0.4992956923076924, 0.9223246153846156, 47496.298784, 13.144, 12.8803, 14.7702, 16.2568, 0.535914, 1.3153, 57.0513, 47497.412784, 13.3522, 13.0848, 14.4633, 15.9433, 0.53331, 1.04752, 56.8436, 47497.447784, 13.3125, 13.1666, 14.5554, 15.9781, 0.559884, 1.06671, 57.0126, 47498.445784, 13.2332, 12.9826, 14.6781, 16.1291, 0.526246, 1.20778, 57.023, 47498.445784, 13.2332, 12.9826, 14.6781, 16.1291, 0.526246, 1.20778, 57.023, 47498.977784, 13.6198, 13.3506, 14.2587, 15.6762, 0.504458, 0.781444, 56.9053, 47498.994784, 13.6297, 13.3301, 14.2076, 15.7459, 0.544119, 0.788993, 56.9133, 47500.595784, 13.3026, 13.1461, 14.494, 15.9433, 0.568163, 1.05172, 56.886, 47500.595784, 13.3026, 13.1461, 14.494, 15.9433, 0.568163, 1.05172, 56.886, 47501.268784, 13.828, 13.4937, 14.1053, 15.4672, 0.451547, 0.593426, 56.8942
47501.378, 47502.39453783099, 47502.411204567004, 47503.21113954901, 47503.227809022006, 47503.74444755798, 47503.76107827498, 47504.760987655, 47504.777741469996, 47505.594255359, 2.4487950557752725, 0.5978119736842105, 0.7777432500000003, 2.3012245151836184, 0.5175000967741935, 1.006910919354839, 1.5055744313879027, 0.4662325238095237, 0.9216667619047617, 2.3133458602689703, 0.5255837777777776, 0.9413637500000002, 1.9731608989743923, 0.44243022222222206, 1.232835888888889, 47501.279784, 13.7289, 13.4017, 14.0337, 15.4672, 0.488394, 0.627839, 56.6315, 47502.299784, 13.5901, 13.3506, 14.3917, 15.8736, 0.54296, 0.871763, 57.206, 47502.311784, 13.5108, 13.3199, 14.3099, 15.8969, 0.611928, 0.887849, 57.0374, 47503.111784, 13.4315, 13.1666, 14.4428, 15.8504, 0.502118, 0.974277, 56.8913, 47503.135784, 13.481, 13.1666, 14.4326, 15.804, 0.464478, 0.946383, 56.8842, 47503.644784000004, 13.5108, 13.2381, 14.4122, 15.7227, 0.456131, 0.892852, 56.8837, 47503.687784, 13.5504, 13.2381, 14.3917, 15.7111, 0.442532, 0.873823, 56.8913, 47504.665784, 13.5603, 13.3199, 14.2383, 15.5137, 0.456873, 0.760614, 56.6322, 47504.704784, 13.6297, 13.3506, 14.2894, 15.6414, 0.47127, 0.77766, 56.9111, 47505.495784, 12.9656, 12.7781, 15.0566, 16.2684, 0.448757, 1.46699, 57.0687
47505.611, 47506.927557913, 47506.944208691995, 47507.74414255798, 47507.760784833976, 47508.177408279, 47508.19407374597, 47509.193991131986, 47509.210894576994, 47510.24387732898, 3.320242587969943, 0.43760409900990116, 1.2172055445544558, 2.1100373740520304, 0.46022231578947365, 0.9923373157894736, 1.2924515807707695, 0.41945206249999994, 0.7094175000000001, 2.5818499359541236, 0.3840357215189875, 0.5739241772151903, 2.8756186743150645, 0.3167237848101267, 1.0072620886075951, 47505.514784, 13.0647, 12.8292, 14.9952, 16.2336, 0.438932, 1.40089, 57.1227, 47506.831784, 13.3224, 13.0848, 14.5758, 15.9201, 0.48618, 1.0778, 56.9031, 47506.844784, 13.3621, 13.1257, 14.6372, 15.9317, 0.463611, 1.07291, 57.0567, 47507.649784, 13.6297, 13.279, 14.3917, 15.4788, 0.32424, 0.782443, 56.7793, 47507.669784, 13.5901, 13.3608, 14.3508, 15.4788, 0.395712, 0.760489, 56.7805, 47508.089784, 13.7586, 13.4835, 14.1155, 15.444, 0.463602, 0.611985, 56.8016, 47508.107784, 13.7685, 13.5346, 14.228, 15.4208, 0.420877, 0.617815, 56.9519, 47509.104784, 13.6, 13.3403, 14.4122, 15.5949, 0.405261, 0.807785, 56.9474, 47509.114784, 13.5802, 13.3403, 14.4633, 15.653, 0.416347, 0.840451, 57.0368, 47510.148784, 13.3026, 12.9723, 14.8008, 15.9317, 0.35108, 1.17289, 57.0075
47510.261, 47511.37762145299, 47511.39429984099, 47512.794137605, 47512.810789101, 47513.32743036098, 47513.34408454099, 47514.343982675, 47514.36083531298, 47515.37722213898, 2.7813784702985656, 0.386122306818182, 1.026109454545455, 3.360936109651743, 0.34537072380952366, 0.8607008095238095, 1.4695200878014378, 0.3947095714285713, 0.7613794999999998, 2.617061802323304, 0.35336088571428576, 0.7906153714285716, 3.242504582038271, 0.35852773076923083, 1.0448081410256411, 47510.187784, 13.3026, 12.9621, 14.8213, 15.9781, 0.35764, 1.192, 57.0642, 47511.286784, 13.4315, 13.2075, 14.5963, 15.8272, 0.441131, 0.994833, 57.0624, 47511.301784, 13.4711, 13.2279, 14.5656, 15.8156, 0.44094, 0.967618, 57.0802, 47512.696784, 13.6694, 13.4528, 14.2587, 15.4788, 0.44122, 0.689952, 56.8597, 47512.731784, 13.6892, 13.4119, 14.2894, 15.5253, 0.421041, 0.715152, 56.9158, 47513.242784, 13.6496, 13.2995, 14.4224, 15.4556, 0.300524, 0.773125, 56.827, 47513.256784, 13.6099, 13.279, 14.3508, 15.6066, 0.406742, 0.809661, 56.8463, 47514.262784, 13.3423, 13.1155, 14.6474, 15.8388, 0.42347, 1.06117, 56.9439, 47514.262784, 13.3423, 13.1155, 14.6474, 15.8388, 0.42347, 1.06117, 56.9439, 47515.288784000004, 13.4513, 13.0848, 14.7292, 15.7807, 0.300181, 1.04491, 57.0461
47515.394, 47516.810538499005, 47516.827203614, 47518.42705366798, 47518.443711948, 47518.860328404, 47518.877009124, 47519.876912067004, 47519.893817996985, 47520.793496709986, 3.4905099343373203, 0.390051685185185, 0.9500866111111109, 4.659844309799509, 0.41341732061068714, 0.7784628320610683, 0.9415927289959161, 0.38126561290322586, 0.6553574516129034, 2.2679139519417206, 0.3627277894736843, 0.7222038947368424, 2.5741897724023426, 0.31874588059701486, 1.0497651492537314, 47515.298784, 13.4513, 13.0848, 14.7292, 15.7807, 0.300181, 1.04491, 57.0461, 47516.712784, 13.6099, 13.3301, 14.4428, 15.653, 0.407806, 0.829952, 57.0359, 47516.759784, 13.6397, 13.2279, 14.3815, 15.653, 0.37775, 0.834836, 56.902, 47518.343784, 13.7983, 13.4426, 14.0848, 15.3975, 0.421795, 0.592761, 56.7232, 47518.343784, 13.7983, 13.4426, 14.0848, 15.3975, 0.421795, 0.592761, 56.7232, 47518.763784, 13.7983, 13.4426, 14.269, 15.3511, 0.319403, 0.627642, 56.8609, 47518.793784, 13.8082, 13.4017, 14.2894, 15.444, 0.328442, 0.664755, 56.9432, 47519.796784, 13.6, 13.2586, 14.4428, 15.5949, 0.356206, 0.83816, 56.8964, 47519.796784, 13.6, 13.2586, 14.4428, 15.5949, 0.356206, 0.83816, 56.8964, 47520.703784, 13.3125, 12.8803, 14.8213, 16.0246, 0.337967, 1.22365, 57.0388
