a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
68456.434, 68457.85051556698, 68457.867208655, 68459.06710291, 68459.08372318499, 68459.50036315901, 68459.517030692, 68460.51693259, 68460.533667547, 68461.41685351699, 4.217654967549847, 0.5948652038834954, 0.17933013980582527, 3.304154698159782, 0.6136903750000002, 0.33562565624999985, 1.3508725012985936, 0.6517877714285714, 0.3461942285714284, 2.96220944189016, 0.5976809242424245, 0.3905308030303031, 2.4439753721195436, 0.6413368923076925, 0.07253620446153845, 68456.361583, 11.7054, 12.6764, 12.5205, 12.9774, 0.715676, 0.335612, 49.8797, 68457.766583, 11.9425, 12.7678, 12.349, 12.7442, 0.612658, 0.115322, 49.8034, 68457.792583, 11.9326, 12.7373, 12.3187, 12.6742, 0.584054, 0.0975555, 49.6628, 68458.988583, 11.8239, 12.6967, 12.5104, 12.8608, 0.612906, 0.255702, 49.8918, 68458.988583, 11.8239, 12.6967, 12.5104, 12.8608, 0.612906, 0.255702, 49.8918, 68459.413583, 11.6659, 12.4836, 12.6819, 13.024, 0.58158, 0.468283, 49.8554, 68459.427583, 11.6363, 12.4633, 12.692, 13.0706, 0.604507, 0.500307, 49.8622, 68460.419583, 11.8437, 12.6257, 12.4196, 12.7791, 0.574583, 0.220272, 49.6681, 68460.434583, 11.7252, 12.7069, 12.4398, 12.8025, 0.676614, 0.244657, 49.6743, 68461.324583, 12.0511, 12.9403, 12.1875, 12.546, 0.627241, -0.0778109, 49.7249
68461.434, 68462.95052902798, 68462.96720362997, 68463.96706582599, 68463.98374781698, 68464.60035058997, 68464.61702931397, 68465.81690489397, 68465.83365206698, 68466.66684399398, 4.832764749062148, 0.5895874905660378, -0.0825661013207547, 2.985488982030465, 0.6579462500000003, -0.021976856323529425, 1.7961349713629013, 0.73133695, 0.179568475, 3.9278467924225704, 0.7479302705882356, 0.20226085647058825, 2.687544530098383, 0.7791785185185185, 0.3169788175925926, 68461.343583, 12.1005, 13.0113, 12.2481, 12.511, 0.588378, -0.106122, 49.8709, 68462.856583, 12.2092, 13.1027, 12.1976, 12.3244, 0.511852, -0.237736, 49.8339, 68462.886583, 12.1894, 13.0519, 12.127, 12.3594, 0.550452, -0.227728, 49.7278, 68463.869583, 11.9227, 12.7678, 12.3591, 12.7908, 0.640446, 0.138255, 49.8403, 68463.894583, 11.9524, 12.7069, 12.3591, 12.7325, 0.566813, 0.130352, 49.7508, 68464.502583, 11.8141, 12.8185, 12.3086, 12.954, 0.826675, 0.189423, 49.8952, 68464.531583, 11.8239, 12.7982, 12.3389, 12.8724, 0.756431, 0.177335, 49.8335, 68465.721583, 11.6856, 12.4227, 12.5104, 13.1872, 0.709701, 0.478646, 49.806, 68465.739583, 11.6955, 12.4734, 12.5407, 13.2455, 0.742066, 0.485607, 49.9552, 68466.573583, 11.9622, 12.9606, 12.2783, 12.6509, 0.687492, 0.00192583, 49.8521
68466.683, 68467.699546453, 68467.71622841903, 68468.11618213503, 68468.13286372002, 68468.649455499, 68468.66611348702, 68469.66601511002, 68469.68291337501, 68470.48262295702, 3.2173308918826087, 0.7250792207792208, 0.06529325671428571, 1.3071005902280015, 0.7962676451612906, 0.16912265806451612, 1.3665769102454766, 0.752070611111111, 0.3087417777777778, 3.020832202071015, 0.7560142337662334, 0.24314157142857146, 2.160929759273223, 0.7413465862068968, 0.2332458275862069, 68466.590583, 11.9721, 13.0113, 12.238, 12.7442, 0.773242, -0.000391603, 49.9656, 68467.603583, 11.9128, 12.8591, 12.238, 12.7325, 0.724125, 0.0598741, 49.7424, 68467.629583, 11.903, 12.8591, 12.3187, 12.7675, 0.704607, 0.0975305, 49.8483, 68468.019583, 11.7054, 12.7069, 12.3591, 12.9657, 0.808311, 0.275193, 49.737, 68468.053583, 11.7153, 12.7373, 12.3792, 12.989, 0.818849, 0.275686, 49.8209, 68468.552583, 11.7548, 12.646, 12.47, 12.954, 0.690013, 0.308071, 49.8248, 68468.574583, 11.7153, 12.6866, 12.4599, 13.0007, 0.7581, 0.318509, 49.8625, 68469.577583, 11.7844, 12.8185, 12.3389, 12.8957, 0.79807, 0.190122, 49.8376, 68469.58558300001, 11.7844, 12.8185, 12.3389, 12.8957, 0.79807, 0.190122, 49.8376, 68470.390583, 11.7153, 12.6155, 12.3994, 13.0357, 0.771862, 0.332839, 49.7659
68470.499, 68472.01555911098, 68472.03224642998, 68473.03203624398, 68473.048776433, 68473.565403873, 68473.58207055998, 68474.58199742799, 68474.598733195, 68475.46521666199, 4.588853709937113, 0.7417359905660376, 0.019435301981132063, 3.145399559308486, 0.7840079565217392, -0.05547504101449273, 1.3676625784515337, 0.7491253333333334, -0.20463945555555552, 3.4053810774266, 0.8400829705882351, -0.19494732352941177, 2.7781553804504258, 0.6952976031746032, -0.2603163968253968, 68470.403583, 11.7153, 12.6967, 12.3792, 13.0007, 0.804794, 0.291587, 49.7919, 68471.917583, 12.0116, 13.0925, 12.1371, 12.6975, 0.821683, -0.0809607, 49.9388, 68471.944583, 11.9919, 13.0621, 12.1371, 12.6276, 0.783196, -0.0871029, 49.8186, 68472.933583, 12.0808, 13.2549, 11.9858, 12.4993, 0.846896, -0.256104, 49.8208, 68472.958583, 12.0808, 13.2549, 11.9858, 12.4527, 0.824261, -0.270401, 49.7741, 68473.470583, 11.9326, 13.0418, 12.1774, 12.4177, 0.680581, -0.114762, 49.5695, 68473.484583, 11.9326, 13.0418, 12.1774, 12.4177, 0.680581, -0.114762, 49.5695, 68474.499583, 12.1104, 13.3057, 11.9151, 12.441, 0.864512, -0.319434, 49.7722, 68474.499583, 12.1104, 13.3057, 11.9151, 12.441, 0.864512, -0.319434, 49.7722, 68475.365583, 12.14, 13.1636, 12.1169, 12.4993, 0.704104, -0.206547, 49.9198
68475.482, 68476.598566768, 68476.615192777, 68477.21515799001, 68477.231823616, 68477.848428451, 68477.865102492, 68478.86499276901, 68478.88162258001, 68479.78156697501, 3.696621187295472, 0.7718049090909089, -0.07095510909090912, 1.7719461659122657, 0.7287504285714286, 0.2573584404761905, 1.9603856414134784, 0.7506650697674417, -0.24557838372093022, 2.868139296461907, 0.7356607945205478, -0.14501057365753425, 3.2854539147295063, 0.8227846571428572, -0.037308089857142866, 68475.388583, 12.061, 13.1636, 12.1472, 12.476, 0.717878, -0.180977, 49.8478, 68476.499583, 11.735, 12.5749, 12.5205, 13.0473, 0.685042, 0.378276, 49.8778, 68476.515583, 11.6659, 12.5343, 12.5306, 13.0473, 0.695688, 0.415143, 49.7781, 68477.126583, 11.9721, 13.0113, 12.2178, 12.6975, 0.76102, -0.0204769, 49.8988, 68477.145583, 11.9227, 12.9809, 12.2178, 12.5926, 0.720605, -0.0281265, 49.714, 68477.760583, 12.1697, 13.2245, 12.0463, 12.4294, 0.720814, -0.276269, 49.8698, 68477.774583, 12.1203, 13.1433, 12.0564, 12.3361, 0.655863, -0.263143, 49.656, 68478.772583, 11.8733, 12.9504, 12.2077, 12.8491, 0.861314, 0.0700808, 49.8806, 68478.792583, 11.8733, 12.9504, 12.2682, 12.7908, 0.801718, 0.0707513, 49.8828, 68479.689583, 11.982, 13.1534, 12.1068, 12.546, 0.808713, -0.145409, 49.7882
68479.799, 68481.11554131901, 68481.13217191602, 68482.132102086, 68482.148773981, 68482.765377945, 68482.78204915, 68483.781933658, 68483.798742677, 68484.665194536, 4.414122387712862, 0.755787869565217, -0.17156436739130435, 2.7372248110225996, 0.8007222328767121, -0.15365822191780817, 1.7428200561964058, 0.8641464791666663, -0.2810834583333333, 2.79113401625975, 0.7976534027777779, -0.3375967916666667, 2.2845064596526576, 0.7855861499999999, -0.5034729333333332, 68479.715583, 12.0017, 13.1027, 12.127, 12.546, 0.763345, -0.130022, 49.7774, 68481.020583, 12.0709, 13.194, 12.0564, 12.3711, 0.723359, -0.2528, 49.6924, 68481.040583, 12.061, 13.123, 12.0564, 12.476, 0.745022, -0.196601, 49.7164, 68482.03658300001, 12.0413, 13.2042, 11.9454, 12.4527, 0.841096, -0.256033, 49.6435, 68482.050583, 12.0413, 13.1737, 11.895, 12.441, 0.846875, -0.266094, 49.551, 68482.684583, 12.0808, 13.2752, 12.0463, 12.4177, 0.785759, -0.268569, 49.82, 68482.684583, 12.0808, 13.2752, 12.0463, 12.4177, 0.785759, -0.268569, 49.82, 68483.682583, 12.1795, 13.4173, 11.8344, 12.4177, 0.91328, -0.404645, 49.849, 68483.701583, 12.14, 13.4478, 11.8445, 12.3477, 0.909477, -0.420515, 49.78, 68484.571583, 12.2092, 13.3463, 11.9252, 12.2195, 0.719988, -0.425778, 49.7002
68484.682, 68485.798568734, 68485.815232834, 68487.41508532199, 68487.431741784, 68488.048339979, 68488.06491957599, 68489.064889184, 68489.08164234101, 68490.08145917501, 3.1622485289084237, 0.8071661728395062, -0.3277631975308642, 4.568862591869637, 0.8587161339285717, -0.37522028571428573, 1.300581754610658, 0.9123784705882355, -0.3528028627450981, 3.0768299377674952, 0.8870585714285713, -0.16654489142857146, 2.7352508055652547, 0.8702057647058823, -0.36591025000000005, 68484.598583, 12.2092, 13.2752, 11.9858, 12.3011, 0.693867, -0.360916, 49.7713, 68485.722583, 12.1993, 13.3463, 11.8748, 12.2545, 0.768319, -0.427683, 49.6748, 68485.722583, 12.1993, 13.3463, 11.8748, 12.2545, 0.768319, -0.427683, 49.6748, 68487.322583, 12.0709, 13.2955, 11.8042, 12.4294, 0.932378, -0.342613, 49.5999, 68487.347583, 12.0906, 13.4072, 11.7941, 12.476, 1.00389, -0.370044, 49.7679, 68487.950583, 12.0215, 13.1331, 12.0766, 12.476, 0.759986, -0.181688, 49.7072, 68487.980583, 12.0511, 13.0519, 12.0362, 12.4877, 0.731587, -0.175071, 49.6269, 68488.971583, 12.1005, 13.2549, 11.9555, 12.4643, 0.835377, -0.281956, 49.7753, 68489.004583, 12.1302, 13.2549, 11.9252, 12.3944, 0.801697, -0.321543, 49.7047, 68489.989583, 12.0215, 13.1534, 12.0463, 12.5926, 0.842255, -0.161415, 49.8138
68490.098, 68491.514575982, 68491.531255387, 68492.731141347, 68492.74779512701, 68493.36439039101, 68493.381087721, 68494.38097329001, 68494.397772178, 68495.214211198, 4.087908927761894, 0.8901479029126211, -0.3164390546601941, 3.1839144276176, 0.8743066860465115, -0.3723287906976743, 1.8917758375955063, 0.8705711395348835, -0.42483141860465123, 2.9156617265032354, 0.8968741911764706, -0.516035323529412, 2.592510866628341, 0.8856858550724633, -0.7045016956521739, 68489.99858300001, 12.0215, 13.1534, 12.0463, 12.5926, 0.842255, -0.161415, 49.8138, 68491.423583, 12.2981, 13.5594, 11.6831, 12.0562, 0.823882, -0.640613, 49.5968, 68491.453583, 12.2882, 13.529, 11.8042, 12.1845, 0.813708, -0.550691, 49.8058, 68492.656583, 12.1499, 13.4681, 11.8042, 12.3827, 0.952071, -0.431013, 49.8048, 68492.656583, 12.1499, 13.4681, 11.8042, 12.3827, 0.952071, -0.431013, 49.8048, 68493.271583, 12.2191, 13.3666, 11.8647, 12.2661, 0.778887, -0.438936, 49.7164, 68493.287583, 12.2092, 13.3869, 11.8647, 12.0912, 0.708458, -0.49649, 49.552, 68494.296583, 12.3771, 13.6101, 11.7033, 12.1728, 0.853643, -0.635083, 49.8634, 68494.304583, 12.3672, 13.6507, 11.6629, 12.1379, 0.882435, -0.667581, 49.8187, 68495.12358300001, 12.3475, 13.5594, 11.7436, 12.1845, 0.829139, -0.595593, 49.835
68495.232, 68496.64855122702, 68496.66522358802, 68497.681769645, 68497.698337205, 68498.31503997701, 68498.33171368302, 68498.731689341, 68498.748401759, 68499.8315519, 4.140739190265785, 0.8724092621359222, -0.5619276990291264, 3.449303969438321, 0.8634321081081079, -0.39315454054054044, 1.6875250871409984, 0.9511310576923075, -0.6528438846153845, 1.0579382760366172, 0.9105064137931032, -0.7340891379310343, 3.263409096169864, 0.9292988375, -0.7987595000000001, 68495.143583, 12.3277, 13.5188, 11.6831, 12.2195, 0.868097, -0.586129, 49.7491, 68496.554583, 12.2586, 13.4579, 11.8042, 12.3711, 0.88504, -0.463384, 49.8917, 68496.569583, 12.1697, 13.4579, 11.7739, 12.3827, 0.952646, -0.443206, 49.7842, 68497.593583, 12.1697, 13.5087, 11.7234, 12.441, 1.03153, -0.455593, 49.8428, 68497.599583, 12.1894, 13.5188, 11.673, 12.3361, 1.00189, -0.512643, 49.7173, 68498.22958300001, 12.387, 13.7218, 11.5217, 12.0329, 0.92929, -0.771452, 49.6634, 68498.243583, 12.4759, 13.6812, 11.5116, 12.0562, 0.879827, -0.781078, 49.7249, 68498.649583, 12.4561, 13.7421, 11.562, 12.0562, 0.893369, -0.776839, 49.8165, 68498.649583, 12.4561, 13.7421, 11.562, 12.0562, 0.893369, -0.776839, 49.8165, 68499.736583, 12.4364, 13.7319, 11.5721, 12.0679, 0.899127, -0.761411, 49.8083
68499.848, 68501.264562609, 68501.28123867701, 68502.281135247, 68502.29779807199, 68502.91440614901, 68502.93108019, 68504.33094768599, 68504.347646231, 68505.53083526701, 4.598521468515376, 0.8915417524752476, -0.8956432772277234, 3.314578627509989, 0.9124631764705878, -1.1482922500000003, 1.653620800647212, 0.8756012439024392, -0.9978665609756098, 3.676060477207278, 0.931672908163265, -1.0683078265306118, 3.7190697883744934, 0.9616326404494377, -1.128174146067416, 68499.749583, 12.466, 13.6913, 11.6427, 12.1029, 0.84438, -0.72493, 49.903, 68501.167583, 12.713, 14.0669, 11.2392, 11.6948, 0.909972, -1.1604, 49.7138, 68501.189583, 12.792, 14.1379, 11.1685, 11.5782, 0.883499, -1.26312, 49.6766, 68502.187583, 12.5154, 13.9045, 11.4309, 11.8347, 0.902137, -0.952284, 49.6854, 68502.205583, 12.6142, 13.8842, 11.3905, 11.858, 0.873178, -0.979909, 49.7469, 68502.822583, 12.5944, 13.9146, 11.2593, 11.7647, 0.921407, -1.05534, 49.5331, 68502.83558300001, 12.6537, 14.0466, 11.2795, 11.7881, 0.955144, -1.09488, 49.7678, 68504.234583, 12.545, 13.9958, 11.2896, 11.8464, 1.0103, -1.02811, 49.6768, 68504.252583, 12.5549, 13.9857, 11.33, 11.9513, 1.02972, -0.981289, 49.8219, 68505.44558300001, 12.5944, 14.1176, 11.1988, 11.7298, 1.03451, -1.14325, 49.6406
