a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
70373.867, 70375.38356422799, 70375.40023253797, 70376.00017725499, 70376.01684374697, 70376.53344520202, 70376.55013173897, 70377.55001715702, 70377.56703493101, 70378.333272077, 4.1602784841437215, 0.5169806371681416, 0.4734560530973453, 1.426402927873935, 0.5148280681818179, 0.35573150000000014, 1.5042966420626522, 0.5594539743589744, 0.4338335897435896, 2.5591231721902084, 0.5002505789473681, 0.35623125, 1.6212955459409386, 0.5725982499999999, 0.7338598035714285, 70373.76741700001, 14.4426, 15.0884, 15.5842, 16.1506, 0.494656, 0.539569, 61.2657, 70375.289417, 14.5318, 15.2622, 15.4816, 16.0226, 0.518528, 0.418503, 61.2981, 70375.30341700002, 14.4723, 15.2213, 15.5329, 15.976, 0.486964, 0.444919, 61.2025, 70375.90841700001, 14.3732, 15.1906, 15.5124, 16.0459, 0.552553, 0.489457, 61.122, 70375.92241700001, 14.393, 15.1191, 15.4406, 16.0575, 0.550318, 0.488276, 61.0101, 70376.44241700001, 14.5318, 15.252, 15.379, 15.9062, 0.510654, 0.368802, 61.069, 70376.46241700002, 14.5417, 15.3133, 15.3687, 15.9295, 0.544682, 0.35401, 61.1532, 70377.46141700001, 14.4426, 15.2008, 15.5124, 16.1157, 0.555551, 0.485864, 61.2715, 70377.48041700001, 14.3434, 15.2111, 15.4611, 16.0924, 0.613239, 0.490682, 61.108, 70378.23741700001, 14.165, 14.9759, 15.5739, 16.4415, 0.686145, 0.705024, 61.1564
70018.35, 70019.76654392204, 70019.78318199303, 70020.98307306602, 70020.99975500102, 70021.41639064901, 70021.43307532204, 70022.43298019105, 70022.44984260804, 70023.24953333402, 3.7379170458232105, 0.8199836603773581, 1.888808113207547, 3.042679925513049, 0.8396972195121952, 2.13258243902439, 1.0850341888615747, 0.8804684374999999, 1.9850137499999996, 2.5213228206820135, 0.7872180789473683, 1.9024727631578944, 2.2100643082150175, 0.8515011967213111, 1.9090367213114745, 70018.26341700001, 12.8566, 14.0457, 16.7743, 17.53, 0.794369, 1.81402, 61.2065, 70019.68041700001, 12.7178, 13.9639, 16.8358, 17.6523, 0.842968, 1.91428, 61.1698, 70019.686417, 12.6781, 13.9333, 16.9282, 17.7032, 0.82874, 1.96432, 61.2428, 70020.883417, 12.3808, 13.555, 17.082, 18.2332, 0.949147, 2.29697, 61.251, 70020.90441700001, 12.4006, 13.5857, 17.0205, 18.1823, 0.958857, 2.25935, 61.189, 70021.32141700001, 12.8367, 14.0253, 16.9384, 17.479, 0.705415, 1.84943, 61.2794, 70021.33541700001, 12.7773, 14.0764, 16.9384, 17.4586, 0.742564, 1.84735, 61.2507, 70022.334417, 12.688, 13.8924, 16.8974, 17.8867, 0.893676, 2.00532, 61.3645, 70022.35441700001, 12.6286, 13.9435, 16.9179, 17.8867, 0.930187, 2.01198, 61.3767, 70023.152417, 12.8268, 14.0048, 16.764, 17.5402, 0.799093, 1.83343, 61.1358
70023.266, 70024.38259060396, 70024.39925405098, 70025.39915375196, 70025.41573331598, 70026.03243535897, 70026.049099617, 70027.04900195595, 70027.065650607, 70027.86557723297, 2.8932658833506837, 0.7709577654320989, 1.6943176543209877, 2.31494215011001, 0.8429547435897436, 1.7962316666666653, 1.7713111973314382, 0.8458556666666665, 1.6365442222222226, 2.671185753396458, 0.7863749743589743, 1.765843846153846, 1.7773590278476297, 0.7565481875, 1.7113089062499995, 70023.171417, 12.916, 14.1479, 16.7538, 17.5911, 0.842404, 1.77848, 61.4089, 70024.28741700001, 12.9656, 14.3013, 16.6204, 17.4281, 0.873893, 1.65903, 61.3153, 70024.31041700002, 12.9656, 14.3115, 16.6512, 17.3975, 0.852901, 1.6563, 61.3257, 70025.30241700001, 12.5889, 13.7186, 17.0513, 17.9784, 0.838321, 2.13301, 61.3372, 70025.31741700001, 12.6087, 13.6777, 17.0308, 17.9886, 0.826508, 2.13673, 61.3058, 70025.936417, 13.0845, 14.2195, 16.7743, 17.265, 0.662512, 1.64694, 61.3433, 70025.95041700001, 13.0152, 14.1786, 16.8461, 17.3261, 0.669536, 1.70579, 61.366, 70026.95741700001, 13.1936, 14.4853, 16.487, 17.1631, 0.802118, 1.46046, 61.3289, 70026.974417, 13.1837, 14.4239, 16.5383, 17.1325, 0.748402, 1.48418, 61.2784, 70027.770417, 12.8466, 14.0866, 16.8461, 17.6523, 0.83268, 1.84721, 61.4316
70027.882, 70028.99858837099, 70029.01522664797, 70030.01511702799, 70030.03176760698, 70030.44841668197, 70030.46511741095, 70030.86503353699, 70030.88190866898, 70031.99826458895, 2.604780355346391, 0.7914393440860218, 1.8095436559139784, 2.3866825600398758, 0.8284378904109587, 1.8781832876712319, 1.0221699611328383, 0.667197125, 1.7555728125000003, 0.8744632680014963, 0.7545036666666668, 1.7515366666666665, 2.5592893640306835, 0.7475522658227849, 1.6125013924050633, 70027.80341700002, 12.8268, 14.1275, 16.7127, 17.5504, 0.873232, 1.79086, 61.2174, 70028.90141700002, 12.9061, 14.0559, 16.7948, 17.6421, 0.813156, 1.82614, 61.3989, 70028.92641700001, 12.8466, 14.0253, 16.8871, 17.693, 0.807339, 1.88154, 61.4521, 70029.93841700001, 13.1242, 14.2399, 16.5896, 17.3159, 0.751618, 1.60147, 61.2697, 70029.93841700001, 13.1242, 14.2399, 16.5896, 17.3159, 0.751618, 1.60147, 61.2697, 70030.36341700002, 12.8466, 13.9537, 17, 17.5707, 0.683463, 1.8992, 61.3711, 70030.36641700001, 12.8466, 14.0048, 17.0205, 17.5707, 0.695118, 1.88951, 61.4427, 70030.77641700002, 13.0647, 14.291, 16.5588, 17.3567, 0.825915, 1.60592, 61.2713, 70030.79441700001, 13.0449, 14.3422, 16.5075, 17.3159, 0.860006, 1.57729, 61.2105, 70031.898417, 12.8466, 13.8924, 16.9179, 17.5911, 0.701621, 1.90293, 61.2481
70032.018, 70033.13457165695, 70033.15122654098, 70034.15112863599, 70034.16782049499, 70034.78440141895, 70034.80109637494, 70036.20092081897, 70036.21807464394, 70036.85087908497, 2.8124234016354244, 0.7029298452380951, 1.555009761904762, 2.811218009250555, 0.743112272727273, 1.463225194805195, 1.3851591989858818, 0.7648616530612246, 1.3847616326530612, 3.5903403606320423, 0.6897753619047617, 1.5740424761904768, 1.6001619090542671, 0.6821412291666668, 1.6331202083333336, 70031.91941700001, 12.8566, 13.9537, 16.8871, 17.4484, 0.678065, 1.84608, 61.1458, 70033.039417, 13.2332, 14.3422, 16.6307, 17.1733, 0.672668, 1.52214, 61.3793, 70033.07441700001, 13.2035, 14.4239, 16.5794, 17.1325, 0.722852, 1.48789, 61.3393, 70034.05941700001, 13.1837, 14.4137, 16.446, 17.3159, 0.855613, 1.50699, 61.3593, 70034.073417, 13.2531, 14.5364, 16.3844, 17.2344, 0.868493, 1.42393, 61.4083, 70034.698417, 13.1341, 14.1786, 16.8153, 17.1121, 0.547543, 1.6202, 61.2401, 70034.71141700001, 13.1341, 14.2502, 16.7743, 17.2038, 0.629696, 1.61187, 61.3624, 70036.10841700001, 13.2035, 14.475, 16.5281, 16.9535, 0.693649, 1.42323, 61.1601, 70036.12841700001, 13.1539, 14.4546, 16.5588, 16.9884, 0.707287, 1.45661, 61.1557, 70036.754417, 13.2431, 14.5159, 16.5588, 17.051, 0.718975, 1.43005, 61.3689
70036.866, 70038.08254955903, 70038.09920475697, 70039.09911914497, 70039.115779612, 70039.53240452598, 70039.549097906, 70040.14901350102, 70040.16592049297, 70041.232241946, 3.125051130329172, 0.6768443829787234, 1.6293054255319157, 2.610749060293062, 0.7210795, 1.7419952631578948, 0.9938920101846582, 0.6837627878787876, 1.7573960606060604, 1.7636410985490134, 0.6724326739130435, 1.6353595652173907, 2.6220609916561903, 0.7107216321839078, 1.422605057471264, 70036.78041700002, 13.2035, 14.4853, 16.4665, 16.9767, 0.732836, 1.41198, 61.132, 70037.98841700002, 12.9458, 14.0661, 16.8051, 17.4892, 0.735861, 1.7818, 61.3062, 70038.00741700002, 12.8764, 14.0764, 16.7948, 17.3873, 0.732997, 1.77379, 61.1349, 70039.00641700001, 12.8962, 13.9844, 16.9487, 17.3669, 0.615382, 1.82243, 61.1962, 70039.02541700001, 12.8665, 13.9946, 16.9897, 17.4688, 0.655255, 1.8585, 61.3196, 70039.44341700002, 13.1143, 14.4342, 16.6204, 17.1223, 0.743082, 1.51594, 61.2911, 70039.46141700001, 13.1044, 14.3933, 16.5588, 17.1019, 0.748861, 1.51159, 61.1584, 70040.06241700001, 12.9656, 14.0661, 16.7538, 17.3567, 0.696528, 1.73663, 61.1422, 70040.07941700002, 12.9854, 14.0764, 16.8051, 17.3975, 0.686923, 1.74835, 61.2643, 70041.14241700001, 13.2729, 14.4137, 16.5486, 17.051, 0.670299, 1.44721, 61.2861
70041.247, 70042.663563724, 70042.680250729, 70043.68010707802, 70043.69682527703, 70044.213394566, 70044.23006610901, 70045.42995758701, 70045.44668521502, 70046.21320116104, 3.7313079764799606, 0.6491742090909091, 1.4478108181818183, 2.7874807756139863, 0.7250321511627905, 1.4397762790697672, 1.6173884741371787, 0.6289581052631579, 1.5589365789473684, 3.5952025261424456, 0.6348720638297873, 1.4656230851063834, 2.1724725271165304, 0.6667464687499999, 1.4134714062499998, 70041.14741700001, 13.2927, 14.4444, 16.5588, 16.9884, 0.645021, 1.42209, 61.2843, 70042.57141700001, 13.2035, 14.3626, 16.7435, 17.1121, 0.621808, 1.53598, 61.4217, 70042.59341700001, 13.0449, 14.2808, 16.7538, 17.1427, 0.663498, 1.60989, 61.2222, 70043.580417, 13.372, 14.475, 16.5178, 17.0204, 0.653908, 1.39067, 61.3852, 70043.60441700001, 13.2729, 14.4035, 16.5691, 17.0713, 0.665739, 1.459, 61.3168, 70044.12141700002, 13.2927, 14.4955, 16.4665, 16.9767, 0.699395, 1.38533, 61.2314, 70044.14641700001, 13.3522, 14.4955, 16.4255, 16.9651, 0.687042, 1.3577, 61.2382, 70045.33141700001, 13.3224, 14.4137, 16.5794, 16.9767, 0.607184, 1.42431, 61.2923, 70045.35441700001, 13.3423, 14.4035, 16.5691, 16.9767, 0.599116, 1.41946, 61.2916, 70046.12041700001, 13.2729, 14.4342, 16.5281, 17.051, 0.687009, 1.43719, 61.2861
70046.231, 70047.447550324, 70047.46422218197, 70048.46411879399, 70048.480788824, 70048.89740701098, 70048.914075312, 70049.51402727797, 70049.53093832298, 70050.49724924899, 3.417519165987321, 0.56834747, 1.4303344000000004, 2.467470412800486, 0.6331907972972972, 1.4258464864864862, 1.0794802951926803, 0.5485825151515151, 1.5904115151515155, 1.2998421439864734, 0.5886471627906975, 1.3649739534883725, 2.3471258025268167, 0.6333547027027027, 1.6947040540540539, 70046.15541700002, 13.2332, 14.4137, 16.6204, 17.0204, 0.64469, 1.46698, 61.2877, 70047.35141700001, 13.1044, 14.3013, 16.8051, 17.0917, 0.605014, 1.58831, 61.3024, 70047.37041700001, 13.1936, 14.2604, 16.7948, 17.0612, 0.543603, 1.5663, 61.3099, 70048.376417, 13.1738, 14.3013, 16.7435, 16.9418, 0.54194, 1.52312, 61.1604, 70048.39041700002, 13.1738, 14.3013, 16.7435, 16.9418, 0.54194, 1.52312, 61.1604, 70048.81341700001, 13.4017, 14.5364, 16.5281, 16.8371, 0.588739, 1.32791, 61.3033, 70048.82041700001, 13.4017, 14.5568, 16.4665, 16.7789, 0.599426, 1.29571, 61.204, 70049.42041700002, 13.1936, 14.2297, 16.8153, 17.0612, 0.522816, 1.57909, 61.2998, 70049.44141700001, 13.144, 14.2604, 16.8358, 17.051, 0.543091, 1.58646, 61.2912, 70050.40541700002, 13.0746, 14.2297, 16.764, 17.1936, 0.646684, 1.62907, 61.262
70050.514, 70051.530564777, 70051.54725821203, 70053.14708329501, 70053.16373610703, 70053.78034220901, 70053.79701948, 70054.796941117, 70054.813722991, 70055.830141479, 2.5005487749244635, 0.5551951923076925, 1.5977693589743585, 4.155224829960785, 0.5978535769230768, 1.254806192307692, 1.4172093598296958, 0.5761126326530613, 1.3467046938775513, 2.371071557228601, 0.5510675569620255, 1.2166839240506329, 2.350230830252858, 0.5940323239436621, 1.4163260563380284, 70050.425417, 13.0746, 14.2399, 16.7538, 17.1019, 0.618535, 1.60399, 61.1703, 70051.43541700002, 13.6, 14.7919, 16.2613, 16.6509, 0.644961, 1.10603, 61.3042, 70051.448417, 13.5703, 14.7408, 16.2818, 16.6044, 0.609958, 1.1214, 61.1973, 70053.06041700002, 13.3819, 14.6284, 16.4255, 16.744, 0.63951, 1.26492, 61.1798, 70053.07441700001, 13.3324, 14.5773, 16.4255, 16.8255, 0.67237, 1.30999, 61.1606, 70053.698417, 13.3918, 14.5466, 16.5281, 16.7789, 0.573766, 1.31485, 61.2454, 70053.698417, 13.3918, 14.5466, 16.5281, 16.7789, 0.573766, 1.31485, 61.2454, 70054.705417, 13.3324, 14.4853, 16.6409, 16.872, 0.564155, 1.39294, 61.3306, 70054.732417, 13.3621, 14.4853, 16.6307, 16.8022, 0.52819, 1.3672, 61.2802, 70055.73141700002, 13.2332, 14.2502, 16.682, 17.1121, 0.590375, 1.54478, 61.2775
70055.847, 70057.163553557, 70057.18020155995, 70058.180153076, 70058.19677960196, 70058.61339859098, 70058.63006167799, 70059.629983765, 70059.64688685797, 70060.66322455199, 3.5699553772569077, 0.5511654485981307, 1.2932359813084109, 2.8745204812207383, 0.620995, 1.5848702631578944, 1.0192648647601514, 0.56672203125, 1.4185390625, 2.467537313341782, 0.5553110749999999, 1.660066374999999, 2.2966944102045463, 0.5306772027027027, 1.4382283783783785, 70055.76441700001, 13.2431, 14.2195, 16.6922, 17.1529, 0.585976, 1.56158, 61.3077, 70057.076417, 13.2134, 14.5057, 16.7127, 16.7906, 0.559485, 1.41717, 61.2224, 70057.084417, 13.2134, 14.5057, 16.7127, 16.7906, 0.559485, 1.41717, 61.2224, 70058.08641700001, 13.2134, 14.5773, 16.446, 17.1019, 0.823215, 1.4079, 61.3386, 70058.11741700002, 13.2431, 14.4546, 16.487, 17, 0.704598, 1.41929, 61.1848, 70058.52141700001, 13.144, 14.3422, 16.8461, 16.8953, 0.509289, 1.53245, 61.2276, 70058.54141700001, 13.2035, 14.3013, 16.8666, 16.9418, 0.478265, 1.54217, 61.3132, 70059.538417, 13.1341, 14.2604, 16.8666, 16.9767, 0.504738, 1.57963, 61.2378, 70059.557417, 13.1143, 14.3115, 16.9077, 16.9185, 0.493079, 1.5674, 61.252, 70060.57241700002, 13.3819, 14.5875, 16.6717, 16.7207, 0.511152, 1.32566, 61.3619
