a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
71391.715, 71392.831556335, 71392.84825964898, 71393.84812433002, 71393.86479107899, 71394.38141773999, 71394.39807557399, 71395.39796650302, 71395.41489107299, 71396.34789683702, 2.681856348331919, 0.18499372105263165, 1.7024782105263148, 2.4370979953325507, 0.13318811842105263, 1.4819076315789474, 1.2756831168238447, 0.10112857674418599, 1.4382016279069767, 2.409930636511304, 0.151671324691358, 1.561197901234568, 1.9816786424650144, 0.17970171714285715, 1.746495714285715, 71391.618417, 12.7079, 14.3217, 17.4819, 16.488, 0.254083, 1.70666, 60.9995, 71392.75541700001, 12.9259, 14.3933, 17.5742, 16.3018, 0.0796556, 1.60719, 61.1952, 71392.75541700001, 12.9259, 14.3933, 17.5742, 16.3018, 0.0796556, 1.60719, 61.1952, 71393.75541700001, 13.1638, 14.6386, 17.2666, 16.1273, 0.137052, 1.37053, 61.1964, 71393.773417, 13.1738, 14.5262, 17.2768, 16.1389, 0.087744, 1.40288, 61.1157, 71394.292417, 12.9656, 14.4853, 17.3589, 16.2902, 0.184539, 1.52166, 61.0999, 71394.30141700001, 12.9755, 14.4137, 17.3999, 16.2902, 0.134468, 1.54738, 61.0793, 71395.29841700001, 12.7971, 14.2502, 17.7382, 16.5462, 0.106397, 1.77001, 61.3317, 71395.33341700002, 12.7079, 14.199, 17.6665, 16.4648, 0.118554, 1.77536, 61.0381, 71396.24941700001, 12.6781, 14.2399, 17.7382, 16.5113, 0.136855, 1.79788, 61.1676
71036.365, 71037.88153084002, 71037.89818748798, 71039.09807709699, 71039.11473499502, 71039.731355351, 71039.74801349799, 71040.74790003298, 71040.76480356, 71041.66448536499, 3.6309460136370526, 0.5688389913793104, 0.9444700603448278, 3.0066939407156497, 0.5495161684210524, 0.9276289578947373, 1.7019473156696199, 0.5646215777777778, 0.9555195111111112, 2.3074174669826846, 0.5388186714285714, 0.9002642999999997, 2.259415871312288, 0.5380004264705882, 0.8144313823529411, 71036.27441700001, 14.1254, 14.4137, 15.7073, 16.9651, 0.631475, 1.01288, 61.2115, 71037.78441700002, 14.1948, 14.3115, 15.6457, 16.8255, 0.53153, 0.975353, 60.9774, 71037.80641700001, 14.284, 14.3626, 15.6765, 16.9185, 0.539118, 0.967115, 61.2416, 71039.02241700001, 14.393, 14.5057, 15.4611, 16.8138, 0.598896, 0.827853, 61.1736, 71039.02241700001, 14.393, 14.5057, 15.4611, 16.8138, 0.598896, 0.827853, 61.1736, 71039.63641700002, 14.1055, 14.0253, 15.8715, 17.0815, 0.462395, 1.18416, 61.0838, 71039.667417, 14.1848, 14.1275, 15.933, 17.0815, 0.444815, 1.15012, 61.3269, 71040.64941700001, 14.4227, 14.4444, 15.5329, 16.616, 0.452653, 0.806785, 61.016, 71040.671417, 14.3633, 14.4137, 15.5534, 16.6742, 0.479978, 0.848454, 61.0046, 71041.57541700001, 14.3335, 14.3626, 15.5739, 16.9185, 0.561252, 0.930651, 61.1886
71041.681, 71042.69763361297, 71042.71429484601, 71044.31414792601, 71044.33079628299, 71044.74741827797, 71044.76409437701, 71045.76398973401, 71045.78087056796, 71046.63056627901, 2.321013963194297, 0.5330739740259742, 0.938036987012987, 4.397352421444985, 0.5311796960000003, 0.8850925200000002, 1.137620368237184, 0.5046763666666667, 0.9479319666666667, 2.343131706775065, 0.529649474358974, 0.9877548076923077, 2.3062784676951877, 0.5358612333333335, 0.8950110666666665, 71041.59041700001, 14.3831, 14.3933, 15.5739, 16.9418, 0.56209, 0.915139, 61.2921, 71042.60541700001, 14.1749, 14.2808, 15.6765, 16.8836, 0.537977, 1.00902, 61.0159, 71042.62441700001, 14.1254, 14.2297, 15.6355, 16.9418, 0.578788, 1.03941, 60.9324, 71044.21941700001, 14.284, 14.2706, 15.7483, 16.9651, 0.491032, 1.0182, 61.268, 71044.232417, 14.2245, 14.3422, 15.7176, 16.9535, 0.552583, 1.00536, 61.2377, 71044.656417, 14.4128, 14.3728, 15.6457, 16.8953, 0.493068, 0.918535, 61.3267, 71044.67641700001, 14.3335, 14.4137, 15.6252, 16.872, 0.541666, 0.918449, 61.2445, 71045.679417, 14.2741, 14.4546, 15.656, 16.8255, 0.551382, 0.919656, 61.2101, 71045.69741700002, 14.2939, 14.3217, 15.7176, 16.9185, 0.501546, 0.984591, 61.2517, 71046.53441700002, 14.1452, 14.2297, 15.7176, 17.0713, 0.587887, 1.0825, 61.1638
71046.648, 71048.06457638899, 71048.081229019, 71049.08115878604, 71049.09781895998, 71049.51444699803, 71049.53101278104, 71051.13095912799, 71051.14764501598, 71051.78088630202, 3.6762992744242857, 0.5331003000000002, 0.8702945909090908, 3.011855436680811, 0.5971806419753087, 0.7192560246913582, 0.9566308005148237, 0.5536659393939396, 0.8758724242424242, 3.8339465317053834, 0.5234053015873017, 0.8330619841269837, 1.7189868297217128, 0.5437301568627451, 0.8923080196078431, 71046.55241700001, 14.1254, 14.2093, 15.7689, 17.0815, 0.570634, 1.10708, 61.185, 71047.967417, 14.73, 14.8124, 15.102, 16.3717, 0.553963, 0.474769, 61.0161, 71047.98141700002, 14.73, 14.8124, 15.102, 16.3717, 0.553963, 0.474769, 61.0161, 71048.997417, 14.393, 14.5262, 15.4508, 16.7789, 0.59742, 0.812096, 61.1489, 71049.00341700001, 14.4029, 14.5159, 15.4098, 16.8371, 0.629574, 0.816148, 61.1657, 71049.421417, 14.4822, 14.5875, 15.4508, 16.6509, 0.533497, 0.74349, 61.1714, 71049.45341700001, 14.502, 14.6284, 15.4919, 16.5927, 0.501198, 0.723885, 61.215, 71051.042417, 14.3434, 14.4239, 15.5329, 16.8255, 0.561574, 0.881211, 61.1257, 71051.04841700001, 14.3534, 14.4444, 15.5021, 16.8022, 0.569171, 0.860832, 61.102, 71051.68441700001, 14.2443, 14.291, 15.7689, 16.9535, 0.502518, 1.02525, 61.2577
71051.797, 71053.11355641599, 71053.13023712898, 71054.13013095698, 71054.14679611496, 71054.56342533998, 71054.58010109798, 71055.580001723, 71055.59668586297, 71056.41323931496, 3.100057536040777, 0.5102233960396036, 0.9371063366336644, 2.491915923424793, 0.5182126749999999, 0.9314153999999994, 1.24454629328727, 0.45907324242424236, 1.0650131212121214, 2.3883933388963925, 0.49094026760563375, 0.9417705211267604, 1.9707113849515658, 0.4672694, 0.6140360769230769, 71051.698417, 14.2443, 14.291, 15.7689, 16.9535, 0.502518, 1.02525, 61.2577, 71053.01741700001, 14.3534, 14.4648, 15.5842, 16.7324, 0.515112, 0.858362, 61.1347, 71053.03741700001, 14.4327, 14.5262, 15.5637, 16.744, 0.519797, 0.81991, 61.2665, 71054.03041700002, 14.2047, 14.2297, 15.7996, 16.9069, 0.462994, 1.04811, 61.1409, 71054.06341700001, 14.2146, 14.1479, 15.892, 16.8953, 0.38293, 1.08539, 61.1498, 71054.47541700001, 14.2443, 14.291, 15.6355, 16.7556, 0.47881, 0.949286, 60.9265, 71054.482417, 14.2741, 14.3319, 15.615, 16.8255, 0.519431, 0.94218, 61.0464, 71055.493417, 14.3534, 14.383, 15.5842, 16.6626, 0.454247, 0.863441, 60.9831, 71055.50241700001, 14.3831, 14.3933, 15.5739, 16.6509, 0.445554, 0.847975, 61.0012, 71056.319417, 14.7994, 14.8328, 15.2969, 16.232, 0.395891, 0.465174, 61.1612
71056.43, 71057.646589524, 71057.66324461397, 71058.66316995898, 71058.67983396398, 71059.09645598801, 71059.11312152201, 71059.71306762, 71059.72975313198, 71060.59629769798, 3.614249233499849, 0.41178624210526316, 0.5190716736842105, 2.5336197010594166, 0.4048797432432432, 0.49648725675675703, 0.98964555471706, 0.365154935483871, 0.39134254838709676, 1.4350633914153468, 0.35932142222222224, 0.36250493333333317, 2.364306071117189, 0.4023653521126761, 0.4181856619718309, 71056.34341700001, 14.8093, 14.8635, 15.2559, 16.3135, 0.453842, 0.464517, 61.2422, 71057.56641700001, 14.6507, 14.8124, 15.3893, 16.2902, 0.434482, 0.543734, 61.1426, 71057.56641700001, 14.6507, 14.8124, 15.3893, 16.2902, 0.434482, 0.543734, 61.1426, 71058.57841700001, 14.8292, 14.9657, 15.2867, 15.9877, 0.342885, 0.363389, 61.0692, 71058.60541700001, 14.8391, 14.8942, 15.3072, 15.9877, 0.301337, 0.383829, 61.0281, 71059.008417, 14.7499, 14.9146, 15.2354, 16.0226, 0.390652, 0.392339, 60.9224, 71059.01341700001, 14.8192, 15.0271, 15.2251, 16.0226, 0.411373, 0.344074, 61.094, 71059.62441700001, 14.7003, 14.8839, 15.2867, 16.0575, 0.391644, 0.433277, 60.9284, 71059.63841700001, 14.7697, 14.8737, 15.2559, 16.0342, 0.362027, 0.405369, 60.9335, 71060.50341700001, 14.7598, 14.8431, 15.3585, 16.2553, 0.400263, 0.492749, 61.2166
71060.613, 71061.92956866602, 71061.94614314403, 71062.94613600602, 71062.96279945002, 71063.379422134, 71063.39615611701, 71064.39600490201, 71064.41273773303, 71065.24589303402, 3.108512462049943, 0.3536941649484536, 0.32766326804123713, 2.527156394717567, 0.3749496867469881, 0.47359066265060223, 1.1196315212807824, 0.4021459062500001, 0.5226064374999999, 2.4347760988940172, 0.33127220731707324, 0.4466658902439023, 1.9700674280906292, 0.3493156923076923, 0.2697385076923078, 71060.516417, 14.6408, 14.8328, 15.3482, 16.1622, 0.41241, 0.500981, 60.9841, 71061.83341700002, 14.8292, 15.0066, 15.2661, 15.9528, 0.353816, 0.339813, 61.0547, 71061.84641700001, 14.8292, 14.9964, 15.2559, 15.8131, 0.297439, 0.306305, 60.8946, 71062.872417, 14.4029, 14.6897, 15.6252, 16.3484, 0.413474, 0.707672, 61.0662, 71062.872417, 14.4029, 14.6897, 15.6252, 16.3484, 0.413474, 0.707672, 61.0662, 71063.30641700001, 14.621, 14.8226, 15.4406, 16.2204, 0.401551, 0.544317, 61.1046, 71063.30641700001, 14.621, 14.8226, 15.4406, 16.2204, 0.401551, 0.544317, 61.1046, 71064.304417, 14.73, 14.9759, 15.3072, 15.9877, 0.379676, 0.390705, 61.0008, 71064.32041700001, 14.7102, 14.9555, 15.2559, 16.0459, 0.424519, 0.402517, 60.9675, 71065.14641700001, 14.8787, 15.0373, 15.2867, 15.8015, 0.275967, 0.288218, 61.0042
71065.263, 71066.37964985098, 71066.39634686601, 71067.99619003499, 71068.01285674996, 71068.529473222, 71068.546116184, 71069.54601375296, 71069.56273368097, 71070.27925107299, 2.628638221499764, 0.31444232584269666, 0.29157907865168536, 3.5176901186799063, 0.2882622764227643, 0.4619193739837398, 1.388326159962842, 0.23021164102564107, 0.8145373846153845, 2.330732824384092, 0.3572106338028167, 0.7494996338028169, 1.8140584572417275, 0.27363767213114754, 0.6500264262295081, 71065.179417, 14.8589, 15.0271, 15.3174, 15.8597, 0.290853, 0.317175, 61.0631, 71066.288417, 14.7003, 14.9759, 15.338, 15.8597, 0.327474, 0.374892, 60.8739, 71066.319417, 14.7598, 14.9964, 15.3585, 15.9528, 0.340164, 0.381977, 61.0674, 71067.90041700001, 14.5813, 14.8022, 15.5329, 16.011, 0.28677, 0.531864, 60.9273, 71067.92441700002, 14.5516, 14.7715, 15.6457, 16.1273, 0.287032, 0.601501, 61.0962, 71068.44641700001, 14.4128, 14.4444, 15.8099, 16.4531, 0.275999, 0.835846, 61.1202, 71068.44641700001, 14.4128, 14.4444, 15.8099, 16.4531, 0.275999, 0.835846, 61.1202, 71069.44641700001, 14.4624, 14.5875, 15.7791, 16.2088, 0.227213, 0.722011, 61.0378, 71069.47241700001, 14.512, 14.5773, 15.7073, 16.2204, 0.236985, 0.697793, 61.0169, 71070.18341700001, 14.4723, 14.7102, 15.7894, 16.3368, 0.320196, 0.720209, 61.3086
71070.296, 71071.41262036198, 71071.429296397, 71071.82923826898, 71071.845899282, 71072.362507991, 71072.379194284, 71073.37912078001, 71073.39602293601, 71074.12899676201, 2.589209379273621, 0.3060981071428572, 0.6465633214285714, 1.304740589518552, 0.25141140625, 0.5866403125, 1.2155270174897435, 0.18604967567567568, 0.6538544594594594, 2.8093267538099056, 0.22640471764705883, 0.5546808, 1.8073390448632356, 0.22687739999999995, 0.3037657499999999, 71070.20341700001, 14.4921, 14.7102, 15.6663, 16.3368, 0.36293, 0.686395, 61.2053, 71071.31841700002, 14.6408, 14.8328, 15.4919, 16.104, 0.329217, 0.521269, 61.0695, 71071.34341700001, 14.5913, 14.8328, 15.5637, 16.1389, 0.334084, 0.559133, 61.1267, 71071.74641700002, 14.5714, 14.6386, 15.697, 16.1273, 0.203755, 0.642503, 61.0344, 71071.74641700002, 14.5714, 14.6386, 15.697, 16.1273, 0.203755, 0.642503, 61.0344, 71072.281417, 14.5813, 14.7102, 15.697, 16.1389, 0.233415, 0.624388, 61.1275, 71072.281417, 14.5813, 14.7102, 15.697, 16.1389, 0.233415, 0.624388, 61.1275, 71073.28241700001, 14.7499, 14.8533, 15.4919, 15.9179, 0.216934, 0.444149, 61.0128, 71073.296417, 14.7499, 14.8533, 15.4919, 15.9179, 0.216934, 0.444149, 61.0128, 71074.04041700001, 14.849, 14.8839, 15.42, 15.848, 0.189742, 0.377492, 61.001
71074.146, 71075.36254794097, 71075.37921144794, 71076.57909887498, 71076.59575954596, 71077.21237413595, 71077.229031004, 71078.22894808695, 71078.24584747, 71079.04554062696, 3.2233595742542045, 0.17128297526881725, 0.40363029032258063, 3.180216036772735, 0.14813952711111125, 0.5080978777777776, 1.422071334086076, 0.10425801739130437, 0.4654982391304349, 2.458531074859531, 0.1015031922077922, 0.3621332727272727, 1.7389887497056302, 0.09333126212121212, 0.4867929090909091, 71074.050417, 14.8192, 14.9146, 15.3995, 15.9062, 0.246596, 0.386281, 61.0396, 71075.26541700002, 14.2741, 14.5159, 16.0151, 16.232, 0.187927, 0.849597, 61.0371, 71075.28441700002, 14.2939, 14.5977, 16.0151, 16.2902, 0.236517, 0.836735, 61.1969, 71076.48841700002, 14.6012, 14.9044, 15.656, 15.9179, 0.23129, 0.507941, 61.0794, 71076.508417, 14.6805, 14.9044, 15.6663, 15.848, 0.166002, 0.473685, 61.0992, 71077.11541700001, 14.7895, 14.9044, 15.6355, 15.5921, 0.0293225, 0.377614, 60.9214, 71077.137417, 14.849, 14.9146, 15.5842, 15.6619, 0.0587285, 0.364484, 61.0097, 71078.13641700002, 14.8391, 14.9759, 15.5637, 15.6502, 0.0915349, 0.343827, 61.0289, 71078.16641700001, 14.7895, 14.9759, 15.5021, 15.627, 0.127801, 0.335898, 60.8945, 71078.95241700001, 14.5813, 14.7408, 15.7381, 15.8597, 0.115353, 0.56031, 60.9199
