a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
59655.941, 59657.35755729298, 59657.37419054699, 59658.39076504199, 59658.42409812299, 59658.94070742897, 59658.95738262899, 59660.357246471984, 59660.37411076198, 59661.023808416976, 3.4703834605446873, 0.92320899122807, 2.585040087719298, 2.4655458555032452, 0.9282863493975902, 2.5868062650602406, 1.462086618585427, 0.9386725499999999, 2.6018337499999995, 3.1448830072333593, 0.9676057499999999, 2.582881833333333, 1.5499720982252982, 1.0234497407407408, 2.4999737037037026, 59655.858291, 14.0655, 11.5125, 15.7275, 20.4856, 0.892141, 2.5817, 61.7912, 59657.274291, 14.0556, 11.4314, 15.7683, 20.7812, 0.962621, 2.67483, 62.0364, 59657.274291, 14.0556, 11.4314, 15.7683, 20.7812, 0.962621, 2.67483, 62.0364, 59658.315291, 13.9561, 11.33, 15.7479, 20.7914, 0.977471, 2.73024, 61.8253, 59658.332291, 14.0158, 11.401, 15.7581, 20.771, 0.967804, 2.69082, 61.9458, 59658.843291, 14.0655, 11.3705, 15.7988, 20.6283, 0.862584, 2.66501, 61.8632, 59658.862291, 14.1153, 11.3807, 15.7377, 20.6894, 0.89511, 2.64794, 61.9231, 59660.269291, 14.3341, 11.6748, 15.5138, 20.5671, 0.963959, 2.43324, 62.0899, 59660.279291, 14.2545, 11.5835, 15.5443, 20.5671, 0.949094, 2.48752, 61.9495, 59660.931291, 14.2446, 11.5734, 15.3916, 20.6487, 1.04508, 2.47881, 61.8583
59661.04, 59662.55654305501, 59662.57320949199, 59663.173167124995, 59663.18983655099, 59663.806428829, 59663.82308664903, 59664.823018570045, 59664.83987024504, 59665.48957478903, 3.2279015088052594, 1.1174875781249998, 2.460041484375, 1.498844605475037, 1.1056720754716984, 2.48367283018868, 1.3949776336077588, 1.1649505454545455, 2.4363567272727282, 2.3749381226692763, 1.190649, 2.266316625000001, 1.231961898368192, 1.2851266666666663, 2.2880214814814823, 59660.944291, 14.1451, 11.6444, 15.4222, 20.6487, 1.1016, 2.49303, 61.8603, 59662.467291, 14.3142, 11.6748, 15.2287, 20.6181, 1.1118, 2.39128, 61.8359, 59662.474291, 14.1252, 11.6444, 15.2593, 20.6487, 1.17894, 2.46565, 61.6776, 59663.097291, 14.1551, 11.5531, 15.2796, 20.6793, 1.13418, 2.4934, 61.6671, 59663.097291, 14.1551, 11.5531, 15.2796, 20.6793, 1.13418, 2.4934, 61.6671, 59663.708291, 14.3242, 11.756, 15.3102, 20.6894, 1.13204, 2.3968, 62.0798, 59663.739291, 14.3341, 11.7864, 15.1778, 20.6181, 1.16792, 2.34399, 61.9165, 59664.724291, 14.3043, 11.9385, 14.8419, 20.4754, 1.32707, 2.21114, 61.5602, 59664.744291, 14.3043, 12.0501, 14.9234, 20.5468, 1.36243, 2.21168, 61.8245, 59665.398291, 14.2645, 11.8473, 15.0964, 20.5773, 1.23965, 2.32142, 61.7855
59665.506, 59667.022537374, 59667.03919489595, 59668.055762096956, 59668.07243562898, 59668.489037398955, 59668.50570104499, 59669.30563850399, 59669.322446971964, 59670.188858557965, 3.6011018132989094, 1.2913697540983604, 2.420597786885246, 2.4408209819897904, 1.2875911363636368, 2.470816590909091, 0.8507240535285256, 1.2800002777777775, 2.5052408333333336, 1.8552765670113789, 1.3217286153846157, 2.551550923076923, 1.9036187071055684, 1.33148641025641, 2.4732157692307704, 59665.406291, 14.3341, 11.9183, 15.1066, 20.5977, 1.2409, 2.28836, 61.9567, 59666.923291, 14.2346, 11.8675, 15.188, 20.8321, 1.31877, 2.39479, 62.1223, 59666.939291, 14.2346, 11.8574, 15.2593, 20.7812, 1.2653, 2.40174, 62.1325, 59667.968291, 14.0954, 11.5937, 15.2491, 20.8933, 1.27058, 2.53593, 61.8314, 59667.976291, 14.1352, 11.6444, 15.3305, 20.8627, 1.2269, 2.52055, 61.9728, 59668.395291, 14.0158, 11.5835, 15.2695, 20.9748, 1.32313, 2.5819, 61.8436, 59668.424290999996, 14.0257, 11.6342, 15.2593, 21.0054, 1.35432, 2.56877, 61.9247, 59669.219291, 14.2943, 11.7864, 15.0251, 20.7302, 1.29259, 2.34685, 61.8361, 59669.228291, 14.1949, 11.7661, 15.0862, 20.7608, 1.31287, 2.39922, 61.808, 59670.111291, 14.1053, 11.685, 15.1371, 20.9646, 1.37624, 2.49906, 61.892
59670.206, 59671.52256713597, 59671.539237671, 59672.55580193502, 59672.57247491, 59673.08909499697, 59673.10575130302, 59673.522355947985, 59673.53923026902, 59674.53891702397, 3.280496846858845, 1.381262568807339, 2.344655871559633, 2.551238485790643, 1.5120821250000003, 2.5009777499999997, 1.1877425733498765, 1.496871363636364, 2.3432850000000007, 0.8188984492098669, 1.5259247368421054, 2.3073315789473687, 2.8003268966850983, 1.5756875949367086, 2.249274683544304, 59670.111291, 14.1053, 11.685, 15.1371, 20.9646, 1.37624, 2.49906, 61.892, 59671.423291, 14.3043, 11.9487, 14.8623, 20.8831, 1.47795, 2.29661, 61.9983, 59671.443290999996, 14.175, 11.9081, 14.8623, 20.8321, 1.49853, 2.3337, 61.7775, 59672.467291, 14.1352, 11.8675, 14.9234, 21.036, 1.55135, 2.41033, 61.962, 59672.476291, 14.1352, 11.8675, 14.9234, 21.036, 1.55135, 2.41033, 61.962, 59672.994291, 14.2645, 12.0197, 14.8521, 20.8016, 1.49532, 2.26909, 61.9378, 59673.012291, 14.2844, 11.9588, 14.8114, 20.8016, 1.48111, 2.27214, 61.8561, 59673.425291, 14.1849, 11.969, 14.8012, 20.7506, 1.51261, 2.28454, 61.7057, 59673.454291, 14.1551, 11.898, 14.8114, 20.7914, 1.50955, 2.32331, 61.6558, 59674.442291, 14.175, 12.1414, 14.7096, 20.9544, 1.69865, 2.26224, 61.9804
59674.556, 59675.872539174, 59675.88919517399, 59676.889107537005, 59676.90577908898, 59677.32238744102, 59677.33906917002, 59678.355633037005, 59678.37236121496, 59679.205531914966, 2.9813339343928296, 1.637578971962617, 2.428500934579438, 2.050524560678738, 1.645151358024691, 2.4366606172839513, 0.9172477230519399, 1.5845525000000003, 2.3281091666666667, 2.5354672934563904, 1.619633209876543, 2.4533144444444437, 1.8455598831856252, 1.621858493150685, 2.513611643835616, 59674.456291, 14.1849, 12.0907, 14.7096, 20.9442, 1.67144, 2.27151, 61.9294, 59675.776291, 14.0954, 12.0197, 14.8114, 20.8219, 1.59311, 2.31219, 61.7484, 59675.805291, 14.1252, 12.0095, 14.8521, 20.9035, 1.58979, 2.33174, 61.8903, 59676.790291, 14.175, 12.0501, 14.8216, 20.8831, 1.58918, 2.29605, 61.9297, 59676.810291, 14.2247, 12.04, 14.8012, 20.8423, 1.55731, 2.27244, 61.9082, 59677.231291, 13.9561, 11.8574, 14.9641, 20.9952, 1.59148, 2.46365, 61.7728, 59677.250291, 13.9959, 11.898, 14.8928, 20.985, 1.61654, 2.4244, 61.7717, 59678.261291, 13.9661, 11.8675, 14.9844, 20.9442, 1.56296, 2.45176, 61.7623, 59678.293291, 13.8964, 11.8574, 14.8521, 20.8729, 1.61916, 2.43283, 61.4788, 59679.117291, 13.9661, 11.9385, 15.015, 20.985, 1.59218, 2.44619, 61.9046
59679.222, 59680.338603617034, 59680.35525298799, 59681.35512523201, 59681.37181781098, 59681.988448577984, 59682.00511480902, 59682.82169951399, 59682.83847622002, 59683.97153296798, 2.580652922046027, 1.654487701149426, 2.3830136781609204, 2.4864153512950993, 1.6200691250000006, 2.469787124999999, 1.529654676082281, 1.5859411320754713, 2.447683396226415, 2.0198422866646615, 1.5892036231884057, 2.5251928985507246, 2.846769089927246, 1.5802836559139781, 2.5843012903225815, 59679.123290999996, 13.9661, 11.9385, 15.015, 20.985, 1.59218, 2.44619, 61.9046, 59680.258291, 13.9362, 11.9183, 14.8725, 20.9952, 1.66261, 2.43345, 61.7221, 59680.258291, 13.9362, 11.9183, 14.8725, 20.9952, 1.66261, 2.43345, 61.7221, 59681.257291, 13.9163, 11.8878, 15.076, 21.0767, 1.6028, 2.50544, 61.9569, 59681.273291, 13.9163, 11.8878, 15.076, 21.0767, 1.6028, 2.50544, 61.9569, 59681.897291, 13.9561, 11.9081, 15.0353, 20.9646, 1.56847, 2.45758, 61.8642, 59681.917291, 13.976, 11.9183, 15.0557, 20.9646, 1.55504, 2.45323, 61.9146, 59682.722291, 13.7273, 11.6444, 15.188, 21.3315, 1.6402, 2.7018, 61.8913, 59682.743291, 13.7273, 11.7154, 15.1982, 21.2602, 1.6357, 2.66934, 61.9011, 59683.879291, 13.9064, 11.8067, 15.0353, 21.0462, 1.58231, 2.51683, 61.7946
59683.989, 59685.505549126014, 59685.52222863003, 59686.522121090034, 59686.538774415036, 59686.95539745502, 59686.97206956503, 59688.188613190025, 59688.20541000605, 59688.97188836505, 3.871554131959725, 1.6233879999999998, 2.5189727500000005, 2.3979521575264378, 1.6399272151898734, 2.521413797468354, 1.0144410387095861, 1.643385277777778, 2.3761888888888887, 3.1498757810498303, 1.6496274509803919, 2.46287568627451, 1.7347922890038818, 1.6870321874999996, 2.3303182812500007, 59683.897291, 13.9163, 11.8777, 14.9641, 20.985, 1.61245, 2.4671, 61.7431, 59685.414291, 13.7472, 11.6748, 15.076, 21.2296, 1.65289, 2.64475, 61.7277, 59685.428291, 13.7572, 11.6647, 15.1473, 21.25, 1.62175, 2.66312, 61.8191, 59686.427291, 13.9263, 11.9791, 14.9234, 21.0156, 1.67561, 2.43358, 61.8443, 59686.454291, 13.9959, 11.9791, 14.903, 20.9544, 1.63129, 2.39738, 61.8325, 59686.862291, 13.9661, 12.0298, 14.8725, 20.9748, 1.68415, 2.38944, 61.8432, 59686.874291, 14.0257, 12.0095, 14.7808, 20.9646, 1.68644, 2.35757, 61.7808, 59688.093291, 13.9263, 11.9893, 14.8928, 21.0258, 1.69645, 2.42659, 61.8341, 59688.107291, 13.986, 11.9588, 14.8826, 21.1073, 1.69435, 2.43284, 61.9347, 59688.879291, 14.0357, 12.0095, 14.7707, 20.8118, 1.62871, 2.32132, 61.6276
59688.988, 59690.10453949, 59690.121196003034, 59691.12111049103, 59691.137713964024, 59691.65438583003, 59691.67106547904, 59693.28756540902, 59693.304360099006, 59693.670856784025, 2.8064259663606315, 1.6850379999999994, 2.397436421052631, 2.135229493885527, 1.6905763291139242, 2.4210341772151898, 1.3968821027511522, 1.5895509756097563, 2.500658780487805, 3.5405706662658494, 1.6548176190476194, 2.5665569841269846, 0.7159973868480369, 1.6231534482758623, 2.562431724137932, 59688.892291, 13.986, 12.04, 14.7299, 20.8423, 1.69096, 2.32466, 61.5982, 59690.015290999996, 14.0257, 12.0704, 14.8623, 20.8933, 1.64735, 2.34256, 61.8517, 59690.043291, 14.0059, 12.111, 14.8012, 20.9341, 1.71295, 2.3326, 61.8521, 59691.029291, 13.8666, 11.827, 15.0557, 21.0156, 1.58678, 2.5203, 61.7648, 59691.049290999996, 13.8765, 11.827, 15.1473, 21.0054, 1.53927, 2.53391, 61.8562, 59691.563291, 13.8666, 11.9588, 14.9234, 20.8627, 1.6359, 2.42503, 61.6115, 59691.582291, 13.9959, 11.9791, 14.9234, 20.985, 1.63407, 2.40776, 61.8834, 59693.192291, 13.8169, 11.756, 15.0862, 21.0462, 1.57971, 2.56694, 61.7052, 59693.214291, 13.7373, 11.7661, 15.0048, 20.9952, 1.63375, 2.56001, 61.5034, 59693.590291, 13.8169, 11.8371, 15.1066, 21.1277, 1.63253, 2.56438, 61.8882
59693.689, 59695.00555350199, 59695.02219238404, 59695.82212027004, 59695.838775872995, 59696.355406955045, 59696.372072421, 59697.38865103001, 59697.42222232603, 59697.90526087901, 3.4008389162627215, 1.6818943689320394, 2.5866622330097084, 1.8787817578775396, 1.6506401538461541, 2.6815061538461533, 1.279666080249094, 1.7191810256410258, 2.54939923076923, 2.9516665552567263, 1.6611886746987947, 2.728933614457832, 1.0740050183606633, 1.67523975, 2.675593, 59693.590291, 13.8169, 11.8371, 15.1066, 21.1277, 1.63253, 2.56438, 61.8882, 59694.906291, 13.787, 11.756, 15.1575, 21.2908, 1.65436, 2.63875, 61.9912, 59694.934291, 13.787, 11.8168, 15.1066, 21.199, 1.66464, 2.59293, 61.9095, 59695.730291, 13.7671, 11.6748, 15.1575, 21.3519, 1.65539, 2.67972, 61.9513, 59695.749291, 13.787, 11.6647, 15.1066, 21.3519, 1.66491, 2.6668, 61.9102, 59696.256291, 13.7074, 11.7053, 15.0353, 21.3315, 1.73764, 2.65966, 61.7795, 59696.286291, 13.5881, 11.6748, 15.1473, 21.4233, 1.7639, 2.7431, 61.8335, 59697.295291, 13.7373, 11.6951, 15.1677, 21.2194, 1.62149, 2.65807, 61.8195, 59697.328291, 13.7671, 11.685, 15.1168, 21.2602, 1.64214, 2.65042, 61.829, 59697.809291, 13.6776, 11.6748, 15.1778, 21.2398, 1.64286, 2.68704, 61.7701
59697.922, 59698.93858768399, 59698.955266882, 59699.75518093698, 59699.77185856799, 59700.38846355296, 59700.40511119695, 59701.40502837595, 59701.421923411, 59701.75498540796, 2.274314228055544, 1.688963902439024, 2.553461951219512, 2.443505724975231, 1.7196269354838714, 2.3642251612903236, 1.5812705682461796, 1.6780907843137256, 2.641258235294117, 2.5434030805070225, 1.6690571428571432, 2.6697345454545447, 0.8535509322493812, 1.6753796428571426, 2.6827424999999994, 59697.833291, 13.7074, 11.7458, 15.1371, 21.2806, 1.68974, 2.65822, 61.871, 59698.845291, 13.8467, 11.969, 14.9844, 21.1277, 1.72198, 2.49398, 61.9278, 59698.863291, 13.8169, 11.9487, 14.9335, 21.0665, 1.72622, 2.48549, 61.7656, 59699.666291, 13.797, 11.7965, 15.1168, 21.2602, 1.67136, 2.61015, 61.9705, 59699.685291, 13.7771, 11.7255, 15.1677, 21.3315, 1.65815, 2.66039, 62.0018, 59700.291291, 13.7373, 11.6647, 15.1778, 21.3519, 1.65564, 2.69518, 61.9317, 59700.321291, 13.608, 11.6545, 15.188, 21.3519, 1.7032, 2.73714, 61.8024, 59701.314291, 13.7472, 11.7864, 15.1575, 21.3213, 1.69443, 2.6475, 62.0124, 59701.339291, 13.7373, 11.7965, 15.1168, 21.2398, 1.6894, 2.62305, 61.8904, 59701.665291, 13.7572, 11.6748, 15.1677, 21.301, 1.63607, 2.67444, 61.9006
