a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
55938.881, 55940.19760531901, 55940.214254331, 55941.214173743014, 55941.230839217, 55941.847421563005, 55941.86410896501, 55943.46395334599, 55943.48070442299, 55944.76380165399, 3.375581991135361, 0.6131143736263737, 1.3353827472527469, 2.403859559376633, 0.5228137857142857, 1.6887095714285714, 1.543645260907532, 0.32860653333333345, 2.003578222222222, 4.600066640335692, 0.12757163478991598, 1.9428852100840328, 3.3160542449930737, 0.2731538571428571, 1.5159942857142858, 55938.798784, 13.4216, 13.0204, 14.5568, 16.2215, 0.552022, 1.13674, 57.2203, 55940.109784, 12.9557, 12.4796, 14.9657, 16.7792, 0.584731, 1.65521, 57.1802, 55940.127784000004, 12.9359, 12.4796, 14.9964, 16.8141, 0.594759, 1.67626, 57.2259, 55941.116784000005, 12.8863, 12.3163, 15.1702, 16.8257, 0.474468, 1.78149, 57.1985, 55941.136784, 12.9953, 12.3265, 15.1088, 16.7211, 0.412706, 1.70811, 57.1518, 55941.768784, 12.47, 11.6837, 15.7937, 17.2548, 0.2949, 2.33249, 57.2022, 55941.768784, 12.47, 11.6837, 15.7937, 17.2548, 0.2949, 2.33249, 57.2022, 55943.368784, 13.3125, 12.602, 15.0373, 16.2912, 0.237322, 1.41866, 57.243, 55943.387784, 13.3026, 12.5102, 15.0475, 16.326, 0.212514, 1.45858, 57.1864, 55944.672784, 13.2134, 12.4286, 15.0271, 16.5003, 0.301051, 1.5442, 57.1694
55944.78, 55945.996601833, 55946.013250952004, 55947.013187781995, 55947.02982919398, 55947.446468443, 55947.463116033, 55948.862995642005, 55948.879783443, 55949.762874837994, 3.18601963982866, 0.29596050588235295, 1.301306705882353, 2.5472123263906856, 0.3322401714285716, 1.115481714285714, 0.9901407479141103, 0.3663713, 1.120625, 4.401440991216592, 0.3633831382978725, 1.229747914893618, 2.428744895298246, 0.3499012131147542, 1.632303278688525, 55944.689784, 13.2134, 12.398, 15.0577, 16.5352, 0.289324, 1.56847, 57.2043, 55945.913784000004, 13.5802, 12.9184, 14.5773, 16.0472, 0.353658, 1.08342, 57.123, 55945.913784000004, 13.5802, 12.9184, 14.5773, 16.0472, 0.353658, 1.08342, 57.123, 55946.919784000005, 13.5207, 12.7857, 14.6182, 16.1401, 0.344774, 1.17022, 57.0647, 55946.949784000004, 13.5207, 12.8878, 14.6284, 16.175, 0.399241, 1.15227, 57.2118, 55947.349784, 13.5405, 12.898, 14.5875, 16.082, 0.372961, 1.11132, 57.108, 55947.374784, 13.5901, 12.8571, 14.5977, 16.1169, 0.343859, 1.11981, 57.1618, 55948.765784, 13.0945, 12.449, 15.1906, 16.5236, 0.300169, 1.61658, 57.2576, 55948.787784, 13.1143, 12.449, 15.1497, 16.5701, 0.329515, 1.61213, 57.2831, 55949.670784, 13.1341, 12.4388, 15.16, 16.5003, 0.281766, 1.59542, 57.2332
55949.78, 55950.796606669, 55950.813279536, 55951.81318218101, 55951.82984193499, 55952.24647382999, 55952.263171018014, 55953.862975985016, 55953.879588120995, 55954.979543536, 2.688753213579903, 0.3120800945945945, 1.4338424324324324, 2.3006047591877707, 0.2686066338028169, 0.9470997887323941, 1.7044492522621553, 0.2515588999999999, 0.7081773333333333, 4.606251048489941, 0.062386254778761044, 1.3127628141592924, 3.6077433123853675, 0.07590993659459461, 1.7177817567567575, 55949.694784, 13.1341, 12.4388, 15.16, 16.6049, 0.326851, 1.61987, 57.3378, 55950.708784, 13.3423, 12.7449, 14.8635, 16.1517, 0.302467, 1.29453, 57.1024, 55950.731784, 13.4117, 12.7857, 14.8328, 16.1982, 0.323021, 1.26694, 57.2284, 55951.716784000004, 13.8875, 13.3673, 14.3013, 15.5243, 0.307849, 0.675552, 57.0803, 55951.738784, 13.9271, 13.398, 14.3319, 15.5359, 0.294966, 0.666885, 57.1929, 55952.148784000005, 13.7388, 13.2041, 14.5364, 15.6172, 0.239134, 0.843506, 57.0965, 55952.184784000005, 13.709, 13.1327, 14.6488, 15.7218, 0.216997, 0.925223, 57.2123, 55953.768784, 12.9656, 11.9592, 15.5484, 16.6863, 0.0574857, 1.91829, 57.1595, 55953.789784, 12.9359, 11.9796, 15.6404, 16.7095, 0.0492573, 1.94737, 57.2654, 55954.880784, 13.2927, 12.4184, 15.1702, 16.4306, 0.168422, 1.54149, 57.3119
55954.997, 55956.51351033, 55956.53016495402, 55957.530076055, 55957.546748219, 55957.96336244402, 55957.980047369, 55958.37999641799, 55958.396857214015, 55959.713182165, 4.073464634219992, 0.17635401999999997, 1.244789553571429, 2.6690271326356814, 0.15715213529411762, 1.0358437499999997, 0.8755415395819041, 0.20034424137931028, 0.9577907241379309, 1.0526876054769263, 0.18057677419354845, 0.8567487419354836, 3.765710150312415, 0.14605656476190476, 0.8623147619047621, 55954.897784, 13.2927, 12.3469, 15.1191, 16.419, 0.154853, 1.54739, 57.1777, 55956.415784000004, 13.5405, 12.7143, 14.8533, 15.9542, 0.120345, 1.19676, 57.0623, 55956.435784, 13.6595, 12.7041, 14.8431, 15.9193, 0.0529081, 1.15504, 57.126, 55957.445784, 13.7586, 13.0204, 14.5262, 15.7218, 0.200543, 0.91245, 57.027, 55957.448784, 13.7883, 12.9898, 14.5262, 15.7218, 0.17409, 0.912695, 57.0261, 55957.864784000005, 13.7487, 13.0612, 14.5466, 15.745, 0.223717, 0.914617, 57.1016, 55957.901784, 13.7983, 13.0306, 14.5875, 15.8845, 0.230953, 0.953681, 57.3008, 55958.286784, 13.8974, 13.0816, 14.4648, 15.7102, 0.187922, 0.838786, 57.154, 55958.300784, 13.9073, 13.0306, 14.4648, 15.7799, 0.191668, 0.867439, 57.1826, 55959.621784, 13.937, 13.051, 14.4648, 15.6869, 0.147057, 0.830521, 57.1398
55959.73, 55961.24650733999, 55961.263205585004, 55962.26307444201, 55962.279750757, 55962.79637696899, 55962.813044064, 55964.01292257499, 55964.029730033006, 55964.94615713899, 3.984131261176219, 0.15326260892857135, 0.9636537499999998, 2.7102364454362373, 0.059128175211267606, 1.3190638028169013, 1.6137833731287472, 0.09144821142857144, 1.202072, 3.5221748954330168, -0.059704709084337344, 1.1262627710843376, 2.720652022464641, -0.07995644109375001, 0.899204578125, 55959.651784, 13.8875, 13.0306, 14.5364, 15.7102, 0.138611, 0.873393, 57.1646, 55961.146784000004, 13.6595, 12.7755, 14.6693, 15.8845, 0.145313, 1.0841, 56.9887, 55961.187784, 13.6198, 12.7857, 14.7102, 15.8961, 0.154281, 1.10523, 57.0118, 55962.170784, 13.6, 12.551, 14.9351, 16.0355, 0.0225425, 1.26561, 57.1216, 55962.188784000005, 13.5207, 12.5612, 14.9555, 16.0239, 0.0477314, 1.28743, 57.0613, 55962.702784, 13.5405, 12.6531, 14.8635, 16.1169, 0.160003, 1.25585, 57.174, 55962.721784, 13.6, 12.6633, 14.9657, 16.175, 0.118688, 1.27451, 57.404, 55963.918784, 13.9172, 12.5306, 14.9146, 15.7567, -0.238334, 1.10912, 57.1191, 55963.937784, 13.8875, 12.4898, 14.9351, 15.7567, -0.252353, 1.13401, 57.069, 55964.850784, 14.1055, 12.9592, 14.5364, 15.4778, -0.0897661, 0.775096, 57.0789
55964.963, 55965.979601554005, 55965.99627979701, 55966.996161866016, 55967.01282289003, 55967.52944571401, 55967.546022182025, 55968.54603008802, 55968.562879484016, 55969.379251641, 2.710561265564788, -0.041845102500000016, 0.7593769624999999, 2.7047749203690707, -0.11131324545454548, 0.8686450519480521, 1.678614126219611, -0.11790688918918922, 0.9140473783783784, 2.884695781865936, -0.10405153656716418, 0.8661854776119403, 1.8079018411103558, -0.045374646733333336, 0.7996915166666666, 55964.883784000005, 14.1055, 12.9694, 14.5875, 15.6056, -0.0515312, 0.816731, 57.268, 55965.887784, 13.9469, 12.898, 14.6897, 15.5359, -0.0888422, 0.88856, 57.0705, 55965.904784, 13.9569, 12.8878, 14.6182, 15.5591, -0.0561759, 0.876684, 57.0219, 55966.908784, 13.8577, 12.7653, 14.7102, 15.5591, -0.10698, 0.961357, 56.8923, 55966.922784, 13.8379, 12.7857, 14.6999, 15.6056, -0.0643447, 0.970135, 56.9292, 55967.446784, 14.0163, 12.7653, 14.6079, 15.5824, -0.121374, 0.89746, 56.9719, 55967.446784, 14.0163, 12.7653, 14.6079, 15.5824, -0.121374, 0.89746, 56.9719, 55968.460784, 14.0461, 12.9388, 14.3933, 15.5126, 0.00531375, 0.770178, 56.8908, 55968.465784, 14.1055, 12.949, 14.4239, 15.594, 0.0059098, 0.778851, 57.0724, 55969.279784, 14.0461, 12.8265, 14.6999, 15.5707, -0.152567, 0.891992, 57.1433
55969.395, 55970.51159440299, 55970.52822755799, 55971.528158621986, 55971.54479430701, 55971.961421094, 55971.97812956799, 55972.97800901501, 55972.99469753399, 55973.71124815499, 2.7003775633452127, -0.11464605743209874, 0.9422511358024692, 3.0902296152654736, -0.1616256014705882, 0.8274532205882352, 1.116488405923234, -0.14362365666666668, 0.7805934666666665, 2.6185528747623192, -0.2349959594594595, 0.8102109999999995, 2.127849114729227, -0.1805030185185185, 0.6295359444444446, 55969.298784, 14.0956, 12.8163, 14.6693, 15.6637, -0.124408, 0.896417, 57.2449, 55970.423784, 13.9668, 12.8163, 14.5875, 15.5591, -0.0785202, 0.886232, 56.9297, 55970.428784, 14.0163, 12.7755, 14.6079, 15.594, -0.111753, 0.89749, 56.9938, 55971.429784, 14.0956, 12.8673, 14.6284, 15.5359, -0.140379, 0.840569, 57.1272, 55971.461784, 14.165, 12.9388, 14.5875, 15.594, -0.0959009, 0.805884, 57.2853, 55971.864784000005, 14.2443, 12.8571, 14.5057, 15.4197, -0.207445, 0.742793, 57.0269, 55971.883784000005, 14.165, 12.898, 14.5568, 15.3848, -0.192553, 0.757484, 57.0046, 55972.882784, 14.1749, 12.7143, 14.6897, 15.4662, -0.299849, 0.85897, 57.0451, 55972.904784, 14.165, 12.7551, 14.659, 15.3151, -0.331251, 0.805188, 56.8943, 55973.614784000005, 14.3137, 13.1429, 14.3013, 15.0827, -0.171271, 0.508634, 56.8405
55973.729, 55975.14554989202, 55975.162219471014, 55975.96213900101, 55975.97879009302, 55976.495424417, 55976.51198604401, 55977.511963412, 55977.52871772301, 55978.311876145024, 3.488942023956949, -0.28146654166666685, 0.42791360416666663, 2.030654499128358, -0.24991680357142862, 0.45942969642857145, 1.4410608683250488, -0.20946954594594605, 0.5734726486486487, 2.536639760631331, -0.046771570000000005, 0.73180725, 2.2342198564851308, 0.01814395511864407, 0.5320757966101693, 55973.647784, 14.3831, 13.1429, 14.3013, 15.1292, -0.180975, 0.50157, 56.9564, 55975.049784, 14.6012, 13.1122, 14.3319, 15.0595, -0.333329, 0.440766, 57.1048, 55975.063784000005, 14.5913, 13.0918, 14.291, 15.0014, -0.346239, 0.423687, 56.9755, 55975.862784000004, 14.3732, 12.9898, 14.3115, 15.2221, -0.20771, 0.572264, 56.8966, 55975.885784, 14.393, 13.0408, 14.3626, 15.2919, -0.185202, 0.583477, 57.0883, 55976.413784000004, 14.284, 13.1531, 14.3013, 15.35, -0.0359982, 0.581784, 57.0883, 55976.413784000004, 14.284, 13.1531, 14.3013, 15.35, -0.0359982, 0.581784, 57.0883, 55977.425784, 14.1551, 12.9898, 14.4137, 15.5359, -0.0188872, 0.736856, 57.0945, 55977.428784, 14.2047, 13.0204, 14.3319, 15.501, -0.00664443, 0.685585, 57.058, 55978.225784, 14.3831, 13.1531, 14.3013, 15.3616, -0.0741735, 0.557712, 57.199
55978.329, 55979.545553971024, 55979.562207387, 55980.762119020015, 55980.778791031014, 55981.195400393015, 55981.212067082, 55982.21197220401, 55982.22880519202, 55983.24517418802, 3.634169814593757, -0.16639311249999997, 0.5211208977272727, 3.2501909147340604, -0.1850104162790698, 0.6121028139534883, 0.8879724116381549, -0.2268690357142857, 0.7918372142857144, 3.051391310149294, -0.22235773239436618, 0.8425929577464789, 2.8260311993476503, -0.24875853333333328, 0.8192912533333331, 55978.250784, 14.3137, 13.2143, 14.3115, 15.3035, -0.0469938, 0.547832, 57.143, 55979.457784, 14.3633, 13.051, 14.3933, 15.2686, -0.191359, 0.590687, 57.0762, 55979.465784, 14.2344, 13.051, 14.3524, 15.3267, -0.0917375, 0.630307, 56.9645, 55980.669784000005, 14.2146, 12.898, 14.5057, 15.3964, -0.186744, 0.73392, 57.0147, 55980.683784, 14.2542, 12.9082, 14.5057, 15.3732, -0.20975, 0.714356, 57.0413, 55981.101784, 14.0758, 12.7347, 14.5466, 15.5243, -0.159739, 0.859782, 56.8814, 55981.120784, 14.0956, 12.7755, 14.5262, 15.4197, -0.187704, 0.81174, 56.817, 55982.118784, 14.0362, 12.7143, 14.7306, 15.6521, -0.175199, 0.953629, 57.1331, 55982.131784000005, 14.0163, 12.7245, 14.6999, 15.5359, -0.200035, 0.920116, 56.9766, 55983.150784000005, 14.1551, 12.7551, 14.6999, 15.4894, -0.267313, 0.861427, 57.0996
55983.262, 55984.778537321006, 55984.79522083099, 55985.59513260801, 55985.61178593199, 55986.128399842, 55986.145067487014, 55987.14496496301, 55987.161715687995, 55988.31151794801, 4.229457228944373, -0.4039727727272726, 0.8786564454545456, 2.126495002595078, -0.42745814285714306, 0.7595110952380953, 1.587266700670229, -0.45226953846153845, 0.7087865897435899, 2.8460855562878895, -0.4262155890410959, 0.6291449863013696, 3.1253401949117987, -0.4012273373493975, 0.5207400240963854, 55983.168784, 14.1055, 12.6531, 14.6795, 15.4313, -0.308016, 0.884185, 56.8694, 55984.688784000005, 14.3137, 12.8673, 14.5773, 15.257, -0.336148, 0.698029, 57.0153, 55984.707784, 14.3038, 12.7857, 14.5568, 15.2338, -0.369696, 0.712311, 56.8801, 55985.495784, 14.3335, 12.7347, 14.7511, 15.3035, -0.457962, 0.784183, 57.1228, 55985.520784, 14.3434, 12.7347, 14.659, 15.257, -0.443374, 0.746899, 56.9942, 55986.037784, 14.4921, 12.7653, 14.6386, 15.2338, -0.495215, 0.686578, 57.1298, 55986.056784, 14.4822, 12.8265, 14.6386, 15.2105, -0.474022, 0.666677, 57.1579, 55987.057784000004, 14.4525, 12.9082, 14.5159, 15.1524, -0.397967, 0.606986, 57.029, 55987.064784, 14.4525, 12.8673, 14.5364, 15.1408, -0.430156, 0.620391, 56.997, 55988.212784, 14.5417, 13.0306, 14.3319, 15.0827, -0.333543, 0.484934, 56.9869
