a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
46203.887, 46204.903663600024, 46204.92018172202, 46205.720005769006, 46205.73666531702, 46206.35347139802, 46206.386841553016, 46207.38654208601, 46207.431593903006, 46208.353130191, 2.2094831184967654, 1.0410152647058821, 1.0221421911764708, 2.0308488304657017, 1.123239517857143, 0.8577826249999999, 1.1977391961964372, 1.252299090909091, 0.9568288863636365, 2.4046845689152847, 0.9311651805555555, 1.268173930555556, 2.248303653581003, 0.7832853582089547, 1.4261494029850745, 46203.801583, 16.3762, 17.4359, 18.9584, 20.8729, 1.00965, 1.22601, 73.6434, 46204.805583, 17, 17.9022, 18.5893, 20.4754, 0.942436, 0.844123, 73.9669, 46204.832582999996, 16.8911, 17.8312, 18.6303, 20.4856, 0.946489, 0.892537, 73.8382, 46205.631583, 16.9406, 18.2469, 18.2099, 20.4245, 1.19235, 0.70038, 73.8218, 46205.647583, 16.8614, 18.2367, 18.2099, 20.4245, 1.21721, 0.719406, 73.7325, 46206.261583, 16.0297, 17.446, 19.1019, 21.301, 1.22341, 1.40646, 73.8786, 46206.287583, 16, 17.4562, 19.1019, 21.2704, 1.22738, 1.40518, 73.8285, 46207.296582999996, 16.2871, 16.634, 19.7684, 21.1073, 0.571081, 1.61686, 73.7968, 46207.332582999996, 16.1881, 16.634, 19.7992, 21.2296, 0.635168, 1.66687, 73.8509, 46208.253583, 16.6238, 17.6691, 18.8148, 20.7812, 1.01897, 1.07659, 73.8888
46208.381, 46209.897832583, 46209.914197526006, 46210.914259527, 46210.930972971, 46211.54764613501, 46211.56424814001, 46211.964283963, 46211.98124459902, 46213.047422851996, 3.1246976327982017, 1.1655548076923083, 0.8456775576923079, 2.1739528040466127, 1.25122987012987, 0.923155571428571, 1.319981556536526, 1.358020638297872, 1.1000803404255315, 0.918793425201963, 1.2341266666666664, 0.9275686666666666, 2.0236310273984204, 1.1117772, 1.2056466666666668, 46208.281582999996, 16.6337, 17.6691, 18.7328, 20.6996, 1.0179, 1.04355, 73.7352, 46209.800583, 16.5347, 18.186, 18.3329, 20.7302, 1.3718, 0.882806, 73.7838, 46209.827583, 16.5941, 18.1252, 18.3329, 20.6793, 1.31473, 0.873352, 73.7315, 46210.827583, 16.4653, 17.9326, 18.497, 20.8118, 1.2828, 0.999388, 73.7067, 46210.836583, 16.4653, 17.9225, 18.497, 20.8118, 1.27954, 1.00159, 73.6966, 46211.450583, 16.4059, 18.1354, 18.3534, 20.8321, 1.42693, 0.944894, 73.7269, 46211.482583, 16.4059, 18.1658, 18.4355, 20.7506, 1.3812, 0.938412, 73.7578, 46211.877583, 16.5149, 17.6589, 18.7841, 20.8423, 1.08479, 1.10826, 73.8002, 46211.883582999995, 16.4851, 17.6893, 18.7533, 20.7914, 1.09952, 1.0927, 73.7192, 46212.949583, 16.3267, 17.6488, 18.8866, 20.8933, 1.1283, 1.18047, 73.7554
46213.062, 46214.37861691799, 46214.395329957006, 46215.39520392901, 46215.41183997399, 46215.928485339005, 46215.94515704401, 46216.94500224399, 46216.96184495801, 46217.84485530698, 2.7171332174646268, 1.0857586086956519, 1.2251757608695655, 2.092295566206824, 1.2813732394366195, 1.2649283098591546, 1.2329749365424445, 0.9443106756756757, 1.4146110810810815, 1.936092291525621, 1.2342201428571427, 1.5686987142857143, 1.7280675219648038, 1.2715056507936517, 1.6266912698412697, 46212.970583, 16.3267, 17.6285, 18.8866, 20.8933, 1.12173, 1.18491, 73.7351, 46214.281582999996, 16.2871, 17.5373, 18.9584, 20.9442, 1.09729, 1.23663, 73.727, 46214.299583, 16.2673, 17.5778, 18.9379, 21.0258, 1.15108, 1.24345, 73.8088, 46215.301583, 16.0693, 17.5271, 19.0814, 21.1685, 1.20008, 1.35148, 73.8463, 46215.319583, 16.099, 17.4764, 19.1122, 21.1481, 1.15572, 1.35804, 73.8357, 46215.832582999996, 16, 17.1723, 19.3275, 21.1379, 1.01263, 1.4856, 73.6377, 46215.851582999996, 16, 17.2129, 19.2967, 21.1379, 1.0367, 1.47087, 73.6475, 46216.862583, 15.4554, 17.1723, 19.5326, 21.6067, 1.2848, 1.73075, 73.7671, 46216.862583, 15.4554, 17.1723, 19.5326, 21.6067, 1.2848, 1.73075, 73.7671, 46217.753583, 15.8416, 16.9187, 19.6043, 21.3112, 0.944641, 1.66037, 73.6757
46217.86, 46219.276716848006, 46219.29324185899, 46220.69307871199, 46220.70981241802, 46221.32654312502, 46221.343027206996, 46222.342948997, 46222.35953600799, 46223.55953933099, 2.7872361986452896, 1.1001274901960787, 1.6590288235294113, 2.9383452351274877, 1.2965218627450985, 1.8007983333333328, 1.4686760597031117, 1.2520626086956517, 1.3521893478260871, 2.247354493155019, 1.1472830882352938, 1.1619745588235288, 2.5447637850587035, 1.1029265487804885, 1.3014034146341464, 46217.780583, 15.8614, 16.8983, 19.6043, 21.4436, 0.974235, 1.68443, 73.8077, 46219.179583, 15.4653, 16.8983, 19.7479, 21.7494, 1.16249, 1.85489, 73.861, 46219.203582999995, 15.5149, 16.9187, 19.7171, 21.7698, 1.16898, 1.83712, 73.9204, 46220.600583, 15.7921, 17.446, 19.2557, 21.4742, 1.30883, 1.51927, 73.9681, 46220.617583, 15.7822, 17.4258, 19.266, 21.3723, 1.2695, 1.50929, 73.8462, 46221.238583, 16.0693, 17.5981, 18.9481, 21.1685, 1.2703, 1.3111, 73.784, 46221.244583, 16.0198, 17.5981, 18.9789, 21.0971, 1.25401, 1.31451, 73.6939, 46222.265583, 16.4851, 17.6285, 18.8661, 20.8016, 1.04322, 1.12915, 73.7813, 46222.265583, 16.4851, 17.6285, 18.8661, 20.8016, 1.04322, 1.12915, 73.7813, 46223.478583, 16.2376, 17.4663, 19.1429, 21.0054, 1.04639, 1.30891, 73.8523
46223.577, 46224.79374634999, 46224.810240156985, 46225.81021462699, 46225.826815416985, 46226.34367474498, 46226.360140185985, 46227.960003055, 46227.97687170399, 46228.693227813004, 2.593297572253881, 1.1493112195121955, 1.2207578170731705, 2.242262111455871, 1.2308327272727275, 0.9158014848484848, 1.2891506895453109, 1.3204394594594593, 0.9324879459459462, 5.31717946405793, 1.143742869565218, 1.697836608695653, 1.7353330806585998, 1.6532916326530613, 1.4442742857142858, 46223.478583, 16.2376, 17.4663, 19.1429, 21.0054, 1.04639, 1.30891, 73.8523, 46224.703582999995, 16.6238, 17.9225, 18.5175, 20.6181, 1.15338, 0.934292, 73.6818, 46224.723583, 16.604, 17.9326, 18.5483, 20.5977, 1.14618, 0.938364, 73.6825, 46225.720583, 16.2772, 18.1252, 18.4252, 20.771, 1.42454, 0.977005, 73.5986, 46225.739582999995, 16.2475, 18.0745, 18.4765, 20.8118, 1.41362, 1.01198, 73.6103, 46226.251583, 16.4257, 17.8515, 18.6098, 20.8016, 1.22731, 1.04509, 73.6886, 46226.275582999995, 16.3663, 17.8008, 18.6713, 20.8118, 1.21349, 1.08266, 73.6502, 46227.866582999995, 15.2574, 17.2332, 19.4505, 21.8819, 1.49245, 1.79657, 73.823, 46227.894583, 15.1683, 17.3751, 19.43, 21.8207, 1.55753, 1.76993, 73.7942, 46228.618582999996, 15.6733, 17.8718, 19.1019, 21.3825, 1.5126, 1.40607, 74.0295
46228.71, 46229.726890531, 46229.74326601101, 46231.343267469994, 46231.359813147, 46231.776501629014, 46231.793119438, 46232.79300556699, 46232.809777769995, 46233.69289510101, 2.1099957622336665, 1.3022653623188407, 1.6142431884057973, 3.5830908083050366, 1.4275178703703701, 1.749181666666667, 0.9008563548804897, 1.443739, 2.0980856666666665, 1.9296847156842853, 1.4754798648648648, 2.3647060810810814, 1.7650228693233858, 1.4230238333333334, 2.1332398333333336, 46228.618582999996, 15.6733, 17.8718, 19.1019, 21.3825, 1.5126, 1.40607, 74.0295, 46229.635582999996, 15.1485, 17.1014, 19.7889, 21.7494, 1.32587, 1.88819, 73.7882, 46229.654582999996, 15.1089, 17.0507, 19.8094, 21.8615, 1.35238, 1.9324, 73.8305, 46231.251583, 15.0693, 17.1825, 19.7274, 21.9125, 1.45424, 1.90578, 73.8916, 46231.269583, 14.9604, 17.0811, 19.7684, 21.9329, 1.45274, 1.96489, 73.7427, 46231.679583, 14.7129, 16.7255, 20.0452, 22.3507, 1.46209, 2.22612, 73.8343, 46231.697583, 14.6733, 16.7661, 20.158, 22.2998, 1.43261, 2.23656, 73.8972, 46232.714583, 14.5248, 16.7763, 20.1375, 22.4017, 1.52888, 2.28292, 73.8403, 46232.714583, 14.5248, 16.7763, 20.1375, 22.4017, 1.52888, 2.28292, 73.8403, 46233.602583, 15, 16.939, 19.9017, 21.8921, 1.33231, 2.00483, 73.7328
46233.709, 46234.825665058976, 46234.84228813599, 46236.125732652, 46236.14225036799, 46236.758814523986, 46236.77535128698, 46238.175447894, 46238.192286960984, 46239.075181412976, 2.6039207964687265, 1.31156843373494, 2.4056137349397595, 3.328687656235445, 1.5933426595744689, 2.609517978723405, 1.3989292016920856, 1.6288785416666658, 1.9972170833333334, 2.9710082773182487, 1.16987432038835, 1.9895616504854374, 1.967790395459012, 1.1498873333333333, 2.2890611666666674, 46233.611583, 15.0693, 17, 19.8812, 21.9329, 1.34752, 1.9784, 73.8833, 46234.729583, 13.7228, 15.8104, 21.1321, 23.1661, 1.39562, 2.99974, 73.8313, 46234.742583, 13.6931, 15.7291, 21.2244, 23.1763, 1.3505, 3.04347, 73.8228, 46236.030583, 14.5347, 17.2027, 19.8504, 22.2488, 1.71543, 2.10502, 73.8366, 46236.053583, 14.5248, 17.1216, 19.8402, 22.259, 1.70034, 2.12611, 73.7456, 46236.666583, 14.9802, 17.3548, 19.6556, 21.8819, 1.55703, 1.86859, 73.8725, 46236.680583, 14.9802, 17.3548, 19.6556, 21.8819, 1.55703, 1.86859, 73.8725, 46238.087583, 14.9802, 16.1866, 20.5682, 22.2488, 0.975567, 2.36204, 73.9838, 46238.096583, 14.9703, 16.1968, 20.6092, 22.2284, 0.961331, 2.3655, 74.0047, 46238.978583, 14.7921, 16.451, 20.3016, 22.2692, 1.22826, 2.30195, 73.8138
46239.093, 46240.409830475, 46240.42628578601, 46241.626257095, 46241.643015115005, 46242.15959645299, 46242.176142941, 46243.17609998599, 46243.19292486899, 46244.125981130994, 2.7599546997571087, 1.2458912500000006, 2.152858636363636, 2.4359778091165065, 1.1769832467532464, 2.2810296103896097, 1.184989238769144, 1.0462608333333332, 2.630222222222222, 2.288197792189797, 1.147171913043478, 2.6416755072463767, 2.1110277150766343, 1.0431774558823523, 2.744142500000001, 46238.997583, 14.802, 16.5018, 20.3016, 22.2182, 1.2247, 2.27895, 73.8236, 46240.314583, 15.0693, 16.5831, 20.1375, 21.9736, 1.13536, 2.1268, 73.7636, 46240.346583, 15.099, 16.6035, 20.1785, 22.0144, 1.13008, 2.12945, 73.8954, 46241.533583, 14.297, 15.7494, 21.0193, 22.8297, 1.10386, 2.80178, 73.8955, 46241.561582999995, 14.2673, 15.7087, 21.0706, 22.7788, 1.06657, 2.8188, 73.8254, 46242.071583, 14.4158, 15.8917, 20.804, 22.6157, 1.11479, 2.66769, 73.7273, 46242.090583, 14.4158, 15.9019, 20.8142, 22.7074, 1.14413, 2.68229, 73.8394, 46243.079583, 14.6139, 15.8511, 20.9168, 22.5036, 0.955552, 2.63018, 73.8853, 46243.104583, 14.6634, 15.9324, 20.8142, 22.524, 1.00725, 2.58523, 73.934, 46244.036583, 14.4554, 15.8816, 20.804, 22.5851, 1.08757, 2.65552, 73.7261
46244.142, 46245.65859309, 46245.67527735799, 46246.075219975995, 46246.091909107, 46246.60848477099, 46246.625297497994, 46247.62503774299, 46247.64186992098, 46248.57495130698, 3.493047047428449, 1.2225979245283014, 2.845565660377357, 0.9539009455231278, 1.2576273076923077, 2.867776923076924, 1.1930818833028727, 1.2534272727272728, 2.6084336363636362, 1.8260392362200453, 1.3170563768115942, 2.823104057971014, 2.1941975706143935, 1.5021484374999996, 3.4834089062500007, 46244.042583, 14.4554, 15.8816, 20.804, 22.5851, 1.08757, 2.65552, 73.7261, 46245.561582999995, 13.9604, 15.6477, 21.0808, 23.0845, 1.2508, 2.95985, 73.7735, 46245.581583, 13.8911, 15.6782, 21.0603, 23.0234, 1.27293, 2.95596, 73.653, 46245.986583, 14.3069, 15.9019, 20.7937, 22.8195, 1.22619, 2.72366, 73.8221, 46246.004583, 14.1782, 15.9528, 20.7937, 22.7686, 1.27196, 2.7339, 73.6933, 46246.508582999995, 14.5644, 16.2374, 20.5066, 22.5953, 1.27252, 2.49652, 73.9038, 46246.526583, 14.4851, 16.1561, 20.5066, 22.5546, 1.26145, 2.52772, 73.7024, 46247.533583, 13.7921, 15.7189, 21.1321, 23.1763, 1.34484, 3.00681, 73.8193, 46247.549583, 13.7327, 15.6782, 21.1423, 23.1151, 1.32972, 3.02298, 73.6684, 46248.483583, 12.7921, 15.3325, 21.3782, 24.2668, 1.83988, 3.56251, 73.7696
46248.592, 46250.008674704, 46250.02531844799, 46251.025266173, 46251.04185277898, 46251.658694114994, 46251.67512673197, 46252.67504244399, 46252.691777364984, 46253.59159476699, 4.03315177877658, 1.1586800612244899, 3.4635024489795914, 2.2424837134747593, 1.0790450270270269, 3.5638163513513494, 1.3945393835925255, 0.9450816818181813, 3.180462045454546, 2.024345741991826, 0.858381972972973, 2.6946990540540545, 1.8485001610376863, 1.165064274193548, 2.9727503225806453, 46248.510582999996, 12.7921, 15.3325, 21.3166, 24.2974, 1.87187, 3.55771, 73.7386, 46249.912583, 13.2871, 14.7632, 22.0959, 23.6247, 1.0183, 3.59294, 73.7709, 46249.931583, 13.3564, 14.8953, 22.0241, 23.5737, 1.04554, 3.52326, 73.8496, 46250.939583, 13.4653, 15.0072, 21.8703, 23.4412, 1.05468, 3.42331, 73.7841, 46250.953582999995, 13.4653, 14.9767, 21.8601, 23.4412, 1.0484, 3.42932, 73.7433, 46251.562583, 14.3366, 15.5664, 21.1731, 22.6565, 0.919923, 2.83319, 73.7326, 46251.575583, 14.3861, 15.5156, 21.2346, 22.6565, 0.864336, 2.84365, 73.7928, 46252.583583, 14.4554, 15.6884, 21.0296, 22.5546, 0.935179, 2.73443, 73.728, 46252.602583, 14.4356, 15.6274, 21.0193, 22.687, 0.969067, 2.77418, 73.7694, 46253.509583, 14.0495, 15.8714, 20.927, 22.8705, 1.27695, 2.82357, 73.7184
