a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
45316.204, 45317.62057872198, 45317.637253013, 45318.63714313699, 45318.65380050399, 45319.07044481498, 45319.08709965498, 45320.486961786984, 45320.503717877, 45321.23688103899, 4.504206838302911, 0.2904234579439251, 1.6737930841121493, 3.075311341479916, 0.2662966623376623, 1.6976742857142857, 0.7890939226446566, 0.24389749999999993, 1.581381176470588, 3.942401740012083, 0.2174550094339622, 1.3622194339622644, 2.3631949964864405, 0.33531352941176484, 1.7802562745098047, 45316.1122835, 12.0511, 12.6224, 15.0566, 14.9665, 0.219968, 1.46704, 54.6966, 45317.528283499996, 11.9425, 12.2959, 15.1179, 15.3151, 0.251788, 1.6996, 54.6714, 45317.543283499996, 11.9128, 12.2755, 15.1486, 15.2221, 0.199875, 1.69974, 54.5591, 45318.5492835, 11.982, 12.398, 15.0156, 15.3151, 0.326917, 1.63153, 54.7107, 45318.5662835, 12.0116, 12.4388, 15.0259, 15.3151, 0.326872, 1.61264, 54.7914, 45318.975283499996, 12.1598, 12.449, 14.9747, 15.0943, 0.186908, 1.49794, 54.6778, 45318.9892835, 12.1302, 12.4898, 14.9236, 15.0711, 0.232142, 1.47618, 54.6146, 45320.414283499995, 11.7548, 11.949, 15.2816, 15.6521, 0.258374, 1.98488, 54.6374, 45320.414283499995, 11.7548, 11.949, 15.2816, 15.6521, 0.258374, 1.98488, 54.6374, 45321.1462835, 12.2289, 12.7347, 14.7088, 14.9665, 0.349328, 1.29349, 54.6389
45321.253, 45322.669580748014, 45322.686238983995, 45323.68613371899, 45323.702786281996, 45324.319387507014, 45324.33605523899, 45325.33595051299, 45325.35284260701, 45326.835809587996, 4.0315171795908995, 0.31198704761904755, 1.5344860000000005, 3.015706592036819, 0.351975922077922, 1.3517983116883123, 1.8871667047754013, 0.33847360000000004, 1.3028044444444449, 2.8127353981551537, 0.2965746883116883, 1.031390207792208, 3.8199041148249324, 0.2975963418803419, 1.048610803418803, 45321.1652835, 12.2191, 12.6939, 14.6679, 14.92, 0.33347, 1.28667, 54.5008, 45322.5802835, 12.14, 12.5816, 14.7702, 15.257, 0.423956, 1.45359, 54.7488, 45322.594283499995, 12.1302, 12.5918, 14.7497, 15.2105, 0.421759, 1.43691, 54.6822, 45323.596283499995, 12.2289, 12.7143, 14.6679, 15.0943, 0.41669, 1.32134, 54.7054, 45323.6202835, 12.2388, 12.6633, 14.6883, 15.0014, 0.337729, 1.31548, 54.5918, 45324.2222835, 12.2487, 12.6939, 14.6474, 14.9316, 0.334463, 1.27559, 54.5216, 45324.2392835, 12.308, 12.7245, 14.6065, 14.92, 0.334525, 1.23556, 54.559, 45325.242283499996, 12.5648, 13.0408, 14.3508, 14.5366, 0.303623, 0.90335, 54.493, 45325.2562835, 12.5845, 13.0204, 14.3406, 14.5482, 0.295216, 0.903899, 54.4937, 45326.740283499996, 12.4166, 12.6939, 14.5247, 15.0014, 0.344986, 1.21225, 54.6365
45326.853, 45328.369531456, 45328.386178596, 45329.386096083006, 45329.402755168005, 45329.91936537402, 45329.93602432401, 45330.93593760402, 45330.95264404302, 45332.185816275014, 4.622460394004717, 0.3355440178571428, 1.2064636607142858, 2.979722327196871, 0.3505282105263157, 1.0512930394736837, 1.1859830964265243, 0.32322024324324333, 1.1474464864864864, 2.3679363482185325, 0.33953696296296293, 1.0258092962962966, 3.6395917302037843, 0.33818342708333327, 1.1284923333333339, 45326.7542835, 12.3771, 12.6531, 14.5963, 14.9433, 0.285393, 1.23953, 54.5697, 45328.278283499996, 12.4956, 12.9388, 14.361, 14.8387, 0.421351, 1.03377, 54.6341, 45328.293283499996, 12.4956, 12.9388, 14.361, 14.8387, 0.421351, 1.03377, 54.6341, 45329.2862835, 12.4759, 12.898, 14.3815, 14.6876, 0.334403, 1.01811, 54.4429, 45329.3182835, 12.5253, 12.8571, 14.4838, 14.8038, 0.298125, 1.07147, 54.67, 45329.823283499994, 12.4858, 12.8571, 14.4735, 14.9433, 0.384003, 1.11593, 54.7597, 45329.8602835, 12.4759, 12.9184, 14.4122, 14.8619, 0.408033, 1.06455, 54.6683, 45330.8452835, 12.6142, 13.0204, 14.3712, 14.676, 0.325063, 0.936143, 54.6818, 45330.863283499995, 12.6142, 13.0204, 14.3712, 14.676, 0.325063, 0.936143, 54.6818, 45332.0912835, 12.2981, 12.6735, 14.5554, 15.1176, 0.428954, 1.29053, 54.6445
45332.203, 45333.319578263, 45333.336265443, 45333.73622255399, 45333.752766301994, 45334.369482575006, 45334.38614115799, 45335.386049884015, 45335.40294375299, 45336.235971965005, 2.8004443470881837, 0.3573314941176471, 1.2128342352941173, 1.1318965605045914, 0.3809244193548387, 1.15803, 1.6885359433405256, 0.3419064999999999, 1.1137126086956524, 3.2667811010001753, 0.3624810759493669, 1.3230953164556964, 2.5474841929724805, 0.4580809253731343, 1.496684029850747, 45332.111283499995, 12.3178, 12.7551, 14.586, 15.1059, 0.436947, 1.26515, 54.7649, 45333.2222835, 12.3771, 12.7959, 14.5554, 14.9665, 0.37936, 1.19266, 54.6949, 45333.242283499996, 12.3376, 12.7653, 14.6065, 14.9781, 0.365415, 1.22927, 54.6875, 45333.6572835, 12.3672, 12.8265, 14.4838, 14.8619, 0.383884, 1.14191, 54.5394, 45333.6572835, 12.3672, 12.8265, 14.4838, 14.8619, 0.383884, 1.14191, 54.5394, 45334.2942835, 12.3574, 12.6837, 14.6065, 14.8852, 0.277352, 1.22421, 54.5327, 45334.2942835, 12.3574, 12.6837, 14.6065, 14.8852, 0.277352, 1.22421, 54.5327, 45335.2962835, 12.0413, 12.2959, 14.7497, 15.4197, 0.424099, 1.605, 54.5066, 45335.308283499995, 12.0709, 12.2653, 14.8315, 15.4778, 0.384605, 1.6396, 54.6455, 45336.1582835, 12.3277, 12.7551, 14.494, 15.1059, 0.475174, 1.23909, 54.6827
45336.252, 45337.56855472401, 45337.585221045, 45339.185060218, 45339.201717122014, 45339.718347493, 45339.734992009, 45340.73493437, 45340.75172008, 45341.801462878, 3.6855290067641393, 0.3899033627450981, 1.3020638235294117, 4.843455470921102, 0.37414983050847456, 1.0910955508474578, 1.731079074334983, 0.3522167872340426, 0.9342408085106382, 3.2628978699203044, 0.3361175915492957, 0.9461613521126762, 2.728245745589139, 0.4202607083333333, 1.2673713888888891, 45336.1582835, 12.3277, 12.7551, 14.494, 15.1059, 0.475174, 1.23909, 54.6827, 45337.4722835, 12.4265, 12.7755, 14.5042, 14.9781, 0.376219, 1.1741, 54.6843, 45337.4952835, 12.4265, 12.7143, 14.5042, 15.0246, 0.369576, 1.20397, 54.6696, 45339.1022835, 12.5253, 13.1122, 14.2996, 14.6063, 0.409591, 0.898846, 54.5434, 45339.1022835, 12.5253, 13.1122, 14.2996, 14.6063, 0.409591, 0.898846, 54.5434, 45339.6222835, 12.6241, 12.9898, 14.3303, 14.6295, 0.30461, 0.919674, 54.5737, 45339.6352835, 12.5944, 13.0306, 14.3201, 14.676, 0.362542, 0.925759, 54.6211, 45340.6442835, 12.4858, 12.9184, 14.3201, 14.7922, 0.414881, 1.02029, 54.5164, 45340.653283499996, 12.4759, 12.8571, 14.3099, 14.7922, 0.396615, 1.03859, 54.4351, 45341.719283499995, 12.2092, 12.5816, 14.6986, 15.0827, 0.346607, 1.3717, 54.5721
45341.819, 45342.835555867016, 45342.85223405603, 45343.85214444103, 45343.86880429801, 45344.48540301503, 45344.50208707001, 45345.901946771, 45345.91874778301, 45346.635180887024, 3.2520943127908164, 0.3879463, 1.2088822499999998, 2.9705580505014666, 0.35063583333333337, 1.1018784166666666, 2.0167484792702166, 0.3414500192307691, 1.0264258076923076, 3.7519766286211627, 0.32846415533980566, 0.8852174466019415, 2.0450829213509207, 0.3534496666666667, 1.0732818431372548, 45341.719283499995, 12.2092, 12.5816, 14.6986, 15.0827, 0.346607, 1.3717, 54.5721, 45342.742283499996, 12.466, 12.9184, 14.361, 14.8154, 0.415495, 1.04253, 54.5608, 45342.755283499995, 12.4561, 12.949, 14.3201, 14.7341, 0.416303, 1.00509, 54.4593, 45343.757283499996, 12.3771, 12.9286, 14.4633, 14.7109, 0.366664, 1.06511, 54.4798, 45343.7752835, 12.5055, 12.898, 14.4531, 14.6644, 0.276849, 1.0218, 54.5209, 45344.3942835, 12.4956, 12.9898, 14.4019, 14.6876, 0.35724, 0.990597, 54.575, 45344.4062835, 12.5845, 13, 14.2996, 14.6528, 0.35232, 0.926306, 54.537, 45345.808283499995, 12.387, 12.7551, 14.6065, 14.9665, 0.332689, 1.21473, 54.7151, 45345.8282835, 12.3574, 12.6837, 14.6065, 14.8387, 0.256264, 1.21246, 54.4862, 45346.539283499995, 12.5549, 13.102, 14.269, 14.6295, 0.415957, 0.891259, 54.5554
45346.652, 45347.868615015, 45347.88527359799, 45348.885143982014, 45348.90184156402, 45349.51846033, 45349.535088770994, 45350.335014473996, 45350.35192389699, 45351.534900125, 3.4221008973194738, 0.3300266153846155, 0.9097791538461538, 3.168167018875207, 0.33619975714285694, 0.9115792285714287, 1.7275576048391468, 0.30935108510638304, 0.7280577021276595, 2.3109748571149797, 0.3343933965517242, 0.5705243103448275, 3.1632643927961976, 0.27151949411764714, 0.4977614941176471, 45346.5652835, 12.545, 13.0816, 14.3406, 14.6295, 0.378034, 0.918576, 54.5967, 45347.7882835, 12.5648, 13.0714, 14.3712, 14.5366, 0.307995, 0.899713, 54.544, 45347.7882835, 12.5648, 13.0714, 14.3712, 14.5366, 0.307995, 0.899713, 54.544, 45348.7992835, 12.6438, 13.0816, 14.2485, 14.4901, 0.31186, 0.829852, 54.464, 45348.812283499996, 12.6636, 13.102, 14.2894, 14.5366, 0.313982, 0.84089, 54.5916, 45349.4192835, 12.792, 13.3061, 14.136, 14.3506, 0.333798, 0.656372, 54.5847, 45349.446283499994, 12.7821, 13.2755, 14.1155, 14.2577, 0.291917, 0.63813, 54.4308, 45350.2462835, 12.9303, 13.4898, 13.9621, 13.9672, 0.259715, 0.416533, 54.3494, 45350.2542835, 13.0192, 13.4898, 13.9928, 14.0021, 0.22012, 0.408924, 54.5038, 45351.4602835, 12.792, 13.3367, 14.1258, 14.1531, 0.262883, 0.592788, 54.4076
45351.552, 45352.768578177005, 45352.78524969001, 45353.78515764399, 45353.801810554, 45354.418411703, 45354.435079238996, 45355.234992901016, 45355.25167508401, 45356.984817733995, 3.444943307466714, 0.2669231333333333, 0.5804274222222223, 2.9484235212176197, 0.2751141012658227, 0.2362825329113924, 2.040612772794709, 0.24292493181818184, 0.28512265909090906, 2.3377749377388595, 0.22875801694915257, 0.2692035084745763, 4.666326947511847, 0.28955611450381674, 0.6355233740458011, 45351.4602835, 12.792, 13.3367, 14.1258, 14.1531, 0.262883, 0.592788, 54.4076, 45352.685283499995, 12.8908, 13.4388, 14.0337, 14.1531, 0.306067, 0.511022, 54.5163, 45352.685283499995, 12.8908, 13.4388, 14.0337, 14.1531, 0.306067, 0.511022, 54.5163, 45353.685283499995, 13.118, 13.7041, 13.8905, 13.8626, 0.255722, 0.255904, 54.5751, 45353.7072835, 13.1476, 13.6735, 13.9416, 13.8626, 0.204509, 0.269982, 54.6253, 45354.3302835, 13.0686, 13.7449, 13.7371, 13.7116, 0.29985, 0.175579, 54.2621, 45354.348283499996, 13.1081, 13.7551, 13.8189, 13.7813, 0.279731, 0.202977, 54.4633, 45355.1422835, 12.871, 13.3367, 14.2485, 14.1763, 0.180104, 0.608731, 54.6326, 45355.1562835, 12.8611, 13.3163, 14.2996, 14.2344, 0.178212, 0.646108, 54.7115, 45356.8852835, 12.792, 13.2653, 14.1258, 14.3158, 0.304303, 0.656231, 54.4988
45357.001, 45358.11756415602, 45358.13421434601, 45359.134145051015, 45359.150774090005, 45359.567459852005, 45359.584099176, 45359.984049649014, 45360.000916772995, 45361.050617736015, 3.088651792745842, 0.326085525, 0.8569395874999998, 2.760125717485548, 0.34855768750000016, 0.6937425, 1.1533804808415316, 0.31256203125, 0.6378593124999999, 0.9234926419843085, 0.31064371428571425, 0.6575600714285713, 3.2488358909333503, 0.2691232467532467, 0.6601132857142861, 45356.9062835, 12.7426, 13.3469, 14.1155, 14.2577, 0.34267, 0.628965, 54.4627, 45358.0332835, 12.5055, 12.9898, 14.3201, 14.5366, 0.322321, 0.927662, 54.352, 45358.0502835, 12.5549, 13.051, 14.3815, 14.5366, 0.298592, 0.911189, 54.524, 45359.0472835, 12.8216, 13.3673, 14.1564, 14.3739, 0.348681, 0.641829, 54.7193, 45359.056283499995, 12.792, 13.3367, 14.1564, 14.3506, 0.338131, 0.652971, 54.6358, 45359.4702835, 12.8908, 13.3061, 14.136, 14.2112, 0.224862, 0.591348, 54.5441, 45359.4912835, 12.9105, 13.3163, 14.1462, 14.2461, 0.231451, 0.594692, 54.6191, 45359.8912835, 12.7031, 13.2143, 14.1564, 14.3042, 0.302944, 0.701546, 54.378, 45359.903283499996, 12.7623, 13.2041, 14.1769, 14.2693, 0.245416, 0.683602, 54.4126, 45360.954283499996, 12.7327, 13.2857, 14.3406, 14.1415, 0.162354, 0.678053, 54.5005
45361.068, 45362.38464468598, 45362.401315175, 45363.40120454697, 45363.41789616598, 45364.034485195996, 45364.051157846, 45364.85113304597, 45364.86780662197, 45366.70088417697, 3.695949692743497, 0.28164014141414156, 0.7851148080808079, 3.1405481902657044, 0.26558431884057965, 0.7892148840579712, 1.7937976129931565, 0.2792395416666667, 0.7803681041666667, 1.9728106537958183, 0.26830708771929823, 0.7016291052631575, 5.115825222651856, 0.24138950364963502, 0.6131277810218985, 45360.971283499995, 12.7821, 13.2551, 14.3201, 14.1066, 0.119132, 0.658103, 54.4639, 45362.2922835, 12.6339, 13.0816, 14.3508, 14.4668, 0.258449, 0.853259, 54.5332, 45362.3332835, 12.6833, 13.1122, 14.3303, 14.4436, 0.248402, 0.818689, 54.5695, 45363.3092835, 12.6339, 13.1327, 14.361, 14.3739, 0.234672, 0.816944, 54.5015, 45363.3412835, 12.6241, 13.1327, 14.361, 14.4087, 0.255075, 0.828878, 54.5265, 45363.9422835, 12.7426, 13.4184, 14.1564, 14.2461, 0.350693, 0.616221, 54.5635, 45363.9592835, 12.8117, 13.3776, 14.1564, 14.188, 0.273845, 0.592786, 54.5337, 45364.757283499996, 12.8019, 13.2551, 14.2383, 14.1996, 0.190187, 0.655355, 54.4948, 45364.7772835, 12.8019, 13.3367, 14.136, 14.188, 0.269389, 0.601889, 54.4625, 45366.6142835, 12.6636, 13.2857, 14.2587, 14.3623, 0.332457, 0.734387, 54.5703
