a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
70710.213, 70711.22961465789, 70711.24627803295, 70712.24619645652, 70712.26289555676, 70712.67951475925, 70712.69618290961, 70713.69612442714, 70713.71331409499, 70715.57929959691, 3.308014392704774, 0.46029532558139524, 1.2600545348837209, 2.811262011776511, 0.5074484157303369, 1.318518314606741, 1.2679888716878258, 0.4209543529411764, 1.4487376470588234, 3.5908321090486486, 0.7208484880952384, 1.2679102500000003, 6.570446213964464, 0.4037118209876543, 0.8431031111111111, 70710.11779050001, 12.0994, 11.7391, 12.9534, 14.3255, 0.494847, 1.00955, 51.1173, 70711.13479050001, 11.7949, 11.3677, 13.2417, 14.5895, 0.451329, 1.37326, 50.9938, 70711.15379050002, 11.7851, 11.3368, 13.2623, 14.6009, 0.436577, 1.39492, 50.9851, 70712.14979050001, 11.6476, 11.3265, 13.2417, 14.6239, 0.521782, 1.44322, 50.8396, 70712.1667905, 11.6771, 11.2852, 13.2932, 14.7387, 0.516561, 1.49123, 50.9941, 70712.60779050001, 11.9226, 11.4502, 13.2108, 14.3828, 0.343227, 1.24223, 50.9665, 70712.60779050001, 11.9226, 11.4502, 13.2108, 14.3828, 0.343227, 1.24223, 50.9665, 70713.59879050001, 11.9619, 11.8835, 12.8092, 14.3255, 0.705114, 0.967818, 50.98, 70713.6207905, 11.9619, 11.8835, 12.7474, 14.3369, 0.741774, 0.95396, 50.9297, 70715.4807905, 11.9324, 11.6669, 13.1078, 14.3484, 0.477451, 1.13316, 51.0555
70715.594, 70716.9105991198, 70716.92725377, 70717.92717010382, 70717.94385093878, 70718.4604859809, 70718.47718552071, 70719.47709359335, 70719.4940735927, 70721.57692090081, 3.732486292353785, 0.47191823728813564, 1.0921993389830509, 3.1503965122835518, 0.44025356321839076, 1.0532373793103447, 1.4293223218930562, 0.4584421818181817, 1.0167336136363636, 2.8147107043634425, 0.46622792857142836, 0.9425724642857141, 6.661174478737165, 0.3549279944751381, 0.9474257237569066, 70715.4997905, 12.0208, 11.605, 13.1387, 14.4173, 0.42142, 1.15184, 51.1818, 70716.8177905, 11.9521, 11.5637, 13.149, 14.3714, 0.408554, 1.17699, 51.0361, 70716.83779050001, 11.9128, 11.6359, 13.2314, 14.3484, 0.410825, 1.18264, 51.1285, 70717.87579050001, 11.9815, 11.7184, 13.046, 14.1992, 0.436789, 1.04385, 50.9452, 70717.87579050001, 11.9815, 11.7184, 13.046, 14.1992, 0.436789, 1.04385, 50.9452, 70718.36179050001, 12.1485, 11.8835, 12.9431, 14.0155, 0.395903, 0.860934, 50.9906, 70718.38479050001, 12.1681, 11.8629, 12.9225, 14.027, 0.39196, 0.858713, 50.9805, 70719.38679050001, 11.9226, 11.6256, 13.1799, 14.2681, 0.387868, 1.14707, 50.9961, 70719.3967905, 11.9029, 11.5121, 13.2314, 14.3369, 0.350484, 1.22194, 50.9834, 70721.4947905, 11.9226, 11.4399, 13.2932, 14.3714, 0.291786, 1.26463, 51.027
70721.592, 70723.10861659137, 70723.12528467823, 70724.12521129436, 70724.14187161802, 70724.65850628921, 70724.67516985483, 70725.07516143155, 70725.09187761566, 70727.2416634836, 4.7366548384393115, 0.3112569850746268, 1.0205721119402984, 3.0974119676376084, 0.3403260777777779, 0.9545643777777779, 1.2938476981797293, 0.2957234090909091, 0.9779839318181819, 1.1552790851025538, 0.3258410571428571, 1.2029508571428573, 6.734151111924699, 0.30582908994709, 1.132218301587303, 70721.4947905, 11.9226, 11.4399, 13.2932, 14.3714, 0.291786, 1.26463, 51.027, 70723.01179050001, 12.0895, 11.7391, 13.1284, 14.0614, 0.28547, 0.98824, 51.0185, 70723.0257905, 12.0895, 11.7391, 13.1284, 14.0614, 0.28547, 0.98824, 51.0185, 70724.0297905, 12.0503, 11.6359, 13.149, 14.3255, 0.372416, 1.1107, 51.1606, 70724.04579050001, 12.0208, 11.6566, 13.149, 14.314, 0.391442, 1.11037, 51.1403, 70724.56979050001, 12.0994, 11.7288, 13.1284, 14.1648, 0.325572, 1.01671, 51.1213, 70724.59179050001, 12.0895, 11.7288, 13.1696, 14.1877, 0.321117, 1.03731, 51.1756, 70724.9797905, 11.7655, 11.409, 13.3549, 14.4517, 0.363031, 1.36293, 50.9811, 70724.99679050001, 11.8244, 11.4915, 13.3652, 14.4517, 0.368458, 1.32041, 51.1328, 70727.14879050001, 12.0994, 11.8629, 12.9637, 13.9467, 0.366849, 0.869256, 50.8725
70727.257, 70728.67362462693, 70728.69029100006, 70729.29023423714, 70729.30690768492, 70729.92353269957, 70729.94019732467, 70730.9401408392, 70730.95696871499, 70733.90660731062, 4.5147909245703675, 0.27107986776859494, 0.9986826776859512, 1.9442273819014744, 0.2956166785714286, 0.8376855892857142, 1.9304071097998827, 0.28471270000000004, 0.41675639400000003, 3.012905316790124, 0.19740241860465124, 0.4991495732558141, 9.099928242288197, 0.17279918853174622, 1.0539413650793654, 70727.17979050001, 12.0797, 11.8113, 12.9945, 13.8893, 0.308362, 0.88414, 50.7748, 70728.5757905, 12.1485, 11.8216, 13.0357, 13.9007, 0.264278, 0.874075, 50.9065, 70728.60679050001, 12.1288, 11.8525, 13.0872, 13.9237, 0.274652, 0.891178, 50.9923, 70729.20179050001, 12.227, 12.0382, 12.9225, 13.7286, 0.303087, 0.70285, 50.9163, 70729.2187905, 12.2074, 11.9867, 12.9122, 13.7286, 0.29293, 0.721954, 50.8348, 70729.8257905, 12.7083, 12.7809, 12.387, 13.0628, 0.367323, -0.0115952, 50.939, 70729.84679050001, 12.6984, 12.7087, 12.4797, 12.8906, 0.207379, -0.0108871, 50.7775, 70730.84679050001, 11.9717, 11.8319, 13.3035, 13.9926, 0.26876, 1.02518, 51.0996, 70730.86479050001, 11.9029, 11.7907, 13.3035, 13.9237, 0.249386, 1.0409, 50.9208, 70733.8217905, 11.9717, 11.8319, 13.1696, 14.0155, 0.346231, 0.994781, 50.9887
70733.923, 70735.23961286893, 70735.25629451439, 70736.8561757831, 70736.87285864429, 70737.38948386778, 70737.406139641, 70738.40609163648, 70738.422947318, 70740.63926528384, 4.349295961154231, 0.3327669181818183, 1.0763227000000004, 4.060361802707831, 0.3090552189781023, 1.1520124087591237, 1.4918471760523166, 0.26976420454545447, 0.8323860227272728, 3.5343487290722484, 0.3204433636363638, 0.7161975909090909, 7.44121783197239, 0.3061235631578947, 1.2127758947368417, 70733.8367905, 11.9717, 11.8319, 13.1696, 14.0155, 0.346231, 0.994781, 50.9887, 70735.1437905, 11.8342, 11.6772, 13.3652, 14.1648, 0.314698, 1.18098, 51.0414, 70735.1577905, 11.9029, 11.6978, 13.3343, 14.1877, 0.317001, 1.15055, 51.1228, 70736.7637905, 12.0208, 11.7494, 13.1696, 14.0385, 0.29301, 1.01158, 50.9783, 70736.77879050002, 12.0404, 11.7494, 13.1593, 13.8893, 0.21584, 0.961497, 50.8384, 70737.28979050001, 12.2369, 12.1208, 12.8504, 13.5679, 0.296089, 0.608747, 50.7759, 70737.30779050001, 12.2565, 12.1414, 12.871, 13.4875, 0.246966, 0.579418, 50.7564, 70738.31479050001, 11.5298, 11.2749, 13.6535, 14.6583, 0.366768, 1.61609, 51.1165, 70738.32679050001, 11.5101, 11.2439, 13.6741, 14.6354, 0.340295, 1.63193, 51.0636, 70740.5447905, 12.0601, 12.0073, 13.0563, 13.8663, 0.371239, 0.839952, 50.99
70740.656, 70741.67263641921, 70741.68930886596, 70742.68924290358, 70742.70589390656, 70743.22253397299, 70743.23920292876, 70744.63911361252, 70744.65601175214, 70746.90563583997, 2.7503673668083963, 0.27992389655172417, 0.9178561034482764, 3.0648804713613, 0.2273670674418604, 0.9468153604651167, 1.5071242964369926, 0.15413534893617026, 0.7175618936170213, 4.224717111836178, 0.22405246093749998, 1.0055892187500002, 6.866567897370831, 0.24775330769230788, 1.1252549560439562, 70740.5567905, 12.119, 11.966, 13.0048, 13.8778, 0.353143, 0.823349, 50.9677, 70741.5827905, 12.0208, 11.9248, 13.1078, 13.9581, 0.369662, 0.917557, 51.0115, 70741.61779050001, 12.0012, 11.8216, 13.0975, 13.9696, 0.340217, 0.956292, 50.8899, 70742.60279050001, 12.1583, 11.8835, 13.2211, 13.74, 0.119683, 0.858579, 51.0029, 70742.6127905, 12.1583, 11.8422, 13.1696, 13.7056, 0.108084, 0.847558, 50.8757, 70743.12979050001, 12.2565, 12.1104, 13.0048, 13.6482, 0.243682, 0.672126, 51.02, 70743.1397905, 12.227, 12.1517, 12.9431, 13.5449, 0.258765, 0.621988, 50.8667, 70744.54679050001, 11.5985, 11.3471, 13.6947, 14.4976, 0.26961, 1.53901, 51.138, 70744.56479050001, 11.6672, 11.378, 13.6124, 14.3828, 0.235736, 1.45471, 51.0405, 70746.81879050001, 11.844, 11.7081, 13.3961, 14.1418, 0.298387, 1.17022, 51.0901
70746.922, 70748.33859629401, 70748.35524969417, 70749.35517787287, 70749.37185904954, 70749.88850088813, 70749.90515382461, 70750.90510170412, 70750.92203039347, 70752.87163560267, 4.295582407676349, 0.23727120325203255, 1.3532581300813002, 3.122200747228966, 0.1875746999999999, 1.4990130232558136, 1.7272541522980756, 0.22778570454545444, 1.5927261363636367, 3.2482367409224557, 0.2031237379310344, 1.501404712643678, 5.722701536578501, 0.23921475276073625, 1.5004441104294484, 70746.8287905, 11.844, 11.7081, 13.3961, 14.1418, 0.298387, 1.17022, 51.0901, 70748.25179050001, 11.7851, 11.4709, 13.5094, 14.2566, 0.212151, 1.3259, 51.0219, 70748.26979050001, 11.6967, 11.4502, 13.5506, 14.2221, 0.208715, 1.36267, 50.9197, 70749.26179050001, 11.6574, 11.1924, 13.7771, 14.4632, 0.108159, 1.58266, 51.0901, 70749.27779050001, 11.6574, 11.1924, 13.7771, 14.4632, 0.108159, 1.58266, 51.0901, 70749.78879050001, 11.4315, 11.213, 13.7153, 14.6124, 0.3328, 1.67244, 50.9723, 70749.80879050001, 11.5003, 11.2439, 13.7359, 14.6124, 0.303444, 1.64528, 51.0926, 70750.80779050001, 11.7458, 11.2749, 13.7359, 14.2681, 0.0299931, 1.46497, 51.0247, 70750.83079050001, 11.6869, 11.3471, 13.6741, 14.291, 0.135827, 1.45037, 50.9991, 70752.77779050001, 11.7163, 11.4709, 13.6741, 14.2107, 0.142473, 1.37969, 51.072
70752.888, 70754.20458524869, 70754.22125196355, 70755.02118493, 70755.03788636898, 70755.65448660009, 70755.67115546313, 70756.67108613683, 70756.68784309454, 70759.48755585606, 3.8322461044435077, 0.24685379999999998, 1.2250257391304353, 2.6414755883597025, 0.19272888571428567, 0.8291899714285711, 1.9510915959218285, 0.2289418846153846, 0.9679094423076926, 3.009918688731572, 0.20489721348314596, 1.0435934269662916, 7.893309532383998, 0.2141727983122364, 1.2100934556962017, 70752.79279050001, 11.7262, 11.4606, 13.6535, 14.2681, 0.170672, 1.38966, 51.1083, 70754.11179050001, 11.9128, 11.7494, 13.3035, 13.9467, 0.235617, 1.0571, 50.9123, 70754.12179050001, 11.9128, 11.7803, 13.2932, 13.9467, 0.255764, 1.04452, 50.9329, 70754.93679050001, 12.0994, 11.966, 13.1593, 13.6826, 0.191525, 0.818122, 50.9073, 70754.9417905, 12.0994, 11.966, 13.1593, 13.6826, 0.191525, 0.818122, 50.9073, 70755.5637905, 11.9815, 11.8319, 13.252, 13.8663, 0.228119, 0.973316, 50.9317, 70755.57779050001, 11.9717, 11.7907, 13.2829, 13.8204, 0.175211, 0.985215, 50.8656, 70756.5717905, 11.9226, 11.8113, 13.2314, 13.786, 0.218356, 0.970455, 50.7512, 70756.59179050001, 11.9717, 11.7907, 13.324, 13.8778, 0.182825, 1.01232, 50.9642, 70759.39479050001, 11.7163, 11.4709, 13.6227, 14.3255, 0.223589, 1.39655, 51.1353
70759.504, 70760.52062931025, 70760.53728938493, 70761.93720327633, 70761.95386372702, 70762.57049912181, 70762.5871459453, 70763.58709491351, 70763.60389317712, 70767.60349482014, 3.0747373678819327, 0.2323837555555556, 1.4380058888888891, 4.1642029551171404, 0.2427815126050421, 1.2443634453781507, 2.1664045784621355, 0.19876320370370362, 1.1894918518518518, 2.6844641234452875, 0.2229606395348837, 1.1495757325581393, 12.05474638111427, 0.25168851828908556, 1.431506460176992, 70759.4127905, 11.6771, 11.409, 13.705, 14.291, 0.155586, 1.4418, 51.0821, 70760.42479050001, 11.8047, 11.6153, 13.4682, 14.0844, 0.209305, 1.21612, 50.9726, 70760.44779050001, 11.844, 11.605, 13.4373, 14.1188, 0.21688, 1.20786, 51.0051, 70761.85779050001, 11.8244, 11.6566, 13.4579, 14.0614, 0.213584, 1.18776, 51.0003, 70761.85779050001, 11.8244, 11.6566, 13.4579, 14.0614, 0.213584, 1.18776, 51.0003, 70762.47179050001, 11.9521, 11.77, 13.3961, 13.9467, 0.180408, 1.06356, 51.0649, 70762.5037905, 11.9619, 11.77, 13.3961, 13.9352, 0.169989, 1.05734, 51.0632, 70763.49379050001, 11.8047, 11.4915, 13.4888, 14.1762, 0.183573, 1.28592, 50.9613, 70763.50479050001, 11.844, 11.4915, 13.4888, 14.1877, 0.169766, 1.27646, 51.012, 70767.5137905, 11.7851, 11.6256, 13.4888, 14.2221, 0.280637, 1.26177, 51.1216
70767.619, 70768.73559801941, 70768.75218455397, 70769.75222205638, 70769.76888353226, 70770.18554323014, 70770.2022016203, 70771.80208027207, 70771.81889739167, 70773.4853112271, 3.760998693064836, 0.2692654947368421, 1.507148105263158, 3.3485347601999216, 0.28505105882352944, 1.5909164705882353, 1.328696153756825, 0.2954732000000001, 1.4669167500000004, 4.892977611245188, 0.27980345547445273, 1.2840130145985413, 4.861096832219733, 0.2659881489361702, 1.443332695035461, 70767.53979050001, 11.8146, 11.605, 13.4785, 14.1877, 0.244507, 1.24693, 51.0857, 70768.63779050001, 11.6574, 11.2955, 13.6638, 14.4632, 0.2141, 1.51941, 51.08, 70768.66479050001, 11.628, 11.3368, 13.6947, 14.4862, 0.244516, 1.5298, 51.1456, 70769.65979050001, 11.569, 11.3987, 13.6535, 14.4632, 0.312859, 1.51192, 51.0844, 70769.6697905, 11.6083, 11.378, 13.6021, 14.4517, 0.303379, 1.48925, 51.0401, 70770.09679050001, 11.6672, 11.5637, 13.4579, 14.2795, 0.352231, 1.32626, 50.9684, 70770.11179050001, 11.6672, 11.4812, 13.4991, 14.3369, 0.3196, 1.37912, 50.9845, 70771.7117905, 11.4708, 11.1924, 13.7771, 14.6239, 0.278243, 1.68548, 51.0642, 70771.73179050001, 11.5199, 11.1098, 13.8183, 14.6583, 0.210321, 1.71609, 51.1064, 70773.3857905, 11.4708, 11.3368, 13.7668, 14.6124, 0.347531, 1.63273, 51.1868
