a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
58313.978, 58315.094599289005, 58315.11127448501, 58315.51121632301, 58315.527890303, 58316.144484914985, 58316.161092530005, 58317.161050541996, 58317.17800170201, 58318.110973425995, 2.997125687142379, -0.3727680923076924, 0.8184153846153843, 0.8964890303119268, -0.41512157142857137, 0.4650504285714285, 2.231635714366585, -0.37469245161290327, 0.46955470967741936, 3.1247493716255894, -0.3183671795454546, 0.8053687954545455, 2.5814652207818476, -0.42002167924528294, 0.42418260377358497, 58313.880583, 11.2539, 10.4796, 12.3831, 12.5986, -0.299054, 1.04298, 46.7153, 58314.999583000004, 11.5914, 10.898, 12.0162, 11.9815, -0.391549, 0.48671, 46.487, 58315.016583000004, 11.6112, 10.9286, 12.0468, 11.9699, -0.407858, 0.475824, 46.5564, 58315.417583, 11.6708, 10.9082, 12.0162, 12.0048, -0.41523, 0.464185, 46.5999, 58315.444583000004, 11.6906, 10.8367, 11.9754, 11.9233, -0.487871, 0.443085, 46.426, 58316.062583, 11.244, 10.2857, 12.536, 12.6685, -0.441745, 1.17946, 46.7342, 58316.062583, 11.244, 10.2857, 12.536, 12.6685, -0.441745, 1.17946, 46.7342, 58317.065583, 11.6807, 10.8367, 11.8633, 11.9233, -0.42327, 0.411147, 46.304, 58317.094583, 11.7402, 10.8878, 11.955, 11.9932, -0.437109, 0.425178, 46.5762, 58318.035583000004, 11.5914, 10.7755, 12.0977, 12.2842, -0.336546, 0.646572, 46.7488
58318.12, 58319.536527575, 58319.553212062, 58320.15314805802, 58320.169812064014, 58320.586435551995, 58320.60310124202, 58321.603018667, 58321.619943267004, 58322.55292163202, 3.7137117194197353, -0.36881704225352113, 0.9235723661971831, 1.3668415308335415, -0.3655441481481482, 0.7565116296296297, 0.8945867371228656, -0.44182433333333326, 0.7898078571428572, 2.3026384857145983, -0.3652070425531916, 0.7129979148936172, 2.2427301671384705, -0.4275097826086955, 0.9683836086956523, 58318.035583000004, 11.5914, 10.7755, 12.0977, 12.2842, -0.336546, 0.646572, 46.7488, 58319.438583, 11.2242, 10.5, 12.3321, 12.3541, -0.378251, 0.957354, 46.4104, 58319.468583, 11.2341, 10.4286, 12.4035, 12.4356, -0.41578, 1.02462, 46.5018, 58320.053583, 11.5417, 10.7755, 12.1487, 12.1096, -0.432268, 0.625121, 46.5755, 58320.083583, 11.502, 10.7143, 12.1996, 12.1329, -0.458939, 0.681923, 46.5488, 58320.519583, 11.3631, 10.6633, 12.271, 12.2959, -0.362141, 0.817877, 46.5932, 58320.519583, 11.3631, 10.6633, 12.271, 12.2959, -0.362141, 0.817877, 46.5932, 58321.504583, 11.3036, 10.5306, 12.2404, 12.4007, -0.329569, 0.905941, 46.4753, 58321.534583, 11.383, 10.5612, 12.2608, 12.424, -0.35308, 0.881615, 46.6289, 58322.455583, 11.1448, 10.3673, 12.4748, 12.7151, -0.287557, 1.18124, 46.702
58322.569, 58323.78553886998, 58323.80220714801, 58324.402144735985, 58324.418811606985, 58324.83543743398, 58324.85207927901, 58325.851987413, 58325.868709771996, 58326.98521725899, 3.1142868953768676, -0.34403554237288136, 0.9255035423728813, 1.7324604728173614, -0.36526586206896555, 0.48038289655172406, 1.1614464210105677, -0.35357900000000003, 0.25184521739130444, 2.9675783306163566, -0.383391173076923, 0.5028487307692308, 2.7175281573835166, -0.2958271896551725, 0.9552769137931036, 58322.473583, 11.1448, 10.3673, 12.4748, 12.7151, -0.287557, 1.18124, 46.702, 58323.699583, 11.3631, 10.6531, 12.1996, 12.3308, -0.310904, 0.810251, 46.5466, 58323.721583, 11.4326, 10.6735, 12.2098, 12.226, -0.399053, 0.750877, 46.5419, 58324.303583, 11.7998, 11.1429, 11.8225, 11.7836, -0.373743, 0.213801, 46.5487, 58324.333583, 11.7402, 11.0816, 11.792, 11.8418, -0.327612, 0.262152, 46.4556, 58324.758583, 11.8395, 11.1633, 11.8022, 11.8651, -0.328523, 0.213575, 46.67, 58324.758583, 11.8395, 11.1633, 11.8022, 11.8651, -0.328523, 0.213575, 46.67, 58325.764583000004, 11.4127, 10.6633, 12.3016, 12.2726, -0.417158, 0.803268, 46.6502, 58325.771583, 11.383, 10.6939, 12.2608, 12.3075, -0.344266, 0.801206, 46.6452, 58326.896583, 11.1249, 10.4286, 12.5156, 12.5404, -0.360191, 1.12719, 46.6095
58327.0, 58328.21652528198, 58328.23321437801, 58329.63306419799, 58329.64960890901, 58330.066367686, 58330.08302798099, 58331.08292985198, 58331.09982072399, 58332.032847808994, 2.1356435600381536, -0.2596842363636364, 0.8937103272727271, 3.819998819364103, -0.3548975890410958, 0.4691618356164383, 0.788964150638994, -0.318413, 0.9170053333333333, 2.0034897496468154, -0.38819885000000004, 1.0435405, 2.0152043361037286, -0.34967814999999997, 0.7054057499999999, 58326.969583, 11.1051, 10.4184, 12.485, 12.587, -0.313731, 1.14235, 46.5954, 58328.119583, 11.4227, 10.8469, 11.8531, 12.0863, -0.185314, 0.542048, 46.209, 58328.151583, 11.4524, 10.8367, 12.0162, 12.1678, -0.249642, 0.61159, 46.4732, 58329.606583, 11.3234, 10.7551, 12.2608, 12.3308, -0.266914, 0.807724, 46.6701, 58329.606583, 11.3234, 10.7551, 12.2608, 12.3308, -0.266914, 0.807724, 46.6701, 58330.006583, 11.3036, 10.5408, 12.3627, 12.4007, -0.388759, 0.939442, 46.6078, 58330.006583, 11.3036, 10.5408, 12.3627, 12.4007, -0.388759, 0.939442, 46.6078, 58331.055583, 11.3532, 10.6735, 12.2812, 12.2959, -0.356729, 0.820883, 46.6037, 58331.055583, 11.3532, 10.6735, 12.2812, 12.2959, -0.356729, 0.820883, 46.6037, 58331.960583, 11.5914, 10.949, 12.0468, 11.9233, -0.411659, 0.461093, 46.5104
58332.049, 58333.065570303996, 58333.082261929, 58334.08212807501, 58334.098811034, 58334.61541893199, 58334.632074427995, 58335.63197726398, 58335.64893266201, 58336.631891853, 2.0611929155721964, -0.39673558974358986, 0.5926682307692308, 2.683371813851136, -0.4376998499999999, 0.4193884175, 1.3431898193727767, -0.4764749130434783, 0.13641022608695652, 2.177269891802061, -0.43780390697674426, 0.3796665116279071, 1.9818286791270268, -0.39712866666666674, 0.5891575555555554, 58331.960583, 11.5914, 10.949, 12.0468, 11.9233, -0.411659, 0.461093, 46.5104, 58332.981583, 11.4227, 10.7449, 12.271, 12.1562, -0.425248, 0.72742, 46.5947, 58333.002583, 11.4227, 10.7449, 12.271, 12.1562, -0.425248, 0.72742, 46.5947, 58333.987583, 11.9387, 11.0612, 11.8327, 11.6555, -0.567205, 0.157549, 46.4881, 58334.002583, 11.899, 11.0816, 11.9245, 11.7021, -0.557736, 0.207868, 46.6072, 58334.536583, 11.8593, 11.1837, 11.7614, 11.7486, -0.369684, 0.150486, 46.553, 58334.536583, 11.8593, 11.1837, 11.7614, 11.7486, -0.369684, 0.150486, 46.553, 58335.537583, 11.5318, 10.8469, 11.9143, 11.9466, -0.352819, 0.480786, 46.2396, 58335.559583, 11.5715, 10.8878, 11.9754, 12.0281, -0.339571, 0.49854, 46.4628, 58336.560583, 11.5616, 10.7347, 12.1894, 12.0747, -0.505626, 0.63396, 46.5604
58336.65, 58338.16651403998, 58338.183172342986, 58339.183054884, 58339.19974522998, 58339.616368844996, 58339.63305516798, 58340.23298593, 58340.249792764, 58341.516161556974, 3.2520281103411297, -0.4219316666666667, 0.6598891166666668, 2.1602538290916025, -0.5028832222222223, 0.4455580444444444, 0.87024973477016, -0.4803897647058823, 0.4173525882352941, 1.229360807376946, -0.5191570434782607, 0.5887746086956521, 2.5004255321384683, -0.45434307272727265, 0.6584128727272727, 58336.560583, 11.5616, 10.7347, 12.1894, 12.0747, -0.505626, 0.63396, 46.5604, 58338.082583, 11.5715, 10.7959, 12.1181, 11.9, -0.535564, 0.53379, 46.3855, 58338.090583, 11.5715, 10.7959, 12.1181, 11.9, -0.535564, 0.53379, 46.3855, 58339.102583, 11.6509, 10.8878, 12.1079, 11.9466, -0.496043, 0.487999, 46.5932, 58339.102583, 11.6509, 10.8878, 12.1079, 11.9466, -0.496043, 0.487999, 46.5932, 58339.576583, 11.7005, 10.8878, 12.0162, 11.9699, -0.46114, 0.450175, 46.5743, 58339.576583, 11.7005, 10.8878, 12.0162, 11.9699, -0.46114, 0.450175, 46.5743, 58340.141583000004, 11.4524, 10.6633, 12.2404, 12.1445, -0.475824, 0.732005, 46.5006, 58340.163583, 11.4425, 10.6735, 12.2914, 12.1329, -0.498234, 0.743963, 46.5402, 58341.443583, 11.641, 10.9184, 11.9652, 11.8884, -0.430636, 0.418278, 46.4129
58341.533, 58342.949558592, 58342.966249778, 58343.96615027602, 58343.98281085402, 58344.59940381602, 58344.616070405005, 58345.81593756902, 58345.83277339402, 58346.699205241, 2.9882874197431537, -0.49660056666666674, 0.6784910666666666, 2.150021362627785, -0.49989976923076934, 0.7142335384615384, 1.3866974219542798, -0.49062028571428573, 0.6485768214285714, 2.8131874729033797, -0.47259070370370365, 0.8689513148148146, 2.1927575068195537, -0.5187981111111111, 0.7203582499999999, 58341.443583, 11.641, 10.9184, 11.9652, 11.8884, -0.430636, 0.418278, 46.4129, 58342.859583, 11.373, 10.6224, 12.3933, 12.1911, -0.511363, 0.833699, 46.5799, 58342.875583, 11.4127, 10.6837, 12.4341, 12.1911, -0.520107, 0.811856, 46.7215, 58343.887583, 11.6509, 10.8367, 12.1487, 11.8884, -0.57738, 0.49954, 46.5247, 58343.887583, 11.6509, 10.8367, 12.1487, 11.8884, -0.57738, 0.49954, 46.5247, 58344.511583, 11.383, 10.7347, 12.3525, 12.2027, -0.427464, 0.783412, 46.6729, 58344.531583, 11.3433, 10.6633, 12.3627, 12.1795, -0.463627, 0.817094, 46.5487, 58345.757583, 11.3036, 10.7347, 12.3831, 12.1562, -0.427137, 0.805432, 46.5775, 58345.757583, 11.3036, 10.7347, 12.3831, 12.1562, -0.427137, 0.805432, 46.5775, 58346.616583, 11.4028, 10.6837, 12.3729, 12.0979, -0.533795, 0.768206, 46.5573
58346.715, 58347.831600378995, 58347.84824393701, 58349.24814026602, 58349.264675125014, 58349.781405745016, 58349.798051359016, 58350.797979227005, 58350.814704018005, 58351.88117363301, 2.5605346695127467, -0.48990565306122463, 0.8196177142857143, 3.6876897614302817, -0.5461893333333332, 0.7354066349206351, 1.5653254409974338, -0.4628680689655172, 0.6640097931034484, 1.6522530501254562, -0.5737323939393939, 0.792624, 2.4350078831781783, -0.5294205, 0.7540066428571432, 58346.616583, 11.4028, 10.6837, 12.3729, 12.0979, -0.533795, 0.768206, 46.5573, 58347.757583, 11.3234, 10.5918, 12.4748, 12.3774, -0.443147, 0.941992, 46.7675, 58347.757583, 11.3234, 10.5918, 12.4748, 12.3774, -0.443147, 0.941992, 46.7675, 58349.148583, 11.5517, 10.8265, 12.1589, 11.9466, -0.50417, 0.557376, 46.4836, 58349.177583000004, 11.5616, 10.8367, 12.1589, 12.0164, -0.465548, 0.572315, 46.5736, 58349.692583000004, 11.5715, 10.7551, 12.22, 11.9815, -0.566821, 0.604447, 46.5281, 58349.717583, 11.5219, 10.7959, 12.1996, 12.0747, -0.456598, 0.629877, 46.5921, 58350.707583, 11.4326, 10.7245, 12.3627, 12.1329, -0.502607, 0.751893, 46.6527, 58350.717583, 11.4326, 10.7245, 12.3627, 12.1329, -0.502607, 0.751893, 46.6527, 58351.797583, 11.4028, 10.7449, 12.3321, 12.0048, -0.529879, 0.706437, 46.4846
58351.898, 58353.1145293, 58353.13111154102, 58354.33107085001, 58354.347749102, 58354.86436747301, 58354.881032538, 58355.880953581, 58355.89774859902, 58356.71419248202, 2.7911398087093455, -0.5478162105263158, 0.6215802982456143, 2.511826859077833, -0.572037387755102, 0.3699671020408164, 1.0720708095954705, -0.6072367407407406, 0.4923447407407408, 2.337552292578005, -0.580227604651163, 0.5671887906976742, 1.7532400438956153, -0.5777599375000001, 0.43505240625, 58351.818583, 11.4524, 10.7347, 12.3321, 12.0281, -0.548786, 0.700287, 46.5473, 58353.030583, 11.6112, 10.8163, 12.1589, 11.9349, -0.547503, 0.537259, 46.5213, 58353.045583, 11.6211, 10.8265, 12.2812, 11.9233, -0.617597, 0.564862, 46.6521, 58354.247583000004, 11.7402, 10.7857, 12.1181, 11.8651, -0.649089, 0.469984, 46.5091, 58354.251583, 11.641, 10.7857, 12.0977, 11.8534, -0.592721, 0.493054, 46.3778, 58354.804583, 11.8196, 10.8163, 11.955, 11.8185, -0.614008, 0.367679, 46.4095, 58354.804583, 11.8196, 10.8163, 11.955, 11.8185, -0.614008, 0.367679, 46.4095, 58355.794583, 11.7005, 10.8163, 12.0977, 11.9233, -0.568695, 0.484818, 46.5379, 58355.814583, 11.8196, 10.8673, 12.006, 11.8185, -0.612627, 0.366855, 46.5114, 58356.615583, 11.5715, 10.7449, 12.1996, 12.0164, -0.542532, 0.612368, 46.5325
58356.732, 58357.84856122699, 58357.86522560801, 58358.86510690399, 58358.88176208701, 58359.298409269, 58359.314978416005, 58359.715044694996, 58359.731722415, 58360.64828275, 2.4034251721368225, -0.5980169818181817, 0.6021957818181819, 1.907840471138197, -0.5532891860465118, 0.545293511627907, 0.9615491910623102, -0.6597125789473683, 0.47747842105263155, 1.3256963709600045, -0.6154798181818182, 0.47432418181818187, 2.3852122677886656, -0.5273995111111109, 0.5839243333333333, 58356.660583000004, 11.641, 10.7857, 12.1385, 11.9466, -0.56286, 0.534822, 46.5118, 58357.765583, 11.5814, 10.6633, 12.3321, 11.9582, -0.694147, 0.659391, 46.5351, 58357.765583, 11.5814, 10.6633, 12.3321, 11.9582, -0.694147, 0.659391, 46.5351, 58358.773583, 11.6608, 10.7857, 12.1589, 11.8884, -0.616013, 0.51642, 46.4938, 58358.805583, 11.7204, 10.7551, 12.1385, 11.8418, -0.679131, 0.48588, 46.4557, 58359.213583000004, 11.7005, 10.8571, 12.0773, 11.7952, -0.606026, 0.424792, 46.4302, 58359.227583, 11.7601, 10.7959, 12.0773, 11.7603, -0.690405, 0.414374, 46.3936, 58359.630583, 11.5517, 10.6939, 12.2812, 12.0514, -0.583746, 0.672099, 46.5781, 58359.641583000004, 11.4623, 10.6735, 12.3219, 12.063, -0.563085, 0.725205, 46.5208, 58360.626583, 11.6509, 10.9796, 12.0468, 11.9349, -0.420032, 0.43482, 46.6122
