a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
62548.84, 62550.15656810897, 62550.17322874497, 62550.97317021398, 62550.989846690994, 62551.506438473996, 62551.52310465698, 62552.52301566297, 62552.540160553996, 62553.20626483098, 3.0784073901843243, 1.2127197727272725, 0.8532485909090909, 1.9986349446785883, 1.2080335849056603, 0.6570453018867927, 1.2401839093502696, 1.1606694444444445, 0.8835073611111111, 2.185553175470366, 1.198598888888889, 0.729930777777778, 1.4222687952937707, 1.2311410869565218, 0.5890507391304347, 62548.744583, 15.9622, 16.1924, 16.8677, 19.9047, 1.18503, 1.00491, 68.927, 62550.056583000005, 16.2686, 16.7547, 16.4707, 19.5072, 1.27628, 0.642292, 69.0011, 62550.086583000004, 16.1797, 16.7853, 16.4707, 19.4664, 1.30672, 0.647029, 68.9021, 62550.878583000005, 16.1105, 16.3151, 16.7353, 19.5887, 1.11202, 0.850586, 68.7496, 62550.911583, 16.1006, 16.2844, 16.7557, 19.6295, 1.11155, 0.87251, 68.7702, 62551.412583000005, 16.239, 16.6115, 16.5114, 19.5276, 1.22979, 0.694254, 68.8895, 62551.446583000004, 16.2488, 16.632, 16.4707, 19.4766, 1.23101, 0.668285, 68.8281, 62552.438583, 16.2785, 16.5502, 16.4096, 19.2728, 1.14395, 0.624788, 68.5111, 62552.440583, 16.3279, 16.6422, 16.3485, 19.283, 1.18393, 0.581916, 68.6016, 62553.108583, 16.3872, 16.7955, 16.0737, 19.2116, 1.29488, 0.460621, 68.468
62553.225, 62554.241638384985, 62554.25830004998, 62555.05822338, 62555.074913852986, 62555.591522806986, 62555.608183697994, 62556.608106516, 62556.625293955985, 62557.39134806999, 2.152155910871164, 1.3114047945205478, 0.6006985753424656, 1.9363014215598924, 1.2649352941176468, 1.0713662156862744, 1.2908963981031407, 1.202891714285714, 1.2451504857142857, 2.1224636234428926, 1.1341080882352939, 0.746557794117647, 1.6760507429516394, 1.181700909090909, 0.7997716363636362, 62553.132583, 16.3477, 16.7035, 16.0838, 19.283, 1.29901, 0.507669, 68.418, 62554.142583, 16.2983, 16.7444, 16.2976, 19.3951, 1.28888, 0.578304, 68.7354, 62554.168583, 16.3081, 16.7444, 16.318, 19.5072, 1.31593, 0.603803, 68.8777, 62554.958583, 15.5866, 15.8142, 17.082, 20.2614, 1.23899, 1.29668, 68.7442, 62554.979583, 15.5471, 15.8244, 17.123, 20.2614, 1.24196, 1.3118, 68.7559, 62555.505583, 16.0709, 16.2538, 16.6743, 19.7314, 1.17851, 0.890649, 68.7304, 62555.512583, 16.0709, 16.3867, 16.7557, 19.7416, 1.19703, 0.878772, 68.9549, 62556.508583, 16.2587, 16.3969, 16.5216, 19.5072, 1.13701, 0.736665, 68.6843, 62556.533583000004, 16.1994, 16.4071, 16.5216, 19.5785, 1.1879, 0.762718, 68.7066, 62557.295583, 16.2488, 16.5093, 16.4605, 19.5174, 1.20657, 0.702626, 68.736
62557.407, 62558.523545642, 62558.540201071, 62559.140177938, 62559.156811424, 62559.57343743898, 62559.590099013985, 62560.590003626996, 62560.606958807, 62561.173291176, 2.6974980233915105, 1.1971625499999998, 0.28087087874999994, 1.4697119707285553, 1.0210471, 0.09742606499999998, 0.7020860566295037, 1.0680028571428573, 0.25978135714285716, 2.2025769902073242, 1.1478594029850744, 0.26559905970149267, 1.3782024220556959, 1.1787448571428571, 0.6878447142857144, 62557.309583, 16.2983, 16.54, 16.4605, 19.5174, 1.19835, 0.684351, 68.8161, 62558.445583, 17.3956, 17.2636, 15.6359, 18.5186, 0.999308, -0.109999, 68.8137, 62558.445583, 17.3956, 17.2636, 15.6359, 18.5186, 0.999308, -0.109999, 68.8137, 62559.063583, 16.8913, 16.8058, 16.1042, 19.0893, 1.05226, 0.325837, 68.8906, 62559.063583, 16.8913, 16.8058, 16.1042, 19.0893, 1.05226, 0.325837, 68.8906, 62559.489583, 16.9901, 16.9182, 15.8701, 19.018, 1.1178, 0.213609, 68.7964, 62559.493583, 16.8913, 16.9693, 15.982, 18.9365, 1.10225, 0.230711, 68.7791, 62560.505583, 16.5948, 16.7035, 16.2162, 19.2524, 1.14336, 0.473392, 68.7669, 62560.514583000004, 16.6145, 16.724, 16.2162, 19.3034, 1.16059, 0.475107, 68.8581, 62561.076583, 16.3081, 16.4787, 16.3994, 19.446, 1.17188, 0.668487, 68.6322
62561.189, 62562.30556085399, 62562.322228536985, 62563.322108715, 62563.338799556994, 62563.755416282, 62563.77207953799, 62564.57200445798, 62564.588792496, 62565.388586901, 2.585508670081363, 1.174108571428571, 0.44231007792207794, 2.1148928341406563, 0.9839045999999999, 0.6923775846153847, 0.7794254190271247, 0.746185964285714, 0.5570237857142858, 1.7934777979758996, 0.5772744629629629, 0.34271109259259247, 1.9059155188438044, 0.7708666785714283, 0.5959435714285716, 62561.090583000005, 16.3576, 16.4991, 16.4299, 19.3747, 1.12374, 0.644029, 68.6613, 62562.214583, 16.7331, 16.8671, 16.0737, 18.9365, 1.09195, 0.308231, 68.6104, 62562.241583, 16.743, 16.816, 16.2772, 19.1301, 1.0606, 0.402006, 68.9664, 62563.229583, 16.6047, 16.2435, 16.6946, 19.3034, 0.816181, 0.686266, 68.8462, 62563.256583, 16.6738, 16.2026, 16.6234, 19.2932, 0.798997, 0.662865, 68.793, 62563.672583, 17.1014, 16.4378, 16.4605, 18.8345, 0.621197, 0.382619, 68.8342, 62563.672583, 17.1014, 16.4378, 16.4605, 18.8345, 0.621197, 0.382619, 68.8342, 62564.485583, 17.1623, 16.4787, 16.4096, 18.7326, 0.595856, 0.327389, 68.7831, 62564.504583, 17.2029, 16.4889, 16.4605, 18.6817, 0.5474, 0.316064, 68.8339, 62565.290583, 16.6541, 16.3867, 16.3994, 19.232, 0.933856, 0.565884, 68.6721
62565.405, 62566.62152129301, 62566.63820487101, 62567.038166971004, 62567.05474244899, 62567.671448218985, 62567.688097417995, 62568.68799947901, 62568.70471323101, 62569.304624668, 2.647780614170923, 1.3057720123456793, 0.4633446913580247, 1.1385383350613827, 1.094939285714286, 0.8672993928571427, 1.3803192080748015, 1.0567597209302328, 1.054377046511628, 2.221141103476754, 1.1910798611111109, 1.032995638888889, 1.2675382988030424, 1.3592617073170732, 0.588277512195122, 62565.310583, 16.6541, 16.54, 16.2772, 19.1607, 1.00877, 0.490412, 68.632, 62566.527583, 16.3971, 16.7035, 16.1958, 19.4664, 1.30051, 0.558788, 68.7629, 62566.541583, 16.4465, 16.6933, 16.2976, 19.3951, 1.21464, 0.556315, 68.8325, 62566.942583000004, 15.9919, 15.9471, 16.9695, 19.9251, 1.0572, 1.07991, 68.8335, 62566.963583000004, 16.0512, 15.9573, 16.9695, 19.9251, 1.03832, 1.06368, 68.903, 62567.587583, 15.9029, 15.9675, 16.9186, 20.0168, 1.14919, 1.10418, 68.8058, 62567.606583, 15.8436, 15.9471, 16.9389, 20.0372, 1.16398, 1.13108, 68.7668, 62568.591583, 16.1105, 16.2946, 16.5826, 19.8843, 1.26533, 0.884643, 68.872, 62568.630583000006, 16.0512, 16.356, 16.4808, 19.8333, 1.33049, 0.852796, 68.7213, 62569.208583, 16.5453, 17.0405, 16.0228, 19.283, 1.3628, 0.374463, 68.8916
62569.322, 62570.738552518, 62570.75523509701, 62572.354991263, 62572.37173522699, 62572.78837264901, 62572.80503733801, 62573.80494385601, 62573.821779959006, 62574.571519754, 3.141451486737539, 1.3988156842105262, 0.3741811368421054, 3.8004820637826326, 1.3527255769230773, 0.5002660288461539, 0.9033889890458571, 1.309939090909091, 0.8102620606060604, 2.6372641709197393, 1.2338983582089549, 1.049965328358209, 1.7624255208213275, 1.1883745833333332, 1.1694194375000002, 62569.227583, 16.5849, 16.9591, 16.0329, 19.2422, 1.30178, 0.377324, 68.8191, 62570.655583, 16.4762, 16.9284, 16.1042, 19.1505, 1.27389, 0.404184, 68.6593, 62570.655583, 16.4762, 16.9284, 16.1042, 19.1505, 1.27389, 0.404184, 68.6593, 62572.260583, 16.1698, 16.5707, 16.4808, 19.5989, 1.27832, 0.727839, 68.8202, 62572.273583, 16.1698, 16.5707, 16.4808, 19.5989, 1.27832, 0.727839, 68.8202, 62572.695583, 15.8634, 16.2538, 16.7862, 19.8741, 1.26432, 0.990847, 68.7775, 62572.718583, 15.9029, 16.3253, 16.7862, 19.8435, 1.26336, 0.958829, 68.858, 62573.708583, 15.8535, 16.2844, 16.8982, 19.7518, 1.19372, 0.983913, 68.7879, 62573.736583000005, 15.8436, 16.3355, 16.9898, 19.711, 1.16621, 0.984693, 68.88, 62574.483583, 15.6262, 16.0902, 17.0513, 20.0779, 1.26759, 1.17934, 68.8456
62574.588, 62576.10455811898, 62576.12120594499, 62577.121118505005, 62577.137769949, 62577.654414629986, 62577.671079259, 62579.070940891994, 62579.087794140985, 62579.737541706985, 3.5103957826047285, 1.3909723529411762, 1.2021154901960787, 2.543531921177311, 1.5407909375000008, 1.2107946875000004, 1.3569373834075236, 1.520409714285714, 1.2054248571428572, 3.285972678460721, 1.3949866000000002, 1.5051193999999994, 1.4304694409058185, 1.2341166666666665, 1.4661554761904767, 62574.507583, 15.636, 16.0289, 17.0308, 20.0168, 1.22934, 1.17503, 68.7125, 62576.018583000005, 15.5174, 16.3969, 16.7659, 20.1493, 1.54833, 1.08983, 68.8295, 62576.027583, 15.5866, 16.3355, 16.8473, 20.1289, 1.46248, 1.10032, 68.8984, 62577.046583, 15.4581, 16.3253, 16.8066, 20.2104, 1.55196, 1.14103, 68.8005, 62577.046583, 15.4581, 16.3253, 16.8066, 20.2104, 1.55196, 1.14103, 68.8005, 62577.577583, 15.3395, 15.9471, 17.0615, 20.3735, 1.42587, 1.34202, 68.7216, 62577.577583, 15.3395, 15.9471, 17.0615, 20.3735, 1.42587, 1.34202, 68.7216, 62578.992583, 15.1517, 15.5075, 17.4511, 20.6996, 1.3095, 1.63309, 68.81, 62578.992583, 15.1517, 15.5075, 17.4511, 20.6996, 1.3095, 1.63309, 68.81, 62579.661583, 15.3198, 15.6609, 17.2973, 20.4245, 1.26204, 1.47182, 68.7024
62579.754, 62580.870564066005, 62580.88721132999, 62581.887127326, 62581.903783039, 62582.32042108399, 62582.337084588, 62582.937014913, 62582.953880942994, 62583.88692666798, 2.7162741605248035, 1.3294592957746476, 1.0379459436619718, 2.5185185970754134, 1.219623308823529, 0.8441673676470591, 1.0322910096526554, 0.8454608275862067, 1.0129847586206897, 1.5064680059391873, 0.9054713157894735, 0.7032352368421053, 2.3868947393725133, 1.3287907936507934, 0.925327888888889, 62579.661583, 15.3198, 15.6609, 17.2973, 20.4245, 1.26204, 1.47182, 68.7024, 62580.781583, 15.8634, 16.2946, 16.715, 19.7722, 1.27048, 0.945981, 68.6452, 62580.808583000005, 15.8733, 16.2538, 16.8269, 19.7926, 1.21683, 0.980231, 68.7465, 62581.796583, 16.1895, 16.1515, 16.9491, 19.5582, 0.933594, 0.90769, 68.8483, 62581.809583, 16.1895, 16.1311, 16.9898, 19.6091, 0.928926, 0.931152, 68.9196, 62582.222583, 16.0907, 15.7222, 17.1641, 19.6499, 0.771317, 1.0931, 68.6268, 62582.257583, 16.1797, 15.7937, 17.2153, 19.6805, 0.754777, 1.07211, 68.8692, 62582.841583, 16.4366, 16.4071, 16.5419, 19.3849, 1.02276, 0.672473, 68.7705, 62582.868583, 16.3378, 16.3867, 16.5928, 19.5582, 1.09408, 0.746246, 68.8754, 62583.805583, 15.7349, 16.4787, 16.4808, 19.9556, 1.53626, 0.92271, 68.65
62583.903, 62585.119523912996, 62585.13620132098, 62586.33609977901, 62586.352752843006, 62586.969373387, 62586.98602614299, 62587.98593505601, 62588.00266514498, 62588.73584005898, 3.1094527313726537, 1.518009277108434, 0.9371112891566261, 2.5722143610002908, 1.4370451898734176, 0.6468904556962026, 1.2406374559466162, 1.3512789999999997, 0.518228525, 2.157229399651632, 1.603722816901409, 0.3478480563380282, 1.7526443187812932, 1.5504118367346942, 0.6136721428571429, 62583.805583, 15.7349, 16.4787, 16.4808, 19.9556, 1.53626, 0.92271, 68.65, 62585.023583, 16.0907, 16.5911, 16.491, 19.5378, 1.29061, 0.730669, 68.7106, 62585.050583000004, 16.0709, 16.5604, 16.5521, 19.5785, 1.2783, 0.763344, 68.762, 62586.245583, 16.2785, 17, 16.1042, 19.4664, 1.48286, 0.499381, 68.8491, 62586.266583000004, 16.2785, 16.9284, 16.1856, 19.4053, 1.40615, 0.519778, 68.7978, 62586.880583000006, 16.3477, 16.8467, 16.3078, 19.5174, 1.34331, 0.571759, 69.0195, 62586.899583, 16.2884, 16.7751, 16.2772, 19.548, 1.36359, 0.601346, 68.8887, 62587.905583, 16.2488, 17.1723, 15.8802, 19.497, 1.64984, 0.42648, 68.7984, 62587.905583, 16.2488, 17.1723, 15.8802, 19.497, 1.64984, 0.42648, 68.7984, 62588.640583, 16.0413, 16.724, 16.2263, 19.6193, 1.48506, 0.673442, 68.6109
62588.754, 62589.97059691501, 62589.98725475099, 62590.987164378006, 62591.00377083999, 62591.42045692699, 62591.43712339499, 62593.03696843299, 62593.05374421699, 62593.670253854, 2.4817639864696286, 1.5047634939759038, 0.5073217349397591, 2.324547405750828, 1.7924765217391303, 0.6881772608695652, 0.9853162451445869, 1.8072765384615388, 0.8957556923076925, 3.8313086853998097, 1.544189811320754, 1.1766953962264153, 1.6690783604979125, 1.3776791304347824, 1.120156173913043, 62588.668583, 16.0808, 16.7649, 16.2671, 19.5989, 1.46115, 0.659339, 68.7117, 62589.888583, 15.9622, 17.1216, 16.1958, 19.4562, 1.60755, 0.560446, 68.7359, 62589.888583, 15.9622, 17.1216, 16.1958, 19.4562, 1.60755, 0.560446, 68.7359, 62590.888583, 15.4878, 16.7138, 16.318, 20.3531, 1.90973, 0.973431, 68.8726, 62590.906583, 15.5174, 16.6524, 16.3892, 20.292, 1.82922, 0.982842, 68.8511, 62591.323583000005, 15.6163, 16.816, 16.2772, 20.0168, 1.79671, 0.842856, 68.7263, 62591.348583, 15.557, 16.816, 16.3383, 20.0372, 1.8029, 0.873297, 68.7485, 62592.944583000004, 15.814, 16.3867, 16.7862, 19.9964, 1.37094, 0.996335, 68.9832, 62592.961583000004, 15.7744, 16.3049, 16.6641, 19.9353, 1.38385, 0.987214, 68.6786, 62593.574583, 15.4779, 16.4582, 16.7964, 20.0372, 1.53449, 1.06823, 68.7697
