a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
32813.411, 32814.42758352101, 32814.44425466401, 32815.444154793, 32815.46081091601, 32815.97744910501, 32815.994092012006, 32816.994000704006, 32817.010919196015, 32817.86058086702, 2.535459316585174, 0.4013627894736844, 0.09160677934210527, 2.088725848928909, 0.3527508142857142, -0.006494697714285687, 1.0833615779301244, 0.30472668571428574, -0.033565268857142866, 2.755333484081206, 0.5053825882352943, -0.3538336294117647, 2.1163932661232523, 0.45158913333333334, -0.4022077833333333, 32813.3272575, 15.2822, 13.1893, 13.0927, 16.4102, 0.528085, 0.26684, 57.9744, 32814.337257499996, 15.5784, 13.2812, 12.929, 16.0286, 0.346968, 0.0254059, 57.8172, 32814.3502575, 15.608, 13.2812, 12.9495, 16.0748, 0.344741, 0.0349724, 57.9136, 32815.3512575, 15.5488, 13.271, 12.9699, 15.9939, 0.322852, 0.0373757, 57.7836, 32815.3702575, 15.6278, 13.2302, 12.9392, 16.0286, 0.299066, 0.0285012, 57.8257, 32815.8792575, 15.9437, 13.5264, 12.6528, 15.7741, 0.304028, -0.270255, 57.8971, 32815.9052575, 15.9141, 13.5673, 12.5915, 15.7626, 0.356346, -0.292378, 57.8354, 32816.8962575, 15.7166, 13.7001, 12.5096, 15.8782, 0.584778, -0.266986, 57.8046, 32816.928257499996, 15.7166, 13.7001, 12.5096, 15.8782, 0.584778, -0.266986, 57.8046, 32817.7632575, 15.8351, 13.741, 12.571, 15.7163, 0.45419, -0.33408, 57.8634
32817.877, 32819.093547824006, 32819.110225567994, 32819.91012854498, 32819.926805269984, 32820.34343857399, 32820.360099403006, 32821.359986747986, 32821.37689261301, 32822.076568507, 3.362852889037591, 0.5010800666666666, -0.3593754333333333, 1.8673542682795177, 0.4648677500000001, -0.5644796833333332, 1.1348051396002121, 0.4966937, -0.6268816333333332, 2.788322658508077, 0.5032894861111112, -0.4355269166666668, 2.160907297499621, 0.510708326923077, -0.4685237692307692, 32817.7792575, 15.8647, 13.7001, 12.5608, 15.6932, 0.418487, -0.340074, 57.8188, 32819.000257499996, 16.0621, 13.9249, 12.3255, 15.4272, 0.417581, -0.580441, 57.7397, 32819.0102575, 16.0621, 13.9249, 12.3255, 15.4272, 0.417581, -0.580441, 57.7397, 32819.8132575, 16.0918, 14.0373, 12.3357, 15.566, 0.506523, -0.575717, 58.0307, 32819.839257499996, 16.0226, 13.976, 12.2232, 15.5082, 0.536227, -0.589093, 57.73, 32820.2552575, 16.1609, 13.976, 12.213, 15.3463, 0.410932, -0.670124, 57.6961, 32820.2622575, 16.1411, 13.9964, 12.2232, 15.4503, 0.468075, -0.639309, 57.8111, 32821.2642575, 15.8252, 13.7512, 12.5505, 15.751, 0.486574, -0.330395, 57.878, 32821.2872575, 15.8844, 13.741, 12.5505, 15.7741, 0.465986, -0.336686, 57.9501, 32821.9822575, 16.0029, 14.0475, 12.2335, 15.5313, 0.580478, -0.593002, 57.8151
32822.093, 32823.40953210602, 32823.42620514401, 32824.42610430602, 32824.44276297902, 32824.95938222603, 32824.97605904201, 32826.375921359, 32826.39273854302, 32827.05917168203, 3.5461476665556857, 0.48803413684210545, -0.5473927684210526, 2.9533019693979665, 0.5850949166666667, -0.5985532777777778, 1.4462711736184386, 0.5058915641025643, -0.6306813846153847, 3.940372691226038, 0.5817548829787236, -0.7103720638297872, 2.287818665945843, 0.6743977272727272, -0.5936189318181818, 32821.9942575, 16.0029, 14.0475, 12.2335, 15.5313, 0.580478, -0.593002, 57.8151, 32823.3242575, 15.9437, 13.976, 12.2641, 15.6354, 0.606862, -0.524079, 57.8191, 32823.3322575, 15.9239, 14.027, 12.2641, 15.6354, 0.637138, -0.531921, 57.8505, 32824.3292575, 16.151, 14.0986, 12.1414, 15.3116, 0.484267, -0.726983, 57.7025, 32824.3522575, 16.1707, 14.0781, 12.1721, 15.3925, 0.4877, -0.696445, 57.8135, 32824.8792575, 16.0128, 14.0679, 12.3051, 15.6469, 0.601825, -0.550214, 58.0327, 32824.8792575, 16.0128, 14.0679, 12.3051, 15.6469, 0.601825, -0.550214, 58.0327, 32826.282257499995, 15.7265, 13.8942, 12.4176, 15.8551, 0.693205, -0.349274, 57.8934, 32826.2972575, 15.6574, 13.9453, 12.2948, 15.8667, 0.804901, -0.374246, 57.7642, 32826.9632575, 16.3089, 14.1496, 12.08, 15.1728, 0.404367, -0.833224, 57.7114
32827.076, 32828.292639222986, 32828.30929711199, 32828.909258139, 32828.925903189986, 32829.342568363994, 32829.35918869599, 32830.35912978, 32830.376131619996, 32830.99237442599, 3.108908161345616, 0.5231062558139534, -0.5463299186046514, 1.8266061520196524, 0.5402610444444443, -0.7097352888888889, 1.0726991285375005, 0.5579394137931033, -0.9357040344827585, 2.9599552241192626, 0.6868376712328765, -1.077771657534247, 2.1832058237955825, 0.5656469361702126, -0.8675886382978724, 32826.9832575, 16.2003, 14.2212, 12.1516, 15.1959, 0.460929, -0.798169, 57.769, 32828.197257499996, 16.0128, 13.9351, 12.2744, 15.5082, 0.500652, -0.562617, 57.7304, 32828.2212575, 16.0523, 14.0168, 12.2539, 15.566, 0.551331, -0.582804, 57.889, 32828.835257499995, 16.1411, 14.2212, 12.08, 15.3925, 0.601941, -0.749478, 57.8348, 32828.835257499995, 16.1411, 14.2212, 12.08, 15.3925, 0.601941, -0.749478, 57.8348, 32829.2732575, 16.694, 14.5481, 11.589, 14.8837, 0.497594, -1.23954, 57.7148, 32829.2732575, 16.694, 14.5481, 11.589, 14.8837, 0.497594, -1.23954, 57.7148, 32830.2772575, 16.5261, 14.5889, 11.7016, 14.9415, 0.563878, -1.1614, 57.7581, 32830.2772575, 16.5261, 14.5889, 11.7016, 14.9415, 0.563878, -1.1614, 57.7581, 32830.907257499995, 16.3879, 14.7218, 11.6913, 15.0109, 0.714985, -1.14357, 57.8119
32831.011, 32832.427529042005, 32832.44419915302, 32834.04395463501, 32834.060714903026, 32834.47733913601, 32834.493999559025, 32835.493926147, 32835.51098160801, 32836.393769078015, 3.9189138630401157, 0.5432935922330097, -1.0711601067961165, 4.710287262504708, 0.6331589661016944, -1.1154561694915262, 1.0697380964276237, 0.5690287500000001, -1.1578121428571428, 2.8653345342874905, 0.7039552816901407, -1.0529948028169018, 2.755642579833178, 0.5352856119402984, -0.9288031641791046, 32830.9232575, 16.3879, 14.7218, 11.6913, 15.0109, 0.714985, -1.14357, 57.8119, 32832.3322575, 16.615, 14.7013, 11.6811, 14.8374, 0.537154, -1.24435, 57.8348, 32832.354257499996, 16.5755, 14.7013, 11.6197, 14.8374, 0.581768, -1.25221, 57.734, 32833.9482575, 16.3287, 14.4766, 11.8141, 15.0687, 0.607795, -1.01992, 57.688, 32833.9672575, 16.4077, 14.4663, 11.8039, 15.0918, 0.582772, -1.03298, 57.7697, 32834.392257499996, 16.6545, 14.64, 11.5993, 14.8259, 0.525004, -1.26544, 57.7196, 32834.3972575, 16.536, 14.6605, 11.6197, 14.8952, 0.606447, -1.21678, 57.7114, 32835.4032575, 16.1707, 14.3131, 11.9675, 15.2422, 0.614038, -0.851261, 57.6935, 32835.4122575, 16.2596, 14.3438, 11.9471, 15.2422, 0.596657, -0.886128, 57.7926, 32836.299257499995, 16.3879, 14.3744, 11.8345, 15.1034, 0.543907, -0.994202, 57.7003
32836.408, 32837.624558608, 32837.641232588016, 32838.64113850802, 32838.65781953402, 32839.17441244002, 32839.19108928301, 32839.59103660801, 32839.60777071902, 32840.60762352701, 3.125093429537025, 0.6346674044943817, -1.149120314606742, 2.3682922934029405, 0.6034313432835821, -1.1536507462686572, 1.1135690942116319, 0.6592240476190477, -1.1576738095238095, 1.09883179727283, 0.7705045862068964, -1.1826896551724138, 3.279442917320667, 0.5502707083333334, -0.9498636805555556, 32836.3122575, 16.3879, 14.3744, 11.8345, 15.1034, 0.543907, -0.994202, 57.7003, 32837.5352575, 16.5755, 14.6605, 11.5686, 14.8837, 0.606728, -1.24385, 57.6882, 32837.5442575, 16.5459, 14.7218, 11.5584, 14.8374, 0.630784, -1.26732, 57.6634, 32838.5422575, 16.4472, 14.4459, 11.7629, 14.9993, 0.535569, -1.0747, 57.6553, 32838.5592575, 16.5064, 14.4663, 11.7118, 14.9762, 0.530845, -1.11464, 57.6607, 32839.0822575, 16.4768, 14.7524, 11.5481, 14.9878, 0.74234, -1.21872, 57.7651, 32839.0992575, 16.4768, 14.8035, 11.5174, 15.0224, 0.791988, -1.22977, 57.8202, 32839.5082575, 16.2892, 14.5174, 11.7323, 15.1728, 0.722888, -1.01407, 57.7117, 32839.5082575, 16.2892, 14.5174, 11.7323, 15.1728, 0.722888, -1.01407, 57.7117, 32840.5112575, 16.1806, 14.3335, 11.9471, 15.2769, 0.642017, -0.854778, 57.7381
32840.624, 32841.940540981996, 32841.957211694, 32842.95712500001, 32842.97378941101, 32843.39040947399, 32843.40706023698, 32844.00701696399, 32844.023822357, 32844.773604701004, 3.3929700801050924, 0.6132342000000002, -1.0105589789473686, 2.5294588654203625, 0.6225958088235295, -1.1885902941176467, 1.1408151637527666, 0.619864, -1.1353001142857142, 1.4497652168763195, 0.7496645869565215, -0.6726451739130435, 1.9023930623970489, 0.6499400363636364, -1.0583081090909088, 32840.5292575, 16.2102, 14.3029, 11.9777, 15.3578, 0.636467, -0.823929, 57.8487, 32841.8442575, 16.457, 14.5787, 11.5379, 14.8721, 0.633597, -1.20785, 57.4458, 32841.8622575, 16.4866, 14.6094, 11.5993, 14.8143, 0.58153, -1.22131, 57.5096, 32842.8692575, 16.6841, 14.7728, 11.5072, 14.7796, 0.589293, -1.34303, 57.7437, 32842.8792575, 16.615, 14.7115, 11.497, 14.7449, 0.583854, -1.32485, 57.5684, 32843.3122575, 16.0621, 14.2416, 12.0493, 15.3925, 0.659198, -0.743398, 57.7456, 32843.3122575, 16.0621, 14.2416, 12.0493, 15.3925, 0.659198, -0.743398, 57.7456, 32843.9102575, 16.1115, 14.5481, 11.8039, 15.1381, 0.768566, -0.968107, 57.6015, 32843.9342575, 16.3287, 14.6298, 11.7527, 15.0803, 0.704551, -1.07079, 57.7915, 32844.6812575, 16.1707, 14.4255, 12.0289, 15.2075, 0.619611, -0.871443, 57.8326
32844.79, 32846.00660588999, 32846.023253123996, 32847.22315991, 32847.239706895016, 32847.856408307, 32847.87308758101, 32848.872984561014, 32848.88980451601, 32849.88955131001, 3.397732205358199, 0.6768179795918365, -1.2524842551020412, 3.7743278063498913, 0.6024540561797754, -1.1930455505617978, 1.554757424798956, 0.47270776086956506, -1.3123478260869563, 2.7030154125995405, 0.6014055277777778, -1.3419203472222225, 2.9468553161389335, 0.6454052083333335, -1.046185083333333, 32844.7002575, 16.1609, 14.4459, 11.988, 15.1612, 0.631237, -0.897981, 57.756, 32845.9182575, 16.7038, 14.7626, 11.6709, 14.5483, 0.405738, -1.36445, 57.6856, 32845.9392575, 16.7433, 14.7115, 11.6402, 14.6524, 0.424436, -1.34091, 57.7474, 32847.1262575, 16.9013, 14.9976, 11.4868, 14.4211, 0.445729, -1.55458, 57.8067, 32847.1412575, 16.842, 14.9465, 11.4152, 14.3748, 0.462037, -1.56271, 57.5786, 32847.7752575, 16.3682, 14.64, 11.8141, 14.9184, 0.595826, -1.11077, 57.7406, 32847.7752575, 16.3682, 14.64, 11.8141, 14.9184, 0.595826, -1.11077, 57.7406, 32848.7742575, 16.1312, 14.3233, 12.0493, 15.1612, 0.565317, -0.843836, 57.6651, 32848.8102575, 16.0226, 14.3642, 12.1209, 15.2422, 0.633237, -0.78538, 57.7499, 32849.8072575, 16.536, 14.6605, 11.722, 14.9068, 0.56603, -1.18485, 57.8253
32849.906, 32851.022570182, 32851.03925310298, 32852.039151232995, 32852.05582714699, 32852.572424105994, 32852.58910743198, 32853.788977681994, 32853.80572460299, 32854.65555404099, 3.097149506160225, 0.6211313666666665, -1.1508363333333331, 4.932329318483813, 0.6469840740740738, -1.2965365432098759, 1.3776643983549615, 0.7160936818181818, -1.3863936363636362, 3.670445374193723, 0.7085202386363637, -1.4674290909090906, 2.3938021738021864, 0.7091737777777775, -1.2903760317460313, 32849.8072575, 16.536, 14.6605, 11.722, 14.9068, 0.56603, -1.18485, 57.8253, 32850.9312575, 16.5557, 14.7524, 11.7118, 14.7912, 0.551805, -1.24679, 57.8111, 32850.9422575, 16.536, 14.7524, 11.6504, 14.849, 0.612134, -1.24308, 57.7878, 32851.9542575, 16.5557, 14.9363, 11.4356, 14.7333, 0.727642, -1.38476, 57.661, 32851.9612575, 16.4965, 14.8035, 11.5481, 14.7449, 0.652742, -1.30406, 57.593, 32852.4872575, 16.7137, 15.253, 11.1799, 14.5599, 0.831476, -1.61861, 57.7065, 32852.4972575, 16.7729, 15.2428, 11.1799, 14.5252, 0.786164, -1.63996, 57.7208, 32853.6902575, 16.4274, 14.8239, 11.497, 14.7449, 0.715047, -1.30696, 57.4932, 32853.7352575, 16.5261, 14.7831, 11.5993, 14.7912, 0.627732, -1.27871, 57.6996, 32854.5572575, 16.3583, 14.5992, 11.7936, 14.9878, 0.621328, -1.08491, 57.7388
32854.672, 32856.08857661099, 32856.105242734986, 32857.10514417099, 32857.12171743101, 32857.538420200006, 32857.555129931985, 32858.554993551, 32858.571891965, 32859.23827672398, 3.7387598479512976, 0.7396383113207546, -1.1985668867924526, 2.9147358552396674, 0.6940995731707316, -1.0120855487804876, 1.1417473247589234, 0.6799603124999999, -0.9338674062499998, 2.7225835265252876, 0.76217375, -0.5977138552631578, 1.552890465930914, 0.6526927254901961, -0.8454123529411767, 32854.587257499996, 16.3682, 14.6298, 11.7323, 15.0918, 0.700951, -1.08278, 57.8221, 32855.998257499996, 16.1609, 14.6809, 11.722, 14.9646, 0.765985, -1.0834, 57.5284, 32856.0122575, 16.1115, 14.732, 11.7527, 15.034, 0.824994, -1.05589, 57.6302, 32857.0062575, 16.2991, 14.5889, 11.8755, 15.0224, 0.621635, -1.03575, 57.7859, 32857.0302575, 16.1806, 14.5992, 11.7936, 15.0224, 0.715062, -1.03229, 57.5958, 32857.4462575, 15.993, 14.4561, 12.0187, 15.219, 0.720918, -0.835058, 57.6869, 32857.4552575, 15.8746, 14.3744, 12.0391, 15.3, 0.764364, -0.757931, 57.5881, 32858.4732575, 16.0819, 14.5889, 11.9675, 15.115, 0.7162, -0.931986, 57.7533, 32858.4732575, 16.0819, 14.5889, 11.9675, 15.115, 0.7162, -0.931986, 57.7533, 32859.1472575, 15.8449, 14.3846, 12.1823, 15.2884, 0.713077, -0.717193, 57.7003
