a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
39839.051, 39840.46772819399, 39840.484428266, 39840.901028407, 39840.91764824199, 39841.33440601898, 39841.35087308098, 39842.35084795599, 39842.36772308798, 39842.450792682, 39.803310421374135, -1.5767801949152545, 1.3018282033898323, 6.364467409432483, 2.9039838857142857, 5.645498285714288, 2.384853612008464, -0.5010037941176471, 4.059023529411767, 17.452276258563575, 0.25626933661971835, 3.743772718309857, 2.0603085285438474, 1.2873344999999998, 3.8187249999999993, 39838.955583, 21.0776, 15.3814, 8.9222, 5.24966, -4.62597, -6.60283, 50.6309, 39840.381583, 6.6807, 10.5359, 13.9276, 25.5, 6.80901, 5.8817, 56.6442, 39840.400583, 7.09825, 10.1898, 14.6092, 24.7866, 5.85216, 5.85027, 56.6839, 39840.805583, 9.53392, 9.2024, 17.0923, 18.1619, 0.341758, 4.5891, 53.9905, 39840.823583000005, 9.61345, 9.30419, 17.0308, 17.8357, 0.230417, 4.44802, 53.7841, 39841.247583000004, 10.9058, 9.81317, 17.5742, 16.9065, -0.797284, 3.7396, 55.1997, 39841.256583, 10.9257, 9.74192, 17.3999, 16.6609, -0.878318, 3.6708, 54.7285, 39842.257583000006, 9.5538, 9.82335, 17.3486, 17.9173, 0.38349, 4.3616, 54.643, 39842.287583000005, 9.6731, 9.91497, 17.1128, 17.8561, 0.451452, 4.22884, 54.557, 39842.36958300001, 10.5082, 10.9635, 14.4668, 19.0078, 2.27326, 3.27673, 54.9462
39482.462, 39483.478779091995, 39483.49528789299, 39484.495270062995, 39484.511852617, 39485.12861857901, 39485.145110765996, 39486.145017967996, 39486.16168359399, 39486.428294716985, 3.2390930867274865, 0.2852462968750001, 0.04803172109374999, 2.8138792294552726, 0.22666512307692313, 0.16499770538461536, 1.4925278587416426, 0.4346547857142858, -0.05472991476190475, 3.112090441628686, 0.4912721641791044, 0.026794059701492536, 0.7548661576171269, 0.5071209411764707, 0.2437547058823529, 39482.362583, 13.6596, 12.8365, 13.1239, 14.5096, 0.259852, 0.315168, 54.1297, 39483.379583, 13.7988, 13.0299, 12.9509, 14.229, 0.235704, 0.0975341, 54.0087, 39483.415583, 13.8386, 13.1114, 12.9306, 14.1121, 0.210354, 0.0257564, 53.9927, 39484.411583, 13.7292, 13.1623, 12.839, 14.2524, 0.391987, 0.0555485, 53.9829, 39484.428583, 13.8088, 13.1317, 12.839, 14.2641, 0.346038, 0.0451326, 54.0436, 39485.043583000006, 13.8585, 13.4066, 12.6152, 14.1238, 0.489181, -0.146119, 54.0041, 39485.04758300001, 13.8485, 13.4066, 12.5949, 14.1472, 0.51409, -0.142533, 53.9972, 39486.046583, 13.5404, 12.9689, 12.8594, 14.6967, 0.585333, 0.29044, 54.0653, 39486.074583, 13.6099, 12.979, 12.9204, 14.5096, 0.443512, 0.233542, 54.019, 39486.342583000005, 13.6199, 13.0096, 12.8187, 14.6032, 0.543088, 0.219895, 54.0513
39486.446, 39487.862601356996, 39487.87919566199, 39488.879155949, 39488.895696358995, 39489.512403968, 39489.52908499301, 39490.128975417996, 39490.14573586899, 39490.56232061101, 4.294610883748616, 0.5615501063829788, 0.45618415957446806, 2.6843154956268678, 0.5311994057971013, 0.5062741304347826, 1.7421443640465466, 0.4831149268292686, 0.3205780000000001, 1.6314339199235812, 0.46183273170731687, 0.41827870731707334, 1.0085866478722012, 0.5442400000000001, 0.3489655384615385, 39486.362583, 13.5503, 13.0401, 12.8797, 14.5798, 0.550368, 0.241188, 54.0499, 39487.768583000005, 13.2819, 12.5719, 13.1544, 15.0591, 0.552428, 0.65469, 54.0673, 39487.78258300001, 13.2222, 12.5311, 13.1951, 15.0708, 0.548255, 0.697687, 54.0193, 39488.779583, 13.5304, 12.8162, 12.9916, 14.6499, 0.437164, 0.359795, 53.9881, 39488.808583000005, 13.4807, 12.7449, 13.0323, 14.6265, 0.398278, 0.398979, 53.8845, 39489.42258300001, 13.5404, 12.9383, 12.9408, 14.7435, 0.554201, 0.333867, 54.1629, 39489.451583, 13.5702, 12.9078, 12.9916, 14.7084, 0.486535, 0.338345, 54.178, 39490.036583, 13.5105, 12.7856, 12.9611, 14.7318, 0.484255, 0.388057, 53.989, 39490.071583000004, 13.4608, 12.7754, 12.9611, 14.7552, 0.513732, 0.411471, 53.9525, 39490.47958300001, 13.5205, 12.918, 12.8288, 14.6616, 0.570321, 0.292616, 53.9289
39490.579, 39491.69562007798, 39491.71218318099, 39492.31217288799, 39492.328759493976, 39492.945416853996, 39492.96216352697, 39493.962028988986, 39493.978983546986, 39494.16196099098, 2.8539660093233303, 0.630461826666667, 0.21139770000000002, 1.6560199256977026, 0.6813092857142858, 0.3125882619047619, 1.9776551144435788, 0.6873216749999999, 0.380238725, 3.105966681975093, 0.5748161044776119, 0.22508380298507455, 0.48596283992934114, 0.6288619999999999, 0.06847653076923078, 39490.47958300001, 13.5205, 12.918, 12.8288, 14.6616, 0.570321, 0.292616, 53.9289, 39491.62358300001, 13.6497, 13.1623, 12.6355, 14.5915, 0.679365, 0.115204, 54.039, 39491.62358300001, 13.6497, 13.1623, 12.6355, 14.5915, 0.679365, 0.115204, 54.039, 39492.223583000006, 13.3515, 12.8162, 12.9204, 14.9773, 0.703597, 0.479999, 54.0653, 39492.241583, 13.2918, 12.8874, 12.9408, 14.989, 0.759512, 0.485274, 54.109, 39492.846583000006, 13.6596, 12.9485, 12.6457, 14.685, 0.615576, 0.200942, 53.9389, 39492.89258300001, 13.6, 12.9689, 12.8492, 14.837, 0.625136, 0.308912, 54.2551, 39493.870583, 13.769, 13.2539, 12.6762, 14.4161, 0.5658, 0.0192457, 54.1152, 39493.89058300001, 13.7094, 13.2641, 12.6152, 14.4044, 0.622264, 0.0128281, 53.993, 39494.078583, 13.6398, 13.091, 12.7678, 14.6032, 0.594532, 0.177494, 54.1018
39494.201, 39495.51742686401, 39495.53416826902, 39496.334155624994, 39496.367350315006, 39496.884152504994, 39496.900688052, 39497.90058431201, 39497.917557106004, 39498.56709753, 3.8554317582878386, 0.6112315421686748, 0.34747593975903623, 2.2197071050805244, 0.623949862745098, 0.16576103356862745, 1.5376860650732, 0.59890425, -0.06756093888888891, 3.161799621052447, 0.5803900724637681, 0.14967316115942036, 1.7120981804036288, 0.6228444999999999, 0.26708815909090916, 39494.113583000006, 13.6199, 13.1216, 12.7475, 14.685, 0.664169, 0.191334, 54.1739, 39495.421583, 13.4807, 12.9078, 12.8695, 14.7318, 0.597018, 0.336961, 53.9898, 39495.450583000005, 13.5205, 12.8365, 12.8594, 14.8838, 0.619432, 0.384325, 54.1001, 39496.243583, 13.7591, 13.2946, 12.605, 14.3109, 0.575039, -0.0382948, 53.9696, 39496.269583, 13.7193, 13.3455, 12.5745, 14.3343, 0.64196, -0.0433686, 53.9736, 39496.803583, 13.7491, 13.3251, 12.6254, 14.3693, 0.610322, -0.0220746, 54.069, 39496.803583, 13.7491, 13.3251, 12.6254, 14.3693, 0.610322, -0.0220746, 54.069, 39497.812583000006, 13.6, 12.9587, 12.8797, 14.6616, 0.527075, 0.272453, 54.1, 39497.827583000006, 13.5205, 12.9689, 12.8492, 14.7318, 0.615391, 0.302837, 54.0703, 39498.490583000006, 13.5205, 12.9994, 12.778, 14.7552, 0.673467, 0.281187, 54.053
39498.595, 39500.01160216698, 39500.028249152994, 39501.42814800699, 39501.44491291599, 39501.961514516006, 39501.97802534298, 39502.977941460005, 39502.99459938699, 39503.01132903999, 4.298800276056103, 0.6669183608247421, -0.008993966690721668, 4.459943761837667, 0.6981720957446806, 0.15092382844680854, 1.7203405044727516, 0.8378363235294117, -0.4594331352941176, 3.2001312772488566, 0.7710778493150684, -0.4242654671232875, 0.07682883208796028, 0.6214500000000001, -0.353526, 39498.505583000006, 13.4906, 12.9689, 12.7882, 14.7201, 0.65324, 0.291486, 53.9677, 39499.933583000005, 13.7988, 13.4778, 12.4829, 14.077, 0.591186, -0.199688, 53.8367, 39499.933583000005, 13.7988, 13.4778, 12.4829, 14.077, 0.591186, -0.199688, 53.8367, 39501.329583000006, 13.7094, 13.4575, 12.4524, 14.3109, 0.744745, -0.112243, 53.9301, 39501.355583000004, 13.6795, 13.4066, 12.4524, 14.3693, 0.762394, -0.0735605, 53.9079, 39501.875583, 14.2164, 14.221, 11.7199, 13.7613, 0.948653, -0.822367, 53.9186, 39501.88458300001, 14.2363, 14.2617, 11.7199, 13.7146, 0.936389, -0.852017, 53.9324, 39502.89058300001, 13.9877, 13.5695, 12.2693, 14.042, 0.628564, -0.346937, 53.8684, 39502.906583, 13.9877, 13.488, 12.2388, 14.1004, 0.632694, -0.316794, 53.8149, 39502.913583, 14.0971, 13.6, 12.2388, 14.0536, 0.610206, -0.390258, 53.9895
39503.026, 39504.04261010901, 39504.05924210102, 39505.059241291005, 39505.07579709902, 39505.59263454501, 39505.6091243, 39506.409142453995, 39506.42577161001, 39507.32557037102, 2.94352630612321, 0.6355531449275361, -0.11336903884057971, 3.394725761321055, 0.8088065303030305, 0.2628290106060606, 1.3924238260237174, 1.0665287352941177, -0.010646660294117656, 2.482253035147122, 0.7568857254901962, 0.045996392450980396, 3.238042439926772, 0.7940252166666669, 0.11504092716666665, 39502.937583000006, 14.0275, 13.5898, 12.2083, 14.077, 0.663745, -0.370674, 53.9026, 39503.968583, 13.5801, 13.0808, 12.7373, 14.4512, 0.56389, 0.146937, 53.8494, 39503.968583, 13.5801, 13.0808, 12.7373, 14.4512, 0.56389, 0.146937, 53.8494, 39504.970583, 13.4012, 13.4168, 12.3812, 14.7435, 1.10203, 0.0852978, 53.9426, 39504.97758300001, 13.4409, 13.3353, 12.4728, 14.8136, 1.03363, 0.141537, 54.0627, 39505.508583, 13.6199, 13.5796, 12.3507, 14.4395, 0.948581, -0.113733, 53.9897, 39505.514583000004, 13.6099, 13.5796, 12.3609, 14.4161, 0.938049, -0.11469, 53.9665, 39506.328583, 13.4906, 12.9892, 12.6661, 14.7669, 0.741643, 0.265165, 53.9128, 39506.328583, 13.4906, 12.9892, 12.6661, 14.7669, 0.741643, 0.265165, 53.9128, 39507.245583, 13.4608, 13.1114, 12.6762, 14.8487, 0.84247, 0.264174, 54.0971
39507.342, 39508.55867381198, 39508.57523407798, 39509.57517086199, 39509.59188916897, 39510.008466210995, 39510.02519383898, 39511.42501691399, 39511.44168091899, 39511.45830764298, 3.0240832502899253, 0.8961131818181814, 0.08385288655844154, 2.8779297206262973, 0.8203508636363637, 0.30934148484848495, 1.5824826713644629, 0.8143090967741934, 0.24548609677419353, 4.411671585446558, 0.8914457142857143, 0.04785140359340658, 0.0, 0.930601, -0.0342259, 39507.245583, 13.4608, 13.1114, 12.6762, 14.8487, 0.84247, 0.264174, 54.0971, 39508.467583000005, 13.431, 13.1419, 12.6864, 14.8136, 0.849834, 0.257186, 54.0729, 39508.49858300001, 13.3713, 13.1623, 12.7678, 14.8487, 0.864181, 0.299966, 54.1501, 39509.490583000006, 13.4708, 13.203, 12.6559, 14.7318, 0.836137, 0.198085, 54.0614, 39509.495583, 13.5006, 13.2539, 12.5847, 14.6032, 0.821149, 0.120508, 53.9423, 39509.92258300001, 13.4807, 13.1012, 12.6661, 14.8136, 0.817606, 0.249102, 54.0616, 39509.930583, 13.4807, 13.1012, 12.6661, 14.8136, 0.817606, 0.249102, 54.0616, 39511.33958300001, 13.6298, 13.4778, 12.4219, 14.4862, 0.885093, -0.0554064, 54.0158, 39511.364583, 13.5901, 13.4575, 12.3914, 14.533, 0.930601, -0.0342259, 53.9719, 39511.364583, 13.5901, 13.4575, 12.3914, 14.533, 0.930601, -0.0342259, 53.9719
39511.475, 39512.791516825, 39512.80821122301, 39513.80817150999, 39513.82465842901, 39514.441481529, 39514.457937244, 39515.857964557006, 39515.874741622996, 39515.89121922099, 4.094273274205308, 0.8552439756097557, 0.022171617914634144, 3.1724660908702993, 0.7913832499999999, -0.05103716487499999, 2.031148316779296, 0.758637738095238, -0.09810905476190475, 4.4907374836165825, 0.8038649230769228, 0.26995039560439554, 0.010803928359629211, 0.857581, 0.31291199999999997, 39511.38658300001, 13.6398, 13.4473, 12.4931, 14.5798, 0.874355, -0.00392497, 54.16, 39512.692583000004, 13.7094, 13.4677, 12.3914, 14.381, 0.809991, -0.112501, 53.9494, 39512.718583, 13.6994, 13.4473, 12.3303, 14.3693, 0.829616, -0.124537, 53.8464, 39513.71258300001, 13.7889, 13.5287, 12.3812, 14.2875, 0.762293, -0.180306, 53.9863, 39513.732583000005, 13.7292, 13.5287, 12.4626, 14.3459, 0.778136, -0.124692, 54.0665, 39514.346583000006, 13.7292, 13.4371, 12.4117, 14.2524, 0.719187, -0.139947, 53.8305, 39514.378583000005, 13.7292, 13.3862, 12.5542, 14.4512, 0.71784, -0.0305244, 54.1208, 39515.768583000005, 13.3614, 13.0096, 12.8085, 14.8838, 0.796959, 0.366594, 54.0633, 39515.786583, 13.3813, 13.1114, 12.7576, 14.8838, 0.857237, 0.318303, 54.1341, 39515.802583000004, 13.4111, 13.1114, 12.7373, 14.8955, 0.857925, 0.307521, 54.1552
39515.909, 39517.32553044001, 39517.342192825, 39518.342054640016, 39518.35876160102, 39518.87549692801, 39518.891844446, 39519.29199049201, 39519.30871285101, 39519.92514449601, 3.5446166022930394, 0.7355371428571428, 0.39805405494505486, 3.305281351676974, 0.52702821875, 0.56091446875, 1.521287141440682, 0.48185478125000003, 0.68371784375, 1.1456942889446908, 0.54568024, 0.7104038, 1.811353343323297, 0.5264018048780488, 0.6174763658536586, 39515.809583, 13.4111, 13.1012, 12.7373, 14.8955, 0.853384, 0.310398, 54.1451, 39517.233583, 13.1029, 12.4293, 13.4291, 15.1994, 0.506264, 0.857522, 54.1608, 39517.262583, 13.0532, 12.3886, 13.4189, 15.1994, 0.516066, 0.881386, 54.0602, 39518.24858300001, 13.252, 12.694, 13.2053, 14.7902, 0.475946, 0.569905, 53.9416, 39518.275583, 13.2023, 12.694, 13.3172, 14.9656, 0.526083, 0.660707, 54.1791, 39518.775583, 13.2023, 12.4293, 13.2968, 15.0591, 0.458121, 0.756923, 53.9877, 39518.812583000006, 13.262, 12.5922, 13.1747, 15.0475, 0.556129, 0.656848, 54.0764, 39519.205583, 13.1526, 12.4497, 13.2561, 15.2111, 0.578919, 0.794792, 54.0696, 39519.21058300001, 13.2023, 12.521, 13.3782, 15.2111, 0.530055, 0.791547, 54.3127, 39519.828583, 13.5205, 12.9994, 12.9509, 14.6032, 0.522974, 0.286893, 54.074
