a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
65360.822, 65362.33851461198, 65362.355190444985, 65363.155106982, 65363.17178735098, 65363.68841341998, 65363.70506800899, 65364.70497104099, 65364.721794303, 65365.654881768, 4.94107104969862, 0.10103230371900829, 0.7651034132231408, 2.166837458709888, 0.11403450163934427, 0.6981719180327868, 1.529150120363286, 0.055446474999999995, 0.8712449772727274, 2.7903504629294584, 0.07977349178571426, 0.7208845476190475, 2.829581047377755, 0.0676263609382716, 0.7726257283950612, 65360.726583, 13.4653, 12.371, 13.9284, 15.227, 0.0928521, 0.905331, 54.9918, 65362.244583, 13.703, 12.5847, 13.5635, 15.0068, 0.148118, 0.624159, 54.858, 65362.261583, 13.703, 12.5847, 13.5635, 15.0068, 0.148118, 0.624159, 54.858, 65363.063583, 13.5347, 12.4117, 13.8879, 15.227, 0.098151, 0.863176, 55.0613, 65363.077583, 13.4554, 12.3914, 13.898, 15.1922, 0.104725, 0.885585, 54.9371, 65363.600583, 13.3861, 12.2795, 13.9183, 15.1691, 0.0657856, 0.937414, 54.753, 65363.607583, 13.4455, 12.371, 13.8676, 15.1111, 0.0770986, 0.865626, 54.7953, 65364.608583, 13.8119, 12.5847, 13.6041, 14.9141, 0.0377208, 0.579518, 54.9147, 65364.633583, 13.8218, 12.6966, 13.5838, 14.9605, 0.114182, 0.551882, 55.0626, 65365.563583, 13.495, 12.3609, 13.8778, 15.1111, 0.0452042, 0.85686, 54.8448
65005.672, 65006.98853951801, 65007.005212342985, 65007.40515536699, 65007.42183573699, 65007.938448529, 65007.955139279984, 65008.95500782901, 65008.971853881005, 65009.83826405899, 4.277207745255952, 0.7020223535353534, -0.3838360589898988, 1.6457894106838122, 0.5559082647058823, -0.0689736761764706, 1.7524033684984734, 0.701699688888889, 0.14795477644444438, 3.3364813992951827, 0.6796237530864201, 0.4065684938271604, 2.597819528508993, 0.6993366849315069, 0.08051922794520545, 65005.581583, 14.5347, 13.836, 12.1544, 14.2304, 0.628856, -0.544008, 54.7555, 65006.909583, 14.1089, 13.48, 12.6816, 14.8909, 0.71626, -0.004448, 55.1614, 65006.909583, 14.1089, 13.48, 12.6816, 14.8909, 0.71626, -0.004448, 55.1614, 65007.306583, 14.1881, 13.1951, 12.641, 14.7751, 0.520536, 0.00899613, 54.7993, 65007.336583000004, 14.2277, 13.2663, 12.6208, 14.6476, 0.48638, -0.0618204, 54.7624, 65007.844583, 13.7228, 13.1747, 12.7829, 15.2849, 0.888723, 0.31939, 54.9654, 65007.862583, 13.7228, 13.1747, 12.7829, 15.2849, 0.888723, 0.31939, 54.9654, 65008.855583000004, 13.9703, 13.073, 12.864, 15.0068, 0.567013, 0.226049, 54.9142, 65008.872583000004, 14.0297, 13.1951, 12.8438, 15.03, 0.613272, 0.176675, 55.0986, 65009.752583, 14.1089, 13.3172, 12.6512, 15.0648, 0.73531, 0.0788426, 55.142
65009.854, 65011.17052305802, 65011.187191830024, 65011.78713771402, 65011.80381306602, 65012.220421621, 65012.23703871502, 65013.236991612015, 65013.253694616, 65013.88691386302, 4.1504364898822965, 0.7150572970297027, -0.4895033131683169, 2.24090119499484, 0.7627034615384614, -0.282944225, 1.2146838251931158, 0.765912606060606, -0.4992720303030302, 2.8843406279817696, 0.8346584216867472, -0.7465776626506024, 1.7573904478589306, 0.8103023921568624, -0.9388619803921568, 65009.761583, 14.0594, 13.246, 12.6005, 15.0068, 0.725192, 0.0824744, 54.9127, 65011.080583, 14.4752, 14.2226, 11.7591, 14.2652, 1.0295, -0.732868, 54.7221, 65011.093583, 14.4653, 14.1514, 11.8503, 14.4042, 1.02055, -0.645747, 54.8713, 65011.700583, 14.495, 13.7546, 12.124, 14.4042, 0.702736, -0.471385, 54.7779, 65011.708583, 14.4257, 13.8055, 12.0531, 14.4969, 0.832233, -0.460352, 54.7812, 65012.123583, 14.6733, 13.9276, 11.972, 14.2999, 0.720885, -0.636642, 54.8728, 65012.157583, 14.6832, 13.9174, 11.9517, 14.3115, 0.726375, -0.639044, 54.8638, 65013.148583, 14.9505, 14.2124, 11.6983, 14.1029, 0.758046, -0.917437, 54.9641, 65013.155583, 14.9208, 14.2023, 11.6577, 13.9291, 0.709593, -0.969542, 54.7099, 65013.791583, 14.7327, 14.0802, 11.8402, 14.439, 0.883213, -0.68985, 55.092
65013.904, 65014.92057738199, 65014.937237239, 65015.937141758994, 65015.95380738499, 65016.57041930101, 65016.586986300994, 65016.98704639999, 65017.003837685996, 65017.85362295299, 2.766133809074987, 0.8447963902439022, -1.127650536585366, 3.0095454447538867, 0.9621843086419756, -1.3698917283950611, 1.8899665280152373, 0.9188554200000002, -1.2337673999999998, 1.5674511379066505, 0.8745012058823526, -1.172162941176471, 2.3516617590947164, 0.888146411764706, -1.1414435147058823, 65013.808583, 14.6931, 14.0497, 11.8807, 14.3347, 0.823608, -0.689791, 54.9582, 65014.834583, 15.3663, 14.711, 11.0394, 13.6278, 0.882772, -1.48238, 54.7445, 65014.846583, 15.4653, 14.6804, 11.0698, 13.6973, 0.8389, -1.46924, 54.9129, 65015.857583, 15.2079, 14.4057, 11.3232, 13.8943, 0.806552, -1.20264, 54.8312, 65015.857583, 15.2079, 14.4057, 11.3232, 13.8943, 0.806552, -1.20264, 54.8312, 65016.470583, 15.1485, 14.5583, 11.1509, 13.8943, 0.983211, -1.27712, 54.7521, 65016.490583, 15.2277, 14.5787, 11.1711, 13.848, 0.924671, -1.30978, 54.8255, 65016.891583000004, 15.0792, 14.4159, 11.3232, 13.9639, 0.902387, -1.15222, 54.7822, 65016.908583000004, 15.0891, 14.4363, 11.3435, 14.045, 0.932676, -1.13002, 54.9138, 65017.782583, 14.9604, 14.1718, 11.4651, 14.2768, 0.921655, -0.926745, 54.874
65017.871, 65018.887563373995, 65018.904230156986, 65019.90413704999, 65019.92083023199, 65020.53744166701, 65020.554078058005, 65021.553981649995, 65021.57090363499, 65022.770522605, 2.9723698892797175, 0.9570293750000001, -1.122099, 3.4907262481595764, 0.9403350374999999, -1.1896787999999996, 1.830291905252432, 0.9598230199999997, -0.8013575199999999, 2.8924106817101993, 0.951737717647059, -0.3646763058823529, 4.1947132245101075, 0.9504968979591832, -0.5386861530612249, 65017.782583, 14.9604, 14.1718, 11.4651, 14.2768, 0.921655, -0.926745, 54.874, 65018.795583, 14.8911, 14.2837, 11.2725, 14.1725, 1.04931, -1.02429, 54.6197, 65018.836583000004, 14.9307, 14.3549, 11.2624, 14.2188, 1.08671, -1.04198, 54.7668, 65019.809583, 14.9802, 14.3549, 11.3536, 14.1377, 0.984365, -1.05162, 54.8264, 65019.828583, 14.9307, 14.2328, 11.384, 14.0102, 0.883609, -1.03631, 54.5577, 65020.444583000004, 14.4158, 13.8462, 11.9618, 14.7055, 0.98947, -0.435473, 54.9294, 65020.467583, 14.396, 13.8767, 11.9922, 14.7751, 1.02811, -0.410281, 55.0401, 65021.467583, 14.5347, 13.8564, 11.7794, 14.4622, 0.917277, -0.590167, 54.6326, 65021.474583, 14.6238, 13.7953, 11.749, 14.4622, 0.862518, -0.60625, 54.6302, 65022.671583, 14.6436, 13.9886, 11.749, 14.5896, 0.994051, -0.625858, 54.9708
65022.787, 65024.20352735398, 65024.220225863, 65025.220112936004, 65025.23671777798, 65025.653383721, 65025.670064649996, 65027.06992460198, 65027.08675185799, 65027.819848311, 3.9656651563557324, 0.935203652173913, -0.6773125217391304, 3.177326173733044, 0.9721526153846148, -0.861456358974359, 1.0290069976304022, 0.8793942647058824, -0.4858538235294118, 4.532225054698033, 0.9842136218487393, -0.7185655462184879, 2.446170558140677, 0.940269357142857, -0.781465517857143, 65022.688583, 14.6931, 13.9378, 11.607, 14.4738, 0.964791, -0.699131, 54.7116, 65024.104583, 14.6337, 14.0395, 11.6273, 14.4274, 1.00768, -0.717672, 54.7279, 65024.131583, 14.6535, 13.9683, 11.6374, 14.4506, 0.972381, -0.69468, 54.7098, 65025.120583, 14.5842, 13.8564, 11.8503, 14.6823, 0.956935, -0.520579, 54.9732, 65025.149583, 14.5248, 13.7445, 11.8706, 14.636, 0.906011, -0.482681, 54.7758, 65025.554583, 14.7723, 13.9479, 11.678, 14.5201, 0.918531, -0.688871, 54.9183, 65025.573583, 14.8317, 13.9785, 11.7084, 14.5085, 0.884512, -0.706892, 55.0271, 65026.974583, 14.604, 13.775, 11.7692, 14.5085, 0.87378, -0.576652, 54.6567, 65026.990583, 14.604, 13.775, 11.7692, 14.5085, 0.87378, -0.576652, 54.6567, 65027.724583, 14.9208, 14.4668, 11.2421, 13.9755, 1.04356, -1.1455, 54.6051
65027.837, 65029.15354291501, 65029.170200552995, 65030.17010551601, 65030.18678204602, 65030.80336930102, 65030.82005422402, 65031.220008323, 65031.23681578101, 65032.236582927, 3.793352767895724, 1.0587229999999996, -1.0653748557692306, 3.364147152487074, 0.9887451219512196, -0.9369365121951218, 1.8259223639883067, 1.0237470000000004, -0.859142074074074, 1.330431775468863, 1.0504651944444445, -0.7990084444444446, 2.770405206156182, 1.1882488607594937, -1.0041890253164552, 65027.740583, 14.9802, 14.4363, 11.2522, 14.2304, 1.1085, -1.07483, 54.8991, 65029.055583, 15.0693, 14.4363, 11.2218, 14.0102, 0.984403, -1.17109, 54.7376, 65029.078583, 15.0594, 14.4566, 11.2624, 14.045, 0.994021, -1.15151, 54.8234, 65030.078583, 14.7822, 14.1718, 11.5564, 14.3579, 0.998345, -0.831004, 54.8682, 65030.087583, 14.7822, 14.0904, 11.5564, 14.3579, 0.962692, -0.809955, 54.7868, 65030.708583, 14.6733, 14.1311, 11.6172, 14.3695, 1.00842, -0.771394, 54.791, 65030.740583, 14.7426, 14.1107, 11.607, 14.439, 1.00188, -0.76702, 54.8993, 65031.130583, 14.7525, 14.2938, 11.4753, 14.3347, 1.09413, -0.884957, 54.8563, 65031.137583, 14.7624, 14.3345, 11.3942, 14.3463, 1.1508, -0.918116, 54.8373, 65032.136583, 14.9901, 14.477, 11.1914, 14.0566, 1.07467, -1.15665, 54.715
65032.253, 65033.66959580002, 65033.686222812015, 65035.286078137025, 65035.302735909005, 65035.81937901801, 65035.83601347901, 65036.83592037202, 65036.852715769, 65038.16911467101, 4.13485961174672, 1.1374805043478253, -0.9735579304347828, 4.594322068564646, 1.157996640625, -0.8410329765624999, 1.7652969833515644, 1.1053891489361705, -0.28822146531914894, 3.579021356680389, 1.0074515749999997, -0.09054963500000004, 4.723487641262427, 1.0921808363636358, -0.3350858572727272, 65032.156583, 15.0396, 14.538, 11.1509, 14.0798, 1.10717, -1.18969, 54.8082, 65033.571583, 14.703, 14.1311, 11.4651, 14.4969, 1.1223, -0.786183, 54.7961, 65033.588583000004, 14.7426, 14.0802, 11.4955, 14.5433, 1.087, -0.761175, 54.8616, 65035.186583, 14.7327, 14.1311, 11.5868, 14.6128, 1.10075, -0.725753, 55.0633, 65035.205583, 14.6139, 14.0598, 11.6172, 14.6244, 1.11682, -0.664331, 54.9153, 65035.719583, 13.9208, 13.48, 12.3369, 15.3197, 1.15423, 0.0697088, 55.0574, 65035.753583, 13.8713, 13.3579, 12.3572, 15.2502, 1.08485, 0.103453, 54.8365, 65036.741583, 14.4356, 13.8157, 12.1139, 14.9721, 1.01116, -0.315894, 55.3373, 65036.761583, 14.3861, 13.8665, 11.9314, 14.9257, 1.12261, -0.379849, 55.1098, 65038.079583, 13.7921, 13.3477, 12.4586, 15.5051, 1.18059, 0.224277, 55.1034
65038.186, 65039.50255183001, 65039.51922141299, 65040.519141272016, 65040.535791596005, 65040.952419255, 65040.96908370401, 65041.96897566102, 65041.985725422, 65043.11886433601, 3.6901288312538107, 1.1057249633027522, -0.019181642201834867, 2.844195499853433, 1.248634302325582, -0.43358922093023244, 1.2175729328123437, 1.317310303030303, -0.029981786060606055, 2.9445368627358213, 1.205026282051282, 0.01945585391025641, 3.445548418286373, 1.198601368421053, -0.34146121736842105, 65038.087583, 13.8218, 13.3273, 12.4484, 15.4819, 1.15246, 0.212755, 55.0795, 65039.405583, 14.2277, 13.6732, 12.0531, 15.2386, 1.19175, -0.165599, 55.1926, 65039.419583, 14.2178, 13.6122, 11.9618, 15.2038, 1.19844, -0.181207, 54.9957, 65040.431583, 14.0198, 13.8462, 11.901, 15.1575, 1.40322, -0.220536, 54.9245, 65040.451583, 14.0792, 13.836, 11.9416, 15.1227, 1.33593, -0.232169, 54.9795, 65040.855583000004, 14.0099, 13.6427, 12.1544, 15.1806, 1.20892, -0.0866228, 54.9877, 65040.872583000004, 14, 13.6631, 12.124, 15.1227, 1.21187, -0.113735, 54.9098, 65041.872583000004, 13.9109, 13.5817, 12.2153, 15.3197, 1.26083, 0.0115532, 55.0275, 65041.889583000004, 13.8911, 13.6224, 12.195, 15.227, 1.25752, -0.0249794, 54.9355, 65043.030583, 14.3168, 13.9174, 11.8807, 14.9257, 1.20163, -0.389113, 55.0407
65043.136, 65044.252547696, 65044.269216718996, 65044.669186237996, 65044.68585610899, 65045.102472016995, 65045.119147928985, 65046.135704643995, 65046.152453534974, 65046.86897619499, 3.229431709611514, 1.3574713636363636, -0.3970441704545454, 1.041705041799113, 1.3170791176470587, -0.31896679411764706, 1.2925975779155445, 1.1870036363636365, -0.2454650909090909, 2.8651919987752748, 1.343203827160493, -0.6521816666666669, 2.0756259283225065, 1.2791255737704925, -0.7584342950819672, 65043.036583, 14.3168, 13.9174, 11.8807, 14.9257, 1.20163, -0.389113, 55.0407, 65044.157583, 13.9802, 13.8259, 11.9416, 15.2733, 1.44374, -0.161159, 55.021, 65044.191583, 14.0198, 13.775, 11.9922, 15.2618, 1.37364, -0.147355, 55.0488, 65044.577583, 14.2574, 13.9174, 11.8301, 14.8793, 1.23409, -0.400507, 54.8842, 65044.602583, 14.2574, 13.8462, 11.9314, 14.9025, 1.1649, -0.34667, 54.9376, 65045.008583, 14.198, 13.8767, 11.8909, 14.8446, 1.20069, -0.366524, 54.8102, 65045.025583, 14.2079, 13.8767, 11.8098, 14.8909, 1.25488, -0.378913, 54.7854, 65046.047583, 14.4554, 14.2226, 11.5057, 14.636, 1.32138, -0.694023, 54.8197, 65046.061583, 14.4356, 14.2633, 11.5259, 14.5781, 1.3137, -0.710264, 54.8029, 65046.777583, 14.6436, 14.4871, 11.2928, 14.3926, 1.34241, -0.942772, 54.8161
