a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
72091.215, 72092.63157148499, 72092.64825945799, 72093.64815716501, 72093.66480648599, 72094.18142967901, 72094.19810153899, 72095.814626618, 72095.831452312, 72096.76451390001, 3.756212826288349, 0.3563355959595961, 0.7421092222222226, 2.469282336592696, 0.4041727101449276, 1.239979420289855, 1.624105486798611, 0.3100715142857143, 0.9596746857142857, 4.204693478107352, 0.30386617857142856, 1.1136909107142856, 2.3642332476993944, 0.36594101470588236, 1.0527566911764703, 72091.130083, 16.5029, 15.6876, 16.5636, 18.2842, 0.337598, 0.59456, 67.0383, 72092.548083, 16.0854, 15.1891, 16.9899, 18.753, 0.323379, 1.00012, 67.0173, 72092.55308299999, 16.0456, 15.1382, 17.0103, 18.7122, 0.296909, 1.01753, 66.9063, 72093.56808299999, 15.7175, 14.9449, 17.1538, 18.9466, 0.382042, 1.22178, 66.7629, 72093.56808299999, 15.7175, 14.9449, 17.1538, 18.9466, 0.382042, 1.22178, 66.7629, 72094.085083, 16.1848, 15.4231, 16.8275, 18.3147, 0.271755, 0.794227, 66.7501, 72094.107083, 16.1351, 15.3926, 16.9391, 18.3861, 0.263444, 0.852063, 66.8529, 72095.729083, 15.8965, 15.1688, 16.9391, 18.702, 0.387973, 1.02896, 66.7064, 72095.75008299999, 15.8766, 15.1077, 16.9696, 18.702, 0.36141, 1.05481, 66.6559, 72096.665083, 16.0456, 15.2807, 17.041, 18.6205, 0.303993, 0.970752, 66.9878
72096.78, 72098.2965275, 72098.31318421199, 72099.31310986099, 72099.32975441599, 72099.746381398, 72099.76305522601, 72100.17969339999, 72100.19650612699, 72101.41287074599, 3.317666903214759, 0.37263216981132075, 0.9663752264150943, 2.3310978315785973, 0.2842375000000001, 0.6357601447368421, 0.9098424100857736, 0.24416406896551726, 0.7555966551724138, 0.8815773757528551, 0.2902667037037038, 0.8724105555555554, 2.8651064468305156, 0.2984583820224719, 1.006680078651686, 72096.691083, 16.0357, 15.2298, 16.9493, 18.6307, 0.327459, 0.968159, 66.8454, 72098.21508299999, 16.1053, 15.2196, 16.9797, 18.6001, 0.274563, 0.953953, 66.9047, 72098.21508299999, 16.1053, 15.2196, 16.9797, 18.6001, 0.274563, 0.953953, 66.9047, 72099.23408299999, 16.3339, 15.5859, 16.594, 18.1924, 0.3187, 0.644621, 66.7063, 72099.23408299999, 16.3339, 15.5859, 16.594, 18.1924, 0.3187, 0.644621, 66.7063, 72099.665083, 16.2444, 15.3417, 16.7666, 18.3046, 0.238255, 0.784228, 66.6573, 72099.665083, 16.2444, 15.3417, 16.7666, 18.3046, 0.238255, 0.784228, 66.6573, 72100.080083, 16.0754, 15.3926, 16.8376, 18.4982, 0.365895, 0.868467, 66.8038, 72100.10608299999, 16.145, 15.4536, 16.7463, 18.4472, 0.377876, 0.807325, 66.7922, 72101.320083, 15.8667, 15.1077, 17.1435, 18.6715, 0.287834, 1.08714, 66.7894
72101.429, 72102.94551190801, 72102.962172981, 72104.578708558, 72104.59535666401, 72105.012001689, 72105.04531322, 72106.04521141, 72106.06182616999, 72107.178433436, 3.8498288480547735, 0.3090787326732673, 1.1084124851485149, 4.171619477403945, 0.2940697068965515, 1.2230786034482757, 1.1339032991912752, 0.29046051724137933, 1.088470448275862, 2.3755399982968624, 0.26009642465753435, 1.2646827397260272, 2.9557818392661748, 0.25246621333333336, 1.2431876000000002, 72101.350083, 15.9561, 15.0772, 17.1025, 18.6715, 0.258201, 1.0644, 66.8073, 72102.847083, 15.7673, 14.9348, 17.1333, 18.9466, 0.367191, 1.20794, 66.782, 72102.872083, 15.7275, 14.9348, 17.2256, 18.9466, 0.34726, 1.23663, 66.8345, 72104.48108299999, 16.0058, 15.2298, 17, 18.7224, 0.353348, 1.00513, 66.9581, 72104.497083, 16.0058, 15.24, 16.9696, 18.8141, 0.402331, 1.01549, 67.0295, 72104.919083, 15.7772, 14.8229, 17.2768, 18.8753, 0.241238, 1.24762, 66.7522, 72104.963083, 15.8269, 14.7822, 17.3384, 18.8753, 0.184149, 1.25809, 66.8227, 72105.955083, 15.7772, 14.9755, 17.2461, 18.8243, 0.290519, 1.1937, 66.8231, 72105.97308299999, 15.807, 14.9348, 17.2358, 18.8243, 0.268054, 1.19421, 66.802, 72107.099083, 16.0158, 15.1688, 16.9594, 18.702, 0.334951, 1.0046, 66.846
72107.195, 72108.71153423502, 72108.72817072301, 72109.544770679, 72109.56145042999, 72110.078069204, 72110.09472790401, 72111.11128886399, 72111.12816642699, 72113.06110760299, 3.8615812632095623, 0.2699498316831682, 1.1193828415841587, 2.186051965226646, 0.3524782727272726, 1.270919818181818, 1.239754307695817, 0.25958407894736846, 1.4999031578947368, 2.4928819547366694, 0.34262032394366215, 1.3572957746478878, 4.532803679237951, 0.27347872463768114, 1.4116888405797103, 72107.099083, 16.0158, 15.1688, 16.9594, 18.702, 0.334951, 1.0046, 66.846, 72108.61708299999, 15.8667, 14.9144, 17.1538, 18.9568, 0.317973, 1.19511, 66.8917, 72108.63208299999, 15.7871, 14.8534, 17.1538, 18.9263, 0.314263, 1.22291, 66.7206, 72109.44708299999, 15.4789, 14.5075, 17.4819, 19.3135, 0.322011, 1.52939, 66.7819, 72109.470083, 15.5684, 14.477, 17.5024, 19.2524, 0.246453, 1.5066, 66.8002, 72110.01108299999, 15.6281, 14.7008, 17.3896, 19.1403, 0.307876, 1.39123, 66.8588, 72110.01108299999, 15.6281, 14.7008, 17.3896, 19.1403, 0.307876, 1.39123, 66.8588, 72111.020083, 15.7076, 14.6601, 17.4101, 19.0486, 0.221059, 1.3672, 66.8264, 72111.03308299999, 15.6877, 14.6703, 17.3076, 19.0689, 0.278676, 1.3528, 66.7345, 72112.972083, 15.3, 14.2633, 17.7793, 19.446, 0.235859, 1.7208, 66.7886
72113.079, 72114.59553765101, 72114.61221541502, 72116.012063614, 72116.028674892, 72116.64534217902, 72116.662014039, 72117.678563402, 72117.695364376, 72118.57847927502, 3.4454531908370742, 0.2515681700000001, 1.4671463, 3.3062468348953926, 0.2682779405940595, 1.3425523762376237, 1.5346495365285977, 0.23842733333333335, 1.3309569230769236, 2.6698614134296568, 0.22162674305555546, 1.4782479166666669, 2.435022167953118, 0.193341, 1.4008346969696968, 72112.987083, 15.3099, 14.4057, 17.8305, 19.4562, 0.269213, 1.69495, 67.0024, 72114.498083, 15.5982, 14.4668, 17.5537, 19.283, 0.223398, 1.51826, 66.9017, 72114.517083, 15.6082, 14.5583, 17.4614, 19.3237, 0.303394, 1.48285, 66.9517, 72115.921083, 15.8766, 14.8941, 17.0513, 18.7632, 0.273857, 1.13624, 66.5851, 72115.96508299999, 15.8269, 14.9042, 16.9391, 18.6307, 0.289941, 1.0947, 66.3009, 72116.55608299999, 15.6678, 14.599, 17.5947, 19.0689, 0.151446, 1.4336, 66.9305, 72116.565083, 15.6678, 14.6397, 17.5639, 19.0893, 0.185668, 1.42151, 66.9608, 72117.592083, 15.5784, 14.5889, 17.5844, 19.1403, 0.211668, 1.47047, 66.892, 72117.603083, 15.5982, 14.6092, 17.5332, 19.2524, 0.272489, 1.47286, 66.993, 72118.489083, 15.5287, 14.5685, 17.5127, 19.1301, 0.246215, 1.47114, 66.7399
72118.595, 72119.91153558102, 72119.928161224, 72120.94477011802, 72120.961445374, 72121.37807181702, 72121.39467355103, 72122.61129823403, 72122.62807215401, 72123.56119122703, 3.12332337348289, 0.2721724175824176, 1.486311428571429, 2.435955021735582, 0.17704613913043474, 1.536049420289855, 1.120855883950642, 0.18401840000000008, 1.6518013333333337, 2.8072966147759635, 0.18140944835164824, 1.6405209890109895, 2.225202404551406, 0.17839322544117658, 1.5220789705882352, 72118.509083, 15.4988, 14.5278, 17.5844, 19.2524, 0.260589, 1.52778, 66.8635, 72119.82908299999, 15.7175, 14.6906, 17.4101, 18.967, 0.198379, 1.34064, 66.7853, 72119.82908299999, 15.7175, 14.6906, 17.4101, 18.967, 0.198379, 1.34064, 66.7853, 72120.849083, 15.4591, 14.2938, 17.6152, 19.446, 0.249055, 1.64075, 66.8141, 72120.86708299999, 15.3795, 14.3244, 17.6562, 19.3849, 0.252265, 1.64893, 66.745, 72121.28708299999, 15.5585, 14.3549, 17.7485, 19.2422, 0.108406, 1.58675, 66.9041, 72121.296083, 15.4988, 14.3651, 17.7177, 19.2932, 0.165105, 1.60307, 66.8748, 72122.520083, 15.3795, 14.1921, 17.9125, 19.3441, 0.0913352, 1.72495, 66.8283, 72122.53408299999, 15.4193, 14.243, 17.892, 19.4053, 0.125787, 1.71037, 66.9596, 72123.49908299999, 15.6977, 14.7822, 17.4717, 19.2524, 0.321874, 1.39372, 67.2039
72123.578, 72124.69457380498, 72124.711258574, 72125.711150762, 72125.72778397, 72126.344399862, 72126.36109090199, 72127.361003893, 72127.377781904, 72128.56086065598, 2.7795425775010885, 0.19126848249999995, 1.5419360000000006, 2.7311018825572706, 0.3227426527777778, 1.751207222222221, 1.7435497109130194, 0.1917124227272727, 1.6688579545454543, 2.4450278709628077, 0.19644426197183104, 1.607120985915493, 3.4308041682521533, 0.27511596781609193, 1.8609868965517247, 72123.49908299999, 15.6977, 14.7822, 17.4717, 19.2524, 0.321874, 1.39372, 67.2039, 72124.612083, 15.5485, 14.4363, 17.5229, 19.4868, 0.317797, 1.57287, 66.9945, 72124.612083, 15.5485, 14.4363, 17.5229, 19.4868, 0.317797, 1.57287, 66.9945, 72125.62908299999, 15.2702, 14.1412, 17.7382, 19.3849, 0.194526, 1.73858, 66.5345, 72125.62908299999, 15.2702, 14.1412, 17.7382, 19.3849, 0.194526, 1.73858, 66.5345, 72126.25308299999, 15.3795, 14.4057, 17.7793, 19.5276, 0.288609, 1.68162, 67.0921, 72126.278083, 15.3795, 14.3651, 17.5434, 19.5378, 0.366575, 1.64681, 66.8258, 72127.274083, 15.3994, 14.1819, 17.7793, 19.4053, 0.152975, 1.70818, 66.7659, 72127.281083, 15.3, 14.1921, 17.81, 19.4766, 0.209165, 1.75083, 66.7787, 72128.46508299999, 15.4094, 14.2633, 17.6357, 19.2116, 0.161558, 1.61786, 66.52
72128.578, 72130.09452836901, 72130.11121101498, 72131.711056343, 72131.727723996, 72132.244339991, 72132.26101590299, 72133.26088395201, 72133.277740732, 72134.16082052999, 3.351031533201839, 0.16647546310679617, 1.58292359223301, 3.728929148599711, 0.21400980555555554, 1.501628796296296, 1.0560860209476473, 0.2532938421052631, 1.6597821052631576, 3.0810979254477435, 0.18251339855072468, 1.4682839130434786, 2.377498509102204, 0.1790183880597015, 1.4184049253731341, 72128.50008299999, 15.4889, 14.2938, 17.7895, 19.3951, 0.153255, 1.65794, 66.9673, 72130.01408299999, 15.3696, 14.1412, 17.7793, 19.5582, 0.205892, 1.7562, 66.8482, 72130.01408299999, 15.3696, 14.1412, 17.7793, 19.5582, 0.205892, 1.7562, 66.8482, 72131.614083, 15.6281, 14.2938, 17.6562, 19.3034, 0.116965, 1.57839, 66.8815, 72131.635083, 15.6181, 14.304, 17.5229, 19.3441, 0.189805, 1.55974, 66.7892, 72132.145083, 15.4988, 14.3447, 17.4614, 19.2728, 0.246802, 1.55247, 66.5777, 72132.165083, 15.5784, 14.477, 17.4819, 19.3441, 0.284392, 1.51852, 66.8813, 72133.191083, 15.6579, 14.477, 17.5844, 19.2524, 0.181803, 1.50108, 66.9717, 72133.191083, 15.6579, 14.477, 17.5844, 19.2524, 0.181803, 1.50108, 66.9717, 72134.070083, 15.6877, 14.5685, 17.3486, 19.0588, 0.221613, 1.38407, 66.6636
72134.177, 72135.29357484699, 72135.31023586198, 72136.31014945099, 72136.32680622, 72136.74342874499, 72136.76009973598, 72138.15994824498, 72138.17681440298, 72139.05987256998, 2.93590016980786, 0.1954137901234568, 1.389839382716049, 2.26573048950737, 0.13194745000000002, 1.524240588235294, 0.9058966585821908, 0.15431369393939395, 1.440647878787879, 3.4647731801007233, 0.10790960666666666, 1.3140388571428578, 2.0304354748589124, 0.13196811491525426, 1.269693559322034, 72134.080083, 15.6778, 14.5482, 17.3589, 19.0791, 0.221509, 1.39777, 66.664, 72135.206083, 15.7673, 14.6092, 17.3486, 19.0282, 0.195321, 1.34832, 66.7533, 72135.21908299999, 15.7573, 14.6397, 17.4306, 19.0486, 0.187039, 1.3642, 66.8763, 72136.225083, 15.7573, 14.5685, 17.4101, 19.0078, 0.153151, 1.36914, 66.7438, 72136.240083, 15.7374, 14.6092, 17.4204, 18.9874, 0.164339, 1.36196, 66.7544, 72136.65508299999, 15.7474, 14.5889, 17.4306, 19.0995, 0.190821, 1.38947, 66.8664, 72136.664083, 15.7076, 14.5583, 17.4614, 19.0486, 0.163949, 1.4026, 66.7759, 72138.08708299999, 15.7374, 14.5177, 17.4204, 19.0893, 0.168189, 1.40522, 66.7648, 72138.08708299999, 15.7374, 14.5177, 17.4204, 19.0893, 0.168189, 1.40522, 66.7648, 72138.967083, 15.986, 14.6194, 17.4101, 18.804, 0.0101954, 1.25908, 66.8194
72139.077, 72140.393516131, 72140.410101251, 72141.21012888, 72141.22677044298, 72141.743404578, 72141.760077286, 72142.75996634898, 72142.77676934899, 72143.84321196798, 3.2327043785407774, 0.16076048836956525, 1.3365702173913043, 1.778022112139198, 0.1526672811320755, 1.387959811320755, 1.2117712569029786, 0.18346486052631578, 1.214129210526316, 2.3740710054772456, 0.08857987267605635, 1.2077636619718306, 2.8557765199288805, 0.05804805228378378, 1.4286331081081085, 72139.001083, 15.9363, 14.7008, 17.4101, 18.8345, 0.0706166, 1.25766, 66.8817, 72140.31408299999, 15.4789, 14.1718, 17.851, 19.3543, 0.0733286, 1.69498, 66.856, 72140.31408299999, 15.4789, 14.1718, 17.851, 19.3543, 0.0733286, 1.69498, 66.856, 72141.126083, 15.9064, 14.8025, 17.1641, 18.9466, 0.253916, 1.21261, 66.8196, 72141.127083, 15.9263, 14.7516, 17.1846, 18.9466, 0.21981, 1.22436, 66.8092, 72141.650083, 16.1749, 14.9144, 17.1538, 18.5797, 0.0619233, 1.04252, 66.8228, 72141.672083, 16.2146, 14.9653, 17.1128, 18.5288, 0.0623524, 1.00155, 66.8215, 72142.665083, 15.8567, 14.8636, 17.3999, 18.7428, 0.130776, 1.21646, 66.863, 72142.68108299999, 15.8667, 14.8534, 17.3486, 18.7224, 0.134942, 1.20173, 66.7911, 72143.755083, 15.7374, 14.7008, 17.5229, 18.8651, 0.114304, 1.33551, 66.8262
