a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
73087.515, 73088.631688968, 73088.64829056802, 73089.6481382, 73089.66495609599, 73090.181539964, 73090.198246267, 73091.614778887, 73091.63146365901, 73092.581166906, 3.493811774338419, 0.715554848101266, 1.2361820886075947, 3.094457848659785, 0.6171670845070424, 1.2312671830985924, 1.5327969369842402, 0.7109255714285715, 1.0977379714285715, 5.293052247879377, 0.8491757714285715, 1.2960162190476194, 3.2591654698237713, 0.968558257142857, 1.2625618857142855, 73087.41608299999, 14.5444, 15.3214, 17.9741, 18.9976, 0.673443, 1.59473, 66.8375, 73088.539083, 14.9222, 15.6571, 17.7793, 18.4269, 0.517508, 1.26378, 66.7854, 73088.562083, 14.8129, 15.6062, 17.81, 18.437, 0.532651, 1.3113, 66.6662, 73089.551083, 14.952, 15.9114, 17.5332, 18.3249, 0.656143, 1.12287, 66.7216, 73089.58308299999, 15.0813, 15.9826, 17.3589, 18.223, 0.662273, 1.01686, 66.6458, 73090.089083, 15.0117, 16.0742, 17.3896, 18.1823, 0.695771, 1.00948, 66.6578, 73090.11708299999, 14.9719, 16.1251, 17.4306, 18.2026, 0.721243, 1.01969, 66.7303, 73091.524083, 12.9439, 15.6469, 18.9891, 19.1912, 1.08773, 2.15429, 66.7712, 73091.543083, 13.3515, 15.6978, 18.7328, 18.8957, 0.940791, 1.93001, 66.6777, 73092.495083, 13.3117, 16.1963, 18.1689, 18.9874, 1.38872, 1.72093, 66.6643
73086.596, 73088.11267196598, 73088.12934786799, 73089.14592404598, 73089.162549446, 73089.579208706, 73089.595871694, 73090.21248559498, 73090.22924234498, 73091.429015802, 4.760267186922343, 0.7292357636363634, 1.2177775909090907, 3.0432368202740863, 0.6008210547945204, 1.2219486301369857, 1.1095713798622437, 0.6746393448275863, 1.247661724137931, 1.8308361680023064, 0.704993261904762, 1.0973285476190477, 4.553342132240025, 0.8133187362637361, 1.1950788241758241, 73086.50708299999, 14.8626, 15.9013, 17.4614, 18.4778, 0.770241, 1.16383, 66.703, 73088.02608299999, 14.6737, 15.5859, 17.6665, 18.7224, 0.738257, 1.37948, 66.6484, 73088.035083, 14.7632, 15.6774, 17.6049, 18.6205, 0.723696, 1.3016, 66.666, 73089.051083, 14.6836, 15.708, 17.81, 18.4778, 0.634432, 1.3264, 66.6794, 73089.077083, 14.8129, 15.8504, 17.7382, 18.4269, 0.645739, 1.23492, 66.8284, 73089.482083, 14.9918, 15.9928, 17.4511, 18.3453, 0.709477, 1.08081, 66.7811, 73089.50408299999, 14.9322, 15.942, 17.5127, 18.3046, 0.675377, 1.11179, 66.6913, 73090.11708299999, 14.9719, 16.1251, 17.4306, 18.2026, 0.721243, 1.01969, 66.7303, 73090.152083, 15.0713, 16.1861, 17.3794, 18.0803, 0.680381, 0.94479, 66.7172, 73091.35508299999, 13.3614, 15.9725, 18.4355, 19.0995, 1.22446, 1.83967, 66.8689
73091.447, 73092.56357383601, 73092.580229584, 73093.580123062, 73093.59677936802, 73094.213400302, 73094.23008203901, 73094.63003129499, 73094.64702236901, 73096.079879715, 4.078698024005683, 0.9921893734939756, 1.395071831325301, 2.898294553551056, 1.2788721739130435, 1.923914347826087, 1.8517225011976985, 1.1825779069767441, 2.0238334883720936, 1.2275816681122127, 1.1898896969696973, 1.5687315151515149, 3.550006730593855, 1.185320792079208, 2.01242811881188, 73091.35508299999, 13.3614, 15.9725, 18.4355, 19.0995, 1.22446, 1.83967, 66.8689, 73092.467083, 13.4211, 16.2777, 18.0971, 18.9161, 1.37741, 1.64463, 66.7119, 73092.495083, 13.3117, 16.1963, 18.1689, 18.9874, 1.38872, 1.72093, 66.6643, 73093.493083, 12.9637, 15.5961, 18.8661, 19.548, 1.23711, 2.20704, 66.9739, 73093.512083, 12.8942, 15.5452, 18.8148, 19.4359, 1.22659, 2.20678, 66.69, 73094.130083, 13.6497, 16.237, 18.1279, 18.4676, 1.10069, 1.51367, 66.4822, 73094.130083, 13.6497, 16.237, 18.1279, 18.4676, 1.10069, 1.51367, 66.4822, 73094.531083, 13.2123, 15.9521, 18.4765, 19.1912, 1.29227, 1.90851, 66.8321, 73094.55208299999, 13.0632, 15.8911, 18.5995, 19.1709, 1.27362, 1.98191, 66.7246, 73095.98508299999, 12.8743, 15.7893, 18.6508, 19.3135, 1.34247, 2.09388, 66.6279
73096.096, 73097.31257200001, 73097.329240562, 73098.345814002, 73098.36248297001, 73098.97908446101, 73098.995737228, 73100.01229175802, 73100.045862099, 73100.81223702499, 3.50121361794514, 1.1507937349397592, 1.8926515662650596, 2.646298062519278, 1.0938355555555554, 2.02990986111111, 1.7126959136418622, 1.0293300222222221, 2.044659555555556, 3.1849674095602727, 1.0435981250000002, 2.387259444444444, 2.2856844639423657, 1.227416862745098, 2.581840392156863, 73096.001083, 12.8743, 15.7283, 18.6918, 19.4053, 1.33716, 2.13521, 66.6996, 73097.229083, 13.2719, 15.769, 18.7226, 18.9874, 1.03441, 1.94807, 66.7509, 73097.236083, 13.1924, 15.7893, 18.7123, 19.0995, 1.11693, 1.98299, 66.7936, 73098.26908299999, 13.1924, 15.6062, 18.8251, 19.2116, 1.04749, 2.07333, 66.8353, 73098.26908299999, 13.1924, 15.6062, 18.8251, 19.2116, 1.04749, 2.07333, 66.8353, 73098.884083, 12.9836, 15.3519, 19.0302, 19.4053, 1.02716, 2.26893, 66.7709, 73098.917083, 13.083, 15.3417, 18.9584, 19.3441, 0.990754, 2.22047, 66.7273, 73099.919083, 12.417, 14.8127, 19.266, 20.2104, 1.25183, 2.7539, 66.7061, 73099.95408299999, 12.5363, 14.8432, 19.2147, 20.2104, 1.23594, 2.70468, 66.8046, 73100.736083, 12.7351, 14.8534, 19.1429, 19.9964, 1.11339, 2.59657, 66.7278
73100.829, 73102.34555116101, 73102.36222564001, 73103.778729596, 73103.795402769, 73104.41200167601, 73104.428692824, 73105.445247669, 73105.46205431601, 73106.57847547901, 4.715124256543704, 1.1178725000000003, 2.250429444444445, 4.256912857434952, 1.2891109803921565, 2.361428823529411, 1.7483901616336568, 1.040605906976744, 2.026492790697674, 3.0502646870371324, 1.0255861447368424, 2.0198900000000015, 3.5293827521715846, 1.1171241410256405, 2.158008333333334, 73100.736083, 12.7351, 14.8534, 19.1429, 19.9964, 1.11339, 2.59657, 66.7278, 73102.258083, 13.0234, 15.1688, 18.7123, 19.976, 1.27432, 2.35409, 66.8805, 73102.277083, 12.9339, 15.0467, 18.8353, 20.0066, 1.22863, 2.4381, 66.8225, 73103.687083, 13.0532, 15.3926, 18.7738, 19.3951, 1.1111, 2.18941, 66.6147, 73103.698083, 13.093, 15.4841, 18.8148, 19.283, 1.0721, 2.14189, 66.6749, 73104.317083, 13.2222, 15.6266, 18.8148, 19.0995, 1.00693, 2.03681, 66.7631, 73104.335083, 13.2123, 15.6774, 18.7841, 19.0791, 1.03375, 2.01643, 66.7529, 73105.358083, 13.3415, 15.6164, 18.538, 19.1607, 1.08675, 1.96697, 66.6566, 73105.36708299999, 13.3216, 15.6164, 18.7021, 19.1912, 1.04141, 2.00997, 66.8313, 73106.493083, 13.1924, 15.4231, 18.8559, 19.5174, 1.07937, 2.18494, 66.9887
73106.596, 73107.912530657, 73107.92919735498, 73108.54582740199, 73108.56246218599, 73109.179069594, 73109.19574444201, 73110.21232010699, 73110.229148583, 73110.96223475099, 4.092228989096794, 1.0988274269662919, 2.2437810112359555, 1.9862315603559575, 0.9971056818181818, 2.2561409090909095, 1.728449921331561, 0.9794250000000001, 2.2283048837209307, 2.7963545049411276, 1.0265657027027024, 2.3241604054054052, 1.810346937497009, 1.1125656, 2.4703274, 73106.512083, 13.1327, 15.4028, 18.7738, 19.3135, 1.05434, 2.15058, 66.6229, 73107.82908299999, 12.8246, 15.0365, 19.0609, 19.8333, 1.11765, 2.47917, 66.7553, 73107.839083, 12.8842, 15.0569, 19.0917, 19.7926, 1.07502, 2.45637, 66.8253, 73108.45408299999, 13.3216, 15.3621, 18.7636, 19.2014, 0.929612, 2.08886, 66.6487, 73108.47708299999, 13.3415, 15.4536, 18.7431, 19.1199, 0.933471, 2.04052, 66.6581, 73109.08708299999, 12.8047, 14.9551, 19.1327, 19.7824, 1.04991, 2.50963, 66.6749, 73109.11708299999, 12.755, 14.9246, 19.2557, 19.8639, 1.03961, 2.56891, 66.7992, 73110.114083, 13.1924, 15.4231, 18.7636, 19.446, 1.08985, 2.15356, 66.8251, 73110.13208299999, 13.1526, 15.2196, 18.7021, 19.4562, 1.06011, 2.20636, 66.5305, 73110.87408299999, 12.9041, 14.9856, 19.0609, 19.7314, 1.03177, 2.45252, 66.6821
73110.979, 73112.495523704, 73112.51220659401, 73113.512093129, 73113.52875384699, 73114.04537221401, 73114.06207030501, 73114.861951797, 73114.87888426498, 73115.861868922, 4.9603141668804245, 1.115144121495327, 2.6012196261682248, 2.9763156812569873, 1.1395979104477612, 2.54135447761194, 1.547063292684386, 1.158520930232558, 2.697751395348837, 1.9173685247898482, 1.194906730769231, 2.7607542307692303, 2.8741738695945602, 1.092599705882353, 2.808458970588235, 73110.89308299999, 12.8643, 15.0162, 19.1327, 19.762, 1.04123, 2.47417, 66.7752, 73112.398083, 12.5363, 14.8025, 19.0302, 20.3022, 1.32676, 2.69837, 66.6711, 73112.414083, 12.576, 14.8636, 18.9481, 20.2206, 1.33618, 2.64138, 66.6083, 73113.41308299999, 12.8047, 15.006, 19.1429, 19.9047, 1.10795, 2.52107, 66.8583, 73113.433083, 12.8643, 14.9449, 18.9994, 19.711, 1.04941, 2.45818, 66.5197, 73113.960083, 12.4468, 14.7008, 19.225, 20.19, 1.20904, 2.76449, 66.5626, 73113.968083, 12.5064, 14.7822, 19.225, 20.2308, 1.22916, 2.73443, 66.7444, 73114.76408299999, 12.5561, 14.772, 19.348, 20.1187, 1.11781, 2.72594, 66.7948, 73114.794083, 12.6058, 14.7618, 19.4198, 20.0372, 1.03755, 2.71366, 66.8246, 73115.76908299999, 12.6655, 14.8737, 19.3275, 20.0677, 1.10125, 2.65693, 66.9345
73115.878, 73117.09456425498, 73117.11118545098, 73117.51120982697, 73117.527842585, 73117.94447185699, 73117.96115996997, 73118.97772048798, 73118.99453619498, 73119.86095406697, 3.36036704405858, 1.0949913488372094, 2.6365502325581396, 1.1964423539717988, 0.9662463666666665, 2.728901333333334, 1.1523198142527207, 1.0597149714285714, 2.8801079999999994, 3.122032525321525, 1.0123753815789471, 2.8334215789473682, 2.4470764852885796, 1.1669802499999997, 3.2927095000000004, 73115.793083, 12.6655, 14.9246, 19.2455, 20.0677, 1.15142, 2.62837, 66.9033, 73116.995083, 12.5561, 14.7211, 19.5223, 20.0474, 1.00604, 2.75834, 66.8469, 73117.028083, 12.5561, 14.6397, 19.5121, 20.0677, 0.988114, 2.78184, 66.7757, 73117.438083, 12.5561, 14.7415, 19.4095, 20.0168, 1.04632, 2.72662, 66.7239, 73117.438083, 12.5561, 14.7415, 19.4095, 20.0168, 1.04632, 2.72662, 66.7239, 73117.85208299999, 12.3573, 14.5177, 19.5223, 20.1493, 1.04713, 2.88444, 66.5466, 73117.866083, 12.3275, 14.5583, 19.5121, 20.2104, 1.09942, 2.89078, 66.6083, 73118.880083, 12.4865, 14.3854, 19.6966, 20.3327, 0.947276, 2.95003, 66.9013, 73118.91308299999, 12.2877, 14.2531, 19.8197, 20.4856, 0.984117, 3.08868, 66.8461, 73119.763083, 12.3772, 14.6397, 19.4403, 20.3633, 1.19184, 2.87037, 66.8205
73119.878, 73121.39456783401, 73121.411150784, 73122.41114794699, 73122.427817374, 73122.944419793, 73122.961097775, 73124.56093045001, 73124.57775680101, 73125.194207897, 4.284092406602979, 1.0845242990654205, 3.3032520560747662, 2.3750621862957906, 1.073493661764706, 3.3516232352941167, 1.6143657433584022, 1.0530261749999998, 3.5691774999999994, 4.582208811418108, 1.1060465338983048, 3.78468906779661, 1.703079086175814, 1.1549338636363635, 3.297612045454544, 73119.786083, 12.4368, 14.6703, 19.4505, 20.2512, 1.13536, 2.82777, 66.8088, 73121.301083, 11.9298, 14.2124, 19.9017, 20.6079, 1.12107, 3.23337, 66.6519, 73121.32208299999, 12.0591, 14.2328, 19.8197, 20.5875, 1.10256, 3.17441, 66.6991, 73122.323083, 11.9895, 13.8971, 20.0657, 20.771, 0.978982, 3.36094, 66.7233, 73122.330083, 11.9298, 13.8869, 20.1375, 20.8118, 0.985274, 3.39976, 66.766, 73122.85208299999, 11.5123, 13.5919, 20.3938, 21.4538, 1.17232, 3.75125, 66.9518, 73122.866083, 11.4626, 13.5512, 20.4964, 21.5048, 1.15534, 3.80231, 67.0149, 73124.468083, 11.9298, 14.0598, 20.0555, 20.7506, 1.05737, 3.32725, 66.7958, 73124.494083, 11.9, 14.07, 20.0145, 20.6894, 1.06676, 3.31477, 66.6739, 73125.095083, 11.8205, 14.0191, 19.953, 20.9341, 1.19134, 3.38262, 66.7266
73125.212, 73126.228613819, 73126.24528045501, 73126.845227009, 73126.861887367, 73127.37851509999, 73127.395178548, 73128.395069288, 73128.411813674, 73129.16167235101, 2.9484410005341926, 1.099728529411765, 3.347393970588235, 1.6911693293254126, 1.145083953488372, 3.3297867441860483, 1.715757396079289, 1.0717262499999993, 3.2569235000000005, 2.7675951582605642, 1.1018294285714285, 3.2779905714285715, 2.0152513441450055, 1.1391202, 3.3529715999999996, 73125.127083, 11.8304, 14.0395, 19.953, 20.9544, 1.20197, 3.37783, 66.7773, 73126.12908299999, 11.7012, 14.009, 20.1888, 21.0054, 1.16749, 3.47153, 66.9043, 73126.150083, 11.8006, 13.9683, 20.1478, 21.0258, 1.13744, 3.45178, 66.9424, 73126.74908299999, 11.9696, 14.1819, 19.9222, 20.6181, 1.09018, 3.23626, 66.6918, 73126.78008299999, 11.8901, 14.1819, 19.9222, 20.6385, 1.12864, 3.26162, 66.6327, 73127.305083, 11.8304, 13.9174, 20.0555, 20.8118, 1.06705, 3.4045, 66.6151, 73127.305083, 11.8304, 13.9174, 20.0555, 20.8118, 1.06705, 3.4045, 66.6151, 73128.313083, 12.0094, 14.2735, 19.7992, 20.6283, 1.15922, 3.18045, 66.7103, 73128.313083, 12.0094, 14.2735, 19.7992, 20.6283, 1.15922, 3.18045, 66.7103, 73129.062083, 11.9795, 14.1616, 19.8812, 20.6996, 1.12426, 3.24624, 66.7219
