a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
62992.374, 62993.89073573198, 62993.907306534, 62994.723839569015, 62994.757181763, 62995.173830531996, 62995.20722743298, 62996.223646676975, 62996.24036579503, 62997.390392301015, 4.4321242851791895, 0.9035248018867926, 1.4290444339622628, 1.816766227075282, 0.722418844827586, 1.566051379310345, 1.1594525281004748, 0.7177147999999999, 1.4459883333333337, 2.614994398760359, 0.8447850133333336, 1.7130309333333331, 2.4531587589910875, 0.7703102891566266, 1.5610053012048195, 62992.28144, 14.1237, 13.9643, 16.5735, 18.6715, 0.765234, 1.69508, 63.3329, 62993.79544, 14.213, 14.2375, 16.3297, 18.437, 0.843063, 1.49872, 63.2173, 62993.82244, 14.2427, 14.2679, 16.3196, 18.4269, 0.842759, 1.4787, 63.257, 62994.62444, 14.1435, 14.0554, 16.5938, 18.3861, 0.674328, 1.60995, 63.1788, 62994.66244, 14.203, 14.0756, 16.6344, 18.3351, 0.62187, 1.58682, 63.2482, 62995.07644, 14.1931, 14.3286, 16.3399, 18.3861, 0.862339, 1.47143, 63.2477, 62995.10944, 14.1237, 14.3286, 16.3501, 18.4269, 0.902149, 1.50041, 63.2292, 62996.13544, 14.2229, 14.3286, 16.4618, 18.2944, 0.765428, 1.47013, 63.3076, 62996.14744, 14.332, 14.3387, 16.4008, 18.2536, 0.734103, 1.41739, 63.3251, 62997.30244, 14.3221, 14.2982, 16.3602, 18.1007, 0.680339, 1.38884, 63.0812
62997.412, 62998.42858676803, 62998.44522508302, 62999.44504029605, 62999.46177278603, 63000.07840366101, 63000.09508174202, 63000.51168877205, 63000.528408547034, 63001.561598121, 2.2314174093748385, 0.7608655694444445, 1.5340001388888889, 2.1592058509977163, 0.6776125915492958, 1.7869119718309863, 1.732315911213147, 0.8033666170212768, 1.8582272340425532, 1.205141888713969, 0.9383115806451613, 1.8547203225806452, 3.071300277224277, 0.6560970128205126, 1.570924871794872, 62997.32044, 14.3915, 14.2274, 16.3501, 18.1211, 0.636765, 1.39142, 63.09, 62998.34144, 13.9055, 13.9643, 16.807, 18.6001, 0.731656, 1.78676, 63.2769, 62998.36044, 13.7964, 13.9036, 16.7969, 18.6103, 0.76085, 1.83194, 63.1072, 62999.34744, 13.8559, 13.8024, 16.7766, 18.6817, 0.73339, 1.85371, 63.1165, 62999.37544, 13.8956, 13.7619, 16.807, 18.6918, 0.693175, 1.86238, 63.1564, 62999.98844, 13.9452, 14.1464, 16.3501, 18.7122, 1.01476, 1.65565, 63.1539, 62999.99544, 13.9551, 14.2982, 16.3602, 18.6817, 1.05244, 1.60879, 63.2952, 63000.41744, 13.717, 13.6, 16.9188, 18.9466, 0.756085, 2.02945, 63.1824, 63000.44844, 13.6972, 13.6405, 16.9391, 18.9976, 0.790924, 2.0385, 63.2743, 63001.47744, 14.3121, 14.0351, 16.5125, 18.3657, 0.623223, 1.54945, 63.2255
63001.625, 63002.94153444801, 63002.958205442, 63003.95810104505, 63003.974776343035, 63004.391389055, 63004.42472896201, 63004.824648330046, 63004.841394193005, 63005.774585145, 3.382613134277342, 0.9125482934782608, 1.552402282608696, 2.396849040183053, 0.9427211944444441, 1.9666568055555556, 0.9231581142242734, 0.58576525, 2.1814575, 1.0754769269814586, 0.56569, 2.0684841379310344, 2.481556340712341, 0.7556763030303032, 1.6543253030303027, 63001.53244, 14.3221, 14.197, 16.2993, 18.3759, 0.772056, 1.46124, 63.1943, 63002.86344, 13.9154, 14.197, 16.4516, 18.7224, 1.00828, 1.67373, 63.2865, 63002.86344, 13.9154, 14.197, 16.4516, 18.7224, 1.00828, 1.67373, 63.2865, 63003.86644, 13.6278, 13.428, 17.1025, 18.9365, 0.647488, 2.13566, 63.0947, 63003.88644, 13.6674, 13.4685, 17.1846, 18.9568, 0.621581, 2.13477, 63.2773, 63004.29844, 13.6079, 13.2458, 17.4101, 19.0384, 0.500035, 2.27355, 63.3023, 63004.33944, 13.6377, 13.2661, 17.3691, 18.9568, 0.480828, 2.23523, 63.2297, 63004.72744, 13.8956, 13.7315, 16.868, 18.6511, 0.641003, 1.87469, 63.1462, 63004.74644, 13.9055, 13.7113, 16.7969, 18.6307, 0.650185, 1.8584, 63.0444, 63005.68844, 14.0344, 13.6911, 16.8375, 18.6307, 0.573564, 1.83785, 63.1937
63005.789, 63007.00564114098, 63007.022316897994, 63008.02221761598, 63008.03887919, 63008.45551321802, 63008.47217879899, 63008.87213443098, 63008.888757507964, 63009.87203641801, 3.0489171660515972, 0.6173094418604652, 1.942309418604651, 2.3333580674151015, 0.6796662666666669, 1.7773110666666665, 1.156403253925876, 0.6144388076923076, 2.1962446153846154, 0.8990667796982605, 0.5991725384615384, 2.1466561538461537, 2.335439371529126, 0.5777698709677421, 2.001770322580645, 63005.70744, 14.084, 13.6405, 16.9086, 18.6307, 0.505248, 1.85291, 63.2638, 63006.90744, 13.8162, 13.6101, 16.9492, 18.7938, 0.648433, 1.97485, 63.1693, 63006.92744, 13.8658, 13.6, 16.9898, 18.7836, 0.604025, 1.97052, 63.2392, 63007.93244, 13.7964, 13.5899, 17.0718, 18.7836, 0.59506, 2.00874, 63.2416, 63007.94444, 13.7369, 13.4583, 17.0615, 18.8753, 0.607949, 2.07698, 63.132, 63008.35744, 13.6972, 13.4583, 17.0513, 18.8345, 0.612456, 2.07727, 63.0413, 63008.38744, 13.6774, 13.6, 17.082, 18.8549, 0.670549, 2.05482, 63.2143, 63008.78044, 13.6179, 13.3875, 17.2768, 18.9568, 0.573078, 2.18891, 63.239, 63008.81244, 13.6873, 13.428, 17.2256, 18.9059, 0.56169, 2.13834, 63.2467, 63009.78244, 13.7567, 13.7012, 16.8477, 18.804, 0.752965, 1.9475, 63.1095
63009.889, 63011.005535087, 63011.02222290202, 63012.02209443504, 63012.038762241, 63012.55538232803, 63012.572050440045, 63013.17199364401, 63013.18868870001, 63014.421867720004, 2.5559784508729977, 0.6037640533333335, 1.8968722666666664, 2.3356649885400556, 0.5300981000000002, 1.937316571428571, 1.331536762733537, 0.4063118235294118, 2.0818158823529416, 1.8657525406599558, 0.48613673913043476, 2.214300869565217, 2.9370057734425647, 0.4926110978260869, 1.8219124999999992, 63009.80044, 13.7666, 13.6607, 16.8781, 18.8651, 0.744435, 1.97463, 63.1706, 63010.90844, 13.8757, 13.5798, 17, 18.7428, 0.572342, 1.96698, 63.1983, 63010.92444, 13.846, 13.5494, 16.9492, 18.7122, 0.581396, 1.96634, 63.0568, 63011.94744, 13.9352, 13.4786, 17.1128, 18.6103, 0.412142, 1.97411, 63.1369, 63011.94744, 13.9352, 13.4786, 17.1128, 18.6103, 0.412142, 1.97411, 63.1369, 63012.46244, 13.6972, 13.2863, 17.3486, 18.9365, 0.465059, 2.20526, 63.2686, 63012.48444, 13.7468, 13.2458, 17.3384, 18.8855, 0.413728, 2.19039, 63.2165, 63013.07444, 13.8063, 13.3268, 17.2256, 18.6103, 0.359392, 2.07312, 62.969, 63013.10044, 13.8757, 13.3571, 17.2358, 18.6613, 0.359124, 2.05866, 63.13, 63014.33844, 14.1039, 13.5899, 17.0513, 18.4778, 0.360861, 1.85899, 63.2228
63014.439, 63015.95552232697, 63015.97218085795, 63017.588756514, 63017.60539199998, 63018.121987476, 63018.138652743, 63019.155207741, 63019.17192523698, 63020.021791856954, 3.4882918765331925, 0.3503640297029703, 1.861666831683168, 4.2237840660626, 0.5196953909090911, 2.1598788181818187, 1.470900764458586, 0.3405207894736842, 1.8074863157894743, 2.9238003211640944, 0.09527537599999997, 1.9549452857142866, 1.8436569321132177, 0.10022733389830508, 1.8289816949152535, 63014.34644, 14.0939, 13.6506, 17.0308, 18.437, 0.380841, 1.8327, 63.2123, 63015.86444, 13.7964, 13.7113, 16.8781, 18.702, 0.689051, 1.91934, 63.0879, 63015.88544, 13.7865, 13.6607, 16.9289, 18.7632, 0.676492, 1.95875, 63.1393, 63017.50644, 13.846, 13.4381, 17.2563, 18.7224, 0.418177, 2.06156, 63.2628, 63017.50644, 13.846, 13.4381, 17.2563, 18.7224, 0.418177, 2.06156, 63.2628, 63018.02344, 14.1435, 13.5595, 17.2256, 18.3249, 0.203693, 1.86096, 63.2536, 63018.04144, 14.084, 13.5089, 17.2256, 18.3453, 0.215578, 1.89459, 63.1638, 63019.05844, 14.3716, 13.7315, 16.9289, 18.0396, 0.186518, 1.63274, 63.0717, 63019.07944, 14.4609, 13.8024, 16.9695, 18.009, 0.150585, 1.59275, 63.2418, 63019.92944, 14.2328, 13.6, 17.1435, 18.3147, 0.212672, 1.80725, 63.2911
63020.039, 63021.455520065974, 63021.47211380496, 63022.488769706, 63022.50543816895, 63022.922059535, 63022.93872662896, 63023.555310642005, 63023.57195033297, 63024.53858843598, 3.9017084847742183, -0.14572403892156852, 1.8154703921568627, 2.715345784735081, -0.33675176212121216, 1.868389090909092, 1.1081384179217948, -0.3282021333333335, 1.9433926666666665, 1.5980009669886488, -0.3578079545454546, 1.9659895454545457, 1.9785648710510293, -0.09587762060606059, 1.9670796969696969, 63019.95644, 14.2526, 13.6, 17.1128, 18.1313, 0.144967, 1.75717, 63.0967, 63021.37544, 14.7089, 13.3976, 17.2666, 17.795, -0.309837, 1.65156, 63.168, 63021.37544, 14.7089, 13.3976, 17.2666, 17.795, -0.309837, 1.65156, 63.168, 63022.39644, 14.3221, 13.1548, 17.5127, 18.1721, -0.20103, 1.94927, 63.1615, 63022.41444, 14.2824, 13.175, 17.5127, 18.1823, -0.173308, 1.95659, 63.1523, 63022.83644, 14.4014, 12.9827, 17.5742, 18.1313, -0.341402, 1.97846, 63.0896, 63022.84544, 14.3617, 13.0333, 17.5229, 18.1415, -0.281411, 1.96704, 63.0595, 63023.46644, 14.451, 13.1446, 17.4101, 18.1619, -0.2195, 1.8941, 63.1676, 63023.48544, 14.4113, 13.1244, 17.4409, 18.0498, -0.268953, 1.89324, 63.0264, 63024.44544, 14.213, 13.0435, 17.4922, 18.3963, -0.105067, 2.05053, 63.1448
63024.555, 63025.87155922905, 63025.888133418, 63027.08809176001, 63027.10475997104, 63027.521393899, 63027.538055978024, 63028.55451736705, 63028.57137872105, 63029.454497267034, 3.306453718949551, -0.03219566872340425, 1.9619739361702129, 2.8631682805129945, 0.2102592448780487, 2.065071097560975, 1.1130045007861755, 0.08998419607142859, 1.792174285714286, 2.202743478135689, 0.3548961486486488, 1.8766655405405404, 2.0934667801122657, 0.45557654098360645, 2.1216373770491805, 63024.47244, 14.1832, 12.9524, 17.5434, 18.4574, -0.125445, 2.10622, 63.1364, 63025.77844, 14.2328, 13.3369, 17.2358, 18.4676, 0.132725, 1.92825, 63.2731, 63025.81344, 14.2229, 13.347, 17.1743, 18.4167, 0.145072, 1.90492, 63.1609, 63026.98844, 14.0245, 13.0435, 17.646, 18.6103, -0.00659376, 2.17649, 63.3242, 63027.00744, 14.0245, 13.1345, 17.5024, 18.539, 0.0579804, 2.10814, 63.2004, 63027.43344, 14.2824, 13.5089, 17.082, 18.2944, 0.173697, 1.80118, 63.1677, 63027.45244, 14.2725, 13.4786, 17.082, 18.3249, 0.177738, 1.81828, 63.158, 63028.47344, 13.9352, 13.6101, 17.082, 18.7632, 0.534797, 1.96398, 63.3906, 63028.47344, 13.9352, 13.6101, 17.082, 18.7632, 0.534797, 1.96398, 63.3906, 63029.358439999996, 13.6774, 13.4077, 17.2768, 18.7224, 0.466025, 2.11958, 63.0844
63029.471, 63030.48760443598, 63030.50425522202, 63031.520829113004, 63031.537460700005, 63032.154132755975, 63032.170764342976, 63032.98735157101, 63033.004088113004, 63033.90393995998, 3.0983793488703926, 0.15476618223880595, 1.9624317910447762, 2.9563422394184578, 0.29456686969696966, 1.7142604545454545, 1.8005309047969662, -0.0063255056818181795, 1.7274197727272729, 2.1646952847323946, 0.10335396945454545, 1.7055521818181816, 1.9150472045652616, -0.07097147258064516, 1.9654141935483875, 63029.37744, 13.7765, 13.3673, 17.2666, 18.753, 0.426328, 2.10781, 63.1634, 63030.39344, 13.6377, 12.922, 17.728, 19.0486, 0.23877, 2.41967, 63.3363, 63030.42544, 13.4889, 13.1042, 17.687, 19.0995, 0.405416, 2.41247, 63.3796, 63031.42944, 14.3121, 13.5798, 17.1743, 18.1517, 0.0968874, 1.76392, 63.2179, 63031.44344, 14.3617, 13.5089, 17.1641, 18.1619, 0.0573695, 1.76954, 63.1966, 63032.07144, 14.5799, 13.5696, 17.1641, 17.8765, -0.117837, 1.63577, 63.1901, 63032.07144, 14.5799, 13.5696, 17.1641, 17.8765, -0.117837, 1.63577, 63.1901, 63032.89444, 14.1336, 13.5798, 17.1743, 18.3351, 0.240019, 1.84967, 63.2228, 63032.90844, 14.1138, 13.5696, 17.2256, 18.2842, 0.203532, 1.85772, 63.1932, 63033.80844, 14.2824, 13.1345, 17.646, 18.1007, -0.274327, 1.97814, 63.1636
63033.922, 63035.238566722, 63035.25522626998, 63036.25513468698, 63036.27179068697, 63036.788395888965, 63036.80508734301, 63038.204906770996, 63038.22162750897, 63038.82152765999, 2.889518083447183, -0.12798400399999998, 1.7129096666666674, 2.746126546320963, -0.13350175000000006, 2.103272638888887, 1.0918195210970187, -0.23576675675675673, 2.0577251351351356, 3.741481825830087, -0.042175379462365596, 2.076653225806451, 1.200136009935755, -0.15704656749999998, 2.37018675, 63033.82444, 14.3121, 13.1244, 17.6049, 18.1313, -0.261736, 1.97071, 63.1728, 63035.14444, 14.5006, 13.6304, 17.1333, 17.8867, -0.0462502, 1.63633, 63.1509, 63035.16844, 14.4807, 13.6607, 17.1846, 17.9377, -0.0264525, 1.65515, 63.2637, 63036.15944, 13.9352, 12.9321, 17.9536, 18.488, -0.185061, 2.26844, 63.3089, 63036.17244, 13.9848, 12.922, 17.851, 18.3759, -0.213014, 2.21436, 63.1338, 63036.69544, 14.2725, 13.1548, 17.646, 18.1517, -0.241986, 1.98587, 63.2249, 63036.70944, 14.2725, 13.1042, 17.6665, 18.1619, -0.266154, 2.00579, 63.205, 63038.10944, 13.846, 12.8107, 18.0971, 18.6613, -0.185718, 2.38942, 63.4151, 63038.13844, 13.9055, 12.7095, 18.0048, 18.6001, -0.23753, 2.37028, 63.22, 63038.72944, 13.8063, 12.7905, 18.0151, 18.6613, -0.146046, 2.38954, 63.2731
