a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
37745.589, 37746.80557773625, 37746.82222563963, 37747.62216940448, 37747.63884486416, 37748.05549295609, 37748.07213400072, 37749.07205663026, 37749.0890285694, 37751.12188999167, 3.2274327843984842, 0.672299777777778, 1.0049456666666667, 1.7079047015371622, 0.6322784666666665, 1.1219139733333343, 1.0347609744638695, 0.8262214827586205, 1.3679420689655175, 2.2598244330277737, 0.9659891764705878, 1.5938148235294116, 5.206743248615961, 0.7618751192052978, 1.8388088741721862, 37745.489185499995, 14.7091, 15.0743, 16.9074, 18.0396, 0.578326, 1.19656, 64.7303, 37746.7151855, 14.9352, 15.5505, 16.4546, 17.7032, 0.720862, 0.852072, 64.6436, 37746.7231855, 14.8566, 15.4781, 16.434, 17.7338, 0.744662, 0.891405, 64.5025, 37747.5231855, 14.5419, 15.0536, 16.8456, 18.2434, 0.737974, 1.27392, 64.6846, 37747.5911855, 14.5419, 15.0536, 16.8456, 18.223, 0.730327, 1.26959, 64.6642, 37747.9671855, 14.1585, 14.8362, 17.0615, 18.7224, 0.902539, 1.57212, 64.7786, 37747.9831855, 14.129, 14.8569, 17.0615, 18.6817, 0.906873, 1.56591, 64.729, 37748.9731855, 14.07, 14.7119, 17.123, 18.8447, 0.912607, 1.66468, 64.7497, 37749.006185499995, 14.0798, 14.6912, 17.123, 18.8345, 0.897172, 1.66538, 64.7286, 37751.031185499996, 14.0307, 14.567, 17.4717, 18.7122, 0.685734, 1.75658, 64.7815
37745.138, 37746.354573059725, 37746.37121192433, 37747.37113966595, 37747.38782971426, 37747.80443005076, 37747.821123588, 37749.22100120559, 37749.23783511401, 37750.7542060057, 3.367196855447355, 0.6168532083333333, 1.1570040520833331, 2.2641292289094315, 0.6512320561797754, 1.0238144719101128, 0.8493405612055952, 0.6979365, 1.2519197058823526, 3.393174422985477, 0.9432256153846154, 1.5814630769230764, 3.612320227822324, 0.761440035087719, 1.866922807017544, 37745.0621855, 14.365, 14.7119, 17.3384, 18.4065, 0.545767, 1.54299, 64.8217, 37746.2571855, 14.8172, 15.3021, 16.609, 17.958, 0.708774, 1.03137, 64.6863, 37746.2731855, 14.8467, 15.271, 16.6501, 17.958, 0.669047, 1.04063, 64.7259, 37747.2731855, 14.6698, 15.095, 16.7633, 17.9173, 0.612614, 1.14418, 64.4453, 37747.292185499995, 14.6992, 15.0225, 16.8971, 18.0905, 0.585973, 1.22065, 64.7094, 37747.7151855, 14.4338, 15.0847, 16.8662, 18.3351, 0.818831, 1.31712, 64.7198, 37747.7481855, 14.4239, 15.1261, 16.8045, 18.3861, 0.881878, 1.30688, 64.7406, 37749.135185499996, 14.0405, 14.7223, 17.1846, 18.9263, 0.93393, 1.699, 64.8736, 37749.146185499994, 14.0307, 14.8051, 17.1948, 18.7734, 0.907752, 1.65092, 64.804, 37750.6571855, 13.7947, 14.391, 17.6767, 18.9161, 0.708437, 1.94674, 64.7785
37750.771, 37751.987559251254, 37752.00423458522, 37753.004144216764, 37753.02081010672, 37753.437436970155, 37753.45411111874, 37754.654019036134, 37754.67086697192, 37756.03725005925, 2.8601346837269257, 0.7303251546391752, 1.719891855670103, 2.33857052791869, 0.8405756666666664, 1.5036496428571422, 1.2669354917859774, 0.5798300555555556, 1.4805302777777776, 2.8196526046050474, 0.5814175729166667, 1.7788107291666657, 2.9333407351449643, 0.6879066237623762, 1.84867801980198, 37750.6761855, 13.8143, 14.3185, 17.6255, 18.8855, 0.682282, 1.94406, 64.6438, 37751.8941855, 14.07, 14.9294, 17.1743, 18.6715, 0.908524, 1.58372, 64.8451, 37751.9121855, 14.1093, 14.919, 17.0718, 18.6103, 0.907207, 1.54236, 64.7104, 37752.9071855, 14.4239, 14.9397, 17.0615, 18.274, 0.667793, 1.38453, 64.6992, 37752.9271855, 14.4436, 14.919, 17.1435, 18.3555, 0.65037, 1.41912, 64.8617, 37753.3531855, 14.4043, 14.8569, 17.2256, 18.3249, 0.598645, 1.45561, 64.8117, 37753.4071855, 14.4043, 14.8569, 17.2256, 18.3249, 0.598645, 1.45561, 64.8117, 37754.5921855, 13.9422, 14.4635, 17.6665, 18.7734, 0.627723, 1.85847, 64.8455, 37754.5921855, 13.9422, 14.4635, 17.6665, 18.7734, 0.627723, 1.85847, 64.8455, 37755.9431855, 13.7455, 14.391, 17.5537, 19.0486, 0.826535, 1.96152, 64.7387
37756.053, 37757.16956839947, 37757.18624616489, 37758.18616047294, 37758.20282751577, 37758.71943940159, 37758.73610070821, 37759.13607885559, 37759.15299892405, 37760.90260231191, 2.7286925199162635, 0.7601025567010307, 1.7365162886597925, 2.498265950606248, 0.690097205128205, 1.5716342307692308, 1.0773168159684623, 0.7122780444444446, 1.5572557777777778, 1.0177654258616735, 0.7100148529411765, 1.7748064705882358, 4.107044090328036, 0.7007390205479455, 1.9974905479452048, 37755.953185499995, 13.7848, 14.3806, 17.4922, 18.9568, 0.797215, 1.92299, 64.6145, 37757.0771855, 14.1388, 14.6602, 17.2768, 18.5594, 0.697714, 1.63314, 64.6352, 37757.0881855, 14.1781, 14.7016, 17.2973, 18.5594, 0.68951, 1.61663, 64.7364, 37758.0981855, 14.4043, 14.8983, 17.1538, 18.3759, 0.661749, 1.44075, 64.8323, 37758.1381855, 14.4338, 14.8569, 17.0923, 18.3963, 0.666538, 1.43516, 64.7792, 37758.6231855, 13.952, 14.3806, 17.4922, 18.7836, 0.665566, 1.84413, 64.6084, 37758.652185499996, 13.9618, 14.4531, 17.4614, 18.7734, 0.697321, 1.81436, 64.6497, 37759.040185499995, 14.0602, 14.5152, 17.4614, 18.7938, 0.689277, 1.77689, 64.8305, 37759.0531855, 14.0602, 14.5152, 17.4614, 18.7938, 0.689277, 1.77689, 64.8305, 37760.815185499996, 13.1851, 13.8216, 18.2407, 19.446, 0.711769, 2.47631, 64.6933
37760.922, 37762.33854930661, 37762.35520556399, 37762.75518636169, 37762.77184692068, 37763.1885028682, 37763.205161557016, 37764.20506392457, 37764.22248131538, 37766.204899709286, 3.262903783724824, 0.7952824545454551, 2.333797909090909, 0.8890657347260783, 0.65564115625, 2.1864871875, 0.585933918575759, 0.6720507333333334, 2.1524923333333335, 2.36583863554523, 0.7220742266666669, 1.8188890666666675, 4.459898310482519, 0.8031674687500002, 2.1572394374999995, 37760.8221855, 13.1359, 13.7387, 18.2612, 19.5276, 0.722679, 2.53175, 64.6634, 37762.256185499995, 13.6177, 14.1943, 17.851, 18.9874, 0.662395, 2.09429, 64.6504, 37762.256185499995, 13.6177, 14.1943, 17.851, 18.9874, 0.662395, 2.09429, 64.6504, 37762.6591855, 13.4899, 13.9562, 18.0253, 19.2218, 0.642559, 2.27252, 64.6932, 37762.6871855, 13.4997, 14.039, 18.0356, 19.2218, 0.665742, 2.24984, 64.7961, 37763.1031855, 13.8438, 14.4117, 17.769, 18.8651, 0.641075, 1.93681, 64.8896, 37763.1071855, 13.952, 14.4635, 17.6255, 18.7224, 0.62089, 1.83725, 64.7633, 37764.1051855, 13.5784, 14.1529, 17.7793, 19.2728, 0.798056, 2.15815, 64.7833, 37764.1281855, 13.5095, 14.1736, 17.81, 19.2524, 0.813341, 2.17296, 64.7455, 37766.1221855, 13.8438, 14.4428, 17.5537, 18.6409, 0.653729, 1.8396, 64.4812
37766.219, 37767.33558186776, 37767.352241646586, 37768.35216165833, 37768.36882789068, 37768.78547495325, 37768.802146297676, 37770.002086976645, 37770.018846414125, 37772.118547831546, 2.703108146241509, 0.7768317368421057, 1.8443571578947353, 2.195480617286719, 0.8656343932584271, 2.0126421348314607, 0.7566405541520683, 0.8625983142857147, 2.0765028571428576, 2.968191913866679, 0.864702855769231, 1.9146107692307686, 4.520911400692684, 0.9801898809523811, 1.910526964285714, 37766.1221855, 13.8438, 14.4428, 17.5537, 18.6409, 0.653729, 1.8396, 64.4812, 37767.2381855, 13.5685, 14.3185, 17.6255, 19.2116, 0.902349, 2.07419, 64.7241, 37767.256185499995, 13.5882, 14.3289, 17.5434, 19.1505, 0.908405, 2.03762, 64.611, 37768.2531855, 13.6374, 14.3703, 17.5742, 19.0791, 0.865233, 2.00562, 64.661, 37768.2741855, 13.6767, 14.3703, 17.5947, 19.1301, 0.860327, 2.00963, 64.7718, 37768.705185499995, 13.5292, 14.1736, 17.6972, 19.2422, 0.846714, 2.14333, 64.6422, 37768.705185499995, 13.5292, 14.1736, 17.6972, 19.2422, 0.846714, 2.14333, 64.6422, 37769.9051855, 13.6865, 14.4738, 17.4717, 18.9568, 0.879595, 1.92018, 64.5888, 37769.923185499996, 13.7259, 14.5049, 17.4101, 19.0078, 0.919074, 1.89962, 64.6487, 37772.0191855, 13.6177, 14.6705, 17.2563, 19.1301, 1.13128, 1.87822, 64.6747
37772.135, 37773.65154938353, 37773.668186939234, 37774.668126213925, 37774.68480061391, 37775.30140004675, 37775.318085448875, 37776.917945953224, 37776.934707603265, 37779.48440223291, 3.352767921010954, 1.0464723728813559, 1.7863853389830509, 2.6414383427299244, 1.0129833333333333, 1.9289364102564106, 1.119748171311166, 0.9587681956521739, 1.909713043478261, 4.237731851755645, 0.8107337304347828, 2.102991913043478, 5.97935863810875, 0.9458140144927536, 2.2066239613526575, 37772.0551855, 13.5784, 14.6084, 17.2871, 19.1811, 1.13062, 1.92129, 64.6549, 37773.559185499995, 13.8733, 14.7637, 17.123, 18.9568, 1.05234, 1.72509, 64.7169, 37773.5771855, 13.8045, 14.7948, 17.1538, 18.9161, 1.06408, 1.7328, 64.6691, 37774.5711855, 13.5587, 14.5049, 17.5947, 19.1709, 0.972688, 2.01344, 64.8291, 37774.6111855, 13.5685, 14.4842, 17.6049, 19.1912, 0.964522, 2.02243, 64.8489, 37775.205185499995, 13.5292, 14.422, 17.5742, 19.0384, 0.912672, 2.01226, 64.5638, 37775.224185499996, 13.598, 14.3599, 17.7177, 19.0791, 0.819746, 2.04747, 64.7548, 37776.8241855, 13.4309, 14.1943, 17.7895, 19.2116, 0.845444, 2.1762, 64.6263, 37776.8361855, 13.4407, 14.2046, 17.769, 19.2422, 0.864998, 2.17283, 64.6566, 37779.3981855, 13.1654, 13.9147, 18.0869, 19.6193, 0.880504, 2.46024, 64.7863
37779.5, 37780.61661652982, 37780.63325969382, 37781.03323936899, 37781.0499089061, 37781.466532932856, 37781.48322238957, 37782.48313429652, 37782.50011496238, 37784.74958878296, 2.559848199356726, 0.7739450340909092, 2.4406113636363638, 0.9075866925378183, 0.699783617647059, 2.088979705882353, 0.7520293048949335, 0.7998520303030304, 2.031194242424242, 2.404823510371713, 0.9095141975308638, 2.1591935802469147, 5.046676908251397, 0.9016788097826083, 2.0982984782608693, 37779.4071855, 13.1654, 13.9147, 18.0869, 19.6193, 0.880504, 2.46024, 64.7863, 37780.5231855, 13.598, 14.0907, 17.9125, 19.0791, 0.641343, 2.15743, 64.6805, 37780.5381855, 13.598, 14.1114, 17.9125, 19.0791, 0.649139, 2.15194, 64.7012, 37780.9471855, 13.775, 14.3289, 17.687, 19.0078, 0.723273, 1.98867, 64.7986, 37780.9501855, 13.7652, 14.3392, 17.7075, 18.9976, 0.719091, 1.99061, 64.8095, 37781.3771855, 13.5882, 14.215, 17.7485, 19.2422, 0.818169, 2.12694, 64.7939, 37781.3881855, 13.5194, 14.3185, 17.8203, 19.2728, 0.866941, 2.13808, 64.9309, 37782.3981855, 13.3326, 14.0079, 17.8715, 19.5582, 0.911677, 2.33654, 64.7702, 37782.400185499995, 13.3326, 14.1011, 17.892, 19.6091, 0.956962, 2.3256, 64.9348, 37784.6611855, 13.657, 14.4945, 17.4819, 19.018, 0.917831, 1.93693, 64.6514
37784.766, 37785.98257748484, 37785.999232931754, 37786.99914131725, 37787.015803653216, 37787.63244984245, 37787.64909886837, 37788.84898960967, 37788.865823797634, 37791.21548977876, 2.8986368413387007, 0.7470676893203885, 2.2729374757281553, 2.6287455279276397, 0.6574686463414634, 2.092684024390244, 1.4380129714778258, 0.6972456481481485, 2.1030074074074077, 2.7347455619640066, 0.797625182795699, 1.82833688172043, 6.061477770716577, 0.9134982060301505, 1.893958743718593, 37784.6721855, 13.6767, 14.4635, 17.5434, 18.967, 0.854734, 1.94205, 64.6506, 37785.883185499995, 13.5685, 14.0183, 18.0663, 19.1811, 0.60325, 2.23507, 64.8342, 37785.9081855, 13.6079, 13.9976, 18.0048, 19.0282, 0.546521, 2.18776, 64.6384, 37786.9031855, 13.8045, 14.215, 17.7177, 18.9772, 0.645125, 2.01086, 64.7144, 37786.917185499995, 13.834, 14.2564, 17.6357, 18.9466, 0.670037, 1.9696, 64.6728, 37787.5411855, 13.6865, 14.1736, 17.81, 19.1199, 0.693369, 2.09982, 64.79, 37787.5691855, 13.6374, 14.1839, 17.7895, 19.2116, 0.759262, 2.12423, 64.8224, 37788.7511855, 14.4141, 14.6912, 17, 18.4065, 0.652435, 1.46511, 64.5118, 37788.7721855, 14.4829, 14.7533, 17.0103, 18.4778, 0.6713, 1.44886, 64.7244, 37791.116185499995, 13.3621, 14.1114, 17.8203, 19.4766, 0.928569, 2.27497, 64.7704
37791.232, 37792.54855543179, 37792.565214120616, 37793.365162093905, 37793.38182757861, 37793.898438372235, 37793.915118289544, 37794.91502898077, 37794.9318892601, 37799.58132305512, 3.7641720171232245, 0.7607554224137933, 2.3209007758620697, 1.8784627592841325, 1.0048491343283579, 2.2905177611940304, 1.1886514519948854, 1.1404873809523808, 2.237399285714285, 2.4086078197932803, 0.9061221904761907, 2.197665119047618, 10.657204473129305, 0.8456993097112864, 2.0321872703412076, 37791.1321855, 13.3621, 14.1114, 17.8203, 19.4766, 0.928569, 2.27497, 64.7704, 37792.4581855, 13.3424, 13.8112, 18.1586, 19.4868, 0.693297, 2.4287, 64.799, 37792.4661855, 13.3227, 13.687, 18.1279, 19.497, 0.670448, 2.4635, 64.6346, 37793.2971855, 13.3031, 14.3496, 17.3691, 19.4359, 1.20748, 2.12985, 64.4576, 37793.2971855, 13.3031, 14.3496, 17.3691, 19.4359, 1.20748, 2.12985, 64.4576, 37793.8271855, 13.2047, 14.0493, 17.8408, 19.711, 1.0473, 2.38352, 64.8059, 37793.8271855, 13.2047, 14.0493, 17.8408, 19.711, 1.0473, 2.38352, 64.8059, 37794.8181855, 13.9028, 14.5359, 17.3691, 18.8243, 0.807771, 1.79973, 64.6322, 37794.8331855, 13.9127, 14.5463, 17.3999, 18.804, 0.787815, 1.7966, 64.6628, 37799.4831855, 14.0405, 14.5256, 17.646, 18.4472, 0.497368, 1.74619, 64.6593
