a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
64162.016, 64163.332570458755, 64163.34924629765, 64164.54918170916, 64164.56582943205, 64165.08246285767, 64165.09913478166, 64166.099083121015, 64166.11601201144, 64167.71562871347, 3.9520413119911617, -0.9081845185185186, 1.1833035277777784, 3.2812466352055267, -0.5080567352941175, 1.342504392156863, 1.315911020907057, -0.46885131818181824, 1.6976054545454544, 2.736205402518843, -0.5633854367816092, 1.7631218390804593, 4.793132480099369, -0.20697746170503603, 0.7624813884892088, 64161.9270255, 12.9849, 12.3075, 16.5984, 15.463, -0.790204, 1.77033, 57.3538, 64163.2400255, 13.5881, 13.0896, 15.8365, 14.9776, -0.590277, 1.07919, 57.4917, 64163.2630255, 13.6079, 13.1102, 15.7747, 14.8967, -0.599307, 1.03327, 57.3894, 64164.4550255, 12.8959, 12.5854, 16.3513, 15.671, -0.430778, 1.70626, 57.5035, 64164.4790255, 12.9651, 12.6368, 16.3513, 15.6479, -0.447793, 1.66592, 57.6011, 64164.9950255, 12.8662, 12.5545, 16.5058, 15.7634, -0.456776, 1.78068, 57.6899, 64165.0060255, 12.8168, 12.4619, 16.5058, 15.6825, -0.512518, 1.80356, 57.4669, 64166.0250255, 13.42, 12.9558, 15.9703, 15.1394, -0.563256, 1.23523, 57.4855, 64166.0250255, 13.42, 12.9558, 15.9703, 15.1394, -0.563256, 1.23523, 57.4855, 64167.6300255, 13.5782, 13.563, 15.3216, 15.0353, -0.131118, 0.838923, 57.4982
64167.732, 64169.04856368322, 64169.06524020249, 64169.46523083339, 64169.48188755242, 64169.99851790656, 64170.01517923732, 64171.015100173965, 64171.03211704316, 64172.215038016955, 3.665079422603186, -0.39123844642857114, 0.9542272321428573, 1.0429552636601236, -0.7439295151515151, 1.230411818181818, 1.4846235734670905, -0.8785443191489363, 1.6723729787234045, 2.944488997400982, -0.6682716704545454, 0.977812909090909, 3.5359180385844082, -0.32070755049504956, 0.6095048514851485, 64167.6430255, 13.5782, 13.4909, 15.3113, 15.0816, -0.137947, 0.867634, 57.4621, 64168.9510255, 13.5881, 12.9455, 15.96, 14.9082, -0.737958, 1.1327, 57.4019, 64168.9870255, 13.598, 12.9044, 15.9703, 14.8851, -0.77534, 1.13839, 57.3578, 64169.3720255, 13.3211, 12.7088, 16.2689, 15.2318, -0.716744, 1.4264, 57.5307, 64169.3930255, 13.2816, 12.7191, 16.3101, 15.2087, -0.723165, 1.43902, 57.5195, 64169.9030255, 12.9948, 12.184, 16.8455, 15.3589, -1.00088, 1.83652, 57.3833, 64169.9220255, 13.1035, 12.2149, 16.8353, 15.4167, -1.0019, 1.80654, 57.5704, 64170.9190255, 14.2903, 13.6144, 14.8377, 14.446, -0.466704, 0.361683, 57.1883, 64170.9470255, 14.2211, 13.6144, 14.8789, 14.3882, -0.480425, 0.376053, 57.1025, 64172.1190255, 14.0628, 13.5218, 15.0848, 14.7695, -0.372693, 0.592732, 57.439
64172.232, 64173.7485585852, 64173.765237689964, 64174.765170767525, 64174.781827057406, 64175.298468644774, 64175.3151293759, 64176.91502861524, 64176.931870183354, 64179.04823271821, 4.068973003328501, -0.45017395522388054, 0.9081117164179103, 2.5618608007290815, -0.5005522023809522, 1.557524761904762, 1.3861253649814134, -0.39880840000000006, 1.5186095555555554, 4.456103365336735, -0.27883736615384624, 1.0732229076923077, 5.574362592890708, -0.22084823277777776, 1.1175369833333333, 64172.1330255, 14.0529, 13.4909, 15.0539, 14.7349, -0.384183, 0.587341, 57.3326, 64173.6510255, 13.1431, 12.6677, 16.2689, 15.4976, -0.541332, 1.55159, 57.5773, 64173.6730255, 13.064, 12.6162, 16.3513, 15.3936, -0.611867, 1.58416, 57.4251, 64174.6690255, 13.0343, 12.7809, 16.1557, 15.5207, -0.386308, 1.52923, 57.4916, 64174.6820255, 13.0838, 12.6883, 16.1763, 15.3936, -0.513653, 1.51665, 57.3419, 64175.2190255, 12.9948, 12.8117, 16.1763, 15.5323, -0.359464, 1.53926, 57.5151, 64175.2190255, 12.9948, 12.8117, 16.1763, 15.5323, -0.359464, 1.53926, 57.5151, 64176.8180255, 13.8057, 13.5527, 15.126, 15.0007, -0.164537, 0.722353, 57.485, 64176.8440255, 13.7958, 13.5424, 15.0848, 14.9776, -0.157084, 0.711887, 57.4005, 64178.9490255, 13.0343, 12.9558, 15.8879, 15.6594, -0.13341, 1.44877, 57.5375
64179.066, 64180.58257473821, 64180.59925100625, 64181.59917810231, 64181.61589880987, 64182.13246853111, 64182.149143907925, 64182.9490981797, 64182.96614682859, 64184.46566190297, 3.5375250237468614, -0.31938913046875006, 1.2144908593750006, 2.394283960961455, -0.482190359550562, 1.0702887078651684, 1.4031155547915983, -0.34746427659574475, 1.248736170212766, 2.011240106226824, -0.3535132054794522, 1.4471499452054792, 4.184895199877774, -0.3217744923076923, 0.5763370384615383, 64178.977025500004, 13.1134, 12.9661, 15.8879, 15.7981, -0.102651, 1.45584, 57.7656, 64180.4940255, 13.776, 13.0278, 15.5687, 15.0469, -0.55296, 0.99577, 57.4195, 64180.5080255, 13.8255, 13.0587, 15.579, 14.9776, -0.5955, 0.959008, 57.4408, 64181.5050255, 13.6574, 13.0176, 15.4967, 15.174, -0.419579, 1.04519, 57.3456, 64181.5190255, 13.6574, 13.0176, 15.4967, 15.174, -0.419579, 1.04519, 57.3456, 64182.0430255, 13.0442, 12.6985, 15.9909, 15.7634, -0.24921, 1.56832, 57.4971, 64182.0630255, 12.975, 12.678, 16.1454, 15.8328, -0.264449, 1.6463, 57.6311, 64182.8530255, 13.5881, 13.1513, 15.4658, 15.1625, -0.322527, 1.01681, 57.3677, 64182.8860255, 13.5684, 13.2337, 15.5482, 15.0816, -0.348794, 0.999722, 57.4317, 64184.3680255, 14.0134, 13.6453, 14.8995, 14.9198, -0.151266, 0.563845, 57.4779
64184.484, 64185.50061875601, 64185.517278562984, 64186.31721989981, 64186.33388117375, 64186.850527235285, 64186.867185518466, 64187.86712741425, 64187.88453667539, 64189.6503454819, 2.1881041753529016, -0.2257431506849315, 0.5625766575342467, 1.9189006171396754, -0.17727434927536231, 0.9232623333333334, 1.1006312917864638, -0.07048057387096772, 0.9816156451612905, 2.744592623203401, 0.015982670344827584, 0.7865614712643678, 4.914723564636678, -0.03068248167808218, 1.4879036712328764, 64184.4010255, 14.043, 13.6247, 14.848, 14.8158, -0.196467, 0.522224, 57.3315, 64185.405025500004, 13.8057, 13.3263, 15.1466, 15.0007, -0.27293, 0.78963, 57.2792, 64185.424025500004, 13.865, 13.3366, 15.1775, 15.0469, -0.286907, 0.789567, 57.426, 64186.2200255, 13.5189, 13.1822, 15.2701, 15.4052, -0.0878751, 1.03898, 57.3764, 64186.2390255, 13.4695, 13.1925, 15.2598, 15.3358, -0.0877529, 1.03053, 57.2576, 64186.7660255, 13.6079, 13.2851, 15.229, 15.3474, -0.0889033, 0.961379, 57.4694, 64186.7700255, 13.6079, 13.2851, 15.229, 15.3474, -0.0889033, 0.961379, 57.4694, 64187.7710255, 14.0134, 13.5938, 14.7965, 14.9776, -0.103898, 0.566436, 57.3813, 64187.7850255, 13.954, 13.6041, 14.7862, 15.0007, -0.0590429, 0.582975, 57.345, 64189.5560255, 12.6486, 12.7397, 16.063, 16.1101, 0.0600278, 1.76805, 57.5615
64189.665, 64190.88156631749, 64190.89824795093, 64191.89817531467, 64191.91485928239, 64192.53147343475, 64192.548123977904, 64194.14804795372, 64194.164906234124, 64195.38128407921, 3.273463951900392, -0.09034709773584904, 1.2996415094339626, 2.6409255891501773, -0.7368870731707317, 1.709566707317072, 2.324742859447388, -0.6685716140350877, 1.6911261403508766, 4.248024805562088, -0.029006657928571444, 1.2236380285714286, 3.6495714537299717, -0.2583343942307692, 0.618669201923077, 64189.5650255, 12.6585, 12.7706, 16.0115, 16.0986, 0.0865161, 1.74168, 57.5392, 64190.7910255, 13.2123, 12.8323, 15.9188, 15.4167, -0.384334, 1.38312, 57.3802, 64190.8210255, 13.2024, 12.8735, 15.9085, 15.3936, -0.367688, 1.36626, 57.3781, 64191.8000255, 12.7179, 11.6901, 17.2256, 15.6941, -1.11607, 2.22713, 57.3276, 64191.8220255, 12.7376, 11.8547, 17.1743, 15.775, -0.991561, 2.17849, 57.5417, 64192.4450255, 12.797, 12.5545, 16.2895, 15.775, -0.329626, 1.75379, 57.416, 64192.4510255, 12.8365, 12.503, 16.2071, 15.7172, -0.359501, 1.72485, 57.2639, 64194.0500255, 13.6376, 13.388, 15.3525, 15.0238, -0.251858, 0.875593, 57.4019, 64194.0820255, 13.7661, 13.46, 15.3319, 14.9891, -0.281896, 0.806689, 57.5472, 64195.2920255, 13.6178, 13.4395, 15.2392, 15.2087, -0.0908092, 0.884446, 57.5052
64195.398, 64196.41459702675, 64196.43125553726, 64197.03124393076, 64197.0479169733, 64197.46453251964, 64197.4812110816, 64198.48113945022, 64198.49800892349, 64199.881049769094, 2.995360430458088, -0.002450294761363638, 1.1901764090909088, 1.7956378218367264, -0.07799165076923077, 1.282115576923077, 0.984664615759182, -0.010162721470588235, 1.3483202941176473, 2.579404125774328, 0.07116183857142858, 1.2443910952380952, 3.8536602998086873, 0.08611933779661014, 0.8564088559322034, 64195.3010255, 13.6178, 13.4395, 15.2392, 15.2087, -0.0908092, 0.884446, 57.5052, 64196.3190255, 13.1827, 12.9867, 15.7438, 15.5554, -0.167209, 1.33895, 57.4685, 64196.333025500004, 13.1728, 13.0587, 15.7026, 15.6016, -0.0934348, 1.3225, 57.5357, 64196.9470255, 13.1233, 13.1308, 15.7129, 15.6132, -0.0400707, 1.32129, 57.5802, 64196.9530255, 13.1431, 13.1308, 15.7747, 15.671, -0.0502706, 1.34403, 57.7195, 64197.3670255, 13.0343, 13.1616, 15.6511, 15.6247, 0.0439018, 1.32585, 57.4718, 64197.4030255, 13.0541, 13.1308, 15.6099, 15.7288, 0.0849545, 1.34393, 57.5235, 64198.3840255, 13.4695, 13.4292, 15.1157, 15.3358, 0.078401, 0.929258, 57.3502, 64198.4120255, 13.4695, 13.5321, 15.2084, 15.3243, 0.0775784, 0.920606, 57.5342, 64199.7890255, 13.1035, 13.1719, 15.6202, 15.6479, 0.0417054, 1.30144, 57.5435
64199.898, 64201.01461596773, 64201.031291847, 64201.63123365365, 64201.64791636527, 64202.06453501602, 64202.08121350468, 64203.08113621633, 64203.09814083095, 64204.56438909447, 3.2685301660588384, 0.06140436901098903, 1.5818558241758252, 1.4259044219312529, 0.19032627999999996, 2.1073049999999998, 1.321292099334341, 0.19795115151515152, 2.0146163636363634, 3.1587698261107544, 0.15062622621951222, 1.5477812195121952, 4.094795682768491, -0.1391640337692308, 1.762447769230768, 64199.8140255, 13.0244, 13.1822, 15.5996, 15.7403, 0.129655, 1.33804, 57.5466, 64200.9260255, 12.4212, 12.5236, 16.2895, 16.4106, 0.096935, 2.01805, 57.6449, 64200.9400255, 12.4212, 12.5236, 16.2895, 16.4106, 0.096935, 2.01805, 57.6449, 64201.5330255, 12.2629, 12.4413, 16.2689, 16.5955, 0.219271, 2.12621, 57.5687, 64201.5680255, 12.2827, 12.4516, 16.2586, 16.4684, 0.164723, 2.08646, 57.4613, 64201.9670255, 12.4508, 12.6265, 16.0012, 16.3759, 0.239491, 1.9058, 57.4545, 64201.9890255, 12.4014, 12.7294, 15.9703, 16.3182, 0.294262, 1.86984, 57.4193, 64202.9850255, 12.8266, 13.1102, 15.7129, 15.7634, 0.145459, 1.44728, 57.4131, 64202.9990255, 12.8266, 13.1102, 15.7129, 15.7634, 0.145459, 1.44728, 57.4131, 64204.4910255, 12.2827, 12.2561, 16.722, 16.399, -0.151582, 2.23264, 57.6598
64204.581, 64205.79758392099, 64205.81424413322, 64206.8142200293, 64206.83085081258, 64207.347488015526, 64207.364154500836, 64208.96404555453, 64208.98113856965, 64210.613958167305, 3.730454571217621, -0.1470185889908257, 1.8788585779816527, 2.9690237624277986, -0.23360496428571426, 0.8106314404761906, 1.3822341201131603, -0.19964299999999993, 1.519443095238095, 3.972764993233492, -0.1475691972857143, 1.5233792857142854, 4.237590659264365, -0.15296196649635027, 1.0298169343065697, 64204.4910255, 12.2827, 12.2561, 16.722, 16.399, -0.151582, 2.23264, 57.6598, 64205.6980255, 13.5684, 13.3366, 15.4658, 15.1625, -0.232516, 0.970745, 57.5332, 64205.7250255, 13.6277, 13.3057, 15.4452, 15.1162, -0.283043, 0.946534, 57.4948, 64206.7200255, 13.331, 13.069, 15.7335, 15.567, -0.185673, 1.27393, 57.7005, 64206.7410255, 13.2618, 13.0278, 15.6717, 15.4514, -0.197801, 1.26283, 57.4127, 64207.2500255, 13.064, 12.9044, 15.9188, 15.6016, -0.207362, 1.44866, 57.4888, 64207.2740255, 13.1233, 12.9352, 15.9394, 15.6363, -0.213078, 1.43591, 57.6343, 64208.8680255, 13.1332, 13.0587, 15.7335, 15.4861, -0.140186, 1.31358, 57.4115, 64208.8870255, 13.1431, 13.069, 15.682, 15.4514, -0.132841, 1.28727, 57.3455, 64210.5290255, 13.5684, 13.388, 15.1569, 15.3243, -0.00563413, 0.920507, 57.4375
64210.631, 64211.74760859258, 64211.76428265646, 64212.76420722385, 64212.78089447391, 64213.197512873434, 64213.214200237155, 64214.21411048336, 64214.23091708664, 64216.46398362485, 3.3633001007283565, -0.014866301240000006, 1.1773231999999998, 2.7014514659274687, 0.037239564034482746, 1.8890500000000003, 1.2163976896522875, 0.13369150263157892, 1.7778610526315788, 2.8438982702340843, 0.075317095, 1.450905357142857, 5.631975777595937, 0.30043690158730146, 1.0153615132275131, 64210.5380255, 13.5288, 13.2851, 15.1775, 15.3243, -0.0422582, 0.965139, 57.3156, 64211.6570255, 12.5596, 12.7294, 16.2895, 16.1564, 0.0158608, 1.8594, 57.7349, 64211.6760255, 12.5893, 12.6471, 16.2277, 16.1679, -0.000882149, 1.86335, 57.632, 64212.6650255, 12.6091, 12.6985, 16.0939, 16.2488, 0.105983, 1.83045, 57.6503, 64212.6870255, 12.5695, 12.678, 16.1557, 16.191, 0.0624269, 1.84894, 57.5942, 64213.1110255, 12.6684, 12.8015, 16.0012, 16.1679, 0.130007, 1.74342, 57.639, 64213.1160255, 12.6091, 12.8323, 16.0527, 16.191, 0.156704, 1.76882, 57.6851, 64214.1170255, 13.242, 13.2748, 15.3937, 15.5901, 0.099647, 1.16528, 57.5006, 64214.155025500004, 13.242, 13.2131, 15.3937, 15.567, 0.0628442, 1.17709, 57.4157, 64216.3690255, 12.9453, 13.2028, 15.5379, 15.775, 0.215188, 1.34824, 57.4609
