a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
62889.758, 62890.874621550945, 62890.89130050881, 62891.89124813328, 62891.90789568964, 62892.42452831647, 62892.44118469958, 62893.841107333035, 62893.85827694522, 62896.407608523354, 3.1443291929401385, -0.006862132956521743, 0.9878242173913053, 3.044911672034885, -0.09776132459459459, 1.4199943243243243, 1.2858943313960522, -0.05801379692093024, 1.3698076744186047, 3.8790341088280464, 0.010578815105263154, 1.5564158771929824, 6.68107194525799, 0.05260494888372089, 1.626242837209304, 62889.663581500005, 14.0332, 13.5546, 14.8224, 14.7589, -0.237027, 0.523045, 57.169, 62890.775581500006, 13.1035, 13.0595, 15.6338, 15.653, -0.0108436, 1.33782, 57.4499, 62890.792581500005, 13.153, 13.1626, 15.5927, 15.6414, 0.0253141, 1.28199, 57.5498, 62891.8025815, 13.1134, 12.9769, 15.7776, 15.6066, -0.133789, 1.38161, 57.4746, 62891.811581500006, 13.1134, 12.9976, 15.7468, 15.6995, -0.0709057, 1.39042, 57.5573, 62892.3385815, 13.0541, 13.0079, 15.716, 15.6995, -0.0273019, 1.39711, 57.4775, 62892.347581500006, 13.1629, 13.0079, 15.7982, 15.804, -0.0645727, 1.41019, 57.7729, 62893.7465815, 12.7376, 12.7809, 16.0139, 16.0943, 0.0536531, 1.71524, 57.6267, 62893.769581500004, 12.7673, 12.8119, 16.0036, 16.1059, 0.0636339, 1.69798, 57.6887, 62896.3145815, 12.619, 12.6159, 16.0653, 16.071, 0.00118613, 1.80442, 57.3712
62890.424, 62891.54058558281, 62891.55724266752, 62892.55718896734, 62892.57386915108, 62892.99048788176, 62893.0071575291, 62894.207079892796, 62894.22397935904, 62896.09029904592, 3.0006147044082194, -0.029910341279069785, 1.3346040697674417, 2.952322158749674, -0.08014745845063294, 1.378893164556962, 1.287846726885084, -0.03312099380645161, 1.4664706451612903, 2.997387806921663, 0.020765919126213592, 1.6423263106796113, 4.87156143160027, 0.06556207770700634, 1.5919682802547765, 62890.3445815, 13.2024, 13.2658, 15.5106, 15.5601, 0.0490397, 1.19983, 57.5389, 62891.4525815, 12.9552, 12.8841, 15.9523, 15.7923, -0.100298, 1.53827, 57.5839, 62891.4595815, 12.9651, 12.8016, 15.9831, 15.6995, -0.194585, 1.54463, 57.4492, 62892.4635815, 12.9651, 12.946, 15.7263, 15.6762, -0.0301659, 1.4372, 57.3136, 62892.4825815, 12.9948, 12.9666, 15.8085, 15.7807, -0.0242665, 1.46683, 57.5506, 62892.8915815, 12.9255, 12.9563, 15.7776, 15.9201, 0.0752062, 1.51509, 57.5796, 62892.9165815, 12.8662, 12.9563, 15.7263, 15.8852, 0.108415, 1.51191, 57.434, 62894.1265815, 12.7376, 12.6984, 16.0242, 16.0943, 0.013411, 1.74157, 57.5545, 62894.1265815, 12.7376, 12.6984, 16.0242, 16.0943, 0.013411, 1.74157, 57.5545, 62896.006581500005, 12.8761, 12.9047, 15.8804, 15.9898, 0.059855, 1.58435, 57.6509
62896.107, 62897.42356964271, 62897.44023362672, 62898.040211030464, 62898.05688037133, 62898.57350489324, 62898.59015788116, 62899.59011121327, 62899.60698226796, 62902.53992066653, 3.885136070469291, 0.03976911816363634, 1.8178125454545455, 1.6715367703287867, 0.145712416, 1.8136536000000008, 1.5521270190315053, 0.1541487780487805, 1.728671463414634, 3.0690671156355123, 0.2868107108433735, 1.6280840963855425, 7.7591854173076955, 0.3286222782258065, 1.3172393951612908, 62896.0115815, 12.8761, 12.9047, 15.8804, 15.9898, 0.059855, 1.58435, 57.6509, 62897.341581500004, 12.6486, 12.7191, 16.0447, 16.2336, 0.112459, 1.79821, 57.646, 62897.341581500004, 12.6486, 12.7191, 16.0447, 16.2336, 0.112459, 1.79821, 57.646, 62897.9585815, 12.6289, 12.7706, 15.9934, 16.1872, 0.145704, 1.76651, 57.58, 62897.9585815, 12.6289, 12.7706, 15.9934, 16.1872, 0.145704, 1.76651, 57.58, 62898.481581500004, 12.5893, 12.7706, 15.9625, 16.2452, 0.201511, 1.78429, 57.5677, 62898.5015815, 12.6289, 12.7603, 15.942, 16.1988, 0.168714, 1.76037, 57.5299, 62899.4945815, 12.7772, 13.0285, 15.603, 16.013, 0.287905, 1.51779, 57.4217, 62899.508581500006, 12.8464, 12.9873, 15.5619, 15.9898, 0.247735, 1.49463, 57.3854, 62902.4415815, 13.0343, 13.2864, 15.3462, 15.8272, 0.318748, 1.26604, 57.4941
62902.557, 62903.67360523218, 62903.69026931498, 62904.69018947136, 62904.70686226189, 62905.12349037781, 62905.14016487798, 62905.74013596114, 62905.75709945627, 62910.6064886604, 2.8249154105610734, 0.4031635862068966, 1.1517149425287359, 2.2157598866517048, 0.37583263291139246, 1.4060437974683542, 1.0889260100285654, 0.4923355142857142, 1.7263777142857148, 1.6607030996927852, 0.47051765306122445, 1.8725261224489798, 13.331088009577126, 0.5032702345679009, 0.7566752916049382, 62902.4615815, 13.0244, 13.3483, 15.3154, 15.7691, 0.338334, 1.23008, 57.4573, 62903.5835815, 13.0343, 13.503, 15.2435, 15.7691, 0.431943, 1.16645, 57.55, 62903.5925815, 13.0343, 13.503, 15.2435, 15.7691, 0.431943, 1.16645, 57.55, 62904.6005815, 12.619, 13.0182, 15.6749, 16.3613, 0.470603, 1.66431, 57.6734, 62904.6205815, 12.5596, 12.9873, 15.6749, 16.3265, 0.468826, 1.68238, 57.5483, 62905.0305815, 12.5003, 12.9357, 15.7982, 16.4194, 0.458169, 1.76441, 57.6536, 62905.0495815, 12.5201, 12.9666, 15.7879, 16.4891, 0.496727, 1.76329, 57.7637, 62905.6515815, 12.3915, 12.8532, 15.9009, 16.6052, 0.504726, 1.88606, 57.7508, 62905.6705815, 12.3717, 12.8635, 15.9009, 16.4891, 0.468507, 1.86241, 57.6252, 62910.5125815, 13.5288, 14.1117, 14.5142, 15.4324, 0.651637, 0.60069, 57.587
62910.626, 62911.842586861865, 62911.85925437407, 62912.85918314953, 62912.87586805311, 62913.49246092023, 62913.50914909998, 62914.509076363356, 62914.52659362229, 62919.142105851155, 3.299981441017963, 0.6394247128712873, 0.6343632574257423, 2.792147039485481, 0.564510625, 0.7704956000000001, 1.628044374783991, 0.5301987307692307, 0.8959150192307692, 3.264292456178659, 0.476519155844156, 1.4037120389610391, 12.659339948458584, 0.4877571491712703, 1.2593518839779019, 62910.5325815, 13.4793, 14.0807, 14.5039, 15.4672, 0.67991, 0.628638, 57.5312, 62911.7555815, 13.2519, 13.8434, 14.7299, 15.4556, 0.574908, 0.809215, 57.2808, 62911.7615815, 13.2519, 13.8434, 14.7299, 15.4556, 0.574908, 0.809215, 57.2808, 62912.773581500005, 13.3903, 13.8641, 14.8326, 15.5485, 0.516, 0.813745, 57.6355, 62912.8015815, 13.2914, 13.8641, 14.8429, 15.5717, 0.565159, 0.849164, 57.5701, 62913.394581500004, 13.2717, 13.6887, 14.9764, 15.5833, 0.445035, 0.938641, 57.5202, 62913.411581500004, 13.2618, 13.699, 15.0381, 15.5485, 0.411695, 0.945071, 57.5474, 62914.4105815, 12.797, 13.4308, 15.3668, 15.862, 0.491285, 1.30559, 57.4566, 62914.432581500005, 12.7871, 13.3896, 15.3565, 15.8852, 0.492537, 1.32321, 57.4184, 62919.057581500005, 13.3508, 13.8641, 14.8224, 15.4556, 0.498557, 0.799168, 57.4928
62919.174, 62920.29057701819, 62920.30725512124, 62920.70723763234, 62920.72389203355, 62921.14053862745, 62921.157206599346, 62922.157141266056, 62922.17390972888, 62923.97367568656, 2.696480904611331, 0.5730443176470589, 0.9728330117647058, 1.1458329158231326, 0.5729180588235296, 1.1822579411764709, 0.8401829036324397, 0.5543266944444443, 1.2398938888888893, 2.3923961697230705, 0.5876857349397593, 1.418492409638554, 4.976929733293449, 0.6102357465753419, 1.714628356164384, 62919.089581500004, 13.3112, 13.895, 14.7607, 15.5253, 0.586316, 0.80352, 57.4923, 62920.1985815, 12.9156, 13.5546, 15.0278, 15.9549, 0.681463, 1.17812, 57.453, 62920.2075815, 12.9255, 13.5856, 15.0894, 15.9201, 0.647888, 1.17308, 57.5206, 62920.608581500004, 12.9948, 13.5237, 15.223, 15.862, 0.506899, 1.18914, 57.6034, 62920.6285815, 12.9948, 13.4721, 15.1408, 15.9085, 0.541157, 1.19508, 57.5161, 62921.0505815, 12.8069, 13.3999, 15.223, 15.9549, 0.577235, 1.29943, 57.3846, 62921.0585815, 12.8365, 13.2967, 15.1716, 15.9317, 0.533, 1.3025, 57.2365, 62922.057581500005, 12.6981, 13.2039, 15.5517, 16.1872, 0.495005, 1.51894, 57.6408, 62922.0795815, 12.6684, 13.1523, 15.5003, 16.3149, 0.563225, 1.56009, 57.6359, 62923.8825815, 12.3618, 12.9047, 15.6955, 16.6516, 0.650483, 1.84345, 57.6137
62923.989, 62925.50561661455, 62925.52222172896, 62926.522159276734, 62926.53882648246, 62927.05547146424, 62927.07212971023, 62928.07206183656, 62928.088965760515, 62930.10527996264, 4.147562460533111, 0.6395719836065572, 1.7909539344262286, 2.7731555267136514, 0.6476354230769231, 1.2818055128205128, 1.7727357924483766, 0.5775992142857145, 0.7672860952380953, 2.73895514000061, 0.5195172857142858, 0.5158484404761902, 5.506087000092443, 0.5394243291925466, 0.8223183043478266, 62923.9165815, 12.3223, 12.9666, 15.6852, 16.5704, 0.664487, 1.81598, 57.5445, 62925.409581500004, 12.6091, 13.2348, 15.3976, 16.4542, 0.729001, 1.56196, 57.6957, 62925.4225815, 12.5596, 13.2555, 15.4798, 16.373, 0.688872, 1.57045, 57.6678, 62926.4275815, 13.1629, 13.7403, 15.0894, 15.7343, 0.529334, 1.01873, 57.7269, 62926.4405815, 13.1629, 13.7403, 15.0894, 15.7343, 0.529334, 1.01873, 57.7269, 62926.9695815, 13.5881, 14.2458, 14.4731, 15.084, 0.55258, 0.450395, 57.391, 62926.9745815, 13.5881, 14.2458, 14.4731, 15.084, 0.55258, 0.450395, 57.391, 62927.9735815, 13.5684, 14.1117, 14.6683, 15.2001, 0.467065, 0.570409, 57.5484, 62927.9935815, 13.5782, 14.122, 14.6683, 15.2001, 0.467086, 0.564943, 57.5686, 62930.0105815, 13.1332, 13.7093, 15.0586, 15.6298, 0.498557, 1.00272, 57.531
62930.123, 62931.33957469436, 62931.35624210778, 62932.35616921792, 62932.37282705867, 62932.78947856997, 62932.80614310234, 62933.80605760553, 62933.82313618044, 62935.9392782606, 3.311516654923781, 0.6251620967741937, 1.193177505376344, 2.8913381258187956, 0.616198192307692, 1.7057252564102565, 0.995937075741859, 0.7329157941176472, 1.9880752941176467, 2.7474458809222515, 0.6385255000000004, 2.177838125, 5.301557637823706, 0.8479697808988768, 1.808849438202248, 62930.0355815, 13.1431, 13.699, 14.997, 15.6298, 0.517118, 0.987829, 57.4689, 62931.254581500005, 12.6387, 13.3483, 15.4489, 16.1639, 0.618294, 1.46506, 57.5999, 62931.2605815, 12.6882, 13.4102, 15.4079, 16.1291, 0.626025, 1.41542, 57.6353, 62932.256581500005, 12.1443, 12.9563, 15.9625, 16.8839, 0.747833, 2.00507, 57.947, 62932.275581500006, 12.1542, 12.9666, 15.9009, 16.849, 0.760576, 1.97747, 57.8707, 62932.6945815, 12.1047, 12.8222, 15.9728, 16.8026, 0.670373, 2.04025, 57.7023, 62932.7085815, 12.0849, 12.8222, 16.0036, 16.8142, 0.670359, 2.05562, 57.725, 62933.7155815, 11.9465, 12.4818, 16.0961, 17.1223, 0.677207, 2.28724, 57.6467, 62933.7235815, 11.9465, 12.4818, 16.0961, 17.1223, 0.677207, 2.28724, 57.6467, 62935.8465815, 12.5596, 13.3174, 15.2435, 16.5471, 0.893635, 1.53821, 57.6676
62935.957, 62937.0735751452, 62937.09025324825, 62938.690139645085, 62938.70680923797, 62939.22343538086, 62939.24010573991, 62940.24004930179, 62940.2568845859, 62942.93987688222, 3.1595849744124456, 0.7974031264367822, 1.6392270114942535, 4.1255156923408745, 0.8983762016129039, 1.8566316129032259, 1.3149281217325293, 0.8583167999999999, 1.6304562499999995, 2.433601315030246, 0.8520734250000004, 1.3922791249999997, 7.966699037139142, 0.8514005931372549, 1.7281064705882343, 62935.8655815, 12.4508, 13.2348, 15.3257, 16.5471, 0.871041, 1.6124, 57.5585, 62936.985581500005, 12.4904, 13.1214, 15.49, 16.5704, 0.741816, 1.67723, 57.6721, 62936.9915815, 12.5102, 13.1523, 15.4489, 16.5007, 0.73503, 1.63693, 57.6121, 62938.593581500005, 12.3519, 13.1214, 15.4489, 16.8026, 0.919476, 1.76135, 57.7248, 62938.627581500004, 12.3816, 13.142, 15.4592, 16.7445, 0.885931, 1.73578, 57.7274, 62939.127581500004, 12.53, 13.2761, 15.3976, 16.4426, 0.776795, 1.57013, 57.6463, 62939.1625815, 12.5102, 13.3174, 15.3154, 16.5123, 0.868985, 1.56105, 57.6552, 62940.1415815, 12.6486, 13.5237, 15.0586, 16.2684, 0.90647, 1.34473, 57.4994, 62940.1585815, 12.7376, 13.4824, 15.0586, 16.2452, 0.839376, 1.32565, 57.5239, 62942.8405815, 11.7784, 12.6984, 16.1063, 17.2446, 0.889853, 2.30188, 57.8277
62942.957, 62944.37356994792, 62944.39024324247, 62945.39017279422, 62945.40684983477, 62946.02345393987, 62946.04011862548, 62947.040084836815, 62947.056942409465, 62950.00655876799, 3.38447777412733, 0.810740705357143, 2.1466748214285727, 2.924903363425474, 0.8294401374999998, 1.9515163749999989, 1.56639587484787, 0.7931212549019611, 1.6894368627450982, 2.296541592953652, 0.7956545584415581, 1.7264162337662343, 7.872755551971831, 0.8206912236842102, 2.1619881578947377, 62942.8655815, 11.7289, 12.6881, 16.0447, 17.2242, 0.926873, 2.30175, 57.686, 62944.2795815, 12.0553, 12.9976, 15.7982, 16.791, 0.839278, 1.96116, 57.642, 62944.292581500005, 12.0553, 13.0182, 15.7674, 16.8839, 0.900587, 1.96912, 57.7247, 62945.3145815, 12.2135, 13.0285, 15.716, 16.6633, 0.764591, 1.85797, 57.6213, 62945.3145815, 12.2135, 13.0285, 15.716, 16.6633, 0.764591, 1.85797, 57.6213, 62945.928581500004, 12.4113, 13.2245, 15.3565, 16.3846, 0.802281, 1.59609, 57.3769, 62945.9635815, 12.4607, 13.2967, 15.4798, 16.4078, 0.765035, 1.59513, 57.645, 62946.9575815, 12.0058, 12.8532, 15.8598, 16.9768, 0.851145, 2.07406, 57.6956, 62946.9575815, 12.0058, 12.8532, 15.8598, 16.9768, 0.851145, 2.07406, 57.6956, 62949.917581500005, 11.4124, 12.3167, 16.5789, 17.4382, 0.763553, 2.67235, 57.7463
