a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
38883.18, 38884.19656512899, 38884.213276142, 38885.413164784004, 38885.463171794, 38886.07976917999, 38886.096422648996, 38887.096461552, 38887.11358063401, 38888.579557242985, 2.7120842406686863, 2.0726157971014487, 3.167967971014492, 3.2000879371196223, 2.0352086904761895, 2.7762429761904763, 1.8559527737320696, 1.9869239534883718, 2.7909162790697666, 3.2280015708094165, 1.988438235294118, 2.2267014705882353, 4.61673477822988, 1.70308618556701, 1.6859515463917527, 38883.095583, 10.031, 11.5132, 15.0569, 17.7746, 1.93097, 3.11369, 54.3756, 38884.110583, 10.1304, 11.7168, 14.8636, 17.6115, 1.99472, 2.93468, 54.3222, 38884.116583, 10.1205, 11.6964, 14.9348, 17.5606, 1.93406, 2.94918, 54.3122, 38885.313583, 10.2298, 11.9814, 14.7008, 17.4484, 2.06918, 2.74224, 54.3605, 38885.379583, 10.2398, 12.0323, 14.7313, 17.5911, 2.13043, 2.76135, 54.5945, 38885.991583, 10.2994, 12.0527, 14.7415, 17.1529, 1.91934, 2.63858, 54.2465, 38886.00958300001, 10.3094, 12.0629, 14.7618, 17.1529, 1.90865, 2.63668, 54.2869, 38887.010583, 10.9357, 13.1419, 13.9785, 16.053, 1.97783, 1.65051, 54.109, 38887.027583, 10.9953, 13.1419, 14.009, 15.9945, 1.90804, 1.62528, 54.1407, 38888.490583000006, 11.3433, 12.9587, 14.3447, 15.7022, 1.36751, 1.58558, 54.3489
38528.601, 38530.01758271599, 38530.034233349004, 38531.23410983399, 38531.25077424499, 38531.867344479, 38531.88406319099, 38532.88394243201, 38532.901031122, 38534.033866207006, 4.318956242507591, 0.38623238095238105, 0.09674624191428573, 3.503551609016975, 0.3376836489361702, 0.19815252765957453, 2.0455999629407797, 0.31953289795918366, -0.006469460816326534, 2.744621118441795, 0.28198316049382727, 0.31760196296296306, 2.9737463333895793, 0.3126824819277109, 0.29062483373493975, 38528.508583, 13.5006, 13.0707, 13.0425, 14.4862, 0.468498, 0.265478, 54.1, 38529.923583, 13.7789, 13.2132, 12.8594, 14.229, 0.371614, 0.0267005, 54.0805, 38529.957583, 13.6895, 13.2132, 12.8695, 14.2641, 0.424835, 0.0641209, 54.0363, 38531.144583, 13.7392, 13.1216, 12.9611, 14.2875, 0.327465, 0.107517, 54.1093, 38531.158583000004, 13.6895, 13.0707, 12.9814, 14.2992, 0.323325, 0.144471, 54.0408, 38531.776583000006, 13.6298, 13.0503, 13.0425, 14.3343, 0.32939, 0.1933, 54.0569, 38531.78458300001, 13.5901, 13.0096, 13.073, 14.3576, 0.325811, 0.230706, 54.0303, 38532.792583, 13.4906, 12.8772, 13.2358, 14.4979, 0.299785, 0.378687, 54.1016, 38532.806583000005, 13.4906, 12.8772, 13.2358, 14.4979, 0.299785, 0.378687, 54.1016, 38533.954583000006, 13.9181, 13.1623, 12.8187, 14.0186, 0.205889, -0.0676489, 53.9176
38534.048, 38535.16458158101, 38535.18128813602, 38536.18117872302, 38536.197843944006, 38536.714514029, 38536.73111806, 38537.131102823005, 38537.14790501299, 38538.364312182, 3.6282012952098626, 0.2867700975609756, 0.08917909623170726, 3.342908685897153, 0.4087983239436621, 0.11386108450704223, 1.459616024795837, 0.32310264102564107, -0.009509084102564106, 1.3278860842855789, 0.2908547931034483, -0.06270152931034484, 3.726865226598102, 0.37920720224719107, -0.2665325292134833, 38533.954583000006, 13.9181, 13.1623, 12.8187, 14.0186, 0.205889, -0.0676489, 53.9176, 38535.073583000005, 13.6199, 13.0808, 12.9916, 14.4629, 0.430334, 0.208778, 54.1552, 38535.092583000005, 13.6497, 13.0401, 12.9306, 14.4746, 0.431827, 0.198348, 54.095, 38536.084583, 13.7591, 13.091, 12.8899, 14.2524, 0.321561, 0.0811815, 53.9924, 38536.098583000006, 13.769, 13.0707, 12.9001, 14.2875, 0.318858, 0.0965846, 54.0272, 38536.618583, 13.9181, 13.2132, 12.8695, 14.2056, 0.291085, -0.0155291, 54.2065, 38536.63858300001, 13.938, 13.2132, 12.8695, 14.2056, 0.281811, -0.021024, 54.2264, 38537.039583000005, 13.8684, 13.2743, 12.6457, 14.0186, 0.361791, -0.13336, 53.807, 38537.048583, 13.9181, 13.1928, 12.7068, 14.0887, 0.304532, -0.0877798, 53.9064, 38538.277583, 14.0971, 13.4168, 12.5135, 13.9484, 0.349528, -0.292343, 53.9757
38538.413, 38539.729540328, 38539.746237563, 38540.54611307499, 38540.56279896299, 38541.179369197984, 38541.196121544985, 38542.195978092, 38542.212779066, 38543.32918639699, 3.568328000459274, 0.31879553061224497, -0.3836503265306124, 2.203711849506407, 0.4285497166666667, -0.3368105666666666, 1.757350191584561, 0.33794568750000004, -0.5010886250000002, 2.767766250482587, 0.3930743285714287, -0.3479226142857143, 2.9971046554621488, 0.44166051351351354, -0.4484923108108108, 38538.323583000005, 14.0871, 13.376, 12.5033, 13.925, 0.32967, -0.288038, 53.8915, 38539.630583000006, 14.3655, 13.5389, 12.2998, 13.773, 0.299498, -0.50898, 53.9773, 38539.65958300001, 14.2959, 13.5695, 12.1879, 13.7146, 0.372073, -0.547597, 53.7679, 38540.454583000006, 14.1468, 13.5796, 12.3609, 13.9017, 0.450853, -0.406726, 53.9889, 38540.463583000004, 14.1269, 13.488, 12.3812, 13.925, 0.419572, -0.364053, 53.9212, 38541.079583000006, 14.3854, 13.6, 12.2693, 13.738, 0.316378, -0.549552, 53.9926, 38541.099583, 14.3953, 13.6611, 12.3507, 13.7847, 0.322834, -0.531718, 54.1918, 38542.113583000006, 14.2363, 13.5491, 12.3202, 13.89, 0.408661, -0.437602, 53.9955, 38542.113583000006, 14.2363, 13.5491, 12.3202, 13.89, 0.408661, -0.437602, 53.9955, 38543.23158300001, 14.1468, 13.4778, 12.3202, 13.9718, 0.455657, -0.370755, 53.9166
38543.344, 38544.56049713098, 38544.577146143, 38545.97709078797, 38545.993721563995, 38546.61036068898, 38546.62702064197, 38547.62691771299, 38547.64361818899, 38548.910053035, 3.860358389050882, 0.41176787209302324, -0.44537382558139543, 4.222856847570402, 0.42096330392156855, -0.49565248039215687, 1.6438578983948662, 0.3926514489795918, -0.2782121836734694, 2.708687908066064, 0.4292234342105264, -0.19171408815789476, 3.3326137845805026, 0.4524092022471913, -0.39093058426966293, 38543.260583, 14.2561, 13.5593, 12.2998, 13.9133, 0.424156, -0.444835, 54.0286, 38544.470583, 14.3754, 13.6713, 12.1777, 13.7613, 0.407249, -0.585601, 53.9858, 38544.483583, 14.3456, 13.712, 12.1777, 13.7146, 0.418538, -0.602023, 53.9499, 38545.88458300001, 14.0871, 13.4982, 12.3914, 14.0186, 0.480714, -0.326526, 53.9953, 38545.916583000006, 14.0474, 13.4371, 12.4626, 14.0536, 0.454071, -0.268955, 54.0007, 38546.520583000005, 14.117, 13.3659, 12.4728, 14.0536, 0.384092, -0.265624, 54.0092, 38546.55158300001, 14.1368, 13.3455, 12.4829, 13.9952, 0.333998, -0.279154, 53.9605, 38547.527583, 14.1667, 13.5287, 12.371, 13.9484, 0.434816, -0.382104, 54.0149, 38547.557583, 14.1468, 13.5186, 12.3507, 13.8783, 0.417188, -0.399781, 53.8943, 38548.81458300001, 14.0474, 13.3862, 12.4626, 14.0887, 0.446874, -0.245147, 53.9849
38548.927, 38550.14358060901, 38550.160222327024, 38550.96014363002, 38550.976814120026, 38551.39336198502, 38551.410045848, 38552.41001545502, 38552.42677266402, 38553.159952846014, 3.7109373791082554, 0.45917475280898856, -0.3987557528089888, 2.496830439027793, 0.44871284210526324, -0.39572859649122816, 1.314974461689823, 0.39000406666666676, -0.2460036333333333, 2.586572158488929, 0.4419318857142858, -0.2754361285714285, 2.482431592873253, 0.5685633454545453, -0.33924772727272723, 38548.841583, 14.0374, 13.3862, 12.4423, 14.0536, 0.445196, -0.258096, 53.9196, 38550.044583, 14.1667, 13.5593, 12.2896, 13.9367, 0.481766, -0.416916, 53.9523, 38550.061583, 14.2064, 13.5186, 12.2693, 13.8783, 0.427446, -0.43921, 53.8726, 38550.87158300001, 13.9579, 13.4473, 12.5135, 14.1238, 0.508738, -0.213151, 54.0425, 38550.880583000006, 14.0076, 13.3659, 12.5643, 14.1939, 0.456238, -0.17047, 54.1318, 38551.306583000005, 14.1368, 13.4677, 12.5033, 13.9718, 0.369516, -0.313264, 54.0796, 38551.325583000005, 14.1468, 13.5084, 12.4423, 13.9484, 0.401405, -0.350951, 54.0458, 38552.313583, 13.9877, 13.488, 12.371, 14.1589, 0.5963, -0.262704, 54.0056, 38552.330583, 14.0275, 13.488, 12.371, 14.1589, 0.577465, -0.273549, 54.0454, 38553.065583, 14.1468, 13.5695, 12.2184, 13.9952, 0.556016, -0.417938, 53.9299
38553.177, 38554.493550864, 38554.510191771995, 38555.71006542, 38555.726726589004, 38556.143356716995, 38556.16010298499, 38557.159919009, 38557.17669607499, 38558.176520204004, 3.8526776934649285, 0.5172712446808511, -0.5545725425531915, 3.6365806339775535, 0.579573505263158, -0.7219845999999999, 0.9536680984370803, 0.5074068125000001, -0.8279182187499998, 3.1285856643246617, 0.49286641891891875, -0.8598715405405404, 3.3334453932299186, 0.5754015342465753, -0.7972002191780824, 38553.098583000006, 14.117, 13.5186, 12.2998, 13.9952, 0.508511, -0.372845, 53.9305, 38554.401583000006, 14.4848, 13.8749, 11.9946, 13.6327, 0.476125, -0.759154, 53.987, 38554.417583, 14.4649, 13.8138, 11.9946, 13.6327, 0.457734, -0.737766, 53.906, 38555.612583, 14.4053, 13.9461, 11.9031, 13.6561, 0.600028, -0.776897, 53.9105, 38555.63858300001, 14.4351, 13.9563, 11.9437, 13.6327, 0.560606, -0.782379, 53.9679, 38556.046583, 14.5444, 13.997, 11.9132, 13.586, 0.520587, -0.844434, 54.0406, 38556.076583, 14.5544, 13.9766, 11.9437, 13.5392, 0.471044, -0.84647, 54.014, 38557.073583000005, 14.2164, 13.7832, 12.0963, 13.8081, 0.593013, -0.583019, 53.9041, 38557.10058300001, 14.3357, 13.8036, 12.1167, 13.8549, 0.557238, -0.600902, 54.1108, 38558.090583000005, 14.7532, 14.1802, 11.6589, 13.2235, 0.460672, -1.12914, 53.8159
38558.193, 38559.70946138902, 38559.726189422014, 38560.92608130601, 38560.942762736, 38561.55943833201, 38561.576029395015, 38562.57595523802, 38562.59263788402, 38563.809117589, 5.091101195554928, 0.5052652327586208, -1.1845584913793106, 3.549915784386871, 0.438893258426966, -1.2726877528089884, 1.7772606135052174, 0.5355545249999999, -1.107754075, 3.1394722951718306, 0.5239784084507043, -0.8452930985915494, 3.577953845751412, 0.5232325697674418, -0.8606798720930229, 38558.096583000006, 14.8228, 14.282, 11.6385, 13.1768, 0.462461, -1.19331, 53.9201, 38559.627583, 14.8029, 14.3228, 11.6182, 13.2001, 0.510609, -1.19773, 53.944, 38559.627583, 14.8029, 14.3228, 11.6182, 13.2001, 0.510609, -1.19773, 53.944, 38560.827583000006, 14.7433, 14.2515, 11.6894, 13.2469, 0.494018, -1.12879, 53.9311, 38560.853583000004, 14.793, 14.3635, 11.6996, 13.1884, 0.490037, -1.1847, 54.0445, 38561.466583, 14.4848, 14.109, 11.8013, 13.4106, 0.573111, -0.942801, 53.8057, 38561.484583000005, 14.4251, 14.0683, 11.7911, 13.3404, 0.555903, -0.940371, 53.625, 38562.49658300001, 14.2661, 13.8443, 12.137, 13.7146, 0.535452, -0.627877, 53.962, 38562.49658300001, 14.2661, 13.8443, 12.137, 13.7146, 0.535452, -0.627877, 53.962, 38563.709583, 14.5345, 14.0581, 11.8522, 13.3872, 0.491625, -0.93435, 53.832
38563.826, 38564.84243423899, 38564.85910675398, 38565.859012334986, 38565.87563338599, 38566.292231094994, 38566.30893683998, 38567.30882945299, 38567.32562272798, 38568.192088614975, 3.1721853944959535, 0.5484422531645571, -0.7579364303797468, 2.9008147008979432, 0.5048650821917811, -0.7213956164383561, 4.582839493985557, 0.49173172413793104, -0.4598901034482758, 3.0926754393006695, 0.45823823880597, -0.5827956417910447, 3.143849519398252, 0.6514310322580643, -0.448164758064516, 38563.72758300001, 14.4649, 14.0988, 11.8318, 13.434, 0.574046, -0.918986, 53.8295, 38564.754583, 14.4947, 13.9766, 11.9743, 13.586, 0.506008, -0.808177, 54.0316, 38564.76158300001, 14.4947, 13.8647, 11.9844, 13.5275, 0.423697, -0.792849, 53.8714, 38565.75958300001, 13.9877, 13.6102, 12.4016, 13.9718, 0.552472, -0.340332, 53.9713, 38565.787583000005, 13.9877, 13.6407, 12.4524, 14.042, 0.573939, -0.314302, 54.1228, 38566.19358300001, 14.1567, 13.7222, 12.3914, 13.7613, 0.432798, -0.479207, 54.0316, 38566.218583, 14.0871, 13.6611, 12.3507, 13.773, 0.462341, -0.452319, 53.8719, 38567.222583, 14.1468, 13.7323, 12.2286, 13.925, 0.59315, -0.479009, 54.0328, 38567.236583000005, 14.1368, 13.7425, 12.2388, 13.8783, 0.576502, -0.489562, 53.9964, 38568.094583000006, 14.2462, 13.824, 12.0862, 13.7847, 0.591528, -0.611569, 53.9411
38568.208, 38569.32461156898, 38569.34123586198, 38570.341145495, 38570.357807879, 38570.87441272098, 38570.891153316, 38571.89098392798, 38571.90792997599, 38573.007478789004, 3.5968802154802053, 0.5192920897435896, -0.5186029999999997, 3.036156215993486, 0.5377953287671232, -0.3707923013698632, 1.5656343358910745, 0.5141198, -0.5003021999999999, 3.255562413531162, 0.5408633896103895, -0.45809646753246774, 3.161363978882998, 0.4605280487804879, -0.41331318292682934, 38568.113583000006, 14.2363, 13.7832, 12.0963, 13.738, 0.551766, -0.608642, 53.8538, 38569.233583, 13.9281, 13.4677, 12.4626, 14.1589, 0.571981, -0.215005, 54.0172, 38569.257583000006, 13.8982, 13.5186, 12.4423, 14.1823, 0.6293, -0.219915, 54.0413, 38570.26758300001, 14.3357, 13.7425, 12.1879, 13.6795, 0.416362, -0.614722, 53.9456, 38570.26758300001, 14.3357, 13.7425, 12.1879, 13.6795, 0.416362, -0.614722, 53.9456, 38570.78058300001, 14.0474, 13.6509, 12.4016, 13.9952, 0.553268, -0.3609, 54.095, 38570.802583000004, 13.9977, 13.6407, 12.3507, 14.077, 0.633204, -0.335884, 54.0661, 38571.792583, 14.1667, 13.6509, 12.3507, 13.8432, 0.452095, -0.450929, 54.0114, 38571.81858300001, 14.0573, 13.6102, 12.4219, 14.0069, 0.525841, -0.343475, 54.0963, 38572.929583000005, 14.4152, 13.9359, 12.1269, 13.5275, 0.426513, -0.749022, 54.0055
