a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
49797.07, 49798.286632479016, 49798.32002654301, 49799.31985837101, 49799.336430794, 49799.75310509302, 49799.769795438995, 49800.769705882, 49800.810600004996, 49801.75288586201, 2.981431138312798, 0.532842597938144, -0.03244469149484534, 2.501987431629738, 0.38628574698795176, 0.4327596927710843, 1.179408915022118, 0.24354333333333336, -0.017365918888888894, 3.4088373633769256, -0.0494237294871795, 0.9461397307692311, 2.7425711627591824, 0.5099556171794871, 0.5404427256410254, 49797.013583, 15.5038, 16.1203, 14.6619, 15.0918, 0.426272, -0.457104, 61.3778, 49798.195583, 14.5588, 15.3327, 15.6216, 15.8782, 0.419673, 0.392976, 61.3914, 49798.227583, 14.48, 15.2304, 15.8769, 16.1442, 0.412175, 0.561454, 61.7316, 49799.230583, 15.3955, 15.7828, 15.0498, 15.3347, 0.272954, -0.193395, 61.5628, 49799.262582999996, 15.3364, 15.7112, 14.9886, 15.3116, 0.284338, -0.18276, 61.3478, 49799.658583, 15.0313, 15.2304, 15.5808, 15.7048, 0.131264, 0.249522, 61.5473, 49799.678583, 15.0116, 15.3225, 15.5093, 15.751, 0.224304, 0.225568, 61.5944, 49800.683583, 14.48, 14.8622, 16.3772, 15.8667, -0.0520885, 0.706719, 61.5861, 49800.723583, 14.4899, 14.8622, 16.4384, 15.9245, -0.0573605, 0.731794, 61.715, 49801.653583, 14.9624, 15.7316, 15.1928, 15.5776, 0.469396, 0.0186288, 61.4644
49801.761, 49802.97763693702, 49802.994195987005, 49803.994133728, 49804.010782998, 49804.42750551901, 49804.444223421015, 49805.84408580401, 49805.860823967, 49806.610639788996, 3.416543022607657, 0.5680944948453609, 0.6868003568041239, 2.9597653801213557, 0.6464587439024393, 0.6620505853658538, 1.7717663589666122, 0.5207001081081082, 0.09292491675675678, 3.6355166487075548, 0.7076296991150444, -0.3950631660176992, 2.026526678404613, 0.4961722580645162, 0.30353400000000014, 49801.674583, 14.9624, 15.7316, 15.1928, 15.5776, 0.469396, 0.0186288, 61.4644, 49802.888583, 14.2241, 15.3123, 15.591, 16.5721, 0.838462, 0.638596, 61.6995, 49802.897583, 14.2241, 15.3123, 15.591, 16.5721, 0.838462, 0.638596, 61.6995, 49803.899583, 14.3521, 15.1998, 15.5501, 16.3986, 0.689504, 0.584621, 61.5006, 49803.912583, 14.3816, 15.1691, 15.5604, 16.468, 0.688201, 0.603549, 61.579, 49804.363583, 15.9861, 15.9567, 14.3147, 14.9184, 0.234663, -0.664405, 61.1759, 49804.363583, 15.9861, 15.9567, 14.3147, 14.9184, 0.234663, -0.664405, 61.1759, 49805.746583, 14.3521, 15.6703, 15.4583, 16.1673, 0.822133, 0.390104, 61.6479, 49805.764583, 14.3816, 15.6805, 15.4991, 16.0748, 0.76037, 0.367928, 61.636, 49806.538583, 14.9624, 15.4452, 15.6318, 15.4156, 0.108495, 0.15618, 61.4551
49806.626, 49807.842731725024, 49807.859360254, 49808.85926181902, 49808.87590821501, 49809.492536546, 49809.50920924702, 49811.109042534, 49811.1260077, 49811.84232895901, 3.5476703612828793, 0.2396401649484536, -0.12292799597938149, 2.655963820763251, 0.4833843766233766, 0.18449857818181828, 1.3699936360289398, 0.44640918367346905, -0.19694413673469388, 4.347716805991117, 0.5314762892561983, -0.09607053074380172, 2.0388625068002724, 0.4586589444444445, -0.22802770666666664, 49806.538583, 14.9624, 15.4452, 15.6318, 15.4156, 0.108495, 0.15618, 61.4551, 49807.760582999996, 14.8935, 15.8237, 15.3664, 15.5197, 0.439754, 0.0411326, 61.6033, 49807.760582999996, 14.8935, 15.8237, 15.3664, 15.5197, 0.439754, 0.0411326, 61.6033, 49808.760582999996, 15.2774, 15.9567, 15.009, 15.3231, 0.403404, -0.219739, 61.5662, 49808.794583, 15.2478, 15.9465, 15.0294, 15.219, 0.36141, -0.230898, 61.4428, 49809.402583, 15.2085, 16.059, 14.8661, 15.2075, 0.485781, -0.291942, 61.341, 49809.446583, 15.3069, 16.0692, 14.9069, 15.3116, 0.473645, -0.281911, 61.5946, 49811.012582999996, 15.366, 16.0692, 14.8763, 15.2075, 0.420377, -0.329505, 61.5189, 49811.037583, 15.2577, 16.059, 14.8661, 15.2537, 0.48382, -0.292211, 61.4364, 49811.747583, 14.5194, 15.568, 15.4991, 15.7626, 0.534678, 0.287118, 61.3491
49811.858, 49812.97458228398, 49812.99124882899, 49813.391209646994, 49813.40788054201, 49813.92446763001, 49813.941150641, 49814.94104951698, 49814.95798930199, 49815.85763002198, 2.8103895612095933, 0.5190125333333333, 0.399754708888889, 1.109785039385171, 0.5018928888888887, -0.060546156111111124, 1.3539588582582867, 0.8502709523809525, 0.24003755523809525, 2.4325521699516344, 0.6137575249999999, 0.3165930250000001, 2.203111911377995, 0.6566448961038962, 0.4389568181818181, 49811.775583, 14.5489, 15.7214, 15.5399, 15.8667, 0.60769, 0.276341, 61.677, 49812.894583, 15.1297, 15.926, 15.1622, 15.3, 0.379616, -0.144723, 61.5179, 49812.894583, 15.1297, 15.926, 15.1622, 15.3, 0.379616, -0.144723, 61.5179, 49813.307583, 14.7556, 16.0385, 15.1315, 15.6354, 0.725582, -0.00663847, 61.5611, 49813.320583, 14.7556, 16.0078, 15.1724, 15.7279, 0.732884, 0.0332773, 61.6637, 49813.825583, 14.0764, 15.6907, 15.448, 16.3524, 1.02271, 0.495372, 61.5676, 49813.841583, 14.0567, 15.6703, 15.448, 16.3177, 1.00954, 0.497305, 61.4928, 49814.861583, 14.4899, 15.5168, 15.5604, 16.017, 0.602278, 0.382563, 61.5841, 49814.861583, 14.4899, 15.5168, 15.5604, 16.017, 0.602278, 0.382563, 61.5841, 49815.780583, 14.6572, 15.7623, 15.3766, 15.8898, 0.655881, 0.20592, 61.6859
49815.877, 49817.193538563, 49817.21020713401, 49818.21008095799, 49818.226740100996, 49818.64343259899, 49818.660074317006, 49819.85996192801, 49819.87718014401, 49820.726541315984, 3.8788306759442652, 0.6926147592592594, -0.3688623356481482, 2.3783628248162936, 0.8783477857142863, -0.504427511904762, 1.4424146071017767, 0.9518398529411767, -0.2009734823529412, 3.1103791132347745, 0.6596740306122449, 0.24634268908163273, 1.865107047667661, 0.7654516119402986, 0.19129256208955217, 49815.780583, 14.6572, 15.7623, 15.3766, 15.8898, 0.655881, 0.20592, 61.6859, 49817.115583, 14.9722, 16.5193, 14.6517, 15.4272, 0.943071, -0.344144, 61.5703, 49817.115583, 14.9722, 16.5193, 14.6517, 15.4272, 0.943071, -0.344144, 61.5703, 49818.110583, 15.5038, 16.7136, 14.3351, 14.8605, 0.706384, -0.738039, 61.413, 49818.136583, 15.5333, 16.642, 14.2637, 14.9993, 0.750494, -0.711033, 61.4383, 49818.545583, 14.0567, 15.926, 15.3255, 16.3986, 1.19207, 0.423313, 61.7069, 49818.571583, 14.0272, 15.8851, 15.2847, 16.283, 1.16143, 0.403885, 61.48, 49819.760582999996, 14.923, 15.7623, 15.2643, 15.6007, 0.477561, 0.0437754, 61.5503, 49819.798582999996, 14.8246, 15.8339, 15.2234, 15.6816, 0.595966, 0.0600779, 61.5635, 49820.646583, 14.3324, 15.7828, 15.4583, 16.0633, 0.83369, 0.342255, 61.6367
49820.741, 49821.757606021005, 49821.77420482001, 49822.774132468, 49822.79079990001, 49823.20743235101, 49823.224136177996, 49824.82394032401, 49824.84065660499, 49825.55721507398, 2.643239630195979, 0.7123458117647059, 0.5104295294117647, 2.292301792977555, 0.8806531604938275, 0.4149314938271603, 1.0109009449865767, 0.7286167096774193, 0.14451088709677415, 4.086967531229518, 0.7438932230769221, 0.14467579915384607, 1.7159555860896676, 0.6020757258064517, 0.4487658548387098, 49820.646583, 14.3324, 15.7828, 15.4583, 16.0633, 0.83369, 0.342255, 61.6367, 49821.662583, 14.106, 15.701, 15.7441, 16.1558, 0.812972, 0.508776, 61.7069, 49821.675583, 14.0272, 15.7419, 15.6829, 16.1789, 0.896743, 0.50933, 61.6309, 49822.679583, 14.2831, 15.7828, 15.591, 16.0517, 0.794196, 0.383273, 61.7086, 49822.706583, 14.2831, 15.7316, 15.5808, 15.9245, 0.728303, 0.363412, 61.5201, 49823.117583, 14.6277, 15.9976, 15.2132, 15.7626, 0.778916, 0.0853533, 61.6011, 49823.126583, 14.6671, 15.9771, 15.203, 15.7626, 0.758672, 0.0782508, 61.6098, 49824.736583, 14.4013, 15.6396, 15.448, 15.8435, 0.665963, 0.305886, 61.3325, 49824.742583, 14.4308, 15.7214, 15.4787, 15.7857, 0.650331, 0.271629, 61.4166, 49825.463583, 14.293, 15.3941, 15.7033, 16.0054, 0.571391, 0.49392, 61.3958
49825.574, 49826.89055506499, 49826.90721844498, 49827.90711216498, 49827.92377867399, 49828.34042327898, 49828.35707796398, 49829.573619229, 49829.59040708698, 49830.62353671899, 3.7350336759516463, 0.7215833055555559, 0.6175281574074075, 2.2559614848698026, 0.9256943780487811, 0.6525266953658538, 1.3845131175111143, 0.6518925588235295, 0.40131002941176463, 3.512122406426501, 0.4636952659574466, 0.9453335, 3.4589361318313716, 0.5641331168831168, 0.8978000779220779, 49825.478583, 14.3324, 15.4862, 15.7033, 15.9129, 0.554821, 0.438929, 61.4348, 49826.802583, 13.535, 14.8315, 16.1015, 17.1733, 0.960499, 1.19438, 61.6413, 49826.821583, 13.5252, 14.8315, 16.1934, 17.2038, 0.937912, 1.22434, 61.7539, 49827.809583, 14.736, 16.0385, 15.009, 15.7857, 0.844276, 0.00493526, 61.5692, 49827.825583, 14.736, 16.0283, 15.0192, 15.8898, 0.876758, 0.035212, 61.6733, 49828.247583, 14.0075, 14.9543, 16.1423, 16.4449, 0.507441, 0.88355, 61.549, 49828.263583, 13.9583, 14.9543, 16.2036, 16.5143, 0.530031, 0.926158, 61.6305, 49829.475583, 14.8836, 15.4555, 15.3459, 15.9476, 0.476021, 0.232297, 61.6327, 49829.492583, 14.8836, 15.4657, 15.3153, 15.9476, 0.492755, 0.222427, 61.6123, 49830.527583, 14.3127, 15.0872, 15.4685, 16.6878, 0.809768, 0.671654, 61.5561
49830.639, 49831.855588385, 49831.872253124, 49832.872143639, 49832.88881460601, 49833.405443356, 49833.42209236802, 49834.621984657024, 49834.638795357, 49835.605231428, 3.885770656913574, 1.0291945408163263, 0.341815299387755, 3.462142966969146, 0.519410361445783, 0.39166325361445775, 1.566966334060146, 0.40216823684210534, -0.15530719473684212, 3.6867882713179956, 0.9990180813953486, 0.036702582790697665, 4.587328937481705, 0.8150171507042252, 0.6204039816901407, 49830.569583, 14.2635, 15.0975, 15.5297, 16.7803, 0.84503, 0.717291, 61.6709, 49831.757583, 15.051, 16.0181, 14.6414, 15.8898, 0.899124, -0.13095, 61.6002, 49831.792583, 14.9722, 15.9976, 14.7435, 15.9014, 0.885829, -0.0790939, 61.6147, 49832.779582999996, 15.6613, 15.6191, 14.6414, 15.4041, 0.293723, -0.302044, 61.3259, 49832.792583, 15.6908, 15.6191, 14.5904, 15.4156, 0.307259, -0.318976, 61.316, 49833.310583, 15.5038, 15.7214, 14.5087, 15.6816, 0.566053, -0.252748, 61.4155, 49833.325583, 15.4152, 15.7419, 14.5495, 15.7279, 0.612462, -0.214767, 61.4345, 49834.535583, 14.4308, 16.0283, 14.7946, 16.7109, 1.41765, 0.253304, 61.9646, 49834.562583, 14.2831, 15.9465, 14.9171, 16.8497, 1.45002, 0.37192, 61.9964, 49835.524583, 16.2617, 15.4043, 14.7538, 15.0109, -0.244284, -0.464284, 61.4307
49835.625, 49836.841565209994, 49836.85818471201, 49837.65812344101, 49837.674805277, 49838.191430456995, 49838.20805305202, 49839.207992379, 49839.224746640015, 49840.257894726994, 5.501880304468483, 0.046168093301075304, 0.4750862580645163, 3.524049415424339, 0.7004619848484849, 0.48256223484848504, 1.4152108549874887, 0.41057702631578946, 1.3094486842105257, 2.8090721340712212, 0.21127467775, 0.87138355, 3.150990465356357, 0.4425175402298853, 0.35549216206896544, 49835.529582999996, 16.2617, 15.3634, 14.815, 15.0456, -0.271504, -0.430478, 61.4857, 49836.760582999996, 15.7597, 16.2226, 14.3556, 14.9762, 0.441808, -0.648444, 61.3141, 49836.760582999996, 15.7597, 16.2226, 14.3556, 14.9762, 0.441808, -0.648444, 61.3141, 49837.573583, 13.7713, 14.3712, 16.6324, 17.0713, 0.419939, 1.34881, 61.8463, 49837.575583, 13.7417, 14.4326, 16.561, 17, 0.457558, 1.3088, 61.7353, 49838.092583, 13.791, 14.3099, 16.5508, 16.9884, 0.387973, 1.32341, 61.64, 49838.139583, 13.8796, 14.3712, 16.4997, 16.9769, 0.392389, 1.26988, 61.7274, 49839.110583, 14.736, 14.9236, 15.6523, 16.1789, 0.290406, 0.529743, 61.4907, 49839.130583, 14.7163, 14.9338, 15.6727, 16.1327, 0.275615, 0.526049, 61.4554, 49840.171583, 14.4899, 14.9543, 15.8258, 16.5027, 0.461894, 0.700409, 61.7727
49840.272, 49841.688575165, 49841.70524016599, 49842.305095002, 49842.32184786699, 49842.938456378004, 49842.955117434, 49843.955009606, 49843.971819753, 49844.871571911994, 3.8879135092670847, 0.4908917128712871, 0.8441000693069309, 1.8043308602765638, 0.7837783399999998, 0.9057239199999999, 1.8066629114821422, 0.43162224489795914, 0.7067544897959182, 2.4589678289404824, 0.18598668082191777, 0.9887240958904107, 2.678054391276402, 0.2423091428571428, 0.8311024285714284, 49840.179583, 14.4111, 14.7702, 15.9177, 16.5259, 0.392362, 0.794072, 61.6248, 49841.600583, 14.0567, 15.1282, 15.7544, 16.6531, 0.799662, 0.784802, 61.5923, 49841.614583, 13.9682, 15.0975, 15.7646, 16.734, 0.852266, 0.836433, 61.5642, 49842.214583, 14.1847, 15.1793, 15.6829, 16.5952, 0.773394, 0.709119, 61.6421, 49842.222583, 14.1847, 15.1793, 15.6829, 16.5952, 0.773394, 0.709119, 61.6421, 49842.846583, 14.48, 14.7804, 16.0402, 16.3293, 0.23908, 0.756716, 61.6299, 49842.865583, 14.5096, 14.8315, 16.0709, 16.2599, 0.207129, 0.72715, 61.6718, 49843.856583, 14.3914, 14.9952, 15.9688, 16.2599, 0.363082, 0.691879, 61.6152, 49843.886583, 14.3324, 14.9236, 16.0198, 16.2483, 0.33308, 0.734387, 61.5241, 49844.780583, 14.3324, 14.5758, 16.2444, 16.4565, 0.184819, 0.923417, 61.6091
