a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
48568.27, 48569.78650515399, 48569.80313268898, 48571.40301825098, 48571.41953515699, 48571.936332888996, 48571.953058489984, 48572.952880187986, 48572.96988499497, 48573.719448355994, 4.639802087238841, -1.0738985625000004, -2.6218459374999994, 5.051053845469745, -1.0708466542056079, -2.4555318691588783, 2.2934495046559547, -0.860471789473684, -2.3467586842105264, 3.3241922003677336, 0.6040622422535209, -2.715927887323944, 2.7806809543438837, 0.3954489307692307, -2.359015, 48568.172583, 18.1259, 17.2838, 13.8757, 11.9694, -1.12168, -2.34219, 61.2548, 48569.686583, 18.7142, 17.3953, 13.5898, 11.5646, -1.36459, -2.68228, 61.264, 48569.713583, 18.6939, 17.4156, 13.7736, 11.7265, -1.34936, -2.58306, 61.6096, 48571.303583, 18.1766, 17.1622, 13.6817, 12.1776, -1.02885, -2.3235, 61.198, 48571.323583, 18.2273, 17.2636, 13.6715, 12.1544, -1.01147, -2.36436, 61.3168, 48571.841583, 17.6593, 17.8718, 13.1201, 12.5592, -0.142317, -2.41425, 61.2104, 48571.858583, 17.5984, 17.9428, 13.018, 12.5476, -0.0515863, -2.44872, 61.1068, 48572.862583, 17.9636, 18.9565, 12.2523, 12.1776, 0.374153, -3.05386, 61.3499, 48572.870582999996, 17.9535, 18.9058, 12.2012, 12.1429, 0.365168, -3.06728, 61.2033, 48573.629583, 17.3144, 17.446, 13.6715, 12.6864, -0.349109, -2.06221, 61.1183
48573.737, 48574.85358441802, 48574.870236672, 48575.870312046005, 48575.88679369601, 48576.50351792001, 48576.52014626502, 48577.72015485602, 48577.737096851, 48578.58650606202, 3.334212481505353, -0.1224288032467532, -2.5065162337662334, 3.2816377548123556, -0.6243698055555554, -2.0553245833333342, 1.911240451359136, -0.47692482051282054, -2.185950769230769, 3.4559914240457275, -0.26387865116279063, -2.1346375581395343, 2.317801556374249, -0.23917401666666654, -2.169762833333334, 48573.656582999996, 17.3956, 17.4967, 13.7123, 12.5823, -0.420377, -2.10772, 61.1869, 48574.780583, 17.7709, 17.7603, 13.5898, 12.2238, -0.560999, -2.37614, 61.3448, 48574.780583, 17.7709, 17.7603, 13.5898, 12.2238, -0.560999, -2.37614, 61.3448, 48575.777583, 17.0609, 17.3649, 13.9063, 12.9177, -0.279407, -1.86167, 61.2498, 48575.794583, 17.0507, 17.3548, 13.988, 12.9408, -0.302884, -1.82851, 61.3343, 48576.403583, 17.7607, 17.8515, 13.3447, 12.2585, -0.406539, -2.45257, 61.2155, 48576.434583, 17.8115, 17.8921, 13.3345, 12.351, -0.367697, -2.44782, 61.3891, 48577.633583, 17.2333, 17.7299, 13.5694, 12.7211, -0.143543, -2.1238, 61.2536, 48577.641583, 17.2637, 17.7299, 13.5796, 12.7327, -0.155278, -2.12411, 61.3058, 48578.496583, 17.4666, 17.811, 13.4162, 12.5476, -0.213993, -2.28123, 61.2414
48578.602, 48580.11866279, 48580.13534543598, 48580.735280437, 48580.75188487298, 48581.368647593, 48581.38499511198, 48582.38490190798, 48582.402066781986, 48583.068263918, 3.931589406922478, -0.22481401020408162, -2.148866326530611, 1.40077162219508, -0.4190351707317073, -2.416760731707316, 2.1776099192967133, -0.5797444015384615, -2.514899487179488, 2.860236080204663, -0.8035330579710147, -2.3702834782608693, 1.7966542083771209, -0.16877182545454544, -2.1929670454545453, 48578.508583, 17.5579, 17.811, 13.4877, 12.4782, -0.308293, -2.29958, 61.3348, 48580.019583, 17.4869, 17.9529, 13.3345, 12.3741, -0.202116, -2.38708, 61.1484, 48580.043583, 17.6187, 17.9123, 13.3243, 12.351, -0.277624, -2.41537, 61.2064, 48580.635583, 17.5883, 18.0239, 13.3243, 12.3279, -0.228883, -2.4386, 61.2644, 48580.653583, 17.6289, 18.1455, 13.3345, 12.2354, -0.237405, -2.49521, 61.3443, 48581.278583, 18.2375, 17.6082, 13.6613, 11.7497, -1.03697, -2.55518, 61.2566, 48581.304583, 18.2172, 17.6691, 13.5489, 11.7265, -0.968969, -2.6023, 61.1617, 48582.292583, 17.3652, 17.6082, 13.7429, 12.5361, -0.393379, -2.12915, 61.2524, 48582.344583, 17.3246, 17.5474, 13.7429, 12.6286, -0.363936, -2.08197, 61.2435, 48582.984583, 17.8216, 18.034, 13.1508, 12.085, -0.349201, -2.60752, 61.0914
48583.085, 48584.60157931201, 48584.61834057401, 48585.61829640301, 48585.63482263001, 48586.151542151994, 48586.16806635302, 48587.56800491902, 48587.58470539601, 48588.30117456502, 4.329897772180352, -0.4042607904761905, -2.4829217142857147, 2.4410865313887204, -0.39304186764705895, -2.1124525000000007, 1.5303853901105602, -0.4950324705882353, -2.4681558823529413, 5.592199951727378, -0.9627700467391307, -2.7880375000000015, 2.4955930409768654, -0.6810982156862746, -2.9634335294117653, 48582.994583, 17.8419, 18.0745, 13.1712, 12.0966, -0.344011, -2.61064, 61.1842, 48584.506583, 17.6086, 17.6589, 13.6919, 12.3741, -0.516608, -2.25035, 61.3335, 48584.519583, 17.5477, 17.6386, 13.7838, 12.4088, -0.522992, -2.19792, 61.379, 48585.518583, 17.3854, 17.6386, 13.6204, 12.5476, -0.334847, -2.17088, 61.1921, 48585.543583, 17.426, 17.6691, 13.6715, 12.6401, -0.320932, -2.14556, 61.4067, 48586.052583, 18.1462, 18.034, 12.9976, 11.981, -0.461437, -2.74735, 61.1587, 48586.070583, 18.1665, 18.034, 12.9465, 11.9578, -0.458722, -2.77296, 61.1048, 48587.478583, 18.8156, 17.4663, 13.6204, 11.2755, -1.50963, -2.7917, 61.1779, 48587.498583, 18.7751, 17.4663, 13.4775, 11.3218, -1.41892, -2.81177, 61.0406, 48588.207583, 18.2578, 18.0441, 13.0997, 11.7844, -0.624727, -2.79913, 61.1859
48588.317, 48589.33367737801, 48589.35019712103, 48590.35008892402, 48590.36684775401, 48590.78356622301, 48590.80006813502, 48591.799989115, 48591.81677509602, 48592.91648276001, 2.7528068623025987, -0.8637736969696972, -2.5321953030303033, 2.7672384038467683, -0.7482549538461541, -2.2624104615384613, 1.2579195254496376, -1.0038486, -2.0918490000000003, 4.063301036091152, 0.6716741797101449, -2.9543447826086964, 3.722237715461739, 0.2822756896103896, -2.900496363636365, 48588.230583, 18.2882, 17.9732, 13.161, 11.819, -0.676396, -2.76317, 61.2414, 48589.249583, 17.4869, 17.1825, 14.0901, 12.5592, -0.748268, -1.9619, 61.3186, 48589.251583, 17.4362, 17.1115, 14.1922, 12.5592, -0.798406, -1.90777, 61.299, 48590.256583, 17.7607, 17.5575, 13.6613, 12.1313, -0.709027, -2.33815, 61.1108, 48590.276583, 17.781, 17.446, 13.7327, 12.1776, -0.77292, -2.28586, 61.1373, 48590.689583, 17.7912, 17.071, 13.9165, 12.4551, -0.890695, -2.07986, 61.2337, 48590.705583, 17.781, 17.1115, 13.8246, 12.4898, -0.818677, -2.10224, 61.207, 48591.705583, 17.5477, 20.3148, 11.4252, 11.7959, 1.28423, -3.59542, 61.0837, 48591.724583, 17.5782, 20.1729, 11.4559, 11.7844, 1.19823, -3.56876, 60.9913, 48592.832583, 17.568, 18.2165, 13.4264, 12.085, -0.282627, -2.51395, 61.2959
48592.933, 48594.349583932, 48594.36628643401, 48595.166050912994, 48595.18270965, 48595.59941879899, 48595.61616060901, 48596.632611057, 48596.64928478801, 48597.732513234, 4.742868983006885, -0.10943731549450549, -2.5254661538461542, 2.2399636880996368, 0.07360021999999997, -2.506925454545455, 1.5837676837816597, -0.43972365517241374, -2.916293793103448, 2.9078822538587974, 0.19940859687499995, -2.5671984375000005, 3.38087639866394, -0.006787564506493533, -2.4400029870129885, 48592.842583, 17.5376, 18.2367, 13.3856, 12.0272, -0.269352, -2.54012, 61.1871, 48594.250583, 17.0101, 18.5104, 13.161, 12.6401, 0.399315, -2.3775, 61.3217, 48594.267583, 17.0304, 18.5003, 13.1916, 12.5014, 0.318354, -2.41029, 61.2237, 48595.070583, 17.7405, 17.9326, 13.4775, 12.1313, -0.470786, -2.46345, 61.2818, 48595.087583, 17.7912, 18.0543, 13.4366, 11.9694, -0.491482, -2.55653, 61.2515, 48595.514583, 18.0042, 18.6828, 12.8444, 11.7265, -0.179292, -2.96679, 61.2579, 48595.521583, 18.0143, 18.7335, 12.8649, 11.7844, -0.147147, -2.95582, 61.397, 48596.536583, 17.3347, 18.4293, 13.0691, 12.3163, 0.139767, -2.54589, 61.1495, 48596.561583, 17.3246, 18.4496, 13.0793, 12.2816, 0.133878, -2.55498, 61.1351, 48597.650583, 16.8425, 17.9934, 13.6613, 12.7673, 0.104883, -2.05845, 61.2645
48597.751, 48599.16779465302, 48599.18428643401, 48599.984225973, 48600.00085350802, 48600.41747634201, 48600.434118060024, 48601.434150478024, 48601.45089715202, 48602.517233850005, 3.862146510364258, 0.10021952873684209, -1.9315134736842101, 2.4237961439455247, -0.05188044745762713, -2.727504576271186, 1.0821403167651815, 0.16859815517241383, -2.560398620689654, 2.3572188841110946, 0.32123616417910456, -2.598609253731342, 3.1821924367442906, 0.1886457981830986, -2.5997602816901413, 48597.676583, 16.8327, 17.9833, 13.6102, 12.8136, 0.144532, -2.05556, 61.2398, 48599.068583, 17.2333, 18.0644, 13.5183, 12.3626, -0.132656, -2.30884, 61.1786, 48599.087583, 17.2637, 17.9934, 13.3652, 12.2701, -0.150011, -2.37023, 60.8924, 48599.905583, 17.4869, 18.3888, 13.018, 12.3395, 0.0911891, -2.57659, 61.2331, 48599.905583, 17.4869, 18.3888, 13.018, 12.3395, 0.0911891, -2.57659, 61.2331, 48600.330583, 17.3956, 18.4902, 12.9568, 12.3395, 0.195023, -2.59624, 61.182, 48600.350583, 17.4463, 18.4902, 13.018, 12.3626, 0.15837, -2.58228, 61.3171, 48601.350583, 17.0507, 18.5206, 13.1099, 12.802, 0.47248, -2.35658, 61.4832, 48601.354583, 17, 18.4496, 13.0486, 12.7673, 0.476739, -2.35865, 61.2656, 48602.420583, 17.6593, 18.9463, 12.6096, 12.085, 0.310951, -2.91458, 61.3003
48602.533, 48603.94974318901, 48603.96624266901, 48604.966180669006, 48604.98280253, 48605.59952878001, 48605.61622236702, 48606.61608094103, 48606.63287867301, 48607.69920848302, 3.6501737320590744, 0.1833489202127659, -2.5717660638297866, 2.8253007856310557, 0.18017945588235293, -2.471266323529411, 1.6212616070819204, 0.18467965333333336, -2.292568666666666, 2.849548573034785, 0.32622544545454546, -2.4214593939393936, 3.137306255438617, 0.24069017565789477, -2.1559925, 48602.440582999996, 17.6086, 18.8754, 12.5688, 12.2007, 0.366795, -2.8687, 61.2534, 48603.858583, 17.0507, 18.1759, 13.4162, 12.5592, 0.109538, -2.26738, 61.202, 48603.878583, 17.0406, 18.2367, 13.3958, 12.4667, 0.109187, -2.30983, 61.1398, 48604.868582999996, 16.9803, 18.3685, 13.1099, 12.5823, 0.352472, -2.37298, 61.041, 48604.894583, 17, 18.3989, 13.2018, 12.6054, 0.327814, -2.35067, 61.2062, 48605.503583, 17.2333, 18.5003, 13.1508, 12.4898, 0.246868, -2.46677, 61.3741, 48605.532583, 17.3652, 18.5003, 13.0282, 12.432, 0.219682, -2.54508, 61.3257, 48606.527583, 16.9016, 18.0745, 13.6817, 12.7095, 0.0818074, -2.09841, 61.3673, 48606.538583, 16.9016, 18.0745, 13.6817, 12.7095, 0.0818074, -2.09841, 61.3673, 48607.622583, 17.1724, 18.5104, 13.0997, 12.4204, 0.269067, -2.49075, 61.203
48607.716, 48608.83272219698, 48608.84936269901, 48609.849343653, 48609.865903513986, 48610.382673284985, 48610.399150478, 48611.399111980994, 48611.415844065996, 48612.448899355004, 2.9620165331419575, 0.14093639733333332, -2.3090678666666675, 2.295923330776647, 0.1567881265625, -2.2500034375, 1.539077816658886, 0.041271311428571426, -2.3898394285714284, 2.7756862853070596, 0.0618853195652174, -2.9396560869565227, 3.183278901514787, -0.08219300692307693, -2.572839076923077, 48607.622583, 17.1724, 18.5104, 13.0997, 12.4204, 0.269067, -2.49075, 61.203, 48608.744583, 16.9508, 18.3381, 13.4162, 12.5823, 0.22575, -2.2738, 61.2874, 48608.755583, 16.9409, 18.3178, 13.3958, 12.617, 0.244036, -2.26352, 61.2716, 48609.753583, 16.7933, 18.2671, 13.5183, 12.6054, 0.229219, -2.19092, 61.1842, 48609.767583, 16.6653, 18.186, 13.5898, 12.617, 0.224355, -2.12369, 61.0582, 48610.318583, 17.7709, 18.7537, 12.9772, 11.8537, -0.0572875, -2.85884, 61.3555, 48610.318583, 17.7709, 18.7537, 12.9772, 11.8537, -0.0572875, -2.85884, 61.3555, 48611.302583, 17.6999, 18.8754, 12.7015, 11.6224, 0.0395894, -3.0176, 60.8992, 48611.334582999996, 17.6593, 18.8247, 12.7628, 11.5415, -0.022985, -3.00545, 60.7883, 48612.359583, 16.9902, 18.257, 13.7429, 12.4204, -0.0226706, -2.21879, 61.4105
48612.465, 48613.88177925398, 48613.898351271986, 48615.098189259996, 48615.114785590995, 48615.63146540098, 48615.64821126399, 48616.647977038985, 48616.66477517699, 48617.53118068399, 3.8103139186571537, 0.09475177106382977, -1.991806063829787, 3.4951596878662032, 0.05160966434999999, -2.044510375, 1.814710210655417, 0.13410603963888884, -1.9263083333333328, 2.7573937348546824, 0.3644284029850747, -2.2304044776119403, 2.370503174299523, -0.0074521478571428585, -2.3490007142857143, 48612.378583, 16.9114, 18.2266, 13.7123, 12.4667, 0.0283539, -2.19165, 61.317, 48613.794583, 16.4586, 17.8515, 13.8859, 12.617, 0.0509948, -1.92571, 60.813, 48613.814583, 16.3995, 17.9326, 13.988, 12.7442, 0.118446, -1.86687, 61.0644, 48615.010583, 16.7047, 17.9326, 14.182, 12.8483, -0.0428736, -1.85033, 61.6676, 48615.029582999996, 16.7342, 17.811, 14.1718, 12.7905, -0.123782, -1.84927, 61.5074, 48615.555583, 16.3503, 18.1759, 13.4877, 12.698, 0.426546, -2.0607, 60.7119, 48615.555583, 16.3503, 18.1759, 13.4877, 12.698, 0.426546, -2.0607, 60.7119, 48616.560583, 17.1217, 18.6422, 13.0997, 12.166, 0.240371, -2.58028, 61.0296, 48616.594583, 17.2434, 18.7436, 13.1508, 12.0619, 0.168017, -2.64079, 61.1997, 48617.436583, 16.5767, 18.2165, 13.9369, 12.802, 0.205112, -1.96341, 61.5322
