a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
59242.222, 59243.43854603101, 59243.455225281, 59244.45511743001, 59244.471770244, 59244.988411497, 59245.00497404002, 59245.405030994, 59245.42183839302, 59246.37159650202, 3.8304001430695562, 0.4931632788461541, 0.3928180576923077, 3.552146505041471, 0.4751238414634149, 0.5323063024390243, 1.569986302915202, 0.43129037837837836, 0.6556185945945946, 1.4327389598029696, 0.44278876666666667, 0.5934771666666666, 2.9357378733470836, 0.47068074074074057, 0.638396037037037, 59242.139583000004, 10.9463, 11.6837, 11.8837, 11.9815, 0.449076, 0.398503, 46.4952, 59243.364583, 11.1349, 11.9184, 11.7104, 11.6671, 0.398555, 0.104781, 46.4308, 59243.364583, 11.1349, 11.9184, 11.7104, 11.6671, 0.398555, 0.104781, 46.4308, 59244.359583, 10.589, 11.398, 12.1283, 12.3774, 0.568926, 0.812616, 46.4927, 59244.378583, 10.6386, 11.3776, 12.1691, 12.3425, 0.490195, 0.804468, 46.5277, 59244.891583000004, 10.7875, 11.5, 12.0875, 12.1212, 0.401214, 0.61981, 46.4963, 59244.915583, 10.8471, 11.4184, 12.1283, 12.2027, 0.346464, 0.66495, 46.5965, 59245.310583, 10.7478, 11.5306, 11.9958, 12.1911, 0.526249, 0.616098, 46.4653, 59245.331583, 10.7776, 11.5204, 12.006, 12.1795, 0.492799, 0.609074, 46.4834, 59246.281583, 10.8074, 11.4898, 12.0773, 12.261, 0.464272, 0.656521, 46.6354
59246.389, 59247.40555478499, 59247.422232471996, 59248.422150829, 59248.43880823302, 59249.055439215015, 59249.072104650004, 59249.47204942801, 59249.488984225994, 59250.305296061015, 3.052839947624849, 0.49694065333333337, 0.49714383999999984, 3.3087966338631762, 0.46877214285714297, 0.32202998809523803, 2.0707319430719373, 0.5123950588235296, 0.6831507843137254, 1.110998591581061, 0.39569254285714295, 0.5905243142857145, 2.7428249631910897, 0.5860457538461536, 0.9021919384615388, 59246.290583, 10.8074, 11.5306, 12.0875, 12.1562, 0.424999, 0.613672, 46.5817, 59247.324583, 11.0058, 11.7347, 11.741, 11.9233, 0.490865, 0.298601, 46.4048, 59247.324583, 11.0058, 11.7347, 11.741, 11.9233, 0.490865, 0.298601, 46.4048, 59248.326583, 10.718, 11.5408, 12.1487, 12.226, 0.48255, 0.680578, 46.6336, 59248.350583, 10.6486, 11.449, 12.0977, 12.2842, 0.530845, 0.737236, 46.4795, 59248.956583, 10.8272, 11.7959, 11.8939, 12.0397, 0.598493, 0.422223, 46.5567, 59248.976583, 10.8173, 11.7959, 11.9143, 12.0514, 0.598845, 0.435532, 46.5788, 59249.376583000005, 10.6783, 11.2755, 12.3118, 12.1445, 0.231597, 0.808797, 46.4101, 59249.398583, 10.6486, 11.3061, 12.3729, 12.2726, 0.298956, 0.866137, 46.6002, 59250.214583, 10.4203, 11.3163, 12.3831, 12.5171, 0.55216, 1.01751, 46.6369
59250.323, 59251.839517156004, 59251.856181375006, 59252.256132851, 59252.272812970004, 59252.68943524401, 59252.706076327995, 59253.70594479702, 59253.72290908, 59254.605904029995, 5.026526684300215, 0.4935590431034484, 0.7425189482758618, 1.3281830055428743, 0.5106202000000001, 0.6588498333333334, 1.620238959087479, 0.4597854999999999, 0.9133206874999998, 3.481144159824306, 0.4953406265060238, 1.2030602409638558, 2.7777310586891266, 0.5024590441176471, 0.7983860294117651, 59250.248583, 10.46, 11.2857, 12.3423, 12.4589, 0.506091, 0.984653, 46.547, 59251.755583, 10.6486, 11.5306, 12.22, 12.0863, 0.402445, 0.686388, 46.4855, 59251.773583, 10.6287, 11.5204, 12.2302, 12.1212, 0.420803, 0.710415, 46.5006, 59252.179583000005, 10.589, 11.5306, 12.2302, 12.1795, 0.478634, 0.738255, 46.5293, 59252.179583000005, 10.589, 11.5306, 12.2302, 12.1795, 0.478634, 0.738255, 46.5293, 59252.591583, 10.2715, 11.2245, 12.536, 12.5171, 0.501722, 1.14626, 46.549, 59252.618583, 10.3012, 11.1939, 12.5767, 12.4589, 0.416297, 1.14136, 46.5307, 59253.610583, 10.1623, 10.9286, 12.7092, 12.6801, 0.396502, 1.3872, 46.4802, 59253.626583000005, 10.1722, 10.9286, 12.75, 12.7034, 0.38116, 1.40244, 46.5542, 59254.511583, 10.7776, 11.6633, 12.0366, 11.9116, 0.409985, 0.487409, 46.3891
59254.622, 59256.138565998, 59256.155193591985, 59257.75505406599, 59257.771698642, 59258.18833469399, 59258.20500456501, 59259.20493071701, 59259.221795599995, 59260.03816710101, 5.034883449123901, 0.43079985714285696, 0.4502061764705882, 5.151182742636062, 0.3967872, 0.6165135583333333, 1.288012357528009, 0.37827239473684215, 0.6295899210526316, 3.004171503799007, 0.3942983076923078, 0.5445271410256408, 2.6644944106227353, 0.4525746562499998, 0.7996678125000002, 59254.525583, 10.7677, 11.7041, 11.9754, 11.9815, 0.507507, 0.479829, 46.4287, 59256.040583, 10.589, 11.2245, 12.3118, 12.3658, 0.370753, 0.924046, 46.491, 59256.061583, 10.6287, 11.1531, 12.3525, 12.4705, 0.344583, 0.978853, 46.6048, 59257.661583, 10.7677, 11.5, 12.1996, 12.1562, 0.369376, 0.671811, 46.6235, 59257.683583, 10.7677, 11.5, 12.1996, 12.1562, 0.369376, 0.671811, 46.6235, 59258.108583, 10.6883, 11.551, 12.1283, 12.1445, 0.472447, 0.655809, 46.5121, 59258.108583, 10.6883, 11.551, 12.1283, 12.1445, 0.472447, 0.655809, 46.5121, 59259.118583, 10.7478, 11.602, 12.0977, 11.9582, 0.385043, 0.551469, 46.4058, 59259.131583, 10.7974, 11.4898, 12.0977, 11.9815, 0.31065, 0.579731, 46.3665, 59259.942583000004, 10.5096, 11.2653, 12.2914, 12.424, 0.477666, 0.948713, 46.4903
59260.056, 59261.07259291901, 59261.089265604984, 59262.489110179, 59262.50578257699, 59262.922455409, 59262.93909288298, 59263.938993734, 59263.956165497, 59264.70558060099, 3.4536240381668617, 0.4282222375000001, 0.7605706875000002, 4.514713130025312, 0.44249292241379323, 0.6818317068965523, 1.4048578680012849, 0.3411146111111111, 0.5800176944444444, 2.7883926496001044, 0.4066593292682928, 0.6154698780487803, 2.4018526720191957, 0.4066164285714286, 0.7223161964285717, 59259.966583, 10.46, 11.2245, 12.3321, 12.3192, 0.405473, 0.960426, 46.3358, 59260.977583, 10.8272, 11.6327, 12.0264, 11.9116, 0.372168, 0.477877, 46.3979, 59260.998583, 10.9165, 11.6837, 12.0671, 11.9349, 0.340614, 0.451228, 46.6023, 59262.402583, 10.46, 11.2653, 12.3219, 12.3308, 0.438878, 0.94682, 46.3781, 59262.430583, 10.5791, 11.398, 12.2506, 12.3541, 0.495026, 0.846142, 46.5818, 59262.853583000004, 10.7974, 11.5306, 12.0875, 11.9932, 0.344118, 0.566479, 46.4087, 59262.853583000004, 10.7974, 11.5306, 12.0875, 11.9932, 0.344118, 0.566479, 46.4087, 59263.843583, 10.7677, 11.5408, 12.2098, 12.0164, 0.31147, 0.618183, 46.5347, 59263.861583, 10.7478, 11.5306, 12.1894, 11.9466, 0.29082, 0.60033, 46.4144, 59264.606583, 10.5989, 11.551, 12.271, 12.0397, 0.387865, 0.697603, 46.4607
59264.722, 59266.038557907996, 59266.055236811015, 59267.055128459, 59267.07178426402, 59267.48840709801, 59267.50509020901, 59268.504984133, 59268.52167856902, 59269.32155373401, 5.141322915399878, 0.4214876458333334, 0.5261137135416666, 3.6730377171782553, 0.3738873975903612, 0.6296522771084335, 1.3721167021347629, 0.37475859375, 0.6088429687500001, 3.086853682246195, 0.3927430246913583, 0.6544543086419751, 2.872612550604096, 0.4210694920634921, 0.7311952539682538, 59264.639583000004, 10.6982, 11.5816, 12.2404, 11.9233, 0.304845, 0.608439, 46.4435, 59265.941583, 10.7875, 11.5408, 12.1181, 11.9815, 0.332078, 0.572271, 46.4279, 59265.962583, 10.7974, 11.551, 12.1487, 11.9466, 0.296858, 0.564169, 46.4437, 59266.976583, 10.6188, 11.4796, 12.2812, 12.1445, 0.38912, 0.750357, 46.5241, 59266.976583, 10.6188, 11.4796, 12.2812, 12.1445, 0.38912, 0.750357, 46.5241, 59267.394583, 10.7478, 11.7245, 12.1589, 11.8301, 0.348645, 0.489668, 46.4613, 59267.413583, 10.728, 11.6531, 12.1589, 11.8767, 0.346288, 0.534689, 46.4166, 59268.407583, 10.4302, 11.3265, 12.3933, 12.261, 0.411522, 0.936461, 46.411, 59268.434583, 10.4402, 11.3776, 12.3831, 12.3308, 0.475547, 0.933623, 46.5316, 59269.234583, 10.7478, 11.6122, 12.1589, 11.9, 0.326139, 0.548962, 46.4189
59269.337, 59270.35358909599, 59270.370268308994, 59271.370172711, 59271.386825870984, 59272.00341675698, 59272.020133518, 59272.61993675798, 59272.63680419099, 59273.669940121996, 2.9542595963694622, 0.40032267901234575, 0.7217291975308645, 3.0201945202040403, 0.3593207692307693, 0.9417282051282054, 2.4584707364699137, 0.42680706382978745, 0.7245433191489359, 2.0158005523380336, 0.3949666923076921, 0.7121340000000003, 3.114923286012632, 0.3646537654320988, 0.9130690987654319, 59269.237583, 10.7478, 11.6122, 12.1589, 11.9, 0.326139, 0.548962, 46.4189, 59270.254583, 10.5096, 11.4592, 12.271, 12.1212, 0.43129, 0.784085, 46.361, 59270.270583, 10.4898, 11.5, 12.3423, 12.1562, 0.443152, 0.809464, 46.4883, 59271.276583, 10.3905, 11.2959, 12.5054, 12.2726, 0.361881, 0.998034, 46.4645, 59271.288583, 10.3905, 11.2959, 12.5054, 12.2726, 0.361881, 0.998034, 46.4645, 59271.922583, 10.5989, 11.602, 12.3016, 12.0514, 0.404319, 0.693371, 46.5539, 59271.922583, 10.5989, 11.602, 12.3016, 12.0514, 0.404319, 0.693371, 46.5539, 59272.536583, 10.5096, 11.5408, 12.3219, 12.0514, 0.409603, 0.750541, 46.4238, 59272.539583, 10.4898, 11.4694, 12.4239, 12.0281, 0.314486, 0.805659, 46.4111, 59273.586583000004, 10.6089, 11.5714, 12.3423, 11.8884, 0.273958, 0.662681, 46.411
59273.687, 59274.70359297201, 59274.72024169601, 59275.72015345102, 59275.736814871016, 59276.153450112026, 59276.170127085024, 59276.57008139701, 59276.586857093025, 59277.45333448101, 3.350193818602972, 0.29295374074074076, 0.4563296296296298, 3.0671801386115143, 0.29815827500000003, 0.8661226, 1.325570554209245, 0.3527969722222223, 1.0101151388888887, 1.0933692508987416, 0.3263467999999998, 0.9097709333333334, 2.7557953771207875, 0.3079080147058825, 0.9919939264705881, 59273.598583, 10.6486, 11.5408, 12.3219, 11.8534, 0.228477, 0.642507, 46.3648, 59274.607583000005, 10.8867, 11.7245, 12.057, 11.7719, 0.297534, 0.393292, 46.4401, 59274.628583, 10.9066, 11.7143, 12.0977, 11.7719, 0.259128, 0.402907, 46.4905, 59275.625583, 10.3211, 11.3469, 12.6073, 12.2493, 0.358877, 1.02804, 46.5246, 59275.651583, 10.3508, 11.4184, 12.5869, 12.3308, 0.434497, 1.01159, 46.687, 59276.081583, 10.4203, 11.3878, 12.5258, 12.1562, 0.321481, 0.927256, 46.49, 59276.081583, 10.4203, 11.3878, 12.5258, 12.1562, 0.321481, 0.927256, 46.49, 59276.471583, 10.3409, 11.3673, 12.6073, 12.1678, 0.315663, 0.989662, 46.4834, 59276.491583, 10.3111, 11.4082, 12.6277, 12.1795, 0.348604, 0.995511, 46.5265, 59277.355583000004, 10.46, 11.3776, 12.5665, 12.063, 0.22274, 0.901281, 46.4671
59277.47, 59278.98650264801, 59279.00320594001, 59280.603029538004, 59280.619702614, 59281.13630024201, 59281.152973332006, 59282.152868377016, 59282.169701770006, 59283.13612535101, 4.450602424473094, 0.32255153846153856, 0.7913304786324784, 5.629071337283004, 0.3728753336000001, 0.9325205599999999, 1.5500632834643766, 0.34917536, 0.7414331500000001, 3.523435902876821, 0.36082532499999986, 0.9810534625000005, 2.9325267967321786, 0.3136761805555557, 0.9942868194444442, 59277.371583, 10.4203, 11.3571, 12.5767, 12.0048, 0.19677, 0.907291, 46.359, 59278.916583, 10.4997, 11.4286, 12.4442, 11.9815, 0.251397, 0.808173, 46.354, 59278.916583, 10.4997, 11.4286, 12.4442, 11.9815, 0.251397, 0.808173, 46.354, 59280.523583, 10.7379, 11.4694, 12.4035, 11.7952, 0.0663877, 0.643693, 46.406, 59280.523583, 10.7379, 11.4694, 12.4035, 11.7952, 0.0663877, 0.643693, 46.406, 59281.046583, 10.46, 11.5306, 12.3933, 12.261, 0.502878, 0.856562, 46.6449, 59281.059583, 10.4104, 11.5918, 12.3729, 12.1562, 0.51831, 0.81456, 46.5313, 59282.066583, 10.3012, 11.398, 12.5258, 12.226, 0.428936, 0.985757, 46.451, 59282.084583, 10.4104, 11.3571, 12.5564, 12.0979, 0.262991, 0.932783, 46.4218, 59283.038583, 10.2318, 11.2959, 12.7194, 12.261, 0.325584, 1.11358, 46.5081
59283.153, 59284.569538294985, 59284.58621025101, 59285.18615609699, 59285.20278129599, 59285.619438728994, 59285.636118384, 59286.636004823005, 59286.652824533994, 59287.51925694099, 4.683287775695905, 0.31691664220183463, 1.0046755504587153, 2.1489103051885974, 0.3282927450980393, 1.1379311764705882, 1.5785519642971866, 0.3583799090909092, 1.4274236363636361, 3.273386493493747, 0.2775283246575343, 1.0656010821917803, 2.8377896133972365, 0.29392853521126755, 1.2464207042253523, 59283.064583, 10.2119, 11.2347, 12.7806, 12.261, 0.270587, 1.15995, 46.4881, 59284.488583, 10.202, 11.3367, 12.7296, 12.2493, 0.351724, 1.10933, 46.5176, 59284.488583, 10.202, 11.3367, 12.7296, 12.2493, 0.351724, 1.10933, 46.5176, 59285.089583, 10.1424, 10.9286, 12.9233, 12.4822, 0.185612, 1.39892, 46.4765, 59285.104583, 10.1027, 10.9184, 12.9538, 12.4589, 0.17266, 1.41867, 46.4339, 59285.525583, 10.0928, 11.1939, 12.7092, 12.5637, 0.513065, 1.28423, 46.5596, 59285.544583, 10.0928, 11.2653, 12.75, 12.5404, 0.516039, 1.26444, 46.6485, 59286.538583, 10.2814, 11.3367, 12.6685, 12.261, 0.347951, 1.06707, 46.5475, 59286.556583, 10.2417, 11.3469, 12.6379, 12.3192, 0.42246, 1.08553, 46.5457, 59287.420583, 10.063, 10.9286, 12.9742, 12.5404, 0.232074, 1.45884, 46.5062
