a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
61585.207, 61586.52355310499, 61586.54021380898, 61587.14015500798, 61587.15682964499, 61587.673442556006, 61587.690114081, 61588.690047432996, 61588.707428331, 61589.62326507198, 2.908044971729996, 0.5504475000000001, 0.9716693809523811, 1.4710971429847284, 0.6383293750000001, 0.9768713250000003, 1.1117877809986294, 0.598517657142857, 0.9227084000000001, 2.5166057264655732, 0.513856536231884, 0.863743304347826, 2.034514911067585, 0.5500250000000001, 0.867223852459016, 61585.114583, 15.9326, 16.7035, 18.0151, 18.9976, 0.62941, 0.942566, 69.6488, 61586.433583, 15.7645, 16.6115, 18.2099, 18.9568, 0.573012, 1.03332, 69.5428, 61586.455583, 15.8733, 16.5604, 18.2201, 19.0588, 0.547171, 1.04254, 69.7126, 61587.058583, 16.0512, 16.8467, 17.892, 18.9263, 0.656128, 0.843523, 69.7161, 61587.058583, 16.0512, 16.8467, 17.892, 18.9263, 0.656128, 0.843523, 69.7161, 61587.581583, 15.9523, 16.6933, 18.0458, 18.9466, 0.589406, 0.936302, 69.6381, 61587.612583, 15.9721, 16.724, 18.0869, 18.9466, 0.577837, 0.933049, 69.7296, 61588.598583, 16.2488, 16.7649, 17.9433, 18.4982, 0.385481, 0.740288, 69.4552, 61588.620583, 16.2192, 16.8876, 17.9433, 18.5288, 0.45051, 0.725511, 69.5788, 61589.528583, 15.9622, 16.6218, 18.1381, 18.8447, 0.490955, 0.948483, 69.5668
61589.64, 61590.85655174199, 61590.873235877996, 61591.87311334298, 61591.889779099976, 61592.40638053398, 61592.423062690985, 61593.82293931597, 61593.84006775498, 61594.53951409699, 2.5600002513041304, 0.58636316, 1.3728700400000007, 2.0353122217143156, 0.4192427205882354, 1.6140617647058821, 1.1696901950101986, 0.643416605263158, 1.6836652631578943, 3.672873379751585, 0.7961766263736264, 2.227676813186814, 1.5619154899585086, 0.7382519333333332, 2.082996666666667, 61589.564583, 15.9721, 16.5911, 18.2407, 18.9568, 0.478488, 0.996469, 69.7607, 61590.757583, 15.1221, 15.6813, 18.9276, 19.8843, 0.544372, 1.7256, 69.6153, 61590.783583000004, 15.2012, 15.6711, 18.9379, 19.8639, 0.500885, 1.70714, 69.674, 61591.778583, 15.3791, 15.9675, 18.7738, 19.4868, 0.467426, 1.48994, 69.6072, 61591.792583, 15.3791, 15.9675, 18.7738, 19.4868, 0.467426, 1.48994, 69.6072, 61592.316583, 14.875, 15.5075, 19.0712, 20.3225, 0.674975, 1.93716, 69.7762, 61592.333583, 14.9541, 15.4973, 19.0507, 20.3531, 0.660536, 1.92235, 69.8551, 61593.728583000004, 14.282, 15.3542, 19.0302, 20.9442, 1.0725, 2.22773, 69.6106, 61593.754583, 14.361, 15.3031, 18.9789, 20.9239, 1.03749, 2.20765, 69.5669, 61594.448583000005, 14.7959, 15.2928, 19.3583, 20.2308, 0.491354, 2.04519, 69.6779
61594.555, 61595.571580897005, 61595.588256619005, 61596.588152699995, 61596.60483200901, 61597.221424341005, 61597.23810337601, 61597.83803170201, 61597.85476609899, 61598.92126064801, 2.4204840998685104, 0.6780354705882353, 1.8055124999999994, 2.4895576469905976, 0.532554042253521, 0.9704294225352114, 1.5059058560548797, 0.5376561904761905, 0.7365445952380952, 1.2693282692643528, 0.41359812195121953, 0.9874267804878047, 2.2788912197637976, 0.49839261428571424, 1.1885411714285716, 61594.462583, 14.7663, 15.2724, 19.348, 20.3225, 0.531009, 2.07258, 69.7092, 61595.477583, 15.3395, 16.3049, 18.661, 19.5989, 0.680652, 1.41956, 69.9044, 61595.502583, 15.3297, 16.2844, 18.4457, 19.3849, 0.681821, 1.34277, 69.4447, 61596.492583, 16.486, 17.0912, 18.0971, 17.9377, 0.160077, 0.529536, 69.612, 61596.511583, 16.486, 17.1622, 18.0971, 17.9682, 0.196257, 0.520077, 69.7136, 61597.144583, 15.893, 16.8467, 18.1894, 18.7122, 0.530031, 0.896437, 69.6413, 61597.144583, 15.893, 16.8467, 18.1894, 18.7122, 0.530031, 0.896437, 69.6413, 61597.748583, 15.7843, 16.6933, 18.3637, 18.7428, 0.4628, 0.99783, 69.5841, 61597.779583, 15.7744, 16.7138, 18.3227, 18.7836, 0.503004, 0.995352, 69.5944, 61598.829583, 15.4186, 16.1618, 18.7533, 19.3747, 0.489372, 1.40894, 69.7084
61598.936, 61599.95258360299, 61599.96924459301, 61600.969133333, 61600.98585582299, 61601.40244973001, 61601.419110148985, 61602.619002973996, 61602.63589877299, 61603.468916044, 2.0656383187092775, 0.44800579999999995, 1.3116335714285718, 2.134921852262192, 0.46980826984126994, 1.0103236507936506, 0.9815540822061616, 0.6716534838709677, 1.135571290322581, 2.758000401672623, 0.4816470246913579, 1.0614055432098761, 1.8540933979100624, 0.251252745, 0.8871191999999998, 61598.838583000004, 15.4186, 16.1618, 18.7533, 19.3747, 0.489372, 1.40894, 69.7084, 61599.860583, 15.8634, 16.3764, 18.5585, 18.8753, 0.297767, 1.11822, 69.6736, 61599.893583000005, 15.8634, 16.4173, 18.5585, 18.8447, 0.301421, 1.10267, 69.6839, 61600.882583, 15.6953, 16.8773, 18.0766, 18.9874, 0.751325, 0.96745, 69.6367, 61600.900583, 15.6163, 16.8671, 18.0766, 19.1403, 0.830168, 1.01869, 69.7003, 61601.302583000004, 15.5965, 16.4275, 18.5893, 19.1301, 0.491753, 1.22491, 69.7434, 61601.320583, 15.5174, 16.3458, 18.538, 19.1097, 0.503531, 1.24826, 69.5109, 61602.533583000004, 15.9029, 16.8569, 18.2817, 18.702, 0.492641, 0.908452, 69.7435, 61602.559583, 15.9523, 16.816, 18.1996, 18.7122, 0.493777, 0.891978, 69.6802, 61603.374583000004, 16.1105, 16.4889, 18.7123, 18.3861, 0.0187248, 0.968263, 69.6977
61603.485, 61604.50158934701, 61604.518254473995, 61605.51815195002, 61605.53482406, 61606.05146502702, 61606.06811625602, 61606.86803974, 61606.88475540101, 61607.784587391, 2.3826208750668236, 0.25397749305555556, 1.1389554027777775, 2.2192186760696555, 0.32312415625, 1.273626875, 1.2552661694292757, 0.21423857575757577, 1.1097545454545454, 1.581532951563716, 0.2761866296296296, 1.2653148148148148, 2.2667879419368826, 0.27384235937499996, 1.30876640625, 61603.386583, 16.1302, 16.5093, 18.6918, 18.5186, 0.0736862, 0.981567, 69.8499, 61604.425583000004, 15.3395, 15.8551, 19.0609, 19.3441, 0.28691, 1.55398, 69.5997, 61604.425583000004, 15.3395, 15.8551, 19.0609, 19.3441, 0.28691, 1.55398, 69.5997, 61605.424583, 15.8238, 16.4889, 18.62, 18.6001, 0.231951, 1.05866, 69.5329, 61605.443583, 15.8733, 16.5093, 18.6508, 18.6307, 0.221053, 1.05483, 69.6641, 61605.959583, 15.7843, 16.4378, 18.7738, 18.7428, 0.223133, 1.1388, 69.7387, 61605.978583000004, 15.7349, 16.4173, 18.8661, 18.7224, 0.193125, 1.16926, 69.7407, 61606.778583, 15.5965, 16.2742, 18.8764, 18.9568, 0.271925, 1.2831, 69.7039, 61606.786583, 15.5273, 16.2742, 18.8661, 18.9161, 0.286287, 1.28923, 69.5837, 61607.705583, 15.5174, 15.9266, 19.0302, 19.1912, 0.204653, 1.45926, 69.6655
61607.803, 61609.31952877699, 61609.33618097099, 61610.73603721599, 61610.75261166498, 61611.369361846984, 61611.38599306399, 61612.385882494986, 61612.40262742799, 61613.26913545899, 3.2913695172465385, 0.1272626703960396, 1.886929306930693, 2.8861723518681, 0.5497024395604397, 1.7832932967032968, 1.3384318498320853, 0.48839815, 1.6200207500000006, 2.2150082371881643, 0.6451712424242423, 1.664626212121212, 1.6119175401193389, 0.67262905, 1.4907274999999993, 61607.705583, 15.5174, 15.9266, 19.0302, 19.1912, 0.204653, 1.45926, 69.6655, 61609.226583, 14.8157, 15.4666, 19.5326, 19.9658, 0.388426, 1.98108, 69.7807, 61609.252583, 14.7762, 15.3951, 19.5018, 19.9862, 0.395963, 2.00622, 69.6593, 61610.641583000004, 15.0233, 15.9573, 18.9686, 19.711, 0.601649, 1.65786, 69.6602, 61610.658583000004, 15.043, 15.9369, 18.9379, 19.6805, 0.587806, 1.64626, 69.5982, 61611.277583, 15.1419, 15.9573, 18.9891, 19.497, 0.475425, 1.59236, 69.5853, 61611.291583, 15.3099, 15.9982, 18.9994, 19.497, 0.424731, 1.54467, 69.8045, 61612.289583000005, 15.0628, 16.0493, 18.8353, 19.6906, 0.661212, 1.59695, 69.6381, 61612.315583, 15.043, 16.0595, 18.7636, 19.6906, 0.698557, 1.58539, 69.5568, 61613.170583, 15.1814, 16.356, 18.5893, 19.548, 0.765446, 1.42086, 69.6746
61613.285, 61614.30165492499, 61614.31831504399, 61615.31823770399, 61615.33489457099, 61615.851506242005, 61615.86816198699, 61617.06806761399, 61617.08478960299, 61617.88463640399, 1.8860171076853771, 0.7421091212121211, 1.2563640909090912, 1.983230289817543, 0.5884483999999999, 1.332995846153846, 1.0429899199470358, 0.6940673714285714, 1.1302008571428572, 2.4153081257057325, 0.7962400125, 1.14151275, 1.7407108550483164, 0.6758867413793104, 1.1337322413793103, 61613.191583, 15.211, 16.3662, 18.62, 19.446, 0.711188, 1.39758, 69.6433, 61614.217583000005, 15.4581, 16.6831, 18.2817, 19.1912, 0.766566, 1.14883, 69.6142, 61614.231583, 15.4384, 16.6422, 18.3534, 19.1301, 0.711754, 1.16503, 69.5641, 61615.220583, 15.3988, 16.3355, 18.6508, 19.2728, 0.559413, 1.33277, 69.6579, 61615.240583, 15.3198, 16.356, 18.6713, 19.2524, 0.58094, 1.34655, 69.5994, 61615.761583, 15.3494, 16.9182, 18.2099, 19.1607, 0.904527, 1.09917, 69.6382, 61615.775583, 15.4087, 16.8876, 18.2304, 19.1811, 0.871313, 1.10071, 69.7077, 61616.979583, 15.5273, 16.724, 18.3637, 18.9874, 0.653851, 1.09905, 69.6024, 61616.988583, 15.5372, 16.7751, 18.3534, 18.9874, 0.671852, 1.08291, 69.6532, 61617.785583000004, 15.3791, 16.724, 18.3739, 19.1709, 0.768813, 1.17198, 69.6479
61617.902, 61619.318534171995, 61619.33524176301, 61619.73518042499, 61619.75183036699, 61620.26844707999, 61620.28512514901, 61621.285032196, 61621.301847389, 61622.06826805201, 2.7692527088206798, 0.6382255670103095, 1.1625777319587631, 0.9363975423860399, 0.5593844137931034, 0.9980365862068965, 0.8591895725005271, 0.6206124545454547, 1.1050954545454545, 1.9701145599032392, 0.6828072769230767, 0.9975490923076922, 1.5038387765213241, 0.6378473962264151, 1.1955509433962266, 61617.811583, 15.4087, 16.7035, 18.4355, 19.1097, 0.706699, 1.16992, 69.6574, 61619.221583, 15.6657, 16.724, 18.415, 18.9976, 0.587711, 1.07938, 69.8023, 61619.240583, 15.6262, 16.7649, 18.3842, 18.9161, 0.599283, 1.05663, 69.6913, 61619.646583, 15.6855, 16.7035, 18.4867, 18.9466, 0.5292, 1.08368, 69.8224, 61619.652583, 15.6064, 16.7444, 18.456, 18.8957, 0.565889, 1.07618, 69.7025, 61620.182583, 15.5669, 16.7547, 18.3534, 19.0282, 0.668025, 1.08893, 69.7031, 61620.188583, 15.5174, 16.7853, 18.3227, 18.9263, 0.672689, 1.06673, 69.5517, 61621.193583, 15.5767, 16.9591, 18.1279, 19.018, 0.815311, 0.992369, 69.6817, 61621.213583000004, 15.5965, 16.9489, 18.1996, 19.0791, 0.799105, 1.01685, 69.8242, 61621.968583, 15.211, 16.4991, 18.6815, 19.2728, 0.674409, 1.34448, 69.6645
61622.085, 61623.601554462024, 61623.618206501014, 61624.61811760002, 61624.63477957901, 61625.051413379006, 61625.068064083, 61626.267945145, 61626.284726548016, 61627.301197973, 3.4584386409248173, 0.7626345773195876, 1.68113, 2.3666015720175237, 0.35510013432835835, 1.837476268656717, 0.9584377912412069, 0.5073427333333334, 1.7530603333333334, 2.492566869032821, 0.4086709382716049, 1.7564665432098774, 2.8669894791516324, 0.1301762590857143, 1.9563211428571428, 61622.005583, 15.132, 16.4787, 18.7328, 19.3339, 0.698861, 1.38986, 69.6774, 61623.505583, 15.0134, 16.0902, 18.8969, 19.5683, 0.628269, 1.58727, 69.5688, 61623.523583, 15.1122, 16.1209, 18.9174, 19.6295, 0.616506, 1.57218, 69.7799, 61624.535583000004, 14.8552, 15.6813, 19.348, 19.6091, 0.391105, 1.81756, 69.4937, 61624.535583000004, 14.8552, 15.6813, 19.348, 19.6091, 0.391105, 1.81756, 69.4937, 61624.957583, 14.875, 15.9266, 19.2147, 19.8435, 0.601363, 1.77282, 69.8599, 61624.980583000004, 14.8256, 15.804, 19.2045, 19.7722, 0.555301, 1.79878, 69.6062, 61626.169583, 15.0924, 15.7631, 19.4505, 19.3849, 0.217029, 1.71757, 69.6909, 61626.188583, 15.0727, 15.804, 19.4198, 19.3237, 0.228113, 1.69496, 69.6202, 61627.209583, 15.2308, 15.5586, 19.6659, 19.2932, -0.0160873, 1.75694, 69.7485
61627.318, 61628.83458878801, 61628.85123954, 61630.25112536701, 61630.26778151802, 61630.784397015, 61630.801056252996, 61631.800965575996, 61631.817706206, 61632.650870576996, 3.3061969981087143, 0.11620344663366332, 1.2703157821782178, 2.974190718525943, 0.2514278043478261, 0.8759602826086955, 0.9135818900594594, 0.3242127575757576, 1.4090063636363632, 2.2876853528861307, 0.43958255384615386, 1.2681246153846155, 1.9780945115819997, 0.36437942592592587, 1.3729650000000004, 61627.229583, 15.2209, 15.528, 19.6761, 19.232, -0.0491947, 1.75702, 69.657, 61628.756583, 16.0709, 16.9489, 18.4252, 18.223, 0.242496, 0.781222, 69.6681, 61628.756583, 16.0709, 16.9489, 18.4252, 18.223, 0.242496, 0.781222, 69.6681, 61630.172583, 15.4878, 16.2946, 18.9994, 19.018, 0.295651, 1.33989, 69.7998, 61630.172583, 15.4878, 16.2946, 18.9994, 19.018, 0.295651, 1.33989, 69.7998, 61630.696583000004, 15.1913, 16.1209, 19.1327, 19.2014, 0.358361, 1.51235, 69.6463, 61630.702583, 15.2308, 16.1311, 19.1224, 19.1811, 0.344107, 1.49463, 69.6654, 61631.714583, 15.3692, 16.5093, 18.9071, 19.0078, 0.444457, 1.29734, 69.7934, 61631.720583, 15.3, 16.4582, 18.7943, 19.1403, 0.539571, 1.32935, 69.6928, 61632.559583, 15.3692, 16.1618, 19.0507, 19.0893, 0.298274, 1.42292, 69.6709
