a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
67690.707, 67692.02357736099, 67692.04023188999, 67693.04014127399, 67693.05682407698, 67693.673409432, 67693.690080854, 67694.49000038, 67694.506615758, 67695.38990992599, 9.44208900875748, 12.533329126213586, 2.959277669902913, 5.4265981359595274, 12.762923076923077, 2.663433461538462, 2.4423792575344585, 13.58102888888889, 2.0565482222222218, 3.39566483941107, 13.451188709677417, 2.8629480645161296, 4.778694549990067, 14.75444461538462, 0.5176429153846156, 67690.618583, 5.23533, 13.123, 8.28309, 27.4568, 12.5057, 4.81946, 54.0982, 67691.930583, 6.83556, 14.9803, 6.20475, 22.473, 12.0872, 2.03845, 50.4936, 67691.944583, 6.7269, 14.889, 6.23501, 22.738, 12.189, 2.18146, 50.5889, 67692.957583, 6.0552, 16.3707, 5.58932, 22.7788, 13.5375, 1.75478, 50.794, 67692.957583, 6.0552, 16.3707, 5.58932, 22.7788, 13.5375, 1.75478, 50.794, 67693.573583, 5.62057, 15.1224, 5.92226, 24.1037, 13.632, 2.74272, 50.7689, 67693.593583, 5.60081, 15.0615, 5.9727, 24.2056, 13.6179, 2.80761, 50.8406, 67694.402583, 5.73911, 15.9445, 5.86172, 23.0947, 13.5458, 2.15428, 50.64, 67694.423583, 5.73911, 15.9039, 5.8819, 23.0641, 13.5143, 2.16541, 50.589, 67695.319583, 4.96862, 20.9434, 4.37863, 20.9137, 15.8726, -0.181528, 51.2043
67335.406, 67336.72257253302, 67336.739224723, 67337.73911555902, 67337.755797737, 67338.27242065802, 67338.289078243, 67339.92225899301, 67339.939037054, 67340.672180921, 4.087044551105811, 0.30158479207920785, 0.32554665346534656, 3.40412156408118, 0.274886077922078, 0.2519572272727273, 1.628953704335968, 0.3379802702702702, 0.2421085945945946, 4.77970516200194, 0.3575267438016528, 0.6442286776859506, 2.131609511840413, 0.3076288301886792, 0.2877844716981131, 67335.311583, 12.5549, 11.8848, 11.9858, 13.3971, 0.371933, 0.283965, 49.8226, 67336.624583, 12.5154, 11.7731, 11.9757, 13.4438, 0.365046, 0.341261, 49.708, 67336.640583, 12.466, 11.7731, 12.0866, 13.4321, 0.327876, 0.385748, 49.7579, 67337.646583, 12.6142, 11.8137, 11.9252, 13.2805, 0.279474, 0.235072, 49.6337, 67337.665583, 12.6537, 11.7731, 11.9454, 13.3388, 0.257921, 0.258715, 49.711, 67338.180583, 12.5352, 11.8036, 11.9757, 13.4787, 0.38735, 0.336092, 49.7931, 67338.202583, 12.4561, 11.7427, 12.0766, 13.5254, 0.369158, 0.422621, 49.8008, 67339.840583, 12.4166, 11.6716, 12.1976, 13.642, 0.350192, 0.52616, 49.9279, 67339.840583, 12.4166, 11.6716, 12.1976, 13.642, 0.350192, 0.52616, 49.9279, 67340.582583, 12.6339, 11.8949, 11.9656, 13.3388, 0.318176, 0.23344, 49.8333
67340.689, 67342.005595162, 67342.022236568, 67343.022142241, 67343.03880540699, 67343.655405629, 67343.672077051, 67344.272017603, 67344.288680109, 67345.43853377902, 4.4035917836358625, 0.3791293124999999, 0.351044208333333, 3.4011700264225313, 0.3878003194444445, 0.7478754305555556, 1.632668683711887, 0.48750671428571435, 0.9319121666666665, 2.038290914005574, 0.31356614000000005, 0.8339617199999999, 3.084031229748744, 0.3876124843749999, 0.51857109375, 67340.596583, 12.6241, 11.966, 11.9252, 13.3388, 0.378859, 0.202795, 49.8541, 67341.909583, 12.3672, 11.6919, 12.238, 13.8169, 0.450772, 0.597344, 50.114, 67341.923583, 12.3672, 11.6919, 12.238, 13.8169, 0.450772, 0.597344, 50.114, 67342.936583, 12.061, 11.3976, 12.4599, 14.0501, 0.463656, 0.91599, 49.9686, 67342.953583, 12.061, 11.3672, 12.4297, 14.0617, 0.46986, 0.920448, 49.9196, 67343.556583, 12.0215, 11.2758, 12.5205, 14.1317, 0.433207, 1.00747, 49.9495, 67343.576583, 12.0314, 11.286, 12.5104, 14.085, 0.415352, 0.985143, 49.9128, 67344.188583, 12.3277, 11.5093, 12.3288, 13.5604, 0.207692, 0.619041, 49.7261, 67344.198583, 12.3277, 11.5093, 12.3288, 13.5604, 0.207692, 0.619041, 49.7261, 67345.343583, 12.3475, 11.7224, 12.127, 13.572, 0.411868, 0.491018, 49.7689
67345.455, 67346.97156104802, 67346.98823892402, 67347.98814020302, 67348.00481539902, 67348.62139975301, 67348.638063759, 67349.637960893, 67349.65458431201, 67350.421211864, 4.554855807273201, 0.4084935754716981, 0.442965150943396, 2.9336696348752405, 0.47491509722222236, 0.5244993333333332, 1.7720012964195169, 0.5776200930232558, 0.598366976744186, 2.61852823550738, 0.5046165873015874, 0.48823746031746035, 1.9817850936824346, 0.48857722950819654, 0.3153833770491803, 67345.376583, 12.3376, 11.7122, 12.1068, 13.6187, 0.445238, 0.504963, 49.7753, 67346.882583, 12.5747, 11.8239, 12.016, 13.5021, 0.36824, 0.336422, 49.9166, 67346.898583, 12.5352, 11.8645, 12.0665, 13.4904, 0.376952, 0.347471, 49.9565, 67347.889583, 12.2684, 11.7021, 12.0463, 13.8285, 0.609824, 0.573058, 49.8454, 67347.922583, 12.2684, 11.8137, 12.0766, 13.7819, 0.626051, 0.533516, 49.9406, 67348.526583, 12.2191, 11.7325, 12.1875, 13.8169, 0.57191, 0.616386, 49.956, 67348.539583, 12.2684, 11.6513, 12.1674, 13.8052, 0.511476, 0.617162, 49.8924, 67349.539583, 12.4166, 11.8645, 12.0362, 13.5604, 0.487199, 0.395606, 49.8777, 67349.564583, 12.466, 11.8645, 12.0463, 13.5604, 0.456843, 0.383331, 49.9371, 67350.324583, 12.4956, 11.9254, 11.895, 13.5254, 0.531763, 0.300751, 49.8413
67350.438, 67351.454639662, 67351.471266479, 67352.47115983898, 67352.487752118, 67352.90446479298, 67352.92111623599, 67353.93768504099, 67353.954525821, 67354.904263918, 3.0841571615782755, 0.5469327466666667, 0.3218885733333334, 3.0734587549713637, 0.49432041891891876, 0.30909717567567563, 1.2561025657856635, 0.5257008787878789, 0.25294912121212115, 3.3314126854386585, 0.4754608108108107, 0.15070978108108113, 2.5694329205717317, 0.5359235362318843, 0.22914072463768106, 67350.338583, 12.466, 11.9964, 11.9353, 13.4787, 0.538248, 0.286195, 49.8765, 67351.355583, 12.4759, 11.8645, 11.9858, 13.572, 0.488421, 0.36597, 49.8981, 67351.385583, 12.4759, 11.8036, 12.016, 13.5137, 0.414273, 0.376518, 49.8092, 67352.394583, 12.5352, 11.9761, 11.8445, 13.4671, 0.533658, 0.240948, 49.8229, 67352.394583, 12.5352, 11.9761, 11.8445, 13.4671, 0.533658, 0.240948, 49.8229, 67352.815583, 12.4858, 11.9457, 11.895, 13.3855, 0.477958, 0.256169, 49.7119, 67352.822583, 12.5055, 12.0167, 11.8748, 13.4321, 0.53609, 0.236199, 49.8291, 67353.838583, 12.6438, 12.0573, 11.8243, 13.4554, 0.522494, 0.173653, 49.9809, 67353.864583, 12.545, 12.0167, 11.8344, 13.3621, 0.502127, 0.191367, 49.7583, 67354.806583, 12.5253, 11.9457, 11.8849, 13.572, 0.554574, 0.296209, 49.9278
67354.921, 67356.237635031, 67356.254361472, 67357.454203106, 67357.47075981801, 67357.88751575901, 67357.90414107699, 67358.904059127, 67358.92076618, 67360.12059855799, 2.9761155182663686, 0.5171112173913045, 0.2947147500000001, 3.7688511080804292, 0.5033861744186048, 0.3856633488372094, 1.265660352262104, 0.5008798965517242, 0.7491067586206897, 3.243626747579575, 0.47681682051282065, 0.9944795384615376, 3.3160311369906452, 0.5342892386363635, 0.9274782045454546, 67354.824583, 12.4956, 12.0066, 11.9757, 13.5254, 0.530285, 0.299633, 50.0033, 67356.149583, 12.5154, 11.966, 11.9151, 13.5021, 0.519803, 0.281317, 49.8986, 67356.155583, 12.5352, 11.9863, 11.905, 13.537, 0.541949, 0.2764, 49.9635, 67357.360583, 12.2092, 11.7224, 12.2077, 13.7119, 0.510234, 0.598204, 49.8512, 67357.378583, 12.1697, 11.7021, 12.2582, 13.7119, 0.494665, 0.631499, 49.8419, 67357.798583, 12.0709, 11.5397, 12.3389, 14.0151, 0.57292, 0.823596, 49.9646, 67357.816583, 12.0511, 11.5803, 12.4196, 13.8635, 0.487378, 0.796861, 49.9145, 67358.804583, 11.9721, 11.4585, 12.47, 13.9684, 0.493702, 0.904729, 49.8691, 67358.836583, 12.0017, 11.4382, 12.4196, 13.9918, 0.505829, 0.89408, 49.8513, 67360.029583, 11.8437, 11.3469, 12.5104, 14.1667, 0.581264, 1.04872, 49.8676
67360.138, 67361.35453519298, 67361.37124174798, 67362.37113105599, 67362.387789545, 67362.804396794, 67362.821090504, 67364.020972448, 67364.03767313898, 67365.187504834, 4.204955234334454, 0.5790580425531913, 0.948133489361702, 3.128110809453852, 0.5150390138888888, 0.6177166111111111, 4.718452178942292, 0.46350799999999986, 0.7090866031249998, 4.038955327248544, 0.5333533720930231, 1.1743126511627904, 3.997667478812809, 0.5273402840909092, 0.7402133522727272, 67360.043583, 11.9128, 11.3773, 12.4902, 14.1667, 0.571069, 1.01109, 49.947, 67361.266583, 12.1499, 11.7122, 12.1875, 13.7469, 0.563142, 0.624229, 49.7966, 67361.291583, 12.1697, 11.6919, 12.1875, 13.8169, 0.577348, 0.644567, 49.866, 67362.280583, 12.2981, 11.6818, 12.1774, 13.6187, 0.414315, 0.547321, 49.776, 67362.297583, 12.2092, 11.7934, 12.1875, 13.6536, 0.526819, 0.553295, 49.8438, 67362.719583, 11.8338, 11.3367, 12.4902, 14.0267, 0.522986, 1.01024, 49.6875, 67362.727583, 11.8338, 11.3266, 12.5306, 14.0501, 0.508764, 1.03142, 49.741, 67363.921583, 11.9425, 11.4991, 12.47, 13.9918, 0.54023, 0.90782, 49.9034, 67363.954583, 11.8931, 11.4788, 12.4499, 13.9918, 0.565928, 0.924366, 49.8135, 67365.100583, 12.0511, 11.6615, 12.2582, 13.8519, 0.604168, 0.721775, 49.8226
67365.204, 67366.320559015, 67366.33722516801, 67367.33713318, 67367.35379500402, 67367.77042585, 67367.78709521602, 67369.387008149, 67369.40379553, 67370.70348211101, 3.5228936478707835, 0.5764680249999999, 0.9510969500000002, 3.0937654427160237, 0.5478330909090907, 0.5150986515151516, 1.187321734492222, 0.3112830967741935, 0.15722564193548386, 4.645309642733901, 0.39837360526315774, 0.45509079824561416, 3.8755198970728504, 0.469439978723404, 0.5629135638297874, 67365.127583, 12.0413, 11.6716, 12.2884, 13.8635, 0.604367, 0.733695, 49.8648, 67366.225583, 11.9326, 11.4788, 12.4398, 13.9684, 0.539392, 0.902299, 49.8196, 67366.252583, 11.9227, 11.5093, 12.3691, 14.0034, 0.612807, 0.885642, 49.8045, 67367.244583, 12.5747, 12.0979, 12.0059, 13.1289, 0.324374, 0.139226, 49.8075, 67367.257583, 12.5747, 12.0979, 11.9858, 13.1289, 0.334638, 0.133204, 49.7873, 67367.671583, 12.5648, 12.0066, 12.0564, 13.2572, 0.322041, 0.223181, 49.8849, 67367.696583, 12.5648, 12.1182, 12.016, 13.2572, 0.397646, 0.177222, 49.9562, 67369.312583, 12.3969, 11.7021, 12.2985, 13.4904, 0.249112, 0.508128, 49.8879, 67369.312583, 12.3969, 11.7021, 12.2985, 13.4904, 0.249112, 0.508128, 49.8879, 67370.610583, 12.1005, 11.5904, 12.3893, 13.7819, 0.442469, 0.746128, 49.8622
67370.72, 67372.136537457, 67372.15321096798, 67373.153110407, 67373.16978762898, 67373.686401791, 67373.70304428998, 67374.503004745, 67374.51972283199, 67375.502858236, 4.233999103808688, 0.4924778415841586, 0.7888090792079205, 2.8886750104652155, 0.3966297916666667, 0.6639037083333331, 1.3893857107899692, 0.4668555714285714, 0.7090219714285714, 2.854138883475698, 0.3709139491525424, 0.9182224745762715, 2.7880308710065593, 0.45038183333333337, 0.9987242638888887, 67370.641583, 12.1795, 11.5904, 12.3591, 13.8285, 0.440565, 0.725893, 49.9576, 67372.044583, 12.0314, 11.6107, 12.4095, 13.7702, 0.471732, 0.764004, 49.8219, 67372.067583, 12.0511, 11.5803, 12.4095, 13.7702, 0.446638, 0.767387, 49.8112, 67373.053583, 12.2388, 11.6818, 12.2582, 13.6886, 0.43788, 0.609468, 49.8674, 67373.081583, 12.1598, 11.7224, 12.238, 13.7003, 0.51429, 0.619045, 49.8204, 67373.58958300001, 12.0215, 11.5701, 12.5104, 13.8169, 0.428262, 0.822017, 49.9189, 67373.60858300001, 12.0116, 11.5499, 12.47, 13.8402, 0.455365, 0.826748, 49.8717, 67374.427583, 11.903, 11.357, 12.7021, 14.0617, 0.406659, 1.05065, 50.0238, 67374.427583, 11.903, 11.357, 12.7021, 14.0617, 0.406659, 1.05065, 50.0238, 67375.413583, 11.982, 11.4585, 12.5306, 13.8985, 0.423327, 0.898914, 49.8695
67375.521, 67376.93755640999, 67376.95419784398, 67377.95409716097, 67377.97077771799, 67378.38742312299, 67378.40404267497, 67379.40395854197, 67379.42085184598, 67380.58718398899, 3.8578511386013443, 0.4767123796296297, 0.8767236111111105, 3.3734047953727258, 0.3087219589041096, 0.560332082191781, 1.2852031825258572, 0.5189548214285714, 0.6726141071428572, 2.9103686146933696, 0.3277256623376623, 0.8526847662337659, 3.904187868719301, 0.42282114117647057, 0.622466729411765, 67375.432583, 11.9622, 11.3976, 12.5407, 13.8752, 0.386682, 0.920926, 49.7757, 67376.842583, 12.0709, 11.5803, 12.47, 13.7353, 0.388432, 0.768437, 49.8565, 67376.85858300001, 12.1302, 11.6716, 12.47, 13.7353, 0.403297, 0.720944, 50.0071, 67377.862583, 12.2684, 11.8137, 12.127, 13.6303, 0.525984, 0.504159, 49.8395, 67377.888583, 12.3178, 11.834, 12.1573, 13.5487, 0.455102, 0.467559, 49.8578, 67378.287583, 12.0215, 11.6209, 12.3893, 13.8402, 0.526485, 0.778129, 49.8719, 67378.307583, 12.0215, 11.56, 12.3792, 13.8285, 0.495994, 0.791212, 49.7893, 67379.312583, 12.061, 11.5296, 12.4398, 13.7819, 0.406864, 0.792305, 49.8122, 67379.331583, 12.0709, 11.5803, 12.4095, 13.8169, 0.459519, 0.77445, 49.8776, 67380.497583, 12.2487, 11.6818, 12.3288, 13.6886, 0.396878, 0.626727, 49.9479
