a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
33815.853, 33817.069689211, 33817.08629243201, 33818.086279059, 33818.10284013499, 33818.61955900199, 33818.63626013498, 33819.636118325, 33819.652876323, 33820.35273578801, 2.3679699339062332, 0.6755203225806452, 0.5357649193548386, 2.3990324444820783, 0.7056209818181819, 0.6136109272727274, 0.7383851495470154, 0.7432277142857142, 0.4308285, 1.9954903627976799, 0.7286141481481484, 0.6334487407407408, 1.0034317424285832, 0.6206629629629631, 0.40864300000000003, 33815.7602575, 14.6603, 13.4141, 13.3995, 16.3408, 0.732979, 0.432242, 57.8147, 33816.9782575, 14.4431, 12.9748, 13.7677, 16.6646, 0.617346, 0.781637, 57.8502, 33816.9902575, 14.3937, 12.9645, 13.87, 16.734, 0.618845, 0.83997, 57.9623, 33818.000257499996, 14.7886, 13.5162, 13.2359, 16.1673, 0.718746, 0.285498, 57.708, 33818.0912575, 14.7491, 13.5367, 13.287, 16.1905, 0.731868, 0.309459, 57.7633, 33818.536257499996, 14.6504, 13.4243, 13.3995, 16.3639, 0.751361, 0.437974, 57.8382, 33818.5582575, 14.68, 13.3732, 13.3791, 16.3408, 0.716135, 0.432726, 57.7731, 33819.551257499996, 14.6899, 13.2506, 13.512, 16.3061, 0.586402, 0.487631, 57.7587, 33819.5632575, 14.6998, 13.3425, 13.5018, 16.3408, 0.639972, 0.466522, 57.8849, 33820.3212575, 14.6307, 13.2404, 13.645, 16.4565, 0.612867, 0.577108, 57.9725
33820.369, 33821.785538220975, 33821.80222925898, 33822.802078144996, 33822.81877858398, 33823.33537939499, 33823.35206445099, 33824.35195382198, 33824.36882169698, 33825.08521539799, 1.8980002173600452, 0.6064341355932201, 0.6191501355932203, 1.3288314654414357, 0.5731983636363636, 0.5861070909090909, 0.7409989361910714, 0.55893665, 0.39285039999999993, 1.2640176604623417, 0.5765371724137931, 0.5167319655172413, 1.6343546759037229, 0.5026554583333334, 0.751474125, 33820.3212575, 14.6307, 13.2404, 13.645, 16.4565, 0.612867, 0.577108, 57.9725, 33821.7512575, 14.5813, 13.1484, 13.6961, 16.3986, 0.548914, 0.613507, 57.8245, 33821.7512575, 14.5813, 13.1484, 13.6961, 16.3986, 0.548914, 0.613507, 57.8245, 33822.7242575, 14.6702, 13.271, 13.5223, 16.3177, 0.604138, 0.49292, 57.7811, 33822.7242575, 14.6702, 13.271, 13.5223, 16.3177, 0.604138, 0.49292, 57.7811, 33823.299257499995, 14.8676, 13.4141, 13.3995, 16.0633, 0.523955, 0.306816, 57.7444, 33823.299257499995, 14.8676, 13.4141, 13.3995, 16.0633, 0.523955, 0.306816, 57.7444, 33824.2752575, 14.6504, 13.0871, 13.6757, 16.3293, 0.472048, 0.58901, 57.7425, 33824.2752575, 14.6504, 13.0871, 13.6757, 16.3293, 0.472048, 0.58901, 57.7425, 33825.0572575, 15.0354, 13.2812, 13.3075, 16.202, 0.493032, 0.309418, 57.8262
33825.102, 33826.418579754, 33826.435242388994, 33827.435175968, 33827.451832178005, 33827.96844464498, 33827.985094194984, 33829.18498056098, 33829.20171779599, 33829.86825816501, 2.098152115475421, 0.415804, 0.5331674684210527, 1.3406363197732196, 0.47154692857142866, 0.5399632857142855, 0.5778970314710207, 0.46013415384615386, 0.4469712307692308, 1.4760413333445697, 0.45126537142857154, 0.6555044857142858, 0.8408876602650273, 0.45303984999999997, 0.75024905, 33825.0572575, 15.0354, 13.2812, 13.3075, 16.202, 0.493032, 0.309418, 57.8262, 33826.3252575, 14.7393, 12.7704, 13.7984, 16.5143, 0.322983, 0.727149, 57.8224, 33826.3722575, 14.7886, 12.8215, 13.8087, 16.5143, 0.318694, 0.702401, 57.9331, 33827.3352575, 14.6307, 13.2506, 13.4711, 16.4565, 0.694221, 0.53097, 57.8088, 33827.4002575, 14.7689, 13.2506, 13.3279, 16.2714, 0.618392, 0.41129, 57.6188, 33827.8702575, 14.9071, 12.9952, 13.5529, 16.2714, 0.349313, 0.499449, 57.7267, 33827.8992575, 14.8972, 13.0054, 13.5939, 16.3177, 0.359783, 0.521221, 57.8142, 33829.0922575, 14.8084, 12.8828, 13.6143, 16.4565, 0.396714, 0.617952, 57.762, 33829.1202575, 14.7294, 12.9543, 13.5836, 16.4449, 0.470528, 0.609444, 57.7122, 33829.7722575, 14.68, 12.7806, 13.6552, 16.5374, 0.42617, 0.710794, 57.6533
33829.884, 33830.900566151984, 33830.917212039996, 33831.317177544006, 33831.33384650801, 33831.85046547399, 33831.86712442499, 33832.867018814, 33832.883848692996, 33833.43365112, 1.4062673543568265, 0.49244200000000005, 0.595506, 0.6185929734002419, 0.4317377777777778, 0.7876190000000001, 0.6021499357519076, 0.46608999999999995, 0.9971405833333332, 1.7752749136479793, 0.42533575000000007, 1.1393699285714285, 0.8102977689865893, 0.42990600000000007, 1.0186255789473684, 33829.8272575, 14.6702, 12.8726, 13.7371, 16.6531, 0.482646, 0.737244, 57.9329, 33830.8312575, 14.838, 12.9748, 13.6757, 16.4449, 0.390959, 0.597544, 57.9333, 33830.8312575, 14.838, 12.9748, 13.6757, 16.4449, 0.390959, 0.597544, 57.9333, 33831.2752575, 14.3345, 12.5968, 14.003, 16.8728, 0.489578, 1.02355, 57.807, 33831.2752575, 14.3345, 12.5968, 14.003, 16.8728, 0.489578, 1.02355, 57.807, 33831.7872575, 14.4135, 12.6683, 13.9621, 16.8497, 0.493303, 0.966432, 57.8935, 33831.7872575, 14.4135, 12.6683, 13.9621, 16.8497, 0.493303, 0.966432, 57.8935, 33832.7972575, 14.295, 12.4333, 14.136, 16.9653, 0.418302, 1.13428, 57.8296, 33832.7972575, 14.295, 12.4333, 14.136, 16.9653, 0.418302, 1.13428, 57.8296, 33833.3622575, 14.4135, 12.4844, 13.9723, 16.8265, 0.40085, 1.01418, 57.6967
33833.451, 33834.767571087985, 33834.784230385994, 33835.584170116985, 33835.600823682995, 33836.11744828499, 33836.13410692601, 33837.13400795299, 33837.15086189599, 33837.73396228801, 1.6913184121776457, 0.48894271794871796, 1.0061541025641028, 1.1594153014056314, 0.5209779999999998, 0.8920896399999999, 0.808812584754733, 0.4410812999999999, 1.00786485, 1.6411756791269598, 0.4659750312499999, 1.344683625, 1.019127463561375, 0.4896077272727272, 0.937226636363636, 33833.3622575, 14.4135, 12.4844, 13.9723, 16.8265, 0.40085, 1.01418, 57.6967, 33834.7282575, 14.5616, 12.7398, 13.6655, 16.6878, 0.520566, 0.794009, 57.6546, 33834.7282575, 14.5616, 12.7398, 13.6655, 16.6878, 0.520566, 0.794009, 57.6546, 33835.5032575, 14.5023, 12.6478, 13.8189, 16.7571, 0.469354, 0.890204, 57.7262, 33835.5032575, 14.5023, 12.6478, 13.8189, 16.7571, 0.469354, 0.890204, 57.7262, 33836.0182575, 14.2358, 12.3413, 14.1564, 17.1936, 0.493199, 1.23594, 57.9272, 33836.1142575, 14.1963, 12.3413, 14.2178, 17.1325, 0.457671, 1.24707, 57.8879, 33837.0792575, 14.5122, 12.5865, 14.0439, 16.8728, 0.389209, 0.987146, 58.0154, 33837.0792575, 14.5122, 12.5865, 14.0439, 16.8728, 0.389209, 0.987146, 58.0154, 33837.6372575, 14.3839, 12.8624, 13.7575, 16.734, 0.630012, 0.843113, 57.7378
33837.75, 33838.866648061, 33838.883325167, 33839.88322706398, 33839.89987757901, 33840.31652642798, 33840.333176096, 33841.73304652498, 33841.74976739599, 33842.332999142, 1.8648259581445537, 0.5465774571428571, 1.252913542857143, 1.490788588451763, 0.503560303030303, 1.2839078787878788, 0.6664405913107461, 0.5881610666666667, 1.2496919999999998, 1.8908441084138792, 0.5404300217391306, 1.3042326086956522, 0.9904365283276724, 0.4635042916666667, 1.6478333333333335, 33837.6842575, 14.4431, 12.8419, 13.778, 16.7803, 0.605583, 0.848815, 57.8433, 33838.8062575, 13.9199, 12.1166, 14.5144, 17.2752, 0.413942, 1.49237, 57.8261, 33838.8062575, 13.9199, 12.1166, 14.5144, 17.2752, 0.413942, 1.49237, 57.8261, 33839.7892575, 14.1864, 12.515, 14.1564, 17.1325, 0.562453, 1.18662, 57.9904, 33839.8052575, 14.2259, 12.5559, 14.1974, 17.0815, 0.522804, 1.16183, 58.0607, 33840.2332575, 14.0285, 12.5048, 14.1871, 17.1631, 0.627249, 1.24826, 57.8835, 33840.2332575, 14.0285, 12.5048, 14.1871, 17.1631, 0.627249, 1.24826, 57.8835, 33841.6342575, 13.9593, 12.28, 14.3712, 17.2854, 0.533211, 1.40352, 57.896, 33841.6792575, 13.831, 12.1983, 14.494, 17.3975, 0.548509, 1.51814, 57.9208, 33842.2572575, 13.8211, 11.994, 14.7497, 17.3669, 0.340945, 1.63161, 57.9317
33842.35, 33843.36660277802, 33843.383288453006, 33843.783237961, 33843.79989812802, 33844.41651755, 33844.433196587015, 33845.433108246005, 33845.44973441, 33846.033004808, 1.8503372803780163, 0.4901403823529411, 1.3998952941176475, 0.6058485102821526, 0.5171510625, 1.6411212499999996, 0.8066910531057029, 0.3895741666666666, 1.4671711111111112, 1.637567462673042, 0.49772392857142866, 1.6410207142857138, 0.9675342786166393, 0.47969008695652177, 1.5787295652173914, 33842.2572575, 13.8211, 11.994, 14.7497, 17.3669, 0.340945, 1.63161, 57.9317, 33843.2772575, 13.7422, 12.0451, 14.4633, 17.479, 0.571039, 1.59929, 57.7295, 33843.3262575, 13.7125, 12.0962, 14.5656, 17.5402, 0.586295, 1.63095, 57.9144, 33843.7092575, 13.8705, 12.0655, 14.5349, 17.4281, 0.469854, 1.56142, 57.899, 33843.7092575, 13.8705, 12.0655, 14.5349, 17.4281, 0.469854, 1.56142, 57.899, 33844.354257499996, 13.8902, 12.0144, 14.6576, 17.3873, 0.368351, 1.58938, 57.9496, 33844.354257499996, 13.8902, 12.0144, 14.6576, 17.3873, 0.368351, 1.58938, 57.9496, 33845.4152575, 13.9001, 12.2392, 14.3917, 17.3159, 0.545976, 1.4439, 57.8469, 33845.4152575, 13.9001, 12.2392, 14.3917, 17.3159, 0.545976, 1.4439, 57.8469, 33845.9332575, 13.7619, 12.0042, 14.6781, 17.4688, 0.445938, 1.65269, 57.913
33846.049, 33847.46552930502, 33847.482191786024, 33848.68209514901, 33848.69874771201, 33849.11537147401, 33849.132037351024, 33850.131947368005, 33850.148724684026, 33851.231848580006, 2.0011466672545444, 0.5229615744680851, 1.4519840425531914, 1.672474788331162, 0.549440552631579, 1.6662615789473685, 0.5429895228628155, 0.5954303636363637, 1.7459663636363632, 1.4901962662212198, 0.5499564722222223, 1.4942147222222222, 2.3469781464575816, 0.5575931764705881, 1.6233247058823528, 33845.9612575, 13.7619, 12.0042, 14.6781, 17.4688, 0.445938, 1.65269, 57.913, 33847.4132575, 14.0679, 12.4537, 14.1053, 17.3669, 0.710157, 1.28045, 57.9939, 33847.4132575, 14.0679, 12.4537, 14.1053, 17.3669, 0.710157, 1.28045, 57.9939, 33848.5912575, 13.6336, 11.9633, 14.6065, 17.7338, 0.628737, 1.74587, 57.9372, 33848.6072575, 13.5546, 11.9531, 14.6474, 17.7032, 0.628415, 1.77406, 57.8584, 33849.0262575, 13.7224, 11.9633, 14.5758, 17.5809, 0.538552, 1.67809, 57.8425, 33849.051257499996, 13.7619, 11.9838, 14.6576, 17.5707, 0.489432, 1.67731, 57.9741, 33850.0692575, 13.9396, 12.1472, 14.228, 17.4892, 0.635248, 1.46107, 57.8041, 33850.0692575, 13.9396, 12.1472, 14.228, 17.4892, 0.635248, 1.46107, 57.8041, 33851.1872575, 13.7224, 11.994, 14.3303, 17.8255, 0.763229, 1.66905, 57.8723
33851.249, 33852.365554201, 33852.382224978, 33853.38213501602, 33853.39877571002, 33853.815410067, 33853.832075885024, 33854.83198555602, 33854.848748438024, 33855.531915590014, 1.611511863266548, 0.5802455454545454, 1.714939696969697, 1.269565350901543, 0.5058532000000001, 1.5257063333333332, 0.4726240971522448, 0.5542123846153846, 1.8065699999999998, 1.8676861875981947, 0.5368904166666667, 1.3365261111111109, 1.1223652486362448, 0.5706491481481483, 1.3099885185185187, 33851.1872575, 13.7224, 11.994, 14.3303, 17.8255, 0.763229, 1.66905, 57.8723, 33852.2852575, 13.9396, 12.1779, 14.4224, 17.53, 0.57942, 1.5072, 58.0698, 33852.2852575, 13.9396, 12.1779, 14.4224, 17.53, 0.57942, 1.5072, 58.0698, 33853.354257499996, 13.5151, 11.759, 14.8111, 17.795, 0.530323, 1.90011, 57.8801, 33853.354257499996, 13.5151, 11.759, 14.8111, 17.795, 0.530323, 1.90011, 57.8801, 33853.7252575, 13.6632, 11.9327, 14.5554, 17.5809, 0.560817, 1.69933, 57.7322, 33853.7722575, 13.7224, 11.9531, 14.5554, 17.5606, 0.534639, 1.67162, 57.7914, 33854.7712575, 14.137, 12.3618, 14.1258, 17.2242, 0.571835, 1.25788, 57.8488, 33854.7712575, 14.137, 12.3618, 14.1258, 17.2242, 0.571835, 1.25788, 57.8488, 33855.4402575, 13.9396, 12.0757, 14.4531, 17.3669, 0.453854, 1.50548, 57.8353
33855.548, 33856.56458155202, 33856.58124212402, 33857.58114054301, 33857.59778778001, 33858.11442116403, 33858.131080035026, 33858.731035953, 33858.747998461, 33859.66427684601, 1.3154290821248456, 0.46717676315789475, 1.4410392105263161, 1.2677040450488093, 0.5006188787878789, 1.557824545454545, 1.0306611519337445, 0.42801999999999996, 1.1983794736842106, 1.1850610293278843, 0.5590194583333334, 1.4245779166666666, 1.4938745064971068, 0.3781229032258065, 1.493749677419355, 33855.4692575, 13.9692, 12.1166, 14.4531, 17.4281, 0.484049, 1.49964, 57.9669, 33856.5402575, 13.7718, 11.994, 14.4531, 17.5606, 0.575334, 1.62199, 57.7794, 33856.5402575, 13.7718, 11.994, 14.4531, 17.5606, 0.575334, 1.62199, 57.7794, 33857.4902575, 14.2851, 12.3107, 14.2485, 17.2038, 0.422454, 1.25495, 58.0482, 33857.5292575, 14.4135, 12.3822, 14.0848, 16.9884, 0.376859, 1.10878, 57.869, 33858.0502575, 14.1568, 12.1779, 14.2485, 17.3261, 0.474334, 1.35728, 57.9093, 33858.0502575, 14.1568, 12.1779, 14.2485, 17.3261, 0.474334, 1.35728, 57.9093, 33858.6312575, 14.137, 12.0962, 14.3815, 17.265, 0.363955, 1.40289, 57.8797, 33858.6522575, 14.137, 12.1166, 14.361, 17.1631, 0.338191, 1.36829, 57.7777, 33859.5752575, 14.1765, 12.3005, 14.1769, 17.1936, 0.492972, 1.2689, 57.8476
