a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
37090.549, 37091.76556871002, 37091.78223124202, 37092.78212861801, 37092.79868209502, 37093.415403587016, 37093.43207149202, 37094.431979146, 37094.448603439, 37095.56517124202, 3.9115917642341005, 0.4900439213483146, 1.762756629213483, 3.203477461652844, 0.6185849350649351, 1.9110897402597402, 1.8114282751226787, 0.412276711111111, 2.2096164444444444, 2.941115143218959, 0.64704876056338, 1.829475352112676, 3.142438000462887, 0.6389186962025313, 1.555166202531645, 37090.465784, 11.4026, 10.9747, 13.7094, 15.1628, 0.500283, 1.90097, 51.2494, 37091.685784, 11.5015, 11.2309, 13.3448, 15.0116, 0.683215, 1.65129, 51.0888, 37091.685784, 11.5015, 11.2309, 13.3448, 15.0116, 0.683215, 1.65129, 51.0888, 37092.697784, 11.2048, 10.739, 13.9119, 15.2558, 0.429547, 2.12004, 51.1114, 37092.701784000004, 11.2641, 10.6878, 13.922, 15.314, 0.398353, 2.13451, 51.1878, 37093.317784000006, 11.3729, 10.7902, 13.7802, 15.1977, 0.408083, 1.99882, 51.141, 37093.336784, 11.3234, 10.821, 13.7904, 15.2558, 0.470299, 2.02237, 51.1906, 37094.333784, 11.5015, 11.1181, 13.3853, 15.1744, 0.686681, 1.74098, 51.1794, 37094.348784, 11.5311, 11.1796, 13.3853, 15.1395, 0.684428, 1.70217, 51.2356, 37095.474784000005, 11.6498, 11.4358, 13.1727, 15.0116, 0.792333, 1.49174, 51.27
36735.582, 36736.79859454503, 36736.815269791005, 36737.81516985101, 36737.831812985016, 36738.448443957, 36738.465115709005, 36739.265000947, 36739.28185906, 36740.19823632201, 3.64576980122644, -0.08427215728395064, 2.059212839506173, 3.199480071940455, -0.20820158153846155, 1.5033706153846154, 1.9211532322058833, -0.09318872380952381, 1.8089733333333324, 2.860408601109522, -0.15593541428571428, 1.4529010714285715, 3.0701009325641464, -0.10406636818181814, 1.763974090909091, 36735.503784, 11.452, 10.5955, 14.2561, 14.9302, -0.0889733, 2.09006, 51.2339, 36736.703784000005, 11.6102, 10.7185, 14.1144, 14.6279, -0.185123, 1.88371, 51.071, 36736.729784, 11.6498, 10.7697, 14.0131, 14.6744, -0.107001, 1.83966, 51.1071, 36737.720784000005, 11.7586, 10.8927, 13.8309, 14.5581, -0.0678793, 1.68623, 51.0403, 36737.737784000004, 11.8476, 10.8825, 13.8309, 14.5349, -0.127748, 1.65445, 51.0958, 36738.352784, 11.5905, 10.8517, 14.0435, 14.6279, -0.0754759, 1.82805, 51.1136, 36738.366784000005, 11.5905, 10.8517, 14.0435, 14.6279, -0.0754759, 1.82805, 51.1136, 36739.188784000005, 11.7882, 11.0259, 13.8714, 14.4419, -0.0937968, 1.61334, 51.1274, 36739.188784000005, 11.7882, 11.0259, 13.8714, 14.4419, -0.0937968, 1.61334, 51.1274, 36740.105784, 11.3927, 10.5546, 14.3169, 14.9186, -0.115454, 2.13595, 51.1827
36740.214, 36741.73051539098, 36741.74716753899, 36742.747083455986, 36742.763758198, 36743.28039019598, 36743.29706215299, 36743.896978659985, 36743.913696967, 36744.88021901898, 4.791646087525477, -0.21299774018691575, 2.218794018691588, 3.4258046667497535, -0.363052393939394, 2.5586439393939386, 1.945274818824398, -0.6147959444444445, 2.917654999999999, 1.9608180160285014, -0.6694734761904761, 2.5243804761904762, 2.820838681651319, -0.6527364307692307, 2.3898716923076924, 36740.127784000004, 11.3136, 10.4828, 14.3979, 14.9651, -0.128752, 2.21854, 51.1593, 36741.639784, 11.3432, 10.3086, 14.5801, 15.0116, -0.294222, 2.32416, 51.2436, 36741.653784, 11.3333, 10.3496, 14.5902, 15.0116, -0.27412, 2.31616, 51.2848, 36742.667784000005, 11.096, 10.0524, 14.9345, 15.0349, -0.461261, 2.58842, 51.1178, 36742.667784000005, 11.096, 10.0524, 14.9345, 15.0349, -0.461261, 2.58842, 51.1178, 36743.198784, 10.9674, 9.61181, 15.4002, 15.2907, -0.714427, 2.95836, 51.2702, 36743.198784, 10.9674, 9.61181, 15.4002, 15.2907, -0.714427, 2.95836, 51.2702, 36743.813784000005, 11.3333, 10.0115, 15.0459, 14.9419, -0.694436, 2.52557, 51.3325, 36743.813784000005, 11.3333, 10.0115, 15.0459, 14.9419, -0.694436, 2.52557, 51.3325, 36744.781784000006, 11.3136, 10.1242, 14.894, 15.0116, -0.521849, 2.4739, 51.3433
36744.897, 36746.113628227, 36746.130320194, 36747.130207132985, 36747.146856451, 36747.763463462004, 36747.780146003, 36748.580060723005, 36748.59685176599, 36749.76327087, 3.579206335247958, -0.6199463374999999, 2.6146475000000002, 3.0023265462242414, -0.5154840895522389, 2.633665820895523, 1.9325765558673282, -0.5722001282051282, 2.6024776923076915, 2.5170762220201883, -0.3926504545454545, 2.0618654545454547, 3.2105902486828506, -0.2859772631578947, 2.097169210526315, 36744.809784000005, 11.3037, 10.0524, 14.8332, 15.0116, -0.523831, 2.48689, 51.201, 36746.025784000005, 11.0762, 9.74503, 15.0054, 15.2558, -0.528914, 2.77197, 51.0824, 36746.032784, 11.0465, 9.74503, 15.1066, 15.2558, -0.563157, 2.80648, 51.154, 36747.044784000005, 11.2147, 9.83725, 15.0054, 15.186, -0.583842, 2.67532, 51.2433, 36747.064784, 11.1949, 9.81676, 15.0864, 15.1977, -0.617407, 2.71146, 51.2957, 36747.664784, 11.4026, 10.2061, 14.7117, 14.9186, -0.482808, 2.3483, 51.239, 36747.702784, 11.4718, 10.2471, 14.6105, 14.8837, -0.464433, 2.27733, 51.2131, 36748.480784, 11.5806, 10.6468, 14.3067, 14.7093, -0.259165, 1.98719, 51.2434, 36748.510784000006, 11.5707, 10.657, 14.1042, 14.6279, -0.191317, 1.91458, 50.9598, 36749.664784, 11.2048, 10.1754, 14.7725, 15.0814, -0.35155, 2.48088, 51.2341
36749.78, 36751.096522757, 36751.11318412499, 36752.113085149, 36752.12965842901, 36752.546400255, 36752.563030221005, 36753.762917036016, 36753.779693644, 36754.512858175, 4.164172647287319, -0.2803934827586208, 2.488712298850575, 2.945499978378147, -0.39412439436619723, 2.3927784507042262, 1.315438503540779, -0.3061572, 2.7413416666666675, 3.8985026959498015, -0.4046401097560975, 2.4423132926829276, 2.2489235966253127, -0.42594239215686275, 2.4173711764705876, 36749.691784, 11.2048, 10.1652, 14.7421, 15.0581, -0.353514, 2.47126, 51.1702, 36751.011784, 11.2344, 10.1959, 14.6611, 15.1977, -0.244676, 2.46498, 51.2891, 36751.030784, 11.1949, 10.2369, 14.7219, 15.186, -0.24046, 2.47649, 51.3397, 36752.020784, 11.0465, 10.0217, 14.9041, 15.3605, -0.276862, 2.68727, 51.3328, 36752.034784, 11.0663, 9.99096, 14.8231, 15.2907, -0.296932, 2.65478, 51.1711, 36752.461784, 10.9773, 9.93972, 14.975, 15.4186, -0.2894, 2.77035, 51.3106, 36752.470784000005, 11.007, 9.90898, 14.9649, 15.3488, -0.348443, 2.75165, 51.2297, 36753.665784000004, 11.4322, 10.2574, 14.6712, 14.8605, -0.481057, 2.29653, 51.2213, 36753.692784000006, 11.4223, 10.2471, 14.6814, 14.7791, -0.526841, 2.28563, 51.1299, 36754.415784000004, 11.185, 10.0627, 14.7826, 15.1744, -0.356655, 2.55133, 51.2047
36754.53, 36755.74659586101, 36755.763219795015, 36756.76311818202, 36756.77978588702, 36757.196406748, 36757.213078653, 36758.612951724004, 36758.62964769002, 36759.429524976, 3.7616105715421986, -0.540177888888889, 2.735193580246913, 3.030027364970077, -0.49880267647058824, 2.9613797058823534, 1.0621858667143262, -0.33604537037037036, 3.192242962962964, 5.09262002675902, -0.5484981648351649, 2.9581956043956046, 2.4988096233172814, -0.6239058679245282, 2.357144716981132, 36754.441784, 11.1652, 10.0217, 14.813, 15.1744, -0.382067, 2.57956, 51.1743, 36755.650784000005, 11.007, 9.74503, 15.1876, 15.3721, -0.524965, 2.86709, 51.3117, 36755.676784, 11.007, 9.72453, 15.2079, 15.4651, -0.498593, 2.90095, 51.4045, 36756.683784, 10.7301, 9.68354, 15.2281, 15.5698, -0.344101, 3.04158, 51.2115, 36756.683784, 10.7301, 9.68354, 15.2281, 15.5698, -0.344101, 3.04158, 51.2115, 36757.097784000005, 10.5718, 9.4786, 15.3901, 15.6163, -0.424567, 3.21875, 51.0568, 36757.119784, 10.6015, 9.55033, 15.4002, 15.6512, -0.390726, 3.19303, 51.2032, 36758.521784000004, 11.3333, 10.0524, 14.9142, 14.9884, -0.588222, 2.49087, 51.2884, 36758.535784, 11.2839, 9.96022, 14.8332, 14.9535, -0.589553, 2.51102, 51.0308, 36759.331784, 11.4817, 10.1344, 14.5902, 14.7674, -0.573848, 2.27811, 50.9738
36759.446, 36760.762518193, 36760.77919359899, 36761.579119512004, 36761.59579795399, 36762.21238587201, 36762.22904273001, 36763.22895585799, 36763.245819996, 36763.99552640401, 3.8461576116153857, -0.40935962637362633, 2.162888351648351, 2.801250996686391, -0.4810536250000001, 1.7339758928571427, 1.811880630311987, -0.19452773000000004, 1.8719415000000001, 3.879997085943026, -0.3795318169014082, 1.2556441830985918, 2.363381196488531, 0.013786860980392137, 1.3311258823529413, 36759.367784, 11.541, 10.1959, 14.6206, 14.686, -0.626756, 2.22449, 51.0436, 36760.662784, 11.6498, 10.4418, 14.4181, 14.6279, -0.487977, 2.0399, 51.1376, 36760.691784, 11.7388, 10.4521, 14.4181, 14.6512, -0.51388, 2.01279, 51.2601, 36761.489784000005, 11.9069, 10.6365, 14.0637, 14.5349, -0.390694, 1.77598, 51.1421, 36761.498784, 11.7882, 10.6673, 14.084, 14.5814, -0.304945, 1.82211, 51.1209, 36762.112784000004, 11.7882, 10.8415, 13.9422, 14.4302, -0.224878, 1.68897, 51.0022, 36762.139784, 11.8476, 10.862, 13.9625, 14.407, -0.264844, 1.6621, 51.079, 36763.134784, 12.4904, 11.2514, 13.3145, 14.0233, -0.259526, 1.05599, 51.0795, 36763.148784000005, 12.4706, 11.2309, 13.3651, 14, -0.296113, 1.07613, 51.0666, 36763.908784, 11.897, 11.1796, 13.5372, 14.4884, 0.114349, 1.45266, 51.1023
36764.012, 36765.028600642996, 36765.04526803699, 36766.661784276, 36766.67843683499, 36767.29504794501, 36767.311711751, 36768.311562267, 36768.328392824, 36769.244854275006, 3.047282158863066, -0.07864001562500006, 1.3081048437499998, 5.264368435593954, -0.14721689027777776, 1.2234219259259258, 2.102331961822228, -0.294022075, 1.101798425, 3.1544346491136372, -0.17875187936507933, 1.0824271269841268, 2.675890139573786, -0.23958695156249996, 1.4689365625000004, 36763.927784, 11.897, 11.2309, 13.5878, 14.4884, 0.11442, 1.44959, 51.2041, 36764.929784, 12.3223, 11.1386, 13.5676, 14.186, -0.275896, 1.25728, 51.2146, 36764.948784, 12.2728, 11.0362, 13.5575, 14.093, -0.343959, 1.27793, 50.9595, 36766.581784, 12.4311, 11.2309, 13.3752, 14.0349, -0.264597, 1.10085, 51.072, 36766.581784, 12.4311, 11.2309, 13.3752, 14.0349, -0.264597, 1.10085, 51.072, 36767.196784, 12.441, 11.2923, 13.3752, 14.0581, -0.227536, 1.08471, 51.1667, 36767.228784000006, 12.3816, 11.2514, 13.3246, 14.0233, -0.21165, 1.09302, 50.9808, 36768.218784000004, 11.9267, 11.0669, 13.7296, 14.3488, -0.117756, 1.49343, 51.0721, 36768.236784, 11.9959, 11.0669, 13.7195, 14.3953, -0.123659, 1.48072, 51.1777, 36769.150784000005, 11.8871, 10.821, 13.9119, 14.4419, -0.262505, 1.65846, 51.0618
36769.262, 36770.278553987984, 36770.29526753198, 36771.295128332, 36771.31179339999, 36771.72842423899, 36771.76178274299, 36773.16163155298, 36773.178460687996, 36774.111520497, 3.2143088193738953, -0.16832111714285716, 1.6407401428571429, 3.100297839275922, -0.2210855076923077, 1.6016195384615382, 1.4428920645258485, -0.24164648148148143, 1.6099966666666663, 4.62365352890197, -0.27517725000000004, 1.4415345652173914, 2.930000401322586, -0.33565329508196706, 1.3835698360655742, 36769.179784, 11.9069, 10.7697, 13.9119, 14.5465, -0.245683, 1.69601, 51.135, 36770.178784, 11.8476, 10.8107, 13.8511, 14.6047, -0.138566, 1.70132, 51.1141, 36770.206784, 11.6992, 10.7902, 13.922, 14.6512, -0.088042, 1.78712, 51.0626, 36771.200784, 11.986, 10.9439, 13.8005, 14.3605, -0.235908, 1.53578, 51.0909, 36771.218784000004, 12.0058, 10.8825, 13.8207, 14.314, -0.308749, 1.54236, 51.023, 36771.630784, 11.9267, 10.8722, 13.8612, 14.5, -0.203146, 1.63085, 51.1601, 36771.684784000005, 11.8377, 10.903, 13.7802, 14.3721, -0.168431, 1.59501, 50.893, 36773.070784, 12.3025, 11.0362, 13.679, 14.1047, -0.411102, 1.30421, 51.1223, 36773.079784, 12.3421, 11.0567, 13.6689, 14.1163, -0.409295, 1.28549, 51.1838, 36774.013784, 11.897, 10.8927, 13.922, 14.4535, -0.231023, 1.63756, 51.1652
36774.128, 36775.44460182401, 36775.461256204, 36776.46117181599, 36776.477792560996, 36777.094417203014, 36777.111128216, 36778.527616000996, 36778.544397118996, 36779.360881272994, 3.7938922245767652, -0.30666475, 1.693927391304347, 3.3805282541706005, -0.3377338030303031, 1.5159463636363633, 1.959922819505739, -0.3038467804878049, 1.7144331707317075, 4.68448791934332, -0.36607448000000004, 1.6833215000000001, 2.4368809266856832, -0.36827021428571427, 2.195146785714286, 36774.030784, 11.9069, 10.8825, 13.8916, 14.4884, -0.20896, 1.63885, 51.1694, 36775.370784000006, 12.0849, 10.8415, 13.8612, 14.2442, -0.421551, 1.52229, 51.0318, 36775.370784000006, 12.0849, 10.8415, 13.8612, 14.2442, -0.421551, 1.52229, 51.0318, 36776.37278400001, 11.9267, 10.8825, 13.8916, 14.4419, -0.241473, 1.62026, 51.1426, 36776.384784, 11.986, 10.8415, 13.922, 14.4651, -0.293581, 1.62832, 51.2146, 36776.996784, 11.9069, 10.7697, 13.9524, 14.5349, -0.271015, 1.70352, 51.1639, 36777.025784000005, 11.8476, 10.7595, 14.0131, 14.4884, -0.299765, 1.72996, 51.1086, 36778.432784000004, 11.541, 10.4623, 14.408, 14.6977, -0.385936, 2.08446, 51.109, 36778.454784, 11.4817, 10.5136, 14.4181, 14.7442, -0.313754, 2.10147, 51.1575, 36779.275784000005, 11.4817, 10.3701, 14.4991, 14.8837, -0.354719, 2.20487, 51.2346
