a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
37983.324, 37984.840610082996, 37984.857266389015, 37986.057104807995, 37986.07371815999, 37986.69040935001, 37986.7070918, 37987.70700280602, 37987.72393532401, 37988.74021548301, 4.542892243836996, -0.3839513982300885, 1.62294168141593, 3.5074603659167334, -0.45255895555555586, 1.3679572222222218, 2.29304514749433, -0.4068856862745099, 1.0409508039215685, 2.812590420990169, -0.2985585555555554, 1.6458985185185178, 2.9980151029274067, -0.3517629736842105, 2.1649876315789474, 37983.234784, 11.8476, 10.903, 14.1954, 14.1163, -0.501207, 1.63362, 51.0622, 37984.761784, 11.8476, 10.9337, 14.0941, 14.1977, -0.396647, 1.61842, 51.0731, 37984.761784, 11.8476, 10.9337, 14.0941, 14.1977, -0.396647, 1.61842, 51.0731, 37985.965784, 12.0454, 11.4768, 13.4866, 13.8023, -0.12441, 1.11199, 50.8111, 37985.974784000005, 12.1838, 11.528, 13.4562, 13.8256, -0.140429, 1.05012, 50.9937, 37986.602784, 11.9069, 11.0976, 13.9422, 14.1047, -0.316764, 1.48154, 51.0515, 37986.608784000004, 11.8377, 11.1079, 13.9726, 14.1163, -0.287122, 1.51171, 51.0345, 37987.625784, 11.6399, 10.78, 14.1852, 14.4535, -0.289696, 1.82697, 51.0586, 37987.625784, 11.6399, 10.78, 14.1852, 14.4535, -0.289696, 1.82697, 51.0586, 37988.649784, 11.3037, 10.1857, 14.6409, 14.7791, -0.481151, 2.33669, 50.9092
37628.756, 37630.07256841998, 37630.08919014998, 37631.089074658994, 37631.105775448996, 37631.52242126398, 37631.53904159598, 37631.939028411005, 37631.956363979996, 37632.822303064, 4.305583544743015, 0.2239965696428571, 0.5232571428571431, 2.7292418526915148, -0.28322910843373506, 0.6282307590361444, 1.2499876182718808, 0.06412560277777775, 0.25886846388888884, 1.4886972700431405, -0.08304516424242424, 0.3301380909090909, 3.335801576897346, -0.1456155835616438, 0.9528791369863016, 37628.657784, 12.4311, 12.358, 12.707, 13.5233, 0.364211, 0.423698, 51.0193, 37629.976784000006, 12.708, 12.0916, 12.8993, 13.3256, -0.0931472, 0.419015, 51.0245, 37630.005784, 12.7376, 12.0404, 12.9095, 13.2442, -0.177951, 0.405141, 50.9317, 37630.996784, 12.4113, 11.9072, 13.1828, 13.3605, -0.16048, 0.656147, 50.8618, 37631.015784, 12.4706, 11.9687, 13.1626, 13.3605, -0.149179, 0.61333, 50.9623, 37631.42578400001, 12.8464, 12.481, 12.5956, 13, 0.019145, 0.0789893, 50.923, 37631.439784, 12.8464, 12.481, 12.5956, 13, 0.019145, 0.0789893, 50.923, 37631.864784000005, 12.3421, 11.9482, 13.1828, 13.4884, -0.0433534, 0.700824, 50.9614, 37631.864784000005, 12.3421, 11.9482, 13.1828, 13.4884, -0.0433534, 0.700824, 50.9614, 37632.734784, 12.075, 11.6715, 13.5473, 13.6512, -0.147092, 1.01638, 50.945
37632.837, 37634.35362046299, 37634.370293135, 37635.970117663994, 37635.98678927799, 37636.40343735399, 37636.42008805199, 37637.420003045, 37637.436846659984, 37638.18658361799, 3.9390586126490463, -0.40634854166666684, 0.7122053249999996, 4.93112710501214, -0.3415362792592594, 0.5031487777777779, 1.3020428256810666, -0.4449976571428571, 0.3039425142857142, 2.948265339472213, -0.3102721752941175, 0.38536709411764697, 2.333350060881383, -0.23017331147540987, 0.43153416393442634, 37632.741784000005, 12.0849, 11.7022, 13.5372, 13.6512, -0.131808, 1.00084, 50.9755, 37634.263784, 12.6882, 11.6817, 13.274, 13.3488, -0.456728, 0.662708, 50.9927, 37634.286784, 12.6387, 11.7125, 13.2031, 13.3023, -0.406553, 0.635374, 50.8566, 37635.882784, 12.9453, 11.9379, 12.95, 13.1395, -0.401115, 0.354976, 50.9727, 37635.899784, 12.8662, 11.9379, 12.9297, 13.1744, -0.335695, 0.383048, 50.9083, 37636.310784, 13.1134, 11.9994, 12.8082, 12.8837, -0.511044, 0.17098, 50.8048, 37636.322784, 13.1134, 12.0199, 12.8183, 12.9535, -0.47068, 0.188144, 50.9052, 37637.330784000005, 12.5201, 11.9687, 13.0512, 13.3605, -0.118944, 0.566683, 50.9004, 37637.339784, 12.4607, 11.9994, 13.0411, 13.3837, -0.0583246, 0.579155, 50.8849, 37638.089784, 12.7871, 11.8764, 13.0613, 13.2791, -0.339642, 0.493169, 51.0039
37638.202, 37639.318599698985, 37639.33526422698, 37640.935123018, 37640.95177106301, 37641.468400283986, 37641.485050786, 37642.484945020005, 37642.501962232, 37643.20155730201, 3.2126992025260805, -0.40590542391304363, 0.5300261195652173, 4.59158235391186, -0.3492942403100775, 0.42013709302325575, 1.3948140053553002, -0.6127176250000003, 0.7173065249999999, 3.356146185614061, -0.4859122409638554, 0.4860084216867468, 1.9919313050236003, -0.26961629310344826, 0.6948617758620691, 37638.105784, 12.7871, 11.8764, 13.0613, 13.2791, -0.339642, 0.493169, 51.0039, 37639.219784, 13.0047, 12.0711, 12.8082, 13.0465, -0.341266, 0.229415, 50.9305, 37639.235784000004, 12.9453, 12.0609, 12.788, 13, -0.330947, 0.230863, 50.7942, 37640.839784, 12.6684, 11.6407, 13.3043, 13.2442, -0.53474, 0.660483, 50.8577, 37640.855784, 12.797, 11.569, 13.274, 13.2791, -0.600396, 0.644272, 50.919, 37641.395784, 12.7772, 11.5793, 13.3145, 13.1744, -0.65787, 0.629092, 50.8454, 37641.395784, 12.7772, 11.5793, 13.3145, 13.1744, -0.65787, 0.629092, 50.8454, 37642.396784000004, 12.8069, 11.9584, 13.0411, 13.186, -0.344907, 0.430026, 50.9924, 37642.410784, 12.7277, 11.9892, 13.031, 13.1279, -0.315309, 0.425146, 50.8758, 37643.116784000005, 12.1047, 11.569, 13.5676, 13.7093, -0.193319, 1.06078, 50.9506
37643.218, 37644.534585872, 37644.551253433, 37644.951196366, 37644.967847025, 37645.484494821, 37645.50114387202, 37646.50107167502, 37646.51791563101, 37647.367652675, 4.107876527511843, -0.45749102727272717, 1.0746827727272725, 1.1820478995434243, -0.5257694411764706, 1.2936320588235297, 1.3711442776825726, -0.30239726136363637, 1.5922000000000003, 3.6890933205655894, -0.4146296961538461, 1.310419961538461, 3.144023301567824, -0.28795619718309856, 2.0755269014084505, 37643.120784000006, 12.1047, 11.569, 13.5676, 13.7093, -0.193319, 1.06078, 50.9506, 37644.443784, 12.164, 11.2411, 13.9321, 13.6163, -0.607792, 1.21971, 50.9535, 37644.458784, 12.1443, 11.2206, 13.9119, 13.7674, -0.523107, 1.26785, 51.0442, 37644.866784000005, 11.9366, 11.1489, 14.0232, 13.9419, -0.425595, 1.43376, 51.0506, 37644.877784000004, 11.9663, 11.2001, 13.9726, 13.9186, -0.401576, 1.38809, 51.0576, 37645.387784000006, 11.6399, 10.9644, 13.9524, 14.4186, -0.102606, 1.69689, 50.9753, 37645.403784, 11.63, 10.9542, 14.0232, 14.4651, -0.114512, 1.73404, 51.0725, 37646.402784000005, 12.5596, 11.4358, 13.4663, 13.4767, -0.546458, 0.868004, 50.9385, 37646.421784000006, 12.4212, 11.2514, 13.6486, 13.6628, -0.566664, 1.07059, 50.9839, 37647.284784, 11.4322, 10.4316, 14.5194, 14.6977, -0.402461, 2.15929, 51.0808
37647.384, 37648.8005435, 37648.817193231, 37650.01707451302, 37650.03373378702, 37650.550356144995, 37650.567050699996, 37651.56693009701, 37651.58367339802, 37652.433519855, 4.943258992076963, -0.35853110000000005, 1.5712958333333333, 3.562376397009743, -0.3165117083333333, 1.8821497916666674, 1.7600721035946947, -0.3400921914893617, 2.2742351063829784, 3.4598756185873736, -0.5550881358024691, 1.6606866666666664, 2.678831225175488, -0.45985534722222215, 1.5652969444444442, 37647.284784, 11.4322, 10.4316, 14.5194, 14.6977, -0.402461, 2.15929, 51.0808, 37648.701784000004, 11.897, 10.9542, 13.9827, 14.0349, -0.437738, 1.52344, 50.8688, 37648.723784, 11.8575, 10.9849, 14.0334, 14.1163, -0.387129, 1.56119, 50.992, 37649.919784000005, 11.2938, 10.2984, 14.5396, 14.9302, -0.296099, 2.31416, 51.062, 37649.933784, 11.3531, 10.3394, 14.5599, 14.8837, -0.337279, 2.27367, 51.1361, 37650.454784, 11.4124, 10.3803, 14.489, 14.7209, -0.392209, 2.18139, 51.0027, 37650.472784000005, 11.4322, 10.3701, 14.5902, 14.7558, -0.438209, 2.2123, 51.1484, 37651.469784, 12.2135, 11.0976, 13.8207, 13.9419, -0.486903, 1.30736, 51.0737, 37651.483784000004, 12.2135, 11.0976, 13.8207, 13.9419, -0.486903, 1.30736, 51.0737, 37652.342784, 11.9564, 10.7185, 14.2966, 14.0349, -0.735, 1.6635, 51.0064
37652.45, 37653.46661674998, 37653.48325750099, 37654.48319725199, 37654.49985099597, 37654.91647033898, 37654.93314291998, 37655.93302914097, 37655.94977428498, 37656.78295389998, 2.7138008709376096, -0.7325532261904764, 1.7012703571428578, 3.3732345438036297, -0.703133707317073, 1.7376435365853666, 1.3750687946231723, -0.8026401666666668, 1.6574522222222225, 2.927286433241746, -0.6336694625000001, 1.4771422499999995, 2.143807966582748, -0.6427506323529409, 1.6991645588235291, 37652.352784, 11.9761, 10.657, 14.2865, 14.0465, -0.764771, 1.67753, 50.9662, 37653.378784, 11.7685, 10.6365, 14.3169, 14.2791, -0.573385, 1.82083, 51.0009, 37653.392784, 11.8278, 10.6775, 14.327, 14.2907, -0.580254, 1.79343, 51.123, 37654.413784000004, 12.1047, 10.6365, 14.3067, 14.0465, -0.84569, 1.64753, 51.0945, 37654.413784000004, 12.1047, 10.6365, 14.3067, 14.0465, -0.84569, 1.64753, 51.0945, 37654.828784000005, 12.075, 10.7185, 14.1245, 13.9186, -0.768352, 1.54894, 50.8366, 37654.834784000006, 12.075, 10.7083, 14.1245, 14, -0.732338, 1.57378, 50.9078, 37655.839784, 12.0553, 10.821, 14.0739, 14.0698, -0.60681, 1.54863, 51.0199, 37655.859784, 12.0157, 10.7288, 14.0941, 14.1977, -0.579679, 1.63041, 51.0362, 37656.690784000006, 12.0652, 10.6878, 14.2359, 14.0233, -0.779222, 1.61909, 51.012
37656.8, 37658.216618663995, 37658.23324473399, 37658.833186244985, 37658.84986555799, 37659.26647517599, 37659.283160123, 37660.283051494, 37660.299687565, 37661.09963811001, 4.519404077620581, -0.7711325882352941, 1.3721219327731078, 1.683749116537458, -0.6326356666666665, 1.505722777777778, 1.148372596780942, -0.5901279444444442, 1.7346083333333333, 3.056405872578035, -0.7845461219512194, 1.5513828048780487, 2.4733081582017564, -0.7571042666666671, 1.3307561666666665, 37656.708784, 12.0553, 10.6775, 14.1954, 14.093, -0.725226, 1.63332, 51.0212, 37658.124784, 12.2135, 10.8107, 13.9726, 13.9419, -0.703545, 1.44004, 50.9387, 37658.145784, 12.2629, 10.78, 14.0131, 13.9884, -0.73842, 1.45713, 51.0444, 37658.734784, 11.9564, 10.6775, 14.1346, 14.2442, -0.57303, 1.68926, 51.0127, 37658.759784, 11.9366, 10.6673, 14.0637, 14.2907, -0.511375, 1.69273, 50.9583, 37659.179784, 11.9564, 10.7083, 14.2055, 14.2093, -0.608996, 1.68859, 51.0794, 37659.193784, 11.986, 10.657, 14.246, 14.1628, -0.691552, 1.69408, 51.0518, 37660.188784000005, 12.164, 10.8415, 14.1144, 13.814, -0.796612, 1.44976, 50.9338, 37660.206784, 12.1245, 10.7697, 14.0739, 13.8953, -0.753614, 1.49665, 50.8634, 37661.007784, 12.619, 11.0772, 13.6689, 13.5465, -0.817178, 1.03687, 50.9115
37661.116, 37662.43258618499, 37662.449283733986, 37663.44914710498, 37663.465791344985, 37663.982438867, 37663.99910109498, 37664.99900764299, 37665.015745676, 37665.79892030599, 3.739625538834691, -0.7898779541284404, 1.5694853211009165, 3.2888929251644217, -0.8197015316455695, 1.8315986075949369, 1.3012076445738627, -0.9692931219512194, 1.8323768292682934, 3.0999408041044623, -0.887441734177215, 1.515035063291139, 2.12832651973698, -0.8037490508474575, 1.5480694915254243, 37661.026784, 12.5893, 10.9747, 13.8207, 13.5814, -0.909398, 1.12962, 50.9661, 37662.346784, 11.6102, 10.6263, 14.5295, 14.3256, -0.581238, 1.94314, 51.0916, 37662.351784000006, 11.5806, 10.6468, 14.57, 14.3256, -0.576156, 1.95653, 51.1229, 37663.356784, 11.9366, 10.4828, 14.6409, 14.0465, -1.00188, 1.83967, 51.1068, 37663.394784000004, 11.8575, 10.4418, 14.6004, 13.9767, -1.00206, 1.8509, 50.8764, 37663.886784, 11.9761, 10.5341, 14.489, 14.0116, -0.940703, 1.76151, 51.0108, 37663.904784000006, 11.9959, 10.5648, 14.5497, 14.093, -0.921734, 1.78172, 51.2035, 37664.903784, 12.2531, 10.8825, 14.0941, 13.8488, -0.790872, 1.41178, 51.0785, 37664.917784000005, 12.2531, 10.8825, 14.0941, 13.8488, -0.790872, 1.41178, 51.0785, 37665.710784, 12.075, 10.5648, 14.4181, 13.9535, -0.967853, 1.68543, 51.0114
37665.816, 37667.032546698996, 37667.049230496, 37668.44908168901, 37668.46573590401, 37668.88236992699, 37668.89904097899, 37669.898934807985, 37669.915782881006, 37670.69881284299, 3.825547532811716, -1.1074330322580646, 1.957034731182795, 4.185009305403455, -1.0228864424778756, 1.5531066371681421, 1.0969714969073379, -0.9788611142857141, 1.2642008571428573, 3.282005997839462, -1.0343231190476192, 1.5627167857142858, 2.2398028577460103, -0.9036395468749997, 1.4148492187500001, 37665.734784, 12.0454, 10.6058, 14.3877, 14.0465, -0.871485, 1.69806, 51.0854, 37666.949784000004, 11.897, 10.3291, 14.5295, 14.2209, -0.920263, 1.91978, 50.9766, 37666.949784000004, 11.897, 10.3291, 14.5295, 14.2209, -0.920263, 1.91978, 50.9766, 37668.355784, 12.4014, 10.6878, 14.0941, 13.6512, -1.06059, 1.3739, 50.8344, 37668.387784000006, 12.4508, 10.7185, 14.0334, 13.814, -0.956421, 1.37542, 51.0167, 37668.790784000004, 12.6684, 10.8107, 13.8612, 13.6512, -1.01377, 1.18645, 50.9915, 37668.802784, 12.6486, 10.8107, 13.8815, 13.6512, -1.01399, 1.19821, 50.992, 37669.812784, 12.4113, 10.8312, 14.003, 13.686, -0.93115, 1.30956, 50.9315, 37669.823784, 12.4212, 10.7595, 13.9524, 13.7209, -0.930658, 1.32515, 50.854, 37670.608784000004, 12.2135, 10.7697, 14.1144, 14.0581, -0.73304, 1.5216, 51.1557
