a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
39691.833, 39693.24963476499, 39693.266295755006, 39694.46621004598, 39694.482836806, 39694.999451647, 39695.01611229101, 39696.016011352986, 39696.03282947799, 39697.01591737398, 3.70919428731205, 0.8283789782608698, -0.46687721739130433, 3.0818820696710727, 0.8258438799999998, -0.5919110533333337, 1.370871105245908, 0.9110526944444446, -0.9306465555555553, 3.202446674895893, 0.7068353538461537, -0.7381405692307694, 3.0157190189577823, 0.6181897812500001, -0.685796859375, 39691.73478399999, 13.0808, 14.7879, 12.9596, 13.1267, 0.868428, -0.495505, 53.955, 39693.154784, 13.0607, 14.6162, 13.0505, 13.2327, 0.805047, -0.387425, 53.9601, 39693.169784, 13.1209, 14.6061, 13.0606, 13.1385, 0.724643, -0.424976, 53.926, 39694.377784, 13.2913, 14.9697, 12.6465, 12.8913, 0.893718, -0.759283, 53.7987, 39694.39378399999, 13.3113, 15.0101, 12.6162, 12.903, 0.922012, -0.780696, 53.8406, 39694.938784, 13.4717, 15.1212, 12.4949, 12.7853, 0.900209, -0.922345, 53.8732, 39694.938784, 13.4717, 15.1212, 12.4949, 12.7853, 0.900209, -0.922345, 53.8732, 39695.92778399999, 13.3815, 14.7172, 13.0202, 12.903, 0.563908, -0.604035, 54.0219, 39695.947783999996, 13.3715, 14.7374, 12.9697, 12.8795, 0.591069, -0.628166, 53.958, 39696.92978399999, 13.6221, 14.8889, 12.7879, 12.644, 0.520459, -0.856189, 53.9429
39697.032, 39698.34858751398, 39698.365240518986, 39698.965187057, 39698.98185511398, 39699.59846633698, 39699.61513068899, 39700.61501407698, 39700.631818697984, 39701.498269091004, 3.5430414745764534, 0.5704371566265063, -0.7324977590361444, 1.6145777398999457, 0.6118307714285715, -0.6104325142857143, 1.6057706265630267, 0.7728731999999998, -0.351147525, 2.619734506339653, 0.7222595, -0.3141073870967742, 2.7990111492649254, 0.9252340714285714, -0.23153165714285714, 39696.953784, 13.6822, 14.8586, 12.8384, 12.6676, 0.465152, -0.842273, 54.0468, 39698.256784, 13.5619, 14.9192, 12.8384, 12.597, 0.517398, -0.847356, 53.9164, 39698.26878399999, 13.592, 14.9293, 12.7576, 12.5145, 0.508556, -0.90601, 53.7934, 39698.873783999996, 13.2211, 14.5657, 13.0606, 13.1974, 0.685224, -0.424313, 54.0447, 39698.901783999994, 13.191, 14.5758, 13.0303, 13.2562, 0.744933, -0.410779, 54.0533, 39699.513783999995, 13.2011, 14.5859, 12.9899, 13.2209, 0.748095, -0.437826, 53.9977, 39699.536783999996, 13.2211, 14.5859, 12.9798, 13.1856, 0.727478, -0.456227, 53.9724, 39700.52078399999, 12.8502, 14.4141, 13.2727, 13.5976, 0.872278, -0.109173, 54.1348, 39700.538784, 12.8101, 14.3535, 13.2121, 13.5623, 0.877672, -0.108243, 53.9381, 39701.416783999994, 13.0607, 14.8889, 12.8889, 13.1621, 0.972825, -0.527405, 54.0006
39701.515, 39702.831575262, 39702.84815611098, 39703.84816639697, 39703.864830211984, 39704.48144888399, 39704.49808636999, 39706.097939227984, 39706.114689428985, 39706.947846815994, 3.2913863243716177, 0.8815602068965517, -0.41182225287356344, 2.5107543749838364, 0.7822162459016392, -0.4390137213114754, 1.4428088658838123, 0.7829173500000002, -0.47890492499999987, 4.659243231117497, 0.609344632653061, -0.5004953265306122, 2.198073153868764, 0.7255552222222224, -0.7304564814814817, 39701.416783999994, 13.0607, 14.8889, 12.8889, 13.1621, 0.972825, -0.527405, 54.0006, 39702.75178399999, 13.161, 14.596, 13.1111, 13.2916, 0.745681, -0.375077, 54.1596, 39702.75178399999, 13.161, 14.596, 13.1111, 13.2916, 0.745681, -0.375077, 54.1596, 39703.756784, 13.161, 14.6061, 12.9495, 13.2916, 0.827262, -0.423819, 54.0081, 39703.771784, 13.191, 14.6465, 12.9293, 13.1974, 0.798449, -0.475549, 53.9642, 39704.394784, 13.3113, 14.6263, 12.9091, 13.115, 0.704578, -0.531916, 53.9616, 39704.401783999994, 13.2812, 14.6061, 13, 13.1267, 0.671837, -0.488922, 54.014, 39706.024783999994, 13.2712, 14.6869, 12.8485, 13.0325, 0.74282, -0.578684, 53.8391, 39706.024783999994, 13.2712, 14.6869, 12.8485, 13.0325, 0.74282, -0.578684, 53.8391, 39706.854783999996, 13.3013, 14.7374, 12.9798, 13.0679, 0.704497, -0.552174, 54.0863
39706.964, 39707.980657272004, 39707.99735431602, 39708.59725344102, 39708.613928853, 39709.030560793, 39709.047230877004, 39710.04712227402, 39710.06380856802, 39710.84704055101, 2.971522572489368, 0.6762892307692309, -0.5929479384615384, 1.5686674802333282, 0.6941217, -0.564495425, 0.9999988491363379, 0.6547007407407409, -0.7127157037037037, 2.8289707152395533, 0.6730678, -0.5661133384615384, 2.4017165100676197, 0.7166841276595745, -0.5422372340425531, 39706.884783999994, 13.3013, 14.7374, 12.9798, 13.0679, 0.704497, -0.552174, 54.0863, 39707.899783999994, 13.3915, 14.7273, 12.8687, 12.9384, 0.651562, -0.64303, 53.9258, 39707.899783999994, 13.3915, 14.7273, 12.8687, 12.9384, 0.651562, -0.64303, 53.9258, 39708.49778399999, 13.3614, 14.8182, 12.7475, 12.8795, 0.738186, -0.711616, 53.8066, 39708.515783999996, 13.4216, 14.7879, 12.7879, 12.9148, 0.692442, -0.697457, 53.9122, 39708.93378399999, 13.4316, 14.7071, 12.8283, 12.8089, 0.583926, -0.697766, 53.7758, 39708.96378399999, 13.4917, 14.7677, 12.8788, 12.7735, 0.542873, -0.725378, 53.9118, 39709.962783999996, 13.2512, 14.6768, 12.8788, 13.0914, 0.759867, -0.544847, 53.8981, 39709.983784, 13.3013, 14.7273, 12.9091, 13.0208, 0.71243, -0.583422, 53.9584, 39710.74778399999, 13.2211, 14.697, 13.0808, 13.1385, 0.708178, -0.470683, 54.1374
39710.864, 39712.080651083, 39712.09729314601, 39712.497266408, 39712.513936242, 39713.130553329014, 39713.147217644, 39714.147141580004, 39714.163892126, 39715.08033746801, 3.166121514467002, 0.6434127625, -0.7811829999999996, 0.9800964814052806, 0.65531244, -0.7056399199999999, 1.820730420301285, 0.5254725250000002, -0.33446347500000007, 2.606934529093836, 0.7328694393939391, -0.7624846666666667, 2.3840441733412696, 0.6569939508196723, -0.7205831475409836, 39710.781784, 13.181, 14.6364, 13.0202, 13.009, 0.670493, -0.49813, 53.8466, 39712.015783999996, 13.612, 15.0303, 12.697, 12.6911, 0.653541, -0.903442, 54.0304, 39712.015783999996, 13.612, 15.0303, 12.697, 12.6911, 0.653541, -0.903442, 54.0304, 39712.46778399999, 13.3013, 14.6667, 13.0808, 12.9619, 0.576958, -0.534684, 54.0107, 39712.46778399999, 13.3013, 14.6667, 13.0808, 12.9619, 0.576958, -0.534684, 54.0107, 39713.03378399999, 13.2412, 14.3434, 13.1818, 13.2091, 0.523201, -0.331714, 53.9756, 39713.047783999995, 13.2612, 14.3131, 13.1515, 13.2091, 0.514305, -0.337539, 53.935, 39714.051783999996, 13.4817, 15.0303, 12.7374, 12.7265, 0.712198, -0.8471, 53.9759, 39714.086784, 13.4617, 14.9798, 12.7172, 12.75, 0.719249, -0.827596, 53.9086, 39714.998783999996, 13.5519, 15.0303, 12.697, 12.7735, 0.719202, -0.86351, 54.0527
39715.096, 39716.512564635, 39716.52922140601, 39717.529140455015, 39717.54579402001, 39717.96241803401, 39717.979106877996, 39718.97899329302, 39718.995766343, 39719.962212271006, 4.078123145067355, 0.6455699000000001, -0.7770781333333332, 2.567196759376727, 0.7110545454545455, -0.407926590909091, 1.0671261859855246, 0.780136153846154, -0.42915, 2.511829524180758, 0.6432042786885246, -0.7139647868852458, 2.4850926296569567, 0.5828202222222223, -0.5595023968253968, 39714.998783999996, 13.5519, 15.0303, 12.697, 12.7735, 0.719202, -0.86351, 54.0527, 39716.428783999996, 13.3815, 14.596, 12.9596, 13.115, 0.633574, -0.528073, 54.052, 39716.442784, 13.3213, 14.6869, 12.9394, 12.9737, 0.649005, -0.582832, 53.9213, 39717.43378399999, 13.1509, 14.7071, 13.0101, 13.2916, 0.848222, -0.431048, 54.1597, 39717.461784, 13.191, 14.6263, 12.9899, 13.1856, 0.755158, -0.456118, 53.9928, 39717.866784, 13.171, 14.5758, 13.0606, 13.1621, 0.697714, -0.423599, 53.9694, 39717.902784, 13.2011, 14.6566, 13.0808, 13.2091, 0.73126, -0.434279, 54.1476, 39718.881784, 13.4617, 14.7172, 12.9697, 12.8677, 0.533879, -0.6502, 54.0163, 39718.89778399999, 13.4116, 14.6869, 13, 12.8442, 0.518835, -0.626846, 53.9426, 39719.873783999996, 13.4216, 14.9293, 12.8283, 12.7265, 0.652012, -0.778064, 53.9056
39719.979, 39721.29555696599, 39721.312211246994, 39722.31210343101, 39722.328775946, 39722.94538514299, 39722.962075797994, 39723.362000992005, 39723.37871593799, 39724.67851202499, 3.414171636908363, 0.6434370357142858, -0.7388455595238094, 3.026743139959212, 0.660566764705882, -0.856819161764706, 1.7761262059614689, 0.5381936578947368, -0.40963802631578927, 1.2040586714794477, 0.5577014074074074, -0.5366777777777778, 3.2026329304311973, 0.6994329404761901, -0.7610334761904761, 39719.89378399999, 13.5218, 14.9091, 12.7879, 12.7147, 0.609118, -0.814435, 53.9335, 39721.220784, 13.5318, 14.9697, 12.6768, 12.5381, 0.604644, -0.917788, 53.7164, 39721.220784, 13.5318, 14.9697, 12.6768, 12.5381, 0.604644, -0.917788, 53.7164, 39722.21978399999, 13.2612, 14.5455, 13.0606, 13.1621, 0.641179, -0.439762, 54.0293, 39722.264784, 13.2913, 14.6263, 13.1212, 13.0914, 0.6028, -0.472449, 54.1302, 39722.87278399999, 13.2812, 14.5051, 13.202, 13.1032, 0.519937, -0.41072, 54.0915, 39722.87278399999, 13.2812, 14.5051, 13.202, 13.1032, 0.519937, -0.41072, 54.0915, 39723.275784, 13.3815, 14.8182, 12.8687, 12.8677, 0.66548, -0.685048, 53.9361, 39723.288784, 13.4517, 14.7778, 12.8182, 12.8206, 0.616592, -0.721373, 53.8682, 39724.580784, 13.3614, 14.7172, 12.8182, 13.0325, 0.727853, -0.619665, 53.9293
39724.695, 39726.01158446303, 39726.02824310501, 39727.62810697502, 39727.644757012014, 39728.16138053001, 39728.17804313002, 39729.17796775602, 39729.194844795005, 39730.11117140401, 3.500357251662156, 0.6668217325581396, -0.8334430697674418, 4.6744344903947574, 0.5804973333333336, -0.528509438095238, 1.4403521633154195, 0.6218529722222222, -1.0669305555555553, 2.7267123326045994, 0.6178681791044779, -1.1091014925373133, 2.2047046805187747, 0.5539219642857142, -0.977771642857143, 39724.60578399999, 13.3514, 14.7273, 12.8687, 12.9737, 0.686586, -0.622109, 53.9211, 39725.91478399999, 13.5118, 14.8586, 12.6061, 12.8089, 0.720268, -0.824237, 53.7853, 39725.934784, 13.5318, 14.8788, 12.7475, 12.7971, 0.647095, -0.79679, 53.9552, 39727.545783999994, 13.4817, 14.7374, 12.7879, 12.75, 0.566334, -0.748149, 53.757, 39727.545783999994, 13.4817, 14.7374, 12.7879, 12.75, 0.566334, -0.748149, 53.757, 39728.079783999994, 13.7925, 15.2525, 12.3737, 12.385, 0.683677, -1.19495, 53.8038, 39728.079783999994, 13.7925, 15.2525, 12.3737, 12.385, 0.683677, -1.19495, 53.8038, 39729.096783999994, 13.7624, 15.0606, 12.5253, 12.5145, 0.59759, -1.05356, 53.8628, 39729.096783999994, 13.7624, 15.0606, 12.5253, 12.5145, 0.59759, -1.05356, 53.8628, 39730.02078399999, 13.7223, 14.9596, 12.6364, 12.6205, 0.566122, -0.952476, 53.9387
39730.128, 39731.54455359801, 39731.561228545004, 39732.96107699501, 39732.977747139, 39733.39437286899, 39733.411035635014, 39734.41092095399, 39734.42768221599, 39735.560816362995, 3.7128174062614234, 0.6185537333333334, -1.0154868000000001, 6.915515695902359, 0.6348868705882353, -0.7471776294117646, 1.3703356112213134, 0.69501675, -0.5962230357142857, 2.9636547870781125, 0.5720400147058826, -0.6780294264705884, 2.9938675274954893, 0.7283413623188405, -0.7928056666666666, 39730.047783999995, 13.7423, 15, 12.6768, 12.6205, 0.555792, -0.956263, 54.0396, 39731.456783999995, 13.7824, 15.0202, 12.6566, 12.5145, 0.507537, -1.00925, 53.9737, 39731.500783999996, 13.7423, 15, 12.6263, 12.4675, 0.510275, -1.01659, 53.8361, 39732.862784, 13.3715, 14.7071, 12.8586, 13.0679, 0.71516, -0.597745, 54.005, 39732.889784, 13.2913, 14.7475, 12.9091, 13.1856, 0.800201, -0.538686, 54.1334, 39733.314783999995, 13.3614, 14.6162, 12.8687, 12.9619, 0.626275, -0.598515, 53.8082, 39733.314783999995, 13.3614, 14.6162, 12.8687, 12.9619, 0.626275, -0.598515, 53.8082, 39734.333783999995, 13.582, 14.8081, 12.7576, 12.8206, 0.597197, -0.781521, 53.9683, 39734.333783999995, 13.582, 14.8081, 12.7576, 12.8206, 0.597197, -0.781521, 53.9683, 39735.490783999994, 13.4517, 14.8788, 12.7677, 12.9384, 0.739235, -0.728506, 54.0365
39735.577, 39736.893572151, 39736.91023484601, 39737.91015526499, 39737.926807864984, 39738.343446872, 39738.36009460901, 39739.359999783985, 39739.376753942, 39740.67651315299, 3.4292361273434766, 0.6745545063291136, -0.657306759493671, 2.9704003250384083, 0.7669364375, -0.6051783750000002, 1.4327031380724184, 0.7411593214285713, -0.11931233214285715, 3.1906253890253358, 0.7291740317460319, -0.4398977944444445, 3.451713714007797, 0.7679708249999999, -0.50511085, 39735.490783999994, 13.4517, 14.8788, 12.7677, 12.9384, 0.739235, -0.728506, 54.0365, 39736.797783999995, 13.3915, 14.8788, 12.7677, 12.8913, 0.746754, -0.726326, 53.9292, 39736.812783999994, 13.4015, 14.8283, 12.7576, 12.9266, 0.739959, -0.708252, 53.914, 39737.826784, 13.1309, 14.4747, 13.0606, 13.4446, 0.798288, -0.305053, 54.1109, 39737.83878399999, 13.0708, 14.404, 13.0202, 13.4093, 0.798807, -0.290881, 53.9043, 39738.30278399999, 12.8603, 14.0303, 13.4242, 13.8684, 0.744799, 0.111317, 54.1832, 39738.30278399999, 12.8603, 14.0303, 13.4242, 13.8684, 0.744799, 0.111317, 54.1832, 39739.275784, 13.6421, 15.2222, 12.5556, 12.6087, 0.755754, -1.02725, 54.0286, 39739.276783999994, 13.6321, 15.1919, 12.5657, 12.5381, 0.710338, -1.03479, 53.9277, 39740.587783999996, 13.171, 14.7172, 13.0303, 12.9972, 0.701609, -0.51765, 53.9157
