a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
39193.459, 39194.47559037001, 39194.49216065, 39195.49217579802, 39195.50872375301, 39196.12543035901, 39196.142109358014, 39197.14198363901, 39197.158881753014, 39198.45852668802, 2.877656017443704, -0.6088651216216217, 0.5131665945945947, 2.426291409437552, -0.655270074074074, 0.38266446913580254, 1.8906060975845016, -0.7299995576923077, 0.5583906923076921, 2.7332074379756284, -0.5012767974683542, 0.6029214430379747, 3.6935853492932713, -0.6350306224489789, 0.6277340510204078, 39193.363783999994, 13.3915, 12.6465, 14.3939, 13.7507, -0.640561, 0.583211, 54.1826, 39194.377784, 13.4617, 12.8485, 14.1414, 13.5506, -0.557408, 0.383821, 54.0021, 39194.39778399999, 13.4817, 12.7677, 14.1717, 13.6683, -0.562717, 0.441104, 54.0894, 39195.392783999996, 13.4116, 12.5657, 14.4444, 13.7154, -0.727308, 0.604745, 54.137, 39195.411783999996, 13.4116, 12.5657, 14.4848, 13.6565, -0.77341, 0.599835, 54.1186, 39196.042784, 13.3113, 12.6061, 14.4141, 13.7742, -0.621544, 0.6296, 54.1058, 39196.042784, 13.3113, 12.6061, 14.4141, 13.7742, -0.621544, 0.6296, 54.1058, 39197.043783999994, 13.1309, 12.6364, 14.404, 13.9037, -0.459933, 0.70472, 54.075, 39197.059784, 13.1209, 12.697, 14.3535, 13.9508, -0.381826, 0.689142, 54.1222, 39198.362784, 13.2913, 12.5859, 14.4747, 13.8096, -0.632648, 0.666667, 54.1614
38838.476, 38839.79253650801, 38839.80921857499, 38840.809122226005, 38840.82578441798, 38841.24239808601, 38841.259072511, 38841.65904015801, 38841.67611314101, 38842.408957693006, 3.8455276179637954, -0.18236368351648352, -0.7075326703296703, 2.614105084455356, -0.14643127571428569, -0.6000053142857146, 1.5427470331514417, -0.25455165384615386, -0.4951429615384615, 1.2029463355434256, -0.30878711538461534, -0.3710019615384616, 2.160088325240618, -0.16278879074074074, -0.37988674074074097, 38838.38078399999, 13.9829, 14.0505, 13.1515, 12.8089, -0.127351, -0.575906, 53.9938, 38839.705784, 14.0631, 14.0404, 13.101, 12.7382, -0.178647, -0.629628, 53.9427, 38839.710783999995, 14.043, 14.0505, 13.101, 12.7382, -0.164707, -0.626978, 53.9328, 38840.724784, 14.013, 13.9394, 13.2626, 12.8206, -0.238532, -0.518853, 54.0356, 38840.743784, 14.0029, 14.0303, 13.1919, 12.7735, -0.181031, -0.574398, 53.9987, 38841.146784, 14.0531, 13.8586, 13.3535, 12.7971, -0.347249, -0.48861, 54.0623, 38841.174783999995, 14.033, 13.899, 13.3838, 12.75, -0.355062, -0.498884, 54.0658, 38841.562783999994, 13.7624, 13.5859, 13.4848, 13.0325, -0.291848, -0.231366, 53.8656, 38841.581783999995, 13.8726, 13.6465, 13.4949, 12.9855, -0.34059, -0.28853, 53.9995, 38842.310783999994, 13.9228, 13.9293, 13.2828, 12.8206, -0.211127, -0.486118, 53.9555
38842.425, 38843.44157128602, 38843.458239882995, 38845.05809252501, 38845.074795684006, 38845.69138486801, 38845.70804395301, 38846.707943706, 38846.724855251014, 38847.757840994, 2.723007807649183, -0.19740458571428568, -0.565715742857143, 4.409238069102077, -0.18045591454545448, -0.5809370090909092, 2.087012506786455, -0.13705032499999997, -0.548782075, 3.2082792130741997, -0.24713594805194788, -0.5652150909090911, 3.079009651460187, -0.18890052868888887, -0.12662966236111112, 38842.33878399999, 13.9127, 14.0202, 13.2121, 12.8677, -0.109662, -0.514625, 54.0128, 38843.348783999994, 14.043, 13.9798, 13.0808, 12.7735, -0.171922, -0.60373, 53.8772, 38843.35978399999, 13.9328, 13.9697, 13.0808, 12.8324, -0.0982448, -0.554465, 53.8157, 38844.958783999995, 13.9027, 13.9798, 13.2424, 12.9384, -0.104958, -0.472147, 54.0633, 38844.994783999995, 13.9027, 13.9091, 13.2323, 12.9619, -0.122222, -0.449274, 54.006, 38845.600783999995, 14.0731, 14.1818, 13.0505, 12.6205, -0.148955, -0.718744, 53.9259, 38845.610784, 14.0932, 14.1717, 13.0101, 12.5734, -0.16627, -0.746922, 53.8484, 38846.62878399999, 13.8827, 13.6566, 13.5556, 12.8795, -0.417863, -0.306862, 53.9743, 38846.62878399999, 13.8827, 13.6566, 13.5556, 12.8795, -0.417863, -0.306862, 53.9743, 38847.661783999996, 13.7423, 13.8687, 13.3939, 12.9501, -0.147091, -0.352222, 53.9551
38847.774, 38848.89053530798, 38848.907217066, 38849.90702012198, 38849.92378016799, 38850.540395537995, 38850.55705033999, 38851.55696087999, 38851.57377404899, 38852.623514011, 2.9702850224780493, -0.2767532077922078, -0.5283505324675325, 2.688726985104536, -0.23781801333333324, -0.6590982400000001, 1.6300508715815791, -0.3859524772727273, -0.6182098181818181, 3.805707122650157, -0.5300307313432836, -0.8753489253731345, 3.3204352570031097, -0.5144510857142854, -0.5828150571428572, 38847.695783999996, 13.8025, 13.9394, 13.303, 12.8913, -0.127389, -0.430387, 53.9362, 38848.795783999994, 14.033, 13.9899, 13.1616, 12.7265, -0.221793, -0.593993, 53.911, 38848.820783999996, 14.043, 14.0101, 13.1717, 12.7029, -0.232603, -0.605954, 53.9278, 38849.815784, 14.1533, 13.9394, 13.2222, 12.644, -0.366984, -0.618923, 53.959, 38849.829783999994, 14.1132, 13.9192, 13.2626, 12.6794, -0.360022, -0.580946, 53.9744, 38850.447783999996, 14.023, 14.0101, 13.1919, 12.5734, -0.293413, -0.632295, 53.7984, 38850.470784, 14.0831, 13.9596, 13.1919, 12.6205, -0.322607, -0.621198, 53.8551, 38851.475783999995, 14.464, 14.0606, 13.2323, 12.1496, -0.689234, -0.874494, 53.9065, 38851.475783999995, 14.464, 14.0606, 13.2323, 12.1496, -0.689234, -0.874494, 53.9065, 38852.53578399999, 14.2535, 14.0101, 13.3131, 12.4439, -0.514925, -0.696011, 54.0207
38852.639, 38853.655603801024, 38853.67229727202, 38854.67219247102, 38854.68884167603, 38855.20547671701, 38855.22213402601, 38856.222063323024, 38856.238745352, 38857.17194522001, 2.9274774953930955, -0.5533172142857141, -0.7159666571428568, 2.874464733353505, -0.4499719199999999, -0.9673893600000001, 1.5575883739342242, -0.5376946250000001, -0.9228604999999999, 3.1188981879401663, -0.42990210958904096, -0.8164232465753428, 2.4128093300561004, -0.3095885076923077, -0.5910514153846153, 38852.543783999994, 14.1633, 14.0202, 13.3131, 12.385, -0.497021, -0.691891, 53.8817, 38853.557784, 14.2936, 14.1212, 13.1818, 12.2909, -0.493334, -0.818976, 53.8875, 38853.577783999994, 14.3037, 14.1212, 13.1313, 12.2555, -0.491631, -0.846847, 53.8117, 38854.578784, 14.4841, 14.2323, 12.9798, 12.126, -0.513503, -1.00625, 53.8222, 38854.596783999994, 14.454, 14.2727, 12.9899, 12.1143, -0.49085, -1.00943, 53.8309, 38855.113783999994, 14.3638, 14.1313, 13.1111, 12.232, -0.516176, -0.878187, 53.8382, 38855.138783999995, 14.3939, 14.0909, 13.101, 12.2202, -0.550006, -0.88193, 53.806, 38856.133784, 14.013, 13.8788, 13.3939, 12.7029, -0.382124, -0.498691, 53.9886, 38856.16078399999, 13.9428, 13.8081, 13.4545, 12.7029, -0.41105, -0.443373, 53.9083, 38857.097784, 14.2134, 14.1414, 13.1313, 12.4675, -0.340985, -0.766239, 53.9536
38857.188, 38858.604496016, 38858.62117580599, 38859.02114021098, 38859.037802249, 38859.55444692, 38859.57107711599, 38860.57099550998, 38860.58767313898, 38861.30425147099, 3.994299817800684, -0.5145032574257427, -0.8213453465346535, 1.2611640272488331, -0.36075207407407417, -0.8860892592592592, 1.328157436355585, -0.38430517142857135, -0.6849930571428572, 3.393235226485475, -0.4983003661971832, -0.7546491830985913, 2.3140773664993937, -0.42674659615384614, -0.4551429807692307, 38857.097784, 14.2134, 14.1414, 13.1313, 12.4675, -0.340985, -0.766239, 53.9536, 38858.517783999996, 14.3237, 14.1212, 13.0808, 12.4204, -0.399907, -0.818525, 53.9461, 38858.525784, 14.3237, 14.202, 13.0707, 12.385, -0.373898, -0.853062, 53.9815, 38858.930784, 14.2435, 14.2323, 13.0909, 12.4439, -0.304659, -0.816789, 54.0107, 38858.947783999996, 14.2435, 14.1414, 13.0606, 12.3379, -0.383371, -0.832888, 53.7835, 38859.479783999996, 14.0831, 13.9192, 13.4949, 12.6087, -0.485235, -0.52637, 54.106, 38859.479783999996, 14.0831, 13.9192, 13.4949, 12.6087, -0.485235, -0.52637, 54.106, 38860.472784, 14.3337, 14.1111, 13.1212, 12.3026, -0.48321, -0.84121, 53.8687, 38860.492783999995, 14.3838, 14.0808, 13.1919, 12.2791, -0.563574, -0.832561, 53.9357, 38861.204783999994, 13.8626, 13.9293, 13.3232, 12.903, -0.163606, -0.43475, 54.0182
38861.321, 38862.53752443501, 38862.55419332401, 38863.55410801201, 38863.570764877986, 38864.187371833985, 38864.20402916399, 38865.203940049985, 38865.220655713005, 38866.17051933701, 3.427196942474107, -0.3301142441860467, -0.47761284883720934, 2.6272629507439587, -0.4495256323529414, -0.8219226029411764, 1.7644342841789913, -0.4887397727272726, -0.6766047045454546, 3.39223993293736, -0.5967336153846153, -0.9393996307692306, 2.393045034021726, -0.46361098412698415, -0.8434283015873016, 38861.221783999994, 13.9328, 13.8889, 13.404, 12.8795, -0.262651, -0.426427, 54.1052, 38862.437783999994, 14.1333, 13.9495, 13.2525, 12.5145, -0.427921, -0.645039, 53.8498, 38862.457784, 14.1533, 13.9293, 13.2727, 12.4439, -0.489241, -0.659664, 53.7992, 38863.464783999996, 14.2535, 14, 13.2121, 12.3615, -0.512828, -0.746814, 53.8272, 38863.48478399999, 14.2134, 14.0707, 13.1818, 12.2673, -0.491895, -0.791415, 53.7333, 38864.097784, 14.2435, 14.0909, 13.2121, 12.2791, -0.504239, -0.792341, 53.8256, 38864.108784, 14.2435, 14.0909, 13.2121, 12.2791, -0.504239, -0.792341, 53.8256, 38865.13078399999, 14.2335, 13.5758, 13.6162, 12.5616, -0.792904, -0.453291, 53.987, 38865.13078399999, 14.2335, 13.5758, 13.6162, 12.5616, -0.792904, -0.453291, 53.987, 38866.070783999996, 14.4741, 14.5253, 12.9192, 11.9965, -0.40409, -1.13611, 53.915
38866.187, 38867.303571663004, 38867.320235629995, 38868.320142214005, 38868.336801549005, 38868.753411531994, 38868.770101163995, 38869.770011762004, 38869.78672671, 38870.503244913, 3.063598473923909, -0.5909132405063289, -1.0014930253164558, 2.720170926240653, -0.607975917808219, -1.1910722191780825, 1.3323510146875466, -0.6871197, -1.0531787666666668, 2.619337061858287, -0.7772443698630135, -1.29235698630137, 2.107665914102347, -0.7460657884615387, -1.1169794999999998, 38866.100783999995, 14.5242, 14.5152, 12.8788, 11.9965, -0.413279, -1.1585, 53.9146, 38867.210783999995, 14.5843, 14.3939, 12.9495, 11.9141, -0.569139, -1.14631, 53.8419, 38867.220784, 14.5643, 14.3131, 12.9899, 11.8553, -0.644875, -1.12585, 53.7226, 38868.238783999994, 14.5743, 14.2121, 13.1212, 11.9024, -0.734542, -1.04893, 53.81, 38868.238783999994, 14.5743, 14.2121, 13.1212, 11.9024, -0.734542, -1.04893, 53.81, 38868.666783999994, 14.6445, 14.3535, 12.9495, 11.7611, -0.688595, -1.19741, 53.7086, 38868.673784, 14.6545, 14.3737, 13.0303, 11.7493, -0.725611, -1.18438, 53.8078, 38869.68178399999, 14.6244, 14.3131, 13.1717, 11.7258, -0.816028, -1.12568, 53.835, 38869.718784, 14.5943, 14.2626, 13.2424, 11.7611, -0.841551, -1.07318, 53.8605, 38870.415784, 14.3337, 14.0202, 13.2525, 12.2084, -0.630683, -0.806363, 53.8149
38870.52, 38871.83655300699, 38871.85321872999, 38872.853114642996, 38872.86978947398, 38873.386396149006, 38873.40301505698, 38875.002918508, 38875.019646887005, 38875.869482963004, 3.8710252700936927, -0.49326131182795707, -0.8212666344086025, 3.0558632740140137, -0.6067262835820898, -0.8894899402985075, 0.9669275046550933, -0.5515032499999998, -0.7409969722222219, 4.843352126386164, -0.6754915495495497, -0.8320364774774773, 2.459558229176812, -0.5573731754385965, -0.7366771578947369, 38870.434784, 14.3438, 14.0707, 13.3232, 12.232, -0.631966, -0.794677, 53.9697, 38871.739784, 14.2235, 13.9192, 13.3737, 12.3144, -0.633283, -0.683953, 53.8308, 38871.769784, 14.2435, 13.9394, 13.2929, 12.4439, -0.534657, -0.680476, 53.9197, 38872.754784, 14.3237, 14.0808, 13.2727, 12.2673, -0.578514, -0.796504, 53.9445, 38872.776783999994, 14.3137, 14.0404, 13.2929, 12.2438, -0.613481, -0.784194, 53.8908, 38873.28978399999, 14.2235, 14.0808, 13.2929, 12.3144, -0.519918, -0.750378, 53.9116, 38873.311784, 14.1934, 14.0808, 13.303, 12.3379, -0.499704, -0.732602, 53.9152, 38874.915784, 14.1433, 13.6162, 13.596, 12.3615, -0.819845, -0.50319, 53.7169, 38874.92978399999, 14.1834, 13.6364, 13.6667, 12.4792, -0.803497, -0.465253, 53.9656, 38875.778783999995, 14.2936, 14.1818, 13.2727, 12.2084, -0.544925, -0.832413, 53.9566
38875.886, 38877.402533076995, 38877.419180255005, 38878.019141094, 38878.035783410014, 38878.552421848, 38878.56909511599, 38879.56901839201, 38879.58580338801, 38880.335578686005, 4.633550581689449, -0.6730929741379313, -0.7771605, 1.7047436116496024, -0.5655827435897436, -0.8955907179487179, 1.5551457725445705, -0.6368051219512194, -0.8967034390243902, 3.101159424816571, -0.7961155633802819, -1.2423163239436619, 2.3946298854711126, -0.6484345094339623, -1.0491184716981128, 38875.801783999996, 14.2636, 14.1717, 13.2222, 12.1849, -0.52429, -0.843616, 53.8424, 38877.32178399999, 14.3237, 14.0707, 13.3535, 12.2438, -0.631003, -0.777092, 53.9917, 38877.32178399999, 14.3237, 14.0707, 13.3535, 12.2438, -0.631003, -0.777092, 53.9917, 38877.921784, 14.3337, 14.2525, 13.1313, 12.0672, -0.532374, -0.944813, 53.7847, 38877.94678399999, 14.4139, 14.2828, 13.1818, 12.0436, -0.588475, -0.965641, 53.9222, 38878.477783999995, 14.444, 14.1313, 13.2828, 11.9848, -0.747888, -0.921488, 53.8429, 38878.477783999995, 14.444, 14.1313, 13.2828, 11.9848, -0.747888, -0.921488, 53.8429, 38879.475783999995, 14.7547, 14.4545, 13, 11.6434, -0.769147, -1.27178, 53.8526, 38879.492783999995, 14.6946, 14.4141, 12.9596, 11.7611, -0.686869, -1.22276, 53.8294, 38880.240783999994, 14.5442, 14.4444, 13.0505, 11.8553, -0.600719, -1.13636, 53.8944
