a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
46219.594, 46221.11052426601, 46221.12720544801, 46222.12703892302, 46222.143761439, 46222.56037386901, 46222.57704285301, 46223.37696955701, 46223.39382915902, 46224.343539295005, 4.676653366249179, 0.453759424528302, 0.8311005754716981, 2.9325451843037924, 0.435985811594203, 0.8712284347826084, 1.0842638445001012, 0.4433415769230769, 0.8029450769230768, 1.982515830541468, 0.45096374074074064, 0.7351358703703702, 3.0033545272009436, 0.483195984375, 0.8622688437500002, 46219.5062835, 12.7525, 12.9388, 14.0848, 14.8038, 0.414667, 0.878735, 54.5799, 46221.022283499995, 12.713, 12.9286, 14.1564, 14.8968, 0.436953, 0.935656, 54.6948, 46221.0342835, 12.6734, 12.9082, 14.1564, 14.8038, 0.404328, 0.929192, 54.5419, 46222.043283499996, 12.792, 12.9898, 14.0337, 14.7573, 0.422126, 0.827132, 54.5728, 46222.0682835, 12.8019, 13.0204, 13.9723, 14.7806, 0.470367, 0.805487, 54.5752, 46222.4642835, 12.7821, 12.9592, 13.9928, 14.7457, 0.426775, 0.825228, 54.4798, 46222.4802835, 12.7722, 13.0102, 13.9416, 14.676, 0.44685, 0.781767, 54.4001, 46223.2832835, 12.8315, 13.051, 13.9621, 14.8271, 0.495914, 0.797482, 54.6717, 46223.3022835, 12.792, 12.8878, 13.9928, 14.8154, 0.421396, 0.861243, 54.488, 46224.2452835, 12.8512, 13.1122, 13.9826, 14.8038, 0.494191, 0.773395, 54.7499
46224.359, 46225.77553680798, 46225.792112431984, 46226.79211362297, 46226.80876815098, 46227.32539861297, 46227.34206018798, 46227.94199300499, 46227.958734657994, 46228.94188480798, 3.728904295620471, 0.4492308659793813, 0.8283862886597932, 2.706426006553549, 0.43766176923076927, 0.8640892153846156, 1.2940329519247011, 0.39435473684210526, 0.7164409210526316, 1.866278994620856, 0.41060042857142853, 0.725932357142857, 2.6445896350619056, 0.4301823731343284, 0.8027910597014923, 46224.259283499996, 12.871, 13.0816, 13.9519, 14.8154, 0.490776, 0.771568, 54.72, 46225.6882835, 12.7623, 12.8878, 14.0337, 14.8038, 0.410891, 0.87747, 54.4876, 46225.6972835, 12.7623, 12.9388, 14.0439, 14.8735, 0.460491, 0.883312, 54.6186, 46226.6972835, 12.8908, 13.102, 13.9723, 14.7806, 0.465584, 0.756254, 54.7457, 46226.7162835, 12.8611, 13.0816, 13.9826, 14.7341, 0.4446, 0.761232, 54.6594, 46227.2292835, 12.9105, 13.1224, 13.9928, 14.6876, 0.414333, 0.725813, 54.7134, 46227.2602835, 12.9599, 13.0816, 13.9519, 14.583, 0.344887, 0.685288, 54.5765, 46227.8452835, 12.8019, 12.9898, 14.003, 14.8271, 0.463182, 0.834398, 54.6217, 46227.884283499996, 12.8512, 13.0408, 13.9723, 14.8038, 0.46694, 0.791343, 54.6682, 46228.859283499994, 12.7327, 12.8469, 14.1053, 14.7573, 0.351876, 0.904534, 54.4423
46228.958, 46230.174566962014, 46230.191243463996, 46231.191144339, 46231.207813456, 46231.72442331699, 46231.741099298015, 46232.540995031, 46232.557716580006, 46233.690865721015, 3.392147094245254, 0.45513650000000005, 0.8802902875000003, 2.8122304125686934, 0.4098317066666667, 0.9112894933333333, 1.446510085020474, 0.3985754999999999, 0.9203004500000003, 2.3188907088824937, 0.4468635344827588, 0.8308246206896551, 2.986220994114525, 0.41098724358974364, 0.8743401538461538, 46228.859283499994, 12.7327, 12.8469, 14.1053, 14.7573, 0.351876, 0.904534, 54.4423, 46230.090283499994, 12.792, 12.949, 13.9826, 14.7573, 0.42758, 0.825686, 54.4809, 46230.092283499995, 12.8315, 12.949, 14.0542, 14.8271, 0.407231, 0.850891, 54.6617, 46231.0972835, 12.8117, 13.0204, 14.0746, 14.769, 0.412902, 0.82617, 54.6757, 46231.115283499996, 12.8117, 13, 13.9826, 14.8038, 0.462261, 0.817239, 54.5981, 46231.6252835, 12.6636, 12.9082, 14.1155, 14.9781, 0.506353, 0.966403, 54.6654, 46231.647283499995, 12.7031, 12.8163, 14.1053, 14.9897, 0.4567, 0.982059, 54.6144, 46232.463283499994, 12.8908, 13.0204, 13.9928, 14.676, 0.372332, 0.757867, 54.58, 46232.463283499994, 12.8908, 13.0204, 13.9928, 14.676, 0.372332, 0.757867, 54.58, 46233.596283499995, 12.7031, 12.898, 14.1053, 14.8387, 0.425461, 0.919316, 54.545
46233.708, 46234.924596793004, 46234.941267778995, 46235.94116379098, 46235.95779839698, 46236.574441233985, 46236.591103147, 46237.79099023399, 46237.80790177199, 46238.97420766698, 3.183431979747171, 0.39056410588235285, 0.9600670941176466, 2.4991919647226197, 0.4136908550724639, 1.0006925072463768, 1.560376469808169, 0.43136659090909096, 1.0257154090909093, 3.6131234957153207, 0.409559256097561, 1.1675981707317076, 3.602038037451575, 0.3227843289473684, 1.2847267763157892, 46233.609283499994, 12.7525, 12.8673, 14.1667, 14.9084, 0.391543, 0.947599, 54.6949, 46234.8262835, 12.7031, 12.8776, 14.1462, 14.7573, 0.360477, 0.914832, 54.4842, 46234.8452835, 12.5944, 12.9286, 14.1053, 14.8154, 0.479531, 0.936127, 54.4437, 46235.8512835, 12.5549, 12.7857, 14.3201, 14.9316, 0.385746, 1.07463, 54.5924, 46235.867283499996, 12.5154, 12.7041, 14.3303, 15.0014, 0.393999, 1.13074, 54.5512, 46236.4762835, 12.545, 12.7347, 14.2996, 15.0246, 0.418758, 1.11105, 54.604, 46236.4932835, 12.6537, 12.7653, 14.2485, 14.9781, 0.384867, 1.04518, 54.6456, 46237.706283499996, 12.6043, 12.6939, 14.4122, 14.9084, 0.268146, 1.10467, 54.6187, 46237.7292835, 12.6043, 12.6633, 14.3508, 14.8619, 0.261614, 1.08621, 54.4803, 46238.882283499996, 12.2981, 12.551, 14.586, 15.257, 0.42232, 1.36965, 54.6921
46238.991, 46240.20753927499, 46240.22417725401, 46240.62414135099, 46240.64082327799, 46241.257422193004, 46241.274091558, 46242.29066195399, 46242.30744793498, 46243.223887197986, 4.2012787865985, 0.3218143499999999, 1.2982222500000007, 1.3281002835369933, 0.3450087037037037, 1.0128104814814816, 1.7960426520587962, 0.31222528888888895, 1.3165135555555554, 3.1007881526803662, 0.37990540277777773, 1.4335723611111115, 2.500226144016381, 0.3708826333333332, 1.5104659999999999, 46238.893283499994, 12.3178, 12.5102, 14.5144, 15.1524, 0.38093, 1.33191, 54.4949, 46240.1142835, 12.466, 12.7857, 14.3508, 14.9549, 0.423321, 1.11459, 54.5574, 46240.128283499995, 12.5154, 12.8571, 14.3303, 14.92, 0.426307, 1.06489, 54.6229, 46240.5382835, 12.4759, 12.6837, 14.5656, 14.9897, 0.288746, 1.20509, 54.7149, 46240.5632835, 12.4166, 12.602, 14.5349, 15.0595, 0.325009, 1.25676, 54.613, 46241.187283499996, 12.2487, 12.449, 14.7497, 15.2338, 0.312886, 1.44999, 54.6811, 46241.187283499996, 12.2487, 12.449, 14.7497, 15.2338, 0.312886, 1.44999, 54.6811, 46242.1942835, 12.2684, 12.4286, 14.719, 15.3267, 0.350657, 1.46559, 54.7428, 46242.215283499994, 12.2388, 12.4082, 14.6883, 15.3383, 0.374663, 1.47595, 54.6736, 46243.136283499996, 12.1795, 12.3163, 14.7599, 15.3151, 0.317001, 1.53355, 54.5709
46243.241, 46244.35755771302, 46244.374233653005, 46244.790872473, 46244.807544492, 46245.22415143102, 46245.24084988201, 46246.257395088025, 46246.274088924016, 46247.240623199024, 3.047351016454077, 0.38469449333333344, 1.596085333333333, 1.2262764611324293, 0.41913173333333326, 1.596203666666667, 0.9757601530197937, 0.3760498620689655, 1.453931379310345, 5.967320505687318, 0.38772501388888886, 1.4666692222222217, 2.613904685940222, 0.4242868307692307, 1.6949821538461534, 46243.1552835, 12.1993, 12.4388, 14.7599, 15.4313, 0.415313, 1.51921, 54.8293, 46244.2732835, 12.0906, 12.3265, 14.7702, 15.5243, 0.452369, 1.61134, 54.7116, 46244.274283499995, 12.1203, 12.2653, 14.7702, 15.4081, 0.358725, 1.59244, 54.5638, 46244.6932835, 12.1499, 12.3571, 14.8622, 15.4662, 0.369826, 1.5924, 54.8354, 46244.7122835, 12.1598, 12.398, 14.7395, 15.3732, 0.398707, 1.52411, 54.6704, 46245.1312835, 12.308, 12.4388, 14.6679, 15.257, 0.329217, 1.4207, 54.6716, 46245.1482835, 12.2388, 12.4796, 14.6065, 15.35, 0.450042, 1.43705, 54.6749, 46246.1672835, 11.9128, 12.1837, 14.7702, 15.7218, 0.559863, 1.75736, 54.5885, 46246.1842835, 12.0215, 12.1837, 14.852, 15.6753, 0.450149, 1.73265, 54.7325, 46247.145283499995, 12.061, 12.2347, 14.8111, 15.6056, 0.442412, 1.67813, 54.7124
46247.257, 46248.773518344984, 46248.79019797199, 46249.79007692398, 46249.80674928198, 46250.423357243984, 46250.440031992985, 46250.83999122698, 46250.856601741994, 46251.889889295984, 4.556514559102635, 0.4191846601941746, 1.6458121359223306, 2.4372414907092907, 0.4102989104477611, 1.5591428358208954, 1.8323657883256648, 0.39726027500000005, 1.4245145000000003, 1.0017074505229404, 0.3334449655172414, 1.3834493103448275, 3.244969557605132, 0.3864047857142857, 1.5242315714285715, 46247.1592835, 12.1104, 12.2245, 14.8929, 15.6869, 0.41343, 1.70582, 54.9147, 46248.6742835, 12.1499, 12.2245, 14.7804, 15.5359, 0.379443, 1.62967, 54.6907, 46248.706283499996, 12.1005, 12.2959, 14.7906, 15.4778, 0.403628, 1.61126, 54.6648, 46249.6902835, 12.1302, 12.4184, 14.6474, 15.3035, 0.433165, 1.48691, 54.4994, 46249.713283499994, 12.061, 12.3469, 14.7395, 15.4429, 0.453094, 1.58667, 54.5903, 46250.338283499994, 12.2882, 12.4796, 14.6883, 15.257, 0.347295, 1.41946, 54.7131, 46250.3412835, 12.2783, 12.4898, 14.7088, 15.35, 0.388792, 1.44745, 54.8269, 46250.7522835, 12.2684, 12.5, 14.6986, 15.2454, 0.355673, 1.41892, 54.7124, 46250.7772835, 12.2981, 12.5, 14.6474, 15.257, 0.370875, 1.40021, 54.7025, 46251.810283499995, 11.9524, 12.1429, 15.0566, 15.6405, 0.353336, 1.80732, 54.7922
46251.907, 46253.42360864602, 46253.44027006302, 46254.45675333402, 46254.473509642, 46254.990127021, 46255.006783732, 46256.023359265, 46256.04013657901, 46257.15656498202, 4.348604885993961, 0.42780572641509446, 1.7820288679245269, 2.387938654236379, 0.37292428787878795, 1.7207209090909097, 1.5929408581122617, 0.40474400000000005, 1.77887705882353, 3.0520411466876687, 0.3964105147058823, 1.6714701470588227, 2.9783075049142815, 0.36440535135135144, 1.7485309459459464, 46251.810283499995, 11.9524, 12.1429, 15.0566, 15.6405, 0.353336, 1.80732, 54.7922, 46253.327283499995, 12.0017, 12.2551, 14.8622, 15.4894, 0.403118, 1.67413, 54.6085, 46253.357283499994, 12.0808, 12.2959, 14.8724, 15.5243, 0.395706, 1.64862, 54.7734, 46254.3582835, 11.8931, 12.2245, 14.9747, 15.6288, 0.450248, 1.77792, 54.7212, 46254.3892835, 11.8536, 12.2449, 15.0566, 15.6521, 0.450146, 1.80912, 54.8071, 46254.9062835, 12.1104, 12.1939, 15.0156, 15.6056, 0.306523, 1.72515, 54.9255, 46254.9092835, 12.0511, 12.1633, 14.9645, 15.5824, 0.333264, 1.73457, 54.7613, 46255.931283499995, 11.7745, 12.1429, 15.077, 15.8031, 0.499308, 1.90595, 54.7976, 46255.9492835, 11.903, 12.1327, 15.0361, 15.7683, 0.438491, 1.85141, 54.84, 46257.077283499995, 11.8832, 12.0204, 15.1384, 15.7334, 0.3342, 1.90821, 54.7754
46257.173, 46258.48957206899, 46258.50621000799, 46259.522795736986, 46259.539338983996, 46260.15605361299, 46260.172689121006, 46261.58924428099, 46261.60604647098, 46262.689135516, 4.0591991700463605, 0.37540308045977006, 1.9597477011494244, 2.9581144824356556, 0.3668450895522389, 1.9660355223880601, 1.8059569397508968, 0.37153580487804877, 1.9071058536585361, 3.9402236575430973, 0.3578434226804124, 1.8914318556701033, 3.1616095578067553, 0.3854085972222221, 1.965745833333334, 46257.077283499995, 11.8832, 12.0204, 15.1384, 15.7334, 0.3342, 1.90821, 54.7754, 46258.4042835, 11.7449, 12.0612, 15.1691, 15.7683, 0.418097, 1.95399, 54.7435, 46258.4252835, 11.7548, 12.0204, 15.2509, 15.8496, 0.393769, 2.00234, 54.8757, 46259.429283499994, 11.8536, 12.0306, 15.1179, 15.7915, 0.388107, 1.9232, 54.7936, 46259.4422835, 11.8141, 12.0408, 15.1282, 15.8148, 0.416696, 1.94024, 54.7978, 46260.077283499995, 12.0116, 12.102, 15.0259, 15.6172, 0.311273, 1.78867, 54.7568, 46260.077283499995, 12.0116, 12.102, 15.0259, 15.6172, 0.311273, 1.78867, 54.7568, 46261.505283499995, 11.8437, 12.0408, 15.1077, 15.6637, 0.344485, 1.89007, 54.6559, 46261.5272835, 11.8239, 12.0816, 15.0975, 15.7218, 0.402936, 1.89504, 54.7248, 46262.6142835, 11.735, 11.9796, 15.1588, 15.6869, 0.354037, 1.96053, 54.5604
46262.706, 46263.82260125499, 46263.83925871099, 46265.45578112799, 46265.47245348698, 46265.989049610995, 46266.00571868699, 46267.02229248298, 46267.038992396985, 46267.988871673, 2.884630292517676, 0.3462394, 2.0575641333333334, 4.28013146501555, 0.31197340677966107, 1.9396957627118656, 1.253208493804192, 0.33862086486486487, 1.8671483783783784, 3.0042009683852067, 0.3044169726027397, 1.9113964383561646, 2.8886830284958855, 0.4025219859154929, 2.3529312676056344, 46262.6142835, 11.735, 11.9796, 15.1588, 15.6869, 0.354037, 1.96053, 54.5604, 46263.742283499996, 11.6461, 11.8163, 15.2918, 15.9658, 0.38569, 2.13683, 54.7201, 46263.742283499996, 11.6461, 11.8163, 15.2918, 15.9658, 0.38569, 2.13683, 54.7201, 46265.378283499995, 12.0017, 12.0816, 15.0463, 15.4894, 0.239366, 1.772, 54.6191, 46265.378283499995, 12.0017, 12.0816, 15.0463, 15.4894, 0.239366, 1.772, 54.6191, 46265.912283499994, 11.9128, 12.0816, 15.0566, 15.5475, 0.302088, 1.81587, 54.5985, 46265.912283499994, 11.9128, 12.0816, 15.0566, 15.5475, 0.302088, 1.81587, 54.5985, 46266.933283499995, 11.4585, 11.4898, 15.5066, 16.0936, 0.283402, 2.37917, 54.5485, 46266.9572835, 11.3597, 11.4082, 15.5578, 16.1866, 0.310633, 2.47005, 54.5122, 46267.9002835, 11.3202, 11.3673, 15.8339, 16.4306, 0.292924, 2.6142, 54.9521
