a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
48401.834, 48402.85057233402, 48402.867250839015, 48404.46706111601, 48404.483749772015, 48405.00033877001, 48405.017018036015, 48406.01693358901, 48406.03373165801, 48407.083506875, 2.6832085647309247, 0.7493378805970148, 1.2400502985074624, 4.416310515591187, 0.7744023818181818, 1.3950186363636365, 1.6174297568825224, 0.7035773611111111, 1.6545577777777778, 3.035189688109026, 0.7341713676470585, 1.443478235294118, 2.7528954865653765, 0.7460960400000002, 1.5680878666666662, 48401.737784, 13.2134, 12.9417, 14.4633, 16.2452, 0.663951, 1.20115, 56.8636, 48402.756784, 13.0647, 12.8906, 14.5963, 16.4891, 0.753254, 1.34905, 57.0406, 48402.769784000004, 13.1044, 12.8701, 14.5451, 16.5355, 0.769487, 1.34243, 57.0551, 48404.381784, 12.8466, 12.6657, 14.7702, 16.7097, 0.771403, 1.57062, 56.9922, 48404.388784, 12.8466, 12.6554, 14.7702, 16.7678, 0.791723, 1.58726, 57.04, 48404.909784, 12.9458, 12.6861, 14.7804, 16.5007, 0.641611, 1.4889, 56.9129, 48404.933784, 12.9854, 12.727, 14.8315, 16.5587, 0.643048, 1.49148, 57.1027, 48405.933784, 13.0152, 12.7679, 14.6167, 16.5704, 0.748795, 1.42286, 56.9701, 48405.933784, 13.0152, 12.7679, 14.6167, 16.5704, 0.748795, 1.42286, 56.9701, 48406.998784, 12.5889, 12.4408, 15.0566, 17.0204, 0.794861, 1.85108, 57.1066
48407.1, 48408.61652703699, 48408.63319824798, 48409.033145165995, 48409.049835017, 48409.46644099001, 48409.48314056699, 48410.48302550101, 48410.499846421, 48411.14961093899, 3.785975451144501, 0.7481966018518519, 2.016435833333333, 1.086245366391749, 0.7895252068965518, 2.023966896551724, 1.0195814478372172, 0.8451521428571429, 1.8507471428571427, 2.926913190933096, 0.9317486111111108, 1.580264305555555, 1.8726266566190024, 0.9082398936170213, 1.7712093617021272, 48407.007784, 12.5988, 12.4612, 15.1384, 16.9884, 0.748593, 1.85359, 57.1868, 48408.524784, 12.4204, 12.1137, 15.2509, 17.3058, 0.765494, 2.10786, 57.0907, 48408.536784, 12.4501, 12.1648, 15.21, 17.2344, 0.761944, 2.05825, 57.0593, 48408.945784, 12.5691, 12.2568, 15.077, 17.0815, 0.742388, 1.93018, 56.9844, 48408.964784, 12.5493, 12.2772, 15.0566, 17.0713, 0.764963, 1.92296, 56.9544, 48409.370784, 12.6484, 12.4101, 14.9236, 17.1223, 0.858262, 1.83543, 57.1044, 48409.399784, 12.6682, 12.5225, 14.944, 17.1019, 0.878897, 1.79654, 57.2367, 48410.394784000004, 12.7574, 12.6043, 14.7599, 17.0917, 0.952002, 1.7015, 57.2134, 48410.406784, 12.6781, 12.4919, 14.8008, 17.0815, 0.917771, 1.76479, 57.0524, 48411.056784, 12.688, 12.4612, 14.9338, 17.0408, 0.822827, 1.79224, 57.1238
48411.166, 48412.382564606, 48412.39921890601, 48413.399114850006, 48413.41577764001, 48414.032392766996, 48414.049030858005, 48415.048942881986, 48415.065650287, 48415.998854617996, 3.301859962959792, 0.8145769550561799, 1.817566292134831, 2.873419971149315, 0.8282408676470588, 1.6051422058823526, 1.620089580628407, 0.9735044761904759, 1.772071428571428, 3.1544263027741923, 0.8920986805555555, 1.6757627777777768, 2.493161243350139, 0.9213474999999998, 2.1439791935483883, 48411.078784, 12.7475, 12.4612, 14.8724, 17.0306, 0.81937, 1.75821, 57.1118, 48412.287784, 12.7376, 12.6248, 14.7497, 16.9071, 0.896439, 1.65587, 57.0192, 48412.306784, 12.7079, 12.6554, 14.7599, 17, 0.95742, 1.67969, 57.1232, 48413.313784, 12.6286, 12.6043, 14.8111, 16.9536, 0.92909, 1.71895, 56.9975, 48413.334784, 12.6682, 12.5941, 14.7906, 17.0408, 0.952837, 1.72586, 57.0937, 48413.950784, 12.6781, 12.5634, 14.8008, 16.9884, 0.908652, 1.72214, 57.0308, 48413.950784, 12.6781, 12.5634, 14.8008, 16.9884, 0.908652, 1.72214, 57.0308, 48414.949784000004, 12.2915, 12.2874, 14.9747, 17.5198, 1.11301, 2.08035, 57.0735, 48414.973784, 12.2519, 12.2977, 14.9645, 17.5504, 1.15292, 2.09377, 57.0644, 48415.904784, 12.3015, 12.0932, 15.2304, 17.3975, 0.858778, 2.16579, 57.0226
48416.016, 48417.33258958801, 48417.34924080502, 48418.349129682, 48418.36581363302, 48418.782431584, 48418.799086852, 48419.19909025601, 48419.215846092, 48420.248942715, 6.58956927528905, 0.8454902499999996, 2.1510399999999996, 2.815702555633143, 0.7911377142857143, 2.461658285714286, 1.0498196176916967, 0.8298961249999999, 2.1273150000000007, 1.0409671518448675, 0.8496634799999999, 2.0296131999999996, 2.7932153237040724, 0.8466120563380285, 2.2723236619718303, 48415.917784, 12.2816, 12.1545, 15.2407, 17.4179, 0.897676, 2.16019, 57.0947, 48417.247784, 12.2915, 12.1137, 15.3941, 17.3771, 0.78927, 2.19479, 57.1764, 48417.256784, 12.2321, 12.1239, 15.3634, 17.3669, 0.830013, 2.20045, 57.0863, 48418.254784000004, 12.242, 12.0625, 15.343, 17.4892, 0.860569, 2.23875, 57.1367, 48418.271784000004, 12.2519, 12.0319, 15.302, 17.4892, 0.861648, 2.23587, 57.075, 48418.690784, 12.5394, 12.1954, 15.0872, 17.2344, 0.790116, 1.99457, 57.0564, 48418.724784, 12.4997, 12.2159, 15.1793, 17.2548, 0.783759, 2.02587, 57.1497, 48419.107784, 12.351, 12.2057, 15.2202, 17.4382, 0.905645, 2.12403, 57.2151, 48419.125784, 12.3708, 12.2465, 15.2407, 17.3567, 0.87029, 2.09212, 57.2148, 48420.190784, 11.8653, 11.6741, 15.701, 17.8153, 0.842667, 2.62294, 57.0557
48420.266, 48421.48263203399, 48421.499311299995, 48422.499193061, 48422.51586161301, 48423.03247703999, 48423.049154684995, 48424.049047368, 48424.06573976, 48424.66563747899, 3.3027770800473175, 0.7638542261904763, 2.7017529761904773, 2.9333347638630154, 0.7511699444444441, 2.8951625, 1.623555799933387, 0.7005899729729729, 2.4715921621621626, 2.1712107950569517, 0.7886396428571429, 2.411732142857142, 1.7990958301188378, 0.7229880731707318, 2.7389504878048783, 48420.190784, 11.8653, 11.6741, 15.701, 17.8153, 0.842667, 2.62294, 57.0557, 48421.385784, 11.6968, 11.2754, 15.9669, 18.009, 0.711483, 2.89835, 56.9481, 48421.415784, 11.6373, 11.3061, 16.0078, 18.0498, 0.750294, 2.92474, 57.001, 48422.416784, 11.9248, 11.5719, 15.793, 17.8561, 0.748163, 2.66489, 57.1458, 48422.416784, 11.9248, 11.5719, 15.793, 17.8561, 0.748163, 2.66489, 57.1458, 48422.946784, 12.2915, 11.8888, 15.5373, 17.3669, 0.624868, 2.29237, 57.0845, 48422.956784, 12.2915, 11.8376, 15.4759, 17.3669, 0.630602, 2.29419, 56.972, 48423.953784, 12.1032, 11.7968, 15.6805, 17.7032, 0.749025, 2.48337, 57.2837, 48423.967784, 12.1032, 11.6741, 15.6089, 17.6829, 0.720543, 2.50078, 57.069, 48424.585784, 11.7166, 11.2652, 15.9669, 18.1619, 0.763226, 2.92773, 57.1106
48424.682, 48425.798649462, 48425.81529338402, 48426.215224271, 48426.23192603301, 48426.748502172006, 48426.765082155995, 48427.765083530016, 48427.78182923401, 48428.698301322, 2.922589945622986, 0.7192144027777777, 2.8517113888888908, 1.1251728952256699, 0.7463495333333335, 2.7384866666666663, 1.4035816823568301, 0.7286447368421053, 2.68138447368421, 2.588564238491615, 0.7771160769230767, 2.6595953846153852, 2.257363410779878, 0.700249220338983, 2.4781927118644056, 48424.585784, 11.7166, 11.2652, 15.9669, 18.1619, 0.763226, 2.92773, 57.1106, 48425.707784, 11.895, 11.531, 15.7726, 17.8765, 0.762093, 2.68674, 57.0751, 48425.721784, 11.9149, 11.5207, 15.8646, 17.9275, 0.72898, 2.71454, 57.2277, 48426.132784, 11.8851, 11.5412, 15.7828, 17.9377, 0.79222, 2.70202, 57.1468, 48426.132784, 11.8851, 11.5412, 15.7828, 17.9377, 0.79222, 2.70202, 57.1468, 48426.664784, 12.0239, 11.4594, 15.8339, 17.8459, 0.633049, 2.67564, 57.1632, 48426.681784, 11.9843, 11.4594, 15.8544, 17.8663, 0.650346, 2.69671, 57.1644, 48427.665784, 11.9545, 11.623, 15.5987, 17.8357, 0.835574, 2.59338, 57.0119, 48427.684784, 11.9743, 11.7048, 15.6498, 17.795, 0.820825, 2.56434, 57.1239, 48428.599784, 12.351, 11.9705, 15.3634, 17.3873, 0.719872, 2.21539, 57.0723
48428.715, 48429.83156674501, 48429.848228705, 48430.84813899, 48430.86480301601, 48431.481407201005, 48431.498067242996, 48433.09791469399, 48433.11453657501, 48433.864515211, 3.426999781176124, 0.8939662435897439, 2.0224807692307687, 2.854911379512133, 0.8467666428571429, 1.8125975714285723, 1.4248514565232002, 0.7149744871794871, 1.840376666666666, 4.466321966300764, 0.7667256880733948, 1.8179080733944954, 4.645722642153073, 0.6159213, 2.2371786000000005, 48428.637784, 12.3312, 11.9705, 15.343, 17.3261, 0.711995, 2.20306, 56.9708, 48429.742784, 12.4601, 12.1341, 15.1384, 17.3058, 0.807089, 2.0644, 57.0383, 48429.749784, 12.4601, 12.1648, 15.1384, 17.3058, 0.820094, 2.05523, 57.069, 48430.751784, 12.6087, 12.4817, 15.0259, 16.9536, 0.788766, 1.81068, 57.0698, 48430.772784, 12.6286, 12.4612, 15.0156, 17.0306, 0.808412, 1.82628, 57.136, 48431.392784, 12.7673, 12.5328, 14.9236, 16.8258, 0.730795, 1.69571, 57.0495, 48431.424784, 12.7872, 12.543, 14.8418, 16.7561, 0.733474, 1.65149, 56.9281, 48433.014784, 12.3213, 12.083, 15.4043, 17.2956, 0.723648, 2.17908, 57.1042, 48433.014784, 12.3213, 12.083, 15.4043, 17.2956, 0.723648, 2.17908, 57.1042, 48433.764784, 12.1924, 11.899, 15.5271, 17.3975, 0.691459, 2.32387, 57.016
48433.881, 48435.097569173005, 48435.114240562, 48436.114142407, 48436.13078259302, 48436.54742897899, 48436.56411900902, 48437.56399649001, 48437.580833124994, 48438.56390774399, 3.1559101554473696, 0.7751820374999999, 2.3638888750000007, 2.5915319477003975, 0.6792600147058825, 2.5482861764705884, 1.1023755975439546, 0.5888103793103446, 2.593269655172413, 2.5494297646722597, 0.6706290882352941, 2.7164332352941174, 3.0397158619999924, 0.70258923880597, 2.275309104477612, 48433.784784, 12.2519, 11.9296, 15.5782, 17.4688, 0.685129, 2.32371, 57.2286, 48435.009784, 12.0437, 11.715, 15.7214, 17.6625, 0.705379, 2.52662, 57.1426, 48435.023784, 12.0536, 11.7968, 15.7623, 17.6421, 0.708613, 2.50303, 57.2548, 48436.015784, 12.0041, 11.6127, 15.8237, 17.5707, 0.594488, 2.57255, 57.0113, 48436.042784, 12.0338, 11.5412, 15.8544, 17.6115, 0.554204, 2.601, 57.0409, 48436.449784000004, 11.9248, 11.4696, 15.8544, 17.8255, 0.664046, 2.70319, 57.0743, 48436.466784000004, 11.9545, 11.5616, 15.8748, 17.795, 0.667658, 2.66333, 57.186, 48437.464784, 12.0933, 11.5719, 15.6294, 17.6727, 0.66787, 2.53748, 56.9672, 48437.483784000004, 12.1329, 11.623, 15.6703, 17.6319, 0.636035, 2.50961, 57.0581, 48438.479784, 12.1329, 11.7354, 15.4759, 17.5911, 0.754216, 2.42346, 56.9354
48438.582, 48439.69857140998, 48439.71522408899, 48440.31514677499, 48440.33183016198, 48440.94844058398, 48440.965040582996, 48441.96499493, 48441.98184155799, 48442.698268988, 3.1156307682630193, 0.713477790123457, 2.5581725925925927, 1.5252957957905764, 0.6693657249999999, 2.90161425, 1.6740115254314774, 0.7236992857142859, 2.766594285714286, 2.7348811784920444, 0.6326264999999999, 2.5562475000000004, 2.05923310706671, 0.7021841176470586, 2.5754982352941185, 48438.493784, 12.1528, 11.8274, 15.4657, 17.6319, 0.806287, 2.39605, 57.0778, 48439.601784, 11.8356, 11.3061, 16.0181, 17.8255, 0.560668, 2.81703, 56.9852, 48439.627784000004, 11.9446, 11.2856, 16.0385, 17.8459, 0.502685, 2.79811, 57.1147, 48440.225784, 11.6671, 11.2652, 16.0078, 18.1211, 0.749815, 2.94334, 57.0612, 48440.249784, 11.7563, 11.2959, 16.0181, 17.9988, 0.666007, 2.88197, 57.069, 48440.871784, 11.9843, 11.5412, 15.7726, 17.795, 0.691563, 2.63835, 57.093, 48440.871784, 11.9843, 11.5412, 15.7726, 17.795, 0.691563, 2.63835, 57.093, 48441.888784, 12.3015, 11.7968, 15.568, 17.4281, 0.593477, 2.33767, 57.0943, 48441.888784, 12.3015, 11.7968, 15.568, 17.4281, 0.593477, 2.33767, 57.0943, 48442.600784, 11.9843, 11.531, 15.6907, 17.8255, 0.737098, 2.6304, 57.0315
48442.715, 48444.13154379299, 48444.14821371899, 48445.148114031996, 48445.164784116, 48445.78137175599, 48445.797982874006, 48446.997927171, 48447.01474057001, 48447.997842249984, 4.148475029236929, 0.7025311041666665, 2.759730104166666, 2.581258275374409, 0.6453264, 3.179031538461538, 1.7609793069328958, 0.6700054772727272, 3.3895461363636383, 3.3739276993703133, 0.655556325581395, 2.9098113953488376, 2.625894918144065, 0.6251029062500001, 3.069123437499999, 48442.617784, 11.9942, 11.6332, 15.7828, 17.8663, 0.751853, 2.62457, 57.2765, 48444.032784, 11.7662, 11.2447, 16.0897, 17.9988, 0.607583, 2.91007, 57.0994, 48444.051784, 11.7067, 11.2038, 16.1203, 18.06, 0.629154, 2.961, 57.0908, 48445.059784, 11.4192, 10.8767, 16.3045, 18.3861, 0.675213, 3.2625, 56.9865, 48445.067784, 11.4787, 10.9176, 16.3556, 18.3046, 0.60811, 3.22412, 57.0565, 48445.684784, 11.3994, 10.8461, 16.3351, 18.4676, 0.692013, 3.30175, 57.0482, 48445.721784, 11.449, 10.8767, 16.2942, 18.4065, 0.675124, 3.25507, 57.0264, 48446.909784, 11.9843, 11.3572, 15.8135, 17.8969, 0.638163, 2.72618, 57.0518, 48446.921784, 11.9942, 11.3367, 15.8135, 17.9173, 0.633684, 2.73384, 57.0617, 48447.907784, 11.5085, 11.0198, 16.1817, 18.488, 0.794473, 3.18405, 57.198
