a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
51359.417, 51360.433629966006, 51360.45040257402, 51361.250222974995, 51361.26699396201, 51361.783499116005, 51361.80014934401, 51362.799965772996, 51362.81695842302, 51363.733324744, 2.6075539746253167, 1.4253419999999997, 1.1528083076923075, 2.1472119567745027, 1.6527981355932206, 1.4343559322033899, 1.5571473934862037, 1.2173124324324327, 1.34742, 2.8742990807957876, 1.2480146478873242, 1.1804075633802813, 2.167364026553981, 1.3868009230769238, 1.2958130769230767, 51359.338284000005, 13.1748, 13.5367, 14.3345, 17.1325, 1.35783, 1.22613, 58.1784, 51360.336284000005, 13.0158, 13.649, 14.2124, 17.3567, 1.6217, 1.26327, 58.234, 51360.360284, 13.0257, 13.7103, 14.1718, 17.3669, 1.66443, 1.2362, 58.2747, 51361.151284, 12.976, 13.3528, 14.477, 17.3465, 1.3956, 1.41732, 58.1523, 51361.173284000004, 13.0357, 13.3936, 14.5787, 17.3465, 1.33915, 1.41273, 58.3545, 51361.690284000004, 13.3834, 13.4651, 14.3854, 16.9768, 1.14804, 1.1631, 58.2107, 51361.709284000004, 13.453, 13.506, 14.3651, 16.9884, 1.14744, 1.13042, 58.3124, 51362.706284, 13.2244, 13.3936, 14.4668, 17.2038, 1.24649, 1.30023, 58.2887, 51362.724284, 13.1151, 13.3119, 14.477, 17.214, 1.26202, 1.3586, 58.118, 51363.655284, 13.1151, 13.4651, 14.4464, 17.2956, 1.37132, 1.32755, 58.3223
51363.75, 51365.066634343006, 51365.08328862299, 51366.48306671699, 51366.499691414996, 51367.116528100014, 51367.133063435, 51368.13305127801, 51368.14961438, 51368.982802504994, 3.595180572762531, 1.4301265957446818, 1.2803143617021273, 4.171510735560513, 1.4525029999999999, 0.8353495699999998, 1.643329863774955, 1.5454058695652173, 0.8636779782608698, 2.581072737193191, 1.4405263013698628, 1.0652305205479446, 2.2172930439242737, 1.417395689655172, 1.3747882758620693, 51363.655284, 13.1151, 13.4651, 14.4464, 17.2956, 1.37132, 1.32755, 58.3223, 51364.971284, 13.2046, 13.741, 14.1005, 17.3363, 1.61531, 1.15394, 58.3824, 51364.999284000005, 13.284, 13.741, 13.9988, 17.265, 1.59684, 1.0908, 58.2888, 51366.405284, 13.6119, 14.0373, 13.7343, 16.7679, 1.48705, 0.73593, 58.1514, 51366.405284, 13.6119, 14.0373, 13.7343, 16.7679, 1.48705, 0.73593, 58.1514, 51367.024284, 13.3735, 13.8227, 13.8767, 17.1529, 1.59955, 0.987557, 58.2258, 51367.047284, 13.453, 13.976, 13.7241, 16.9652, 1.61915, 0.841489, 58.1182, 51368.034284, 13.1449, 13.4038, 14.3651, 17.3363, 1.38634, 1.32684, 58.2502, 51368.050284000004, 13.0555, 13.4141, 14.4464, 17.3159, 1.38586, 1.36338, 58.232, 51368.886284, 13.0456, 13.3834, 14.6397, 17.2752, 1.27403, 1.41041, 58.3439
51368.999, 51370.115732328, 51370.13231164001, 51371.13212847502, 51371.148788428014, 51371.565480557, 51371.58216806602, 51371.98213662, 51371.998837502026, 51372.898667466005, 3.2540918614571583, 1.2836258974358972, 1.0997101794871795, 3.17279463898917, 1.149357464788733, 1.3067314366197174, 1.137176373967761, 1.1788103448275862, 0.8957911724137932, 1.053946276062856, 1.4732014814814818, 0.8898455925925924, 2.628338991709618, 1.8297241935483874, 0.8805872903225805, 51368.900284, 13.0555, 13.3323, 14.599, 17.2956, 1.2754, 1.41726, 58.2825, 51370.021284, 13.5622, 13.7614, 14.0802, 16.8491, 1.27381, 0.928452, 58.253, 51370.042284, 13.5424, 13.649, 14.1514, 16.9536, 1.24744, 1.00699, 58.2964, 51371.039284000006, 13.5722, 13.6286, 14.2531, 16.8027, 1.11833, 0.992612, 58.2567, 51371.061284, 13.5126, 13.6899, 14.2124, 16.8491, 1.20745, 0.993526, 58.2641, 51371.486284000006, 13.5225, 13.8023, 14.0598, 16.8491, 1.31757, 0.923229, 58.2338, 51371.486284000006, 13.5225, 13.8023, 14.0598, 16.8491, 1.31757, 0.923229, 58.2338, 51371.883284, 13.5722, 14.0475, 13.7445, 16.942, 1.5748, 0.788972, 58.3061, 51371.907284, 13.453, 14.0475, 13.7038, 16.8375, 1.60587, 0.785871, 58.0417, 51372.806284000006, 13.0456, 13.8023, 14.0395, 17.3669, 1.75271, 1.17379, 58.2543
51372.916, 51374.23266635602, 51374.24933644, 51375.24932986, 51375.265997106995, 51375.68265894102, 51375.69920745501, 51376.69918593802, 51376.715961017006, 51377.715752727, 3.3115812937673725, 1.2772301086956515, 0.9885978478260864, 2.852700656987215, 1.3762720289855066, 1.21064, 0.9562624388843244, 1.3296876666666662, 1.161384233333333, 2.6453137927528867, 1.347365694444445, 1.220457486111111, 2.7038697958655047, 1.3811429166666664, 1.3207540277777778, 51372.825284000006, 13.1251, 13.8023, 14.009, 17.2854, 1.69765, 1.1251, 58.2217, 51374.143284000005, 13.3635, 13.6286, 14.1819, 17.0306, 1.3374, 1.08764, 58.2046, 51374.157284, 13.3139, 13.7103, 14.2837, 17.051, 1.35531, 1.10791, 58.3588, 51375.153284, 13.1549, 13.5673, 14.3549, 17.1936, 1.39486, 1.24239, 58.2707, 51375.183284000006, 13.1549, 13.5367, 14.3447, 17.1835, 1.38292, 1.24613, 58.2197, 51375.586284000005, 13.5424, 13.8125, 14.1616, 16.8956, 1.28574, 0.95073, 58.412, 51375.604284, 13.5026, 13.741, 14.1718, 16.8259, 1.24162, 0.966859, 58.2413, 51376.605284000005, 12.9363, 13.2506, 14.6194, 17.5096, 1.37377, 1.52842, 58.3159, 51376.625284, 12.8866, 13.2506, 14.5889, 17.4688, 1.39357, 1.52603, 58.1949, 51377.620284000004, 13.0853, 13.4958, 14.4973, 17.3058, 1.37833, 1.34161, 58.3842
51377.732, 51379.04858465299, 51379.065246786005, 51379.865161509995, 51379.88183421899, 51380.49844310498, 51380.515126928, 51381.51502150898, 51381.531705719, 51382.381583842, 3.7418537984045495, 1.2522871276595748, 1.2684122340425534, 2.09956065911143, 1.2691349090909088, 1.0507047636363638, 1.8691386897395252, 1.3159528260869566, 0.8120885869565219, 2.4392448110175917, 1.4795998611111116, 0.9083841388888891, 2.420763974979044, 1.505617936507937, 1.0514653015873014, 51377.651284, 13.135, 13.5673, 14.4464, 17.265, 1.3913, 1.28628, 58.4137, 51378.963284000005, 13.3238, 13.4958, 14.4261, 16.9652, 1.16434, 1.17805, 58.2109, 51378.986284000006, 13.3834, 13.5264, 14.3854, 16.9304, 1.15414, 1.13505, 58.2256, 51379.779284000004, 13.5523, 13.8329, 14.0802, 16.8491, 1.30738, 0.911631, 58.3146, 51379.788284, 13.5225, 13.7921, 14.1005, 16.8956, 1.31391, 0.947049, 58.3107, 51380.406284000004, 13.6219, 13.884, 13.9581, 16.7099, 1.29523, 0.815349, 58.1739, 51380.419284, 13.6517, 13.9351, 13.9174, 16.6751, 1.30678, 0.774951, 58.1793, 51381.418284, 13.3039, 13.8534, 13.9886, 17.1427, 1.58843, 1.02268, 58.2886, 51381.449284, 13.3536, 13.8636, 14.0395, 17.1325, 1.54266, 1.01598, 58.3892, 51382.295284, 13.4629, 13.7921, 14.1412, 16.8143, 1.28941, 0.953593, 58.2105
51382.399, 51383.81553810101, 51383.832214669, 51385.432049519, 51385.448724118025, 51386.06531293602, 51386.08198495002, 51387.081882928025, 51387.09860781501, 51387.865137081004, 3.6664524330969543, 1.4530370588235297, 0.7036445490196082, 4.510120907553497, 1.5774882456140342, 0.6355942719298248, 1.790772814448148, 1.7821, 0.5304644318181818, 2.6979626897294784, 1.6669086956521741, 1.0356381739130438, 2.113582158045041, 1.732642075471698, 1.2618239622641507, 51382.313284, 13.5523, 13.8023, 14.0904, 16.7795, 1.26198, 0.905623, 58.2245, 51383.732284000005, 13.6914, 14.1599, 13.6122, 16.7331, 1.54191, 0.642834, 58.1966, 51383.732284000005, 13.6914, 14.1599, 13.6122, 16.7331, 1.54191, 0.642834, 58.1966, 51385.347284, 13.7908, 14.3744, 13.4087, 16.6287, 1.63376, 0.482515, 58.2026, 51385.363284, 13.7808, 14.405, 13.4494, 16.6635, 1.64595, 0.495817, 58.2988, 51385.969284000006, 13.5921, 14.262, 13.4291, 16.9304, 1.79136, 0.645568, 58.2135, 51385.996284, 13.5821, 14.2212, 13.4596, 16.9188, 1.76095, 0.663895, 58.1816, 51386.985284, 13.0357, 13.6899, 14.1718, 17.3669, 1.6517, 1.23913, 58.2642, 51387.006284, 13.0456, 13.6184, 14.1514, 17.3669, 1.62777, 1.2515, 58.1823, 51387.770284000006, 12.9959, 13.741, 14.0191, 17.4382, 1.78891, 1.21674, 58.1943
51387.881, 51388.99756380902, 51389.014260136006, 51389.814156721004, 51389.83082522301, 51390.24743732802, 51390.26409921001, 51391.280688847015, 51391.297487892014, 51392.34720353902, 3.0753249889708973, 1.6973039506172838, 1.2369559259259257, 2.295888016263455, 1.4736588679245282, 1.0147052452830185, 1.1425655405513173, 1.6182360000000005, 1.1362294666666664, 2.388438585851595, 1.8285031506849307, 1.1285686164383555, 2.600790652593, 1.7928680519480518, 1.1100731038961043, 51387.784284, 13.0357, 13.7716, 13.9988, 17.3363, 1.75152, 1.16813, 58.1424, 51388.907284, 13.3139, 13.7716, 14.1718, 17.0713, 1.43899, 1.06919, 58.3286, 51388.914284000006, 13.3039, 13.7308, 14.2124, 17.0612, 1.40441, 1.09048, 58.3083, 51389.719284000006, 13.1847, 13.741, 14.1107, 17.1835, 1.55833, 1.12552, 58.2198, 51389.735284, 13.1748, 13.7716, 14.1209, 17.2548, 1.59922, 1.13918, 58.3221, 51390.151284, 13.3238, 13.9657, 13.9072, 17.1019, 1.64525, 0.957044, 58.2987, 51390.168284, 13.294, 13.976, 13.8564, 17.1325, 1.6985, 0.957518, 58.2588, 51391.183284000006, 12.986, 13.8329, 14.009, 17.4382, 1.83479, 1.19151, 58.2661, 51391.215284000005, 12.976, 13.8329, 13.9886, 17.4179, 1.84063, 1.18461, 58.2155, 51392.261284, 13.3139, 13.9147, 13.7953, 17.0612, 1.66421, 0.936894, 58.085
51392.365, 51393.88150320302, 51393.898215414, 51395.298051456, 51395.314717334004, 51395.731338952006, 51395.74800710701, 51396.74795504299, 51396.76470271999, 51397.814483764996, 3.816364700177371, 1.8270917171717176, 0.9516971515151512, 4.0124896321328265, 1.7080544897959182, 1.1818708979591837, 1.0035943558041212, 1.8888662857142857, 0.9358553714285711, 2.891680313127179, 1.9921964705882351, 1.0751726470588236, 2.5770939140267357, 2.0721983333333336, 1.2607558749999992, 51392.286284, 13.294, 13.9657, 13.8462, 17.1529, 1.70723, 0.962777, 58.2588, 51393.794284, 13.1052, 13.976, 13.836, 17.2956, 1.85969, 1.04369, 58.2128, 51393.812284, 13.2344, 13.9453, 13.8971, 17.3261, 1.77218, 1.03853, 58.4029, 51395.204284, 13.3834, 14.1599, 13.6732, 17.051, 1.78237, 0.818884, 58.2675, 51395.221284, 13.3437, 14.2109, 13.6427, 16.9884, 1.81013, 0.793113, 58.1857, 51395.644284, 12.9661, 13.9964, 13.8055, 17.479, 2.0189, 1.11303, 58.247, 51395.670284, 12.976, 13.9862, 13.8462, 17.5606, 2.02354, 1.14218, 58.369, 51396.650284, 13.2542, 14.0577, 13.8157, 17.1733, 1.78429, 0.946044, 58.3009, 51396.674284, 13.2145, 14.0066, 13.7648, 17.1835, 1.8097, 0.961114, 58.1694, 51397.721284, 12.6482, 13.8636, 13.9581, 17.958, 2.23153, 1.38745, 58.4279
51397.831, 51399.247608881, 51399.264278735, 51399.66424497199, 51399.68090780099, 51400.29751506601, 51400.314183684, 51401.31408870499, 51401.33078076899, 51402.197343912, 3.6560207589405596, 1.9065031372549017, 1.2379546078431376, 1.0890729040559608, 1.6066409375000001, 1.346846875, 1.711004485093242, 1.6941412, 1.4039763999999997, 2.2928914558719593, 1.814265671641791, 0.9752580149253733, 2.330408281704038, 1.8740120312500002, 1.2296813281249994, 51397.737284, 12.7078, 13.9249, 13.9378, 17.8357, 2.18944, 1.32028, 58.4061, 51399.165284, 12.9959, 13.6593, 14.2938, 17.4484, 1.63447, 1.30668, 58.3974, 51399.165284, 12.9959, 13.6593, 14.2938, 17.4484, 1.63447, 1.30668, 58.3974, 51399.567284000004, 12.9959, 13.6286, 14.2226, 17.3669, 1.62202, 1.27933, 58.214, 51399.581284, 12.9959, 13.6286, 14.2226, 17.3669, 1.62202, 1.27933, 58.214, 51400.206284, 12.8171, 13.6695, 14.1311, 17.6523, 1.87645, 1.36352, 58.2699, 51400.225284, 12.8469, 13.6695, 14.1107, 17.7032, 1.8923, 1.36231, 58.3303, 51401.220284, 13.4828, 14.1701, 13.6529, 17.0204, 1.73799, 0.776784, 58.3261, 51401.236284000006, 13.4231, 14.1803, 13.7139, 17.0815, 1.76576, 0.81989, 58.3989, 51402.116284, 13.0257, 13.8125, 14.0191, 17.4179, 1.79558, 1.18373, 58.2752
51402.214, 51403.430573931015, 51403.44720513102, 51404.447129083004, 51404.463777227, 51405.08038985702, 51405.09704537101, 51406.296946615, 51406.313788711, 51407.44683224102, 2.915080605568954, 1.7478253658536584, 1.1254800853658535, 2.4071058526042965, 1.8280027027027015, 0.8560915405405408, 1.6081996144649435, 1.997117872340426, 0.835935659574468, 2.774335507616435, 2.07611347826087, 0.8279977173913045, 3.207384738658389, 1.8044445121951211, 0.9841957560975612, 51402.116284, 13.0257, 13.8125, 14.0191, 17.4179, 1.79558, 1.18373, 58.2752, 51403.338284000005, 13.2344, 14.0781, 13.7343, 17.1631, 1.83497, 0.923778, 58.2099, 51403.352284, 13.294, 14.0986, 13.6529, 17.1733, 1.85719, 0.884671, 58.2187, 51404.350284, 13.2145, 14.0781, 13.7038, 17.2446, 1.89062, 0.941541, 58.241, 51404.383284, 13.2344, 14.0679, 13.7038, 17.2446, 1.87739, 0.9389, 58.2506, 51404.994284, 13.0953, 14.1803, 13.5919, 17.4586, 2.12246, 0.97082, 58.326, 51405.017284, 13.1549, 14.1394, 13.6122, 17.4892, 2.08129, 0.977926, 58.3957, 51406.202284, 13.4132, 14.4561, 13.48, 17.051, 1.97513, 0.683622, 58.4002, 51406.219284000006, 13.3834, 14.3846, 13.4291, 17.0102, 1.9681, 0.688384, 58.2073, 51407.347284, 13.3039, 14.0168, 13.7139, 17.2038, 1.80413, 0.926458, 58.2385
