a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
56752.661, 56753.877564918024, 56753.89421233102, 56754.894131870016, 56754.910773520016, 56755.52739373301, 56755.54404625702, 56756.760602147006, 56756.77745296501, 56757.710508822005, 3.65460516430233, 0.21830454430379742, 1.2801037215189872, 2.802714861659691, 0.0792368996923077, 1.0552453384615386, 1.4108092142371949, -0.25659014893617016, 1.1359385106382978, 3.5989313123971547, -0.5717267530864198, 1.2348936049382715, 2.620983982554569, -0.41980352380952385, 1.4419352380952386, 56752.572784, 12.8566, 13.5714, 15.252, 15.1757, 0.280792, 1.05521, 56.8556, 56753.784784, 13.0052, 13.6224, 15.2213, 14.9897, 0.169629, 0.945659, 56.8387, 56753.803784, 12.9656, 13.6633, 15.2213, 15.0595, 0.235394, 0.96255, 56.9096, 56754.794784000005, 13.0152, 13.2857, 15.528, 15.0827, -0.0767425, 1.13592, 56.9115, 56754.829784, 13.0548, 13.2551, 15.528, 15.0246, -0.133243, 1.11919, 56.8625, 56755.434784000005, 13.2332, 13.102, 15.6302, 14.8852, -0.385313, 1.10291, 56.8506, 56755.454784, 13.2134, 13.1327, 15.6506, 14.8735, -0.377105, 1.10201, 56.8702, 56756.664784, 12.8566, 12.6429, 16.1311, 15.2919, -0.46244, 1.56095, 56.9224, 56756.678784, 12.8665, 12.5918, 16.1106, 15.3616, -0.449538, 1.58454, 56.9305, 56757.619784, 13.2233, 12.9592, 15.6813, 14.9433, -0.441043, 1.17293, 56.8071
56757.726, 56758.942589163, 56758.95922383402, 56759.959143711, 56759.975803079, 56760.49242482801, 56760.50907647401, 56761.52565319601, 56761.542524119, 56762.525570934005, 2.8982551968182797, -0.49982361538461517, 1.2344802564102564, 3.309038866233388, -0.7871755384615386, 1.0152108615384616, 1.72236154603883, -0.8131068947368421, 1.1058094736842108, 3.212886584372434, -0.6531544285714284, 1.1533661571428573, 2.6890074907013863, -0.6408467941176471, 1.0124825735294116, 56757.638784, 13.1638, 12.9592, 15.6915, 14.8968, -0.440563, 1.18105, 56.7113, 56758.853784, 13.372, 12.9694, 15.7631, 14.8619, -0.572167, 1.12793, 56.9664, 56758.871784, 13.3324, 13, 15.7529, 14.8038, -0.56311, 1.11383, 56.889, 56759.883784000005, 13.5306, 12.8673, 15.8857, 14.6179, -0.848439, 1.08232, 56.9016, 56759.883784000005, 13.5306, 12.8673, 15.8857, 14.6179, -0.848439, 1.08232, 56.9016, 56760.416784, 13.3621, 12.7449, 15.8551, 14.8387, -0.719002, 1.21128, 56.8008, 56760.416784, 13.3621, 12.7449, 15.8551, 14.8387, -0.719002, 1.21128, 56.8008, 56761.431784, 13.5009, 13.051, 15.5995, 14.6644, -0.60942, 0.980013, 56.8158, 56761.455784000005, 13.5108, 13.051, 15.62, 14.676, -0.617209, 0.985132, 56.8578, 56762.425784, 13.6793, 13.2551, 15.4871, 14.4087, -0.660968, 0.781649, 56.8302
56762.541, 56763.657543265, 56763.674227915006, 56764.69080934301, 56764.707459728, 56765.224073305, 56765.240730106016, 56766.457292231, 56766.474015176005, 56767.257203404006, 3.3382955385150845, -0.8334590945945944, 0.6832254459459459, 2.4088446026185064, -1.3151383582089553, 0.4810934626865671, 1.5309607045882299, -1.1469460833333334, 0.5905276944444446, 3.406224679513663, -0.7553360481927712, 0.5560880843373494, 2.2298195421732263, -0.8128194642857144, 0.6814464464285716, 56762.445784, 13.6595, 13.2653, 15.4666, 14.4204, -0.633857, 0.782112, 56.8118, 56763.562784, 14.1353, 13.2041, 15.4666, 14.0485, -1.03303, 0.574043, 56.8545, 56763.597784000005, 14.2245, 13.1633, 15.4973, 14.0021, -1.12348, 0.556784, 56.8871, 56764.609784, 14.3137, 13.0306, 15.5995, 13.8975, -1.31293, 0.568076, 56.8413, 56764.609784, 14.3137, 13.0306, 15.5995, 13.8975, -1.31293, 0.568076, 56.8413, 56765.139784, 14.0956, 13.2143, 15.3951, 14.1066, -0.954816, 0.578697, 56.8116, 56765.148784000005, 14.0659, 13.2347, 15.3542, 14.1299, -0.904958, 0.576777, 56.7846, 56766.357784, 13.8974, 13.2449, 15.3031, 14.432, -0.669666, 0.683783, 56.8773, 56766.376784, 13.9271, 13.1837, 15.3542, 14.3274, -0.779244, 0.679001, 56.7924, 56767.167784000005, 14.1353, 13.2551, 15.3644, 14.0834, -0.950585, 0.542967, 56.8382
56767.273, 56768.58958830299, 56768.60624501498, 56769.62278405098, 56769.63937633, 56770.05610067498, 56770.07273246498, 56770.689371409, 56770.70620417198, 56771.622618625974, 3.484374032782065, -1.0523564042553186, 0.49107142553191496, 2.8025856403261002, -1.1193832857142854, 0.30655348571428576, 1.5239317695958952, -1.3028199999999999, 0.041436579999999994, 1.9689425100782478, -1.4458537209302331, 0.13883594651162792, 2.7341198331586436, -1.1679996825396823, 0.10381076571428569, 56767.181784, 14.1948, 13.2347, 15.4257, 14.1531, -0.979106, 0.565549, 57.0083, 56768.496784, 14.3831, 13.3673, 15.252, 13.8278, -1.07335, 0.350853, 56.8301, 56768.521784000004, 14.3732, 13.2857, 15.2724, 13.8394, -1.10995, 0.383881, 56.7707, 56769.527784000005, 14.4227, 13.4184, 15.0475, 13.6767, -1.04975, 0.234178, 56.5653, 56769.561784000005, 14.4029, 13.3878, 15.0168, 13.6302, -1.06391, 0.227609, 56.4377, 56769.957784, 14.8688, 13.3061, 15.1293, 13.4559, -1.42532, 0.108422, 56.7601, 56769.985784000004, 14.8292, 13.2143, 15.1906, 13.4443, -1.48258, 0.156534, 56.6784, 56770.600784, 15.0274, 13.6939, 14.7919, 13.1538, -1.31103, -0.205291, 56.667, 56770.625784, 15.0373, 13.7245, 14.8226, 13.1422, -1.31916, -0.210755, 56.7266, 56771.530784, 14.6904, 13.4796, 15.0066, 13.5373, -1.18144, 0.0988913, 56.7138
56771.639, 56772.95554089102, 56772.97221980003, 56773.988788013005, 56774.00545024002, 56774.622082678026, 56774.63870244602, 56775.03867158501, 56775.055532467006, 56776.28856327502, 4.0496120165772105, -1.2456851136363638, 0.024381090897727265, 2.402585545924282, -1.4139784848484849, 0.3523827727272728, 1.9590245004364617, -1.3446039024390244, 0.20982095121951216, 0.9452099126998161, -1.1252388, 0.04274701959999999, 2.909665250232371, -0.9402450574712645, 0.2517427666666668, 56771.552784, 14.6309, 13.5306, 14.9248, 13.4675, -1.1306, 0.0612295, 56.5539, 56772.866784000005, 14.4822, 13.1327, 15.4257, 13.5837, -1.4091, 0.369435, 56.6243, 56772.885784, 14.4525, 13.1224, 15.4871, 13.6883, -1.37831, 0.423025, 56.7503, 56773.894784000004, 14.5615, 13.2551, 15.4155, 13.6418, -1.35391, 0.327231, 56.874, 56773.922784, 14.5318, 13.2755, 15.344, 13.6535, -1.29689, 0.314267, 56.8047, 56774.529784, 14.6606, 13.4694, 15.0782, 13.5256, -1.20906, 0.125263, 56.7338, 56774.563784, 14.7201, 13.5714, 15.0577, 13.4443, -1.21586, 0.0555879, 56.7936, 56774.938784, 14.5813, 13.602, 14.9759, 13.514, -1.07689, 0.081144, 56.6733, 56774.966784000004, 14.6111, 13.6327, 15.0373, 13.6186, -1.05322, 0.108651, 56.8996, 56776.192784, 13.9965, 13.3061, 15.3746, 14.1996, -0.819933, 0.599082, 56.8768
56776.306, 56777.82258109101, 56777.83924809001, 56779.455763213, 56779.472410267, 56780.08900391501, 56780.10566154901, 56781.12228584201, 56781.13899482899, 56782.02215430299, 4.150191619910237, -0.826354386792453, 0.30023568207547174, 4.757189422300922, -1.3888194736842108, 0.4822178421052632, 1.6371023900901387, -1.0897771860465113, 0.003912204418604649, 2.5948844292178963, -1.0133302985074628, 0.1498568089552238, 2.445807866843867, -1.196972, 0.32215455, 56776.212784, 13.9073, 13.2857, 15.3542, 14.1763, -0.793059, 0.618137, 56.7235, 56777.726784, 14.502, 13.2959, 15.2008, 13.6418, -1.22047, 0.27667, 56.6406, 56777.759784, 14.5318, 13.2551, 15.2417, 13.6186, -1.27977, 0.284246, 56.6472, 56779.365784, 14.5813, 13.5714, 15.0271, 13.5954, -1.07513, 0.124079, 56.7752, 56779.384784, 14.7201, 13.551, 14.9759, 13.5954, -1.12139, 0.0792092, 56.8424, 56780.000784, 14.5219, 13.6531, 14.7306, 13.5605, -0.902718, 0.0308615, 56.466, 56780.007784, 14.6012, 13.6531, 14.8022, 13.5954, -0.95095, 0.0379407, 56.6517, 56781.042784000005, 14.4624, 13.3469, 15.16, 13.6767, -1.14691, 0.272035, 56.646, 56781.042784000005, 14.4624, 13.3469, 15.16, 13.6767, -1.14691, 0.272035, 56.646, 56781.934784000005, 14.6012, 13.2449, 14.9453, 13.6186, -1.18904, 0.190873, 56.4099
56782.039, 56783.555519811, 56783.57221859901, 56784.788753573994, 56784.80538574601, 56785.22200846699, 56785.238686768986, 56786.25526518, 56786.27194386401, 56787.121848179006, 3.8878784329253975, -1.1929317757009346, -0.15783905738317747, 3.3139686258247765, -1.2458532926829262, 0.18609068414634145, 1.2623855997235294, -1.4748382142857146, 0.2006200714285715, 3.0890001156469404, -1.2891273913043475, -0.08789739420289856, 2.489809939467192, -1.0349898421052635, -0.058948849473684214, 56781.949784000004, 14.5714, 13.2959, 15.0066, 13.6999, -1.14107, 0.222505, 56.5739, 56783.471784, 14.7796, 13.5918, 14.8839, 13.5256, -1.121, 0.010078, 56.781, 56783.480784, 14.7796, 13.5918, 14.8839, 13.5256, -1.121, 0.010078, 56.781, 56784.693784, 14.8787, 13.2143, 15.2417, 13.4908, -1.50258, 0.168808, 56.8255, 56784.720784000005, 14.8985, 13.1531, 15.1395, 13.5373, -1.47534, 0.165303, 56.7284, 56785.125784, 14.73, 13.1531, 15.2111, 13.6883, -1.36473, 0.268468, 56.7825, 56785.145784, 14.6706, 13.1735, 15.3337, 13.7464, -1.35461, 0.325729, 56.9242, 56786.174784, 14.9679, 13.7041, 14.6386, 13.363, -1.12023, -0.177451, 56.6736, 56786.174784, 14.9679, 13.7041, 14.6386, 13.363, -1.12023, -0.177451, 56.6736, 56787.029784, 14.6904, 13.6837, 14.8022, 13.6418, -0.9535, 0.0184643, 56.8181
56787.138, 56788.45454971602, 56788.47124494702, 56789.47112303902, 56789.48779976501, 56789.90441458401, 56789.92109083701, 56791.320948852015, 56791.33778427101, 56792.037534639, 3.0452346198282942, -0.9439478295454546, 0.12110876545454542, 2.7920737370964646, -1.0036713529411763, 0.2761406176470588, 1.4959152595133371, -1.1178567741935481, 0.3705277741935484, 3.5371563059069913, -1.4433056989247313, 0.45698498924731173, 2.1269669474171953, -1.4659010416666665, 0.47488818749999995, 56787.048784, 14.7003, 13.7245, 14.7613, 13.6302, -0.927052, -0.00879049, 56.8163, 56788.359784, 14.4624, 13.5612, 14.9964, 13.8394, -0.904946, 0.214251, 56.8594, 56788.378784, 14.4822, 13.5714, 15.0271, 13.758, -0.958772, 0.193031, 56.8387, 56789.380784, 14.4029, 13.2653, 15.2417, 13.8859, -1.09757, 0.385424, 56.7958, 56789.400784000005, 14.4128, 13.2653, 15.2724, 13.9091, -1.10396, 0.396597, 56.8596, 56789.826784000004, 14.5516, 13.2959, 15.4155, 13.851, -1.23446, 0.372671, 57.114, 56789.826784000004, 14.5516, 13.2959, 15.4155, 13.851, -1.23446, 0.372671, 57.114, 56791.222784000005, 14.4327, 12.8163, 15.6404, 13.851, -1.50058, 0.592811, 56.7404, 56791.257784, 14.4327, 12.8163, 15.6609, 13.9207, -1.47653, 0.615669, 56.8305, 56791.949784000004, 14.5219, 13.0306, 15.4257, 13.8045, -1.37035, 0.443208, 56.7827
56792.054, 56793.27058788001, 56793.287269896005, 56794.08715821802, 56794.10385561102, 56794.62046943502, 56794.637151856, 56795.653695665, 56795.670375723006, 56796.43694751502, 3.643776273987951, -1.3912316867469878, 0.03709345891566269, 2.5148063201784776, -1.511154716981132, -0.0662950975471698, 1.5776480993751263, -1.5707528571428573, -0.17946338771428572, 2.881795875189478, -1.4438021739130433, -0.39037876811594197, 2.239152949000919, -1.3743822, -0.42739883999999995, 56791.967784, 14.5516, 12.9694, 15.4155, 13.8278, -1.39612, 0.455112, 56.7643, 56793.170784, 15.2157, 13.6939, 14.6999, 13.1189, -1.36742, -0.288412, 56.7285, 56793.189784, 15.1563, 13.7143, 14.7715, 13.0957, -1.37377, -0.265263, 56.7377, 56793.988784, 15.0472, 13.2755, 15.0884, 13.3165, -1.56169, 0.0217152, 56.7276, 56794.022784, 14.9977, 13.2755, 15.1804, 13.3397, -1.56834, 0.0652188, 56.7933, 56794.536784, 15.3644, 13.6327, 14.6079, 12.8749, -1.53364, -0.402151, 56.4799, 56794.555784000004, 15.4041, 13.6939, 14.659, 12.8401, -1.55891, -0.423747, 56.5971, 56795.557784000004, 15.2157, 13.8367, 14.6182, 12.9911, -1.32632, -0.382057, 56.6618, 56795.576784000004, 15.295, 13.8878, 14.5977, 13.0608, -1.29491, -0.402238, 56.8414, 56796.353784, 15.4437, 13.8265, 14.3013, 12.6658, -1.44597, -0.614338, 56.2373
56796.455, 56797.87152580301, 56797.88814500799, 56799.28806696001, 56799.304724233996, 56799.92132630201, 56799.938002960014, 56800.937941027005, 56800.954729709, 56801.721156675994, 4.364141491537421, -1.4424908695652174, -0.3641670652173912, 4.290495161558832, -1.2778916666666664, -0.6047506814705882, 1.5909384220630536, -1.7282010256410256, -0.2946106461538462, 3.6149765823259585, -1.5421267187500005, -0.2640432159374999, 2.258641069218, -1.3495560784313725, -0.5688228235294117, 56796.363784, 15.5528, 13.8163, 14.4035, 12.6425, -1.54986, -0.61768, 56.4151, 56797.782784, 15.3149, 13.8878, 14.4546, 13.0608, -1.24338, -0.446205, 56.7181, 56797.801784, 15.3149, 13.9082, 14.3933, 12.9911, -1.2405, -0.487211, 56.6074, 56799.191784, 15.2851, 13.1122, 15.0168, 13.2816, -1.72328, -0.026173, 56.6958, 56799.210784, 15.305, 13.2347, 14.9964, 13.27, -1.67089, -0.0721577, 56.806, 56799.831784, 15.414, 13.3469, 14.9351, 12.9911, -1.76892, -0.220888, 56.6871, 56799.849784, 15.4437, 13.3469, 14.9453, 12.8749, -1.84026, -0.257143, 56.6109, 56800.851784, 15.414, 13.8469, 14.475, 12.8982, -1.38783, -0.499982, 56.6341, 56800.869784, 15.4041, 13.898, 14.475, 12.8517, -1.38158, -0.523228, 56.6288, 56801.629784000004, 15.3248, 13.9388, 14.5262, 12.9795, -1.29149, -0.464488, 56.7692
