a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
60521.99, 60523.306420471, 60523.35652165302, 60524.38971892, 60524.439724006, 60524.85625201598, 60524.889683517984, 60525.48963398202, 60525.52376008203, 60527.056149636985, 2.9496088670607086, 0.9665849633027521, 1.9334888073394494, 2.6262860250595796, 1.048268707317073, 2.021279146341462, 0.8415480149469078, 0.998271090909091, 2.0003684848484844, 1.4599758066426463, 1.0213235833333332, 1.9234304166666663, 3.664457394729417, 1.046404858333333, 1.9933939166666665, 60521.899291, 13.9064, 12.8311, 15.9413, 19.1403, 0.858849, 2.02464, 61.8191, 60523.247291, 13.7572, 12.9529, 15.7377, 19.3339, 1.12975, 2.03012, 61.7817, 60523.260291, 13.8367, 12.9326, 15.6257, 19.232, 1.09615, 1.96872, 61.6271, 60524.301290999996, 13.9362, 12.8616, 15.7886, 19.1607, 0.930166, 1.98021, 61.7471, 60524.347291, 13.8666, 12.9224, 15.809, 19.1607, 0.974575, 1.98692, 61.7587, 60524.769291, 13.7174, 12.7906, 15.9108, 19.3951, 1.03436, 2.13494, 61.8138, 60524.790291, 13.7373, 12.8007, 15.9617, 19.3237, 0.980821, 2.12236, 61.8234, 60525.425291, 13.797, 12.9529, 15.6461, 19.1912, 1.09643, 1.96978, 61.5872, 60525.425291, 13.797, 12.9529, 15.6461, 19.1912, 1.09643, 1.96978, 61.5872, 60526.957291, 13.5483, 12.5877, 15.9617, 19.5887, 1.08066, 2.28926, 61.6864
60527.116, 60528.53251781398, 60528.56584442502, 60529.365810801995, 60529.46575527902, 60529.98244310202, 60529.999043357, 60530.99894463599, 60531.036130966, 60531.69888620698, 3.7803758045973437, 1.097365943396227, 2.1970471698113214, 1.6397881848457179, 1.1702995384615387, 2.224523076923077, 1.296821771083589, 1.1387305405405406, 2.2477283783783784, 2.3121398271590534, 1.2071591250000002, 2.0571783750000012, 1.5032865980262917, 1.1586945098039212, 2.248947843137255, 60527.024291, 13.5582, 12.6283, 15.921, 19.5378, 1.08965, 2.25619, 61.6452, 60528.444291, 13.4786, 12.5979, 15.9719, 19.711, 1.15706, 2.33318, 61.7594, 60528.480291, 13.4587, 12.6891, 15.9006, 19.6193, 1.19556, 2.27964, 61.6678, 60529.268291, 13.6776, 12.7297, 15.9006, 19.5276, 1.08316, 2.18828, 61.8355, 60529.375291, 13.6179, 12.75, 15.9006, 19.5276, 1.1162, 2.19923, 61.7961, 60529.888290999996, 13.7373, 12.8616, 15.7377, 19.4562, 1.15014, 2.08643, 61.7928, 60529.910291, 13.7373, 12.8616, 15.7377, 19.4562, 1.15014, 2.08643, 61.7928, 60530.904291, 13.598, 12.8514, 15.7886, 19.5378, 1.21511, 2.15544, 61.7758, 60530.954291, 13.6875, 12.8616, 15.809, 19.5683, 1.18423, 2.1384, 61.9264, 60531.613291, 13.4587, 12.5877, 15.9413, 19.7314, 1.1824, 2.33953, 61.7192
60531.726, 60533.242526917, 60533.259184310016, 60534.25912277899, 60534.27575536099, 60534.89235537101, 60534.90902866002, 60536.30890198399, 60536.32552733602, 60536.67551983402, 3.6470117344014317, 1.2424618518518515, 2.3314228703703717, 2.368462515857988, 1.2052898749999996, 2.5032882499999998, 1.4089510069830333, 1.2433467346938778, 2.4715002040816327, 3.15838478319831, 1.3130460576923075, 2.496714134615386, 0.8631975265153573, 1.3371350000000004, 2.4713100000000003, 60531.637291, 13.4488, 12.5674, 16.0228, 19.762, 1.15607, 2.37096, 61.801, 60533.148291, 13.3692, 12.4153, 16.0431, 19.9047, 1.17751, 2.46953, 61.7323, 60533.169291, 13.2996, 12.466, 16.0024, 19.9251, 1.25179, 2.47075, 61.693, 60534.175291, 13.3991, 12.4254, 16.0228, 19.8843, 1.16954, 2.44994, 61.7315, 60534.179291, 13.3195, 12.4558, 16.0737, 19.8028, 1.16196, 2.45762, 61.6517, 60534.798291, 13.1603, 12.4051, 16.1042, 20.0474, 1.29137, 2.57289, 61.717, 60534.821291, 13.22, 12.3443, 16.1653, 20.19, 1.27142, 2.61412, 61.9196, 60536.215291, 13.2399, 12.3848, 15.982, 20.0881, 1.31738, 2.53961, 61.6949, 60536.231291, 13.3095, 12.4051, 15.982, 20.0983, 1.29941, 2.51614, 61.795, 60536.586291, 13.1802, 12.4153, 15.8904, 20.1085, 1.40157, 2.53353, 61.5944
60536.68, 60537.696589571024, 60537.713257224015, 60539.11314532103, 60539.12978809805, 60539.746374670016, 60539.76308091201, 60540.76295927802, 60540.77976034501, 60541.679538439035, 2.060761179390736, 1.4033917142857142, 2.4874148571428587, 2.937164324908427, 1.4828188461538463, 2.7257664423076937, 1.4380856383206102, 1.5016204545454548, 2.7378322727272733, 2.0802951782202594, 1.4244301351351356, 2.8635093243243235, 2.062147130952042, 1.4562202702702702, 2.761945135135136, 60536.586291, 13.1802, 12.4153, 15.8904, 20.1085, 1.40157, 2.53353, 61.5944, 60537.602291, 13.22, 12.4863, 15.8497, 20.2818, 1.49518, 2.52884, 61.8378, 60537.624291, 13.1802, 12.4153, 15.809, 20.1697, 1.45992, 2.52943, 61.5741, 60539.041291, 13.1106, 12.3037, 15.9617, 20.3837, 1.46338, 2.65491, 61.7597, 60539.041291, 13.1106, 12.3037, 15.9617, 20.3837, 1.46338, 2.65491, 61.7597, 60539.667291, 12.852, 12.1617, 16.1042, 20.5671, 1.52901, 2.83481, 61.685, 60539.667291, 12.852, 12.1617, 16.1042, 20.5671, 1.52901, 2.83481, 61.685, 60540.663291, 12.7923, 12.0197, 16.3078, 20.6996, 1.46365, 2.95913, 61.8194, 60540.685291, 12.7923, 12.0197, 16.3587, 20.6589, 1.42634, 2.96111, 61.8295, 60541.605291, 12.9315, 12.111, 16.1754, 20.5671, 1.44498, 2.84051, 61.7851
60541.696, 60543.112532126026, 60543.12920442102, 60543.92916422204, 60543.945802698036, 60544.56242022501, 60544.57907649404, 60545.578978804995, 60545.59577397799, 60546.31221640204, 3.428746504108093, 1.522644095238095, 2.8884219047619055, 2.2371932567607806, 1.5435182089552237, 2.764406716417911, 1.2541453603900194, 1.5320135294117652, 2.8966111764705884, 2.201748895215523, 1.5099016438356163, 2.930579452054795, 1.5128246555225073, 1.587724915254237, 2.99348372881356, 60541.605291, 12.9315, 12.111, 16.1754, 20.5671, 1.44498, 2.84051, 61.7851, 60543.030291, 12.8022, 12.111, 16.0838, 20.6996, 1.59027, 2.88596, 61.6967, 60543.030291, 12.8022, 12.111, 16.0838, 20.6996, 1.59027, 2.88596, 61.6967, 60543.839291, 12.7724, 12.0704, 16.1958, 20.7098, 1.54338, 2.93032, 61.7484, 60543.852291, 12.7724, 12.0907, 16.1347, 20.7404, 1.58896, 2.91847, 61.7382, 60544.467291, 12.852, 12.0603, 16.1856, 20.7098, 1.50973, 2.90819, 61.8077, 60544.499291, 12.7923, 12.0197, 16.3078, 20.6894, 1.45976, 2.95715, 61.8092, 60545.481291, 12.7624, 12.0907, 16.2162, 20.6996, 1.54274, 2.92931, 61.7689, 60545.509291, 12.7624, 12.1516, 16.1144, 20.6996, 1.60964, 2.89173, 61.728, 60546.234291, 12.6729, 12.1414, 16.2263, 20.8016, 1.63469, 2.96244, 61.8422
60546.329, 60547.34565138802, 60547.36236339502, 60548.362225800025, 60548.378882512014, 60548.79552267902, 60548.81220922104, 60549.812088304985, 60549.82887762002, 60550.44535568202, 2.1314075860870734, 1.5861551898734183, 3.097922531645568, 2.4749007345740868, 1.6453273749999995, 3.4150153750000003, 0.842264688850033, 1.6880315625, 3.400135624999999, 2.37117944839844, 1.614345131578947, 3.3666615789473684, 1.360683244167226, 1.7107021739130432, 3.3309447826086953, 60546.234291, 12.6729, 12.1414, 16.2263, 20.8016, 1.63469, 2.96244, 61.8422, 60547.262291, 12.2551, 11.6647, 16.6132, 21.3112, 1.66044, 3.39673, 61.8441, 60547.265290999996, 12.3148, 11.6038, 16.5928, 21.3315, 1.62821, 3.39709, 61.843, 60548.283291, 12.3645, 11.6444, 16.4096, 21.3621, 1.71266, 3.34152, 61.7806, 60548.283291, 12.3645, 11.6444, 16.4096, 21.3621, 1.71266, 3.34152, 61.7806, 60548.697291, 12.2352, 11.5227, 16.5317, 21.4538, 1.70445, 3.45648, 61.7435, 60548.720291, 12.2651, 11.5024, 16.4707, 21.4131, 1.69491, 3.43455, 61.6512, 60549.714291, 12.4441, 11.4821, 16.4605, 21.3417, 1.58729, 3.37186, 61.7284, 60549.740291, 12.3844, 11.4821, 16.5623, 21.4029, 1.59234, 3.42024, 61.8317, 60550.347291, 12.2551, 11.6342, 16.3587, 21.4538, 1.81286, 3.38478, 61.7019
60550.463, 60551.47957514001, 60551.496252767, 60552.296138133985, 60552.31283751399, 60552.82945635497, 60552.846138282985, 60553.84601219099, 60553.862831990016, 60554.512604678006, 2.5667285070508794, 1.7968746913580247, 3.5361908641975313, 1.8342615172440084, 1.7456912903225807, 3.3212679032258063, 1.2756623135763634, 1.7186207142857142, 3.5185042857142848, 2.2126161041848373, 1.6177773417721524, 3.3737936708860756, 1.5949212977928298, 1.7016098148148144, 3.604512592592593, 60550.378291, 12.2949, 11.7053, 16.3485, 21.4844, 1.83811, 3.35567, 61.8331, 60551.390290999996, 12.1059, 11.3198, 16.6539, 21.6882, 1.71944, 3.62237, 61.7679, 60551.419291, 12.1059, 11.3604, 16.5317, 21.6679, 1.77999, 3.58382, 61.6659, 60552.199291, 12.275, 11.5734, 16.5317, 21.6475, 1.77909, 3.46559, 62.0276, 60552.214291, 12.1358, 11.4821, 16.5216, 21.6679, 1.81721, 3.53637, 61.8073, 60552.734291, 12.4541, 11.5227, 16.4605, 21.4131, 1.62538, 3.37027, 61.8503, 60552.752291, 12.4143, 11.5125, 16.4198, 21.3621, 1.63697, 3.36786, 61.7087, 60553.750291, 12.3546, 11.4517, 16.4605, 21.4844, 1.6684, 3.43442, 61.7512, 60553.767291, 12.3844, 11.4618, 16.4401, 21.515, 1.67967, 3.4244, 61.8014, 60554.427291, 11.9368, 10.9648, 16.776, 22.1265, 1.7711, 3.88346, 61.8041
60554.529, 60555.845555386004, 60555.86220813801, 60556.86211833203, 60556.87878551499, 60557.395390827, 60557.41207394303, 60558.61194216602, 60558.628718293, 60559.34520825804, 3.3623913974551836, 1.795650631578947, 3.439421789473684, 2.4772989277560975, 1.8161844736842105, 3.4438748684210534, 1.2186415952109595, 1.8243259523809523, 3.554252857142857, 2.9608971316268002, 1.8981246315789484, 3.3499065263157908, 1.9071291085067625, 1.9246422641509433, 3.319649811320754, 60554.437291, 11.9865, 10.9242, 16.7659, 22.1775, 1.75787, 3.888, 61.8541, 60555.746290999996, 12.4242, 11.472, 16.318, 21.7188, 1.79573, 3.42482, 61.933, 60555.769291, 12.3844, 11.5125, 16.2569, 21.7086, 1.85081, 3.41125, 61.8625, 60556.804291, 12.4043, 11.5328, 16.2365, 21.6373, 1.8319, 3.38209, 61.811, 60556.804291, 12.4043, 11.5328, 16.2365, 21.6373, 1.8319, 3.38209, 61.811, 60557.301290999996, 12.2153, 11.3502, 16.318, 21.8309, 1.88282, 3.54455, 61.7145, 60557.312291, 12.1954, 11.3604, 16.318, 21.7902, 1.88001, 3.53991, 61.6639, 60558.521291, 12.5336, 11.7357, 16.0126, 21.5761, 1.92602, 3.22983, 61.858, 60558.563291, 12.5138, 11.7458, 15.9922, 21.5659, 1.94354, 3.22689, 61.8177, 60559.258291, 12.3645, 11.5531, 16.1551, 21.8513, 1.97209, 3.41275, 61.9241
60559.362, 60560.678556785955, 60560.695204619005, 60561.69512116901, 60561.711791280984, 60562.228400523985, 60562.24506496298, 60563.444941134985, 60563.461727050984, 60564.39485828099, 3.436113916039438, 1.9786928712871288, 3.394710099009901, 2.435481488507439, 1.8826858749999995, 3.4627416249999996, 1.3816006258009048, 1.8970427906976748, 3.5017800000000006, 2.360313043600754, 1.8741097647058818, 3.3789682352941175, 2.508711292348265, 1.8731487142857146, 3.4970077142857137, 60559.264291, 12.3944, 11.5328, 16.1754, 21.78, 1.91611, 3.40036, 61.8826, 60560.583291, 12.1159, 11.3097, 16.3892, 22.0348, 1.9561, 3.63749, 61.8495, 60560.605291, 12.0661, 11.3401, 16.3587, 22.0246, 1.99867, 3.63582, 61.7895, 60561.605291, 12.3745, 11.614, 16.2162, 21.6577, 1.8917, 3.36685, 61.8623, 60561.624291, 12.4342, 11.5937, 16.2772, 21.6781, 1.83934, 3.37046, 61.9832, 60562.139291, 12.2153, 11.5632, 16.3281, 21.7392, 1.92372, 3.46557, 61.8459, 60562.157290999996, 12.2253, 11.5024, 16.2772, 21.7392, 1.91884, 3.47129, 61.7441, 60563.345291, 12.2551, 11.4314, 16.3689, 21.8207, 1.86993, 3.51584, 61.8761, 60563.367291, 12.1855, 11.3604, 16.3994, 21.8513, 1.87179, 3.56933, 61.7966, 60564.304291, 12.1059, 11.3401, 16.491, 21.9125, 1.88184, 3.62755, 61.8495
60564.412, 60565.92850593697, 60565.945183812975, 60567.345039647, 60567.36174345801, 60567.77834005297, 60567.794967735, 60568.794905300994, 60568.81166618496, 60569.794816177964, 4.072924392096504, 1.8026837704918033, 3.749385655737705, 3.427744705024931, 1.8180923931623936, 3.898740683760683, 1.0696677605308234, 1.8796403124999994, 4.1968787500000015, 2.516664932790041, 1.7227386666666666, 4.001871333333335, 2.324532977658709, 1.8146462666666663, 3.957178133333335, 60564.314291, 12.0164, 11.2387, 16.4707, 21.9125, 1.89172, 3.68151, 61.6382, 60565.846291, 11.7876, 10.8025, 16.9084, 22.2488, 1.76337, 4.02457, 61.7473, 60565.846291, 11.7876, 10.8025, 16.9084, 22.2488, 1.76337, 4.02457, 61.7473, 60567.255291, 11.8174, 10.8126, 16.6437, 22.3201, 1.89615, 3.97777, 61.5939, 60567.273291, 11.8274, 10.8634, 16.6946, 22.3609, 1.90387, 3.97549, 61.7463, 60567.684291, 11.6085, 10.4678, 17.0205, 22.5851, 1.79301, 4.26283, 61.682, 60567.701291, 11.5588, 10.4982, 16.888, 22.5851, 1.88384, 4.24576, 61.5302, 60568.707291, 11.9269, 10.7721, 16.8371, 22.2998, 1.74165, 3.98748, 61.8358, 60568.722291, 11.9865, 10.7011, 16.776, 22.2182, 1.68474, 3.96551, 61.6819, 60569.696291, 11.8473, 10.8228, 16.5623, 22.2896, 1.91103, 3.94537, 61.5219
