a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
62088.52, 62089.53657744299, 62089.60323318901, 62090.60313125401, 62090.63645433801, 62091.153074735, 62091.16965753798, 62092.16965510601, 62092.18675149597, 62093.11956178098, 2.318486809951555, -0.35304895121951213, 1.4296910975609756, 2.3961854084775567, -0.3270234886363638, 1.4475295454545458, 0.9407266935791969, -0.3607344615384616, 1.4652125641025644, 2.493151091120984, -0.4475864390243902, 1.538563170731707, 2.2690185859684546, -0.4557922597402598, 1.5596297402597399, 62088.43344, 15.2544, 13.3673, 16.6446, 17.9682, -0.222763, 1.42118, 63.2344, 62089.44544, 15.2544, 13.1952, 16.8172, 18.0192, -0.338604, 1.51379, 63.286, 62089.52244, 15.2742, 13.1446, 16.8172, 17.9784, -0.382966, 1.51313, 63.2145, 62090.50544, 15.2445, 13.2863, 16.6446, 17.8255, -0.308399, 1.41411, 63.0009, 62090.54944, 15.2841, 13.2762, 16.7157, 17.958, -0.302666, 1.45018, 63.234, 62091.05444, 15.1651, 13.1042, 16.868, 17.9988, -0.368303, 1.56745, 63.1361, 62091.07744, 15.1453, 13.1548, 16.8984, 18.0498, -0.331709, 1.57668, 63.2482, 62092.07344, 15.2841, 12.8512, 17.1641, 18.0396, -0.614719, 1.67392, 63.3389, 62092.09244, 15.1849, 12.8411, 17.1333, 18.0294, -0.572805, 1.69413, 63.1887, 62093.02444, 15.6015, 13.2863, 16.6344, 17.7236, -0.484614, 1.29737, 63.2459
62093.17, 62094.18669215999, 62094.23665755203, 62095.23655730202, 62095.26983247699, 62095.686517688984, 62095.719859975, 62096.51978162002, 62096.53670578498, 62097.66966372101, 2.3724079886884057, -0.48094755128205136, 1.1634570512820512, 2.3511724883189857, -0.4225695517241379, 1.0583725057471265, 0.9293916802566438, -0.3572040789473685, 0.7790348947368417, 2.0147238588896412, -0.34731728985507226, 0.9024505942028989, 2.7564578829209356, -0.2855862812499999, 0.61383596875, 62093.07244, 15.5519, 13.3268, 16.5633, 17.7236, -0.421447, 1.2843, 63.1657, 62094.09044, 15.7305, 13.4583, 16.4821, 17.6217, -0.447327, 1.16483, 63.2926, 62094.14744, 15.7503, 13.4381, 16.4313, 17.5504, -0.472194, 1.13818, 63.1701, 62095.13844, 15.9387, 13.7012, 16.0251, 17.3058, -0.379892, 0.879198, 62.9708, 62095.17644, 16.0478, 13.7923, 15.9743, 17.2548, -0.386518, 0.806022, 63.0692, 62095.58944, 15.9288, 13.9137, 16.0048, 17.4179, -0.237904, 0.84884, 63.2652, 62095.62144, 15.9487, 13.8935, 16.0352, 17.4179, -0.265653, 0.855752, 63.2952, 62096.42044, 16.0974, 13.9339, 16.0048, 17.2446, -0.364915, 0.762795, 63.2807, 62096.43744, 16.1173, 13.853, 15.954, 17.3873, -0.328141, 0.798681, 63.3115, 62097.57144, 16.2561, 14.1565, 15.69, 17.1121, -0.267909, 0.566972, 63.2147
62097.687, 62098.703539386996, 62098.72024516001, 62100.32006850003, 62100.33672278004, 62100.85335087703, 62100.87000188699, 62101.86990612299, 62101.88685703402, 62102.70315316304, 2.491884298525935, -0.3107129634146341, 0.7136385000000003, 3.8016149681562688, -0.2296192755395685, 0.69532581294964, 1.2867257101296468, -0.3943658139534884, 0.9118086046511631, 2.5713821081644554, -0.23220748765432098, 0.5443349506172841, 2.197855340078231, -0.30560791267605636, 0.3831351971830984, 62097.59044, 16.3355, 14.2071, 15.6493, 17.051, -0.287269, 0.511764, 63.2429, 62098.60944, 16.0875, 13.8429, 15.9743, 17.3058, -0.36118, 0.794891, 63.2104, 62098.63144, 16.0578, 13.8732, 15.9235, 17.265, -0.333928, 0.774137, 63.1195, 62100.23444, 15.9983, 13.772, 16.0556, 17.3363, -0.374216, 0.860074, 63.1622, 62100.24044, 15.9685, 13.7113, 16.1063, 17.3465, -0.402722, 0.896459, 63.1327, 62100.75544, 15.9685, 13.853, 15.954, 17.3363, -0.290434, 0.824456, 63.1118, 62100.78944, 16.0181, 13.8327, 15.9845, 17.3567, -0.321676, 0.828515, 63.192, 62101.77144, 16.3553, 14.4095, 15.4158, 17, -0.143065, 0.391957, 63.1806, 62101.79144, 16.3454, 14.45, 15.4259, 16.965, -0.14098, 0.378769, 63.1863, 62102.62844, 16.5735, 14.3488, 15.4767, 16.6966, -0.398114, 0.29741, 63.0957
62102.719, 62103.935562998944, 62103.952200443964, 62104.95212320094, 62104.96879749397, 62105.38541166096, 62105.40205484298, 62106.20200223797, 62106.218723630955, 62107.40189914197, 2.6358922325260283, -0.36206728712871283, 0.12396514653465342, 2.9550265968498084, -0.2167998752941177, 0.1953079350588235, 0.965021800498849, -0.3508753888888889, 0.41526966666666676, 2.0018846794488208, -0.4506220161290322, -0.00958798467741937, 3.3487073588726544, -0.1400891528, -0.1785593261000001, 62102.62844, 16.5735, 14.3488, 15.4767, 16.6966, -0.398114, 0.29741, 63.0957, 62103.84144, 16.9802, 14.6524, 15.0705, 16.3816, -0.402899, -0.0429064, 63.0846, 62103.85544, 16.9107, 14.7232, 15.0603, 16.3816, -0.343336, -0.045661, 63.0759, 62104.85544, 16.266, 14.106, 15.7204, 17.0102, -0.344811, 0.560662, 63.1026, 62104.87644, 16.3652, 14.1464, 15.7204, 16.9767, -0.380708, 0.518625, 63.2087, 62105.28944, 16.5438, 14.4601, 15.3447, 16.755, -0.266764, 0.260471, 63.1035, 62105.32044, 16.6033, 14.4702, 15.3548, 16.685, -0.318038, 0.229658, 63.1133, 62106.12244, 16.8611, 14.6726, 15.04, 16.5566, -0.266086, 0.0149417, 63.1304, 62106.12244, 16.8611, 14.6726, 15.04, 16.5566, -0.266086, 0.0149417, 63.1304, 62107.30644, 17.1724, 15.1583, 14.6744, 16.1249, -0.223199, -0.363874, 63.1301
62107.417, 62108.63355532799, 62108.65020627399, 62109.250170386964, 62109.266815503, 62109.783430945, 62109.800110846976, 62110.80000355297, 62110.81666350596, 62112.01654856499, 2.886736789495827, -0.14872085686274508, -0.1973647009803921, 1.328443216154381, -0.16001339215686275, -0.10233419764705882, 1.4423011192258908, -0.2588234545454546, -0.1215153454545455, 2.789205630874833, -0.18450990897435893, -0.2632656923076925, 2.8700730671231245, -0.30439170967741946, -0.7667895376344087, 62107.33244, 17.1521, 15.1179, 14.6237, 16.0782, -0.230144, -0.373524, 62.9719, 62108.53544, 16.7719, 14.7839, 14.9689, 16.4983, -0.181921, -0.0210848, 63.023, 62108.55244, 16.762, 14.8345, 15.0197, 16.4633, -0.19177, -0.0269884, 63.0795, 62109.17144, 17.0811, 15.128, 14.7354, 16.2649, -0.167538, -0.286861, 63.2094, 62109.17144, 17.0811, 15.128, 14.7354, 16.2649, -0.167538, -0.286861, 63.2094, 62109.68344, 16.5438, 14.4702, 15.2939, 16.8016, -0.224125, 0.257068, 63.1095, 62109.70344, 16.5239, 14.4196, 15.3447, 16.825, -0.247166, 0.291406, 63.1132, 62110.70144, 17.6289, 15.381, 14.3799, 15.6815, -0.375098, -0.701198, 63.0713, 62110.72244, 17.6187, 15.472, 14.2073, 15.6349, -0.285673, -0.774302, 62.9329, 62111.92344, 17.1724, 14.9054, 14.8572, 16.1366, -0.391507, -0.257798, 63.0716
62112.034, 62113.35053703097, 62113.36721883, 62114.98369433197, 62115.00038913598, 62115.51699881199, 62115.53369046598, 62116.53358179897, 62116.55029767497, 62117.58345595696, 3.06234354508594, -0.32761527619047603, -0.30899117142857147, 4.869181528585861, -0.17317121007575764, -0.667086777272727, 1.255822491096022, -0.22239592708333342, -0.07286812916666666, 2.0501780957988753, -0.24156807108433728, -0.2721215168674698, 2.598838309946032, -0.03178944011494253, -0.588581, 62111.95144, 17.1826, 14.875, 14.8268, 16.1483, -0.391103, -0.257621, 63.0326, 62113.25144, 17.4463, 15.1381, 14.5627, 15.9032, -0.383703, -0.503989, 63.0503, 62113.27144, 17.3854, 15.0673, 14.5627, 15.8682, -0.402601, -0.482261, 62.8836, 62114.89644, 16.8215, 14.9458, 14.8877, 16.5683, -0.0771239, -0.0738618, 63.2233, 62114.90544, 16.762, 14.9256, 14.908, 16.58, -0.0650615, -0.0473911, 63.1755, 62115.41944, 16.9405, 14.6423, 15.1619, 16.3466, -0.441231, -0.0176552, 63.0912, 62115.44244, 16.9306, 14.7333, 15.0197, 16.4866, -0.289035, -0.0374177, 63.1702, 62116.44944, 17.2434, 15.3911, 14.3698, 15.9499, -0.108111, -0.551553, 62.9542, 62116.45844, 17.2434, 15.3911, 14.3698, 15.9499, -0.108111, -0.551553, 62.9542, 62117.49044, 17.1116, 15.1685, 14.5526, 16.1599, -0.133261, -0.373269, 62.9925
62117.6, 62119.11650696801, 62119.133189081, 62120.13307068802, 62120.14974507302, 62120.56637074405, 62120.583040174, 62120.98297696301, 62120.99976172801, 62121.91623980205, 3.68177823386564, -0.15528107666666674, -0.4889816200000002, 2.3913813826145462, -0.0441043248148148, -0.5542971111111114, 1.2713994419821288, -0.039403365757575755, -0.7277428484848485, 0.8489207763760472, -0.13302405555555555, -0.8049972777777779, 2.3779112769888915, -0.05521066540540542, -0.7777600135135134, 62117.51344, 17.0913, 15.1381, 14.583, 16.2766, -0.102884, -0.325672, 63.089, 62119.02744, 17.1927, 15.4315, 14.3088, 16.1132, 0.0171423, -0.523943, 63.0464, 62119.04344, 17.1927, 15.4619, 14.3901, 16.1249, 0.00158846, -0.508068, 63.1696, 62120.03544, 17.426, 15.5327, 14.2073, 15.9149, -0.0735834, -0.674508, 63.0809, 62120.05444, 17.3449, 15.5327, 14.1971, 15.9616, -0.0189185, -0.646986, 63.0363, 62120.48244, 17.3854, 15.5833, 14.1362, 15.8332, -0.0417426, -0.714833, 62.9382, 62120.48844, 17.4463, 15.5024, 14.1667, 15.9149, -0.0776187, -0.682321, 63.0302, 62120.88544, 17.7303, 15.644, 13.9636, 15.6232, -0.169401, -0.902368, 62.9611, 62120.90844, 17.71, 15.725, 13.9432, 15.5765, -0.139682, -0.932871, 62.9548, 62121.82444, 17.0609, 15.4417, 14.3901, 16.2766, 0.105795, -0.435935, 63.1692
62121.934, 62123.250561557004, 62123.26722425495, 62124.86703194799, 62124.88374214997, 62125.40036454598, 62125.41700208198, 62126.41683269495, 62126.433636505964, 62127.58347695995, 3.399352129684055, -0.1259525179811321, -0.6780343113207544, 4.239454446533839, -0.09716098421705431, -0.7077619999999997, 1.2102067052647563, -0.05637054662222221, -0.6963467555555556, 2.3228336445825324, -0.01721298925609756, -0.9320926951219509, 2.6103184211035697, 0.03536276412631577, -1.044479084210526, 62121.85044, 16.9802, 15.4821, 14.3495, 16.3583, 0.202149, -0.41663, 63.17, 62123.16144, 17.7202, 15.897, 13.862, 15.4715, -0.0848398, -1.02072, 62.9507, 62123.17044, 17.7912, 15.8768, 13.8112, 15.4482, -0.110219, -1.05086, 62.9274, 62124.76944, 17.3043, 15.644, 14.1464, 15.9732, 0.0660509, -0.672788, 63.0679, 62124.79344, 17.3246, 15.6137, 14.1362, 15.9499, 0.0407785, -0.678827, 63.0244, 62125.30044, 17.6492, 15.5631, 14.055, 15.7282, -0.163828, -0.816509, 62.9954, 62125.32144, 17.6289, 15.5833, 13.9839, 15.7165, -0.124331, -0.837304, 62.9126, 62126.31944, 17.7405, 15.8768, 13.8214, 15.6582, -0.0106409, -0.983645, 63.0968, 62126.35044, 17.7202, 15.9071, 13.8011, 15.6349, 0.0082314, -0.996945, 63.0633, 62127.48544, 17.6999, 16.0387, 13.6589, 15.5299, 0.0833362, -1.08454, 62.9273
62127.6, 62128.91655953097, 62128.93323316998, 62129.333181555, 62129.34985837098, 62129.866467835986, 62129.88313716501, 62130.88305306099, 62130.899856872005, 62131.666279156016, 3.085495104863157, 0.09462445925233647, -0.8401336822429908, 1.0907165715522653, 0.06627270625, -0.9904895, 1.3233946310908093, 0.09065656829268293, -1.1265034146341466, 2.7065351564101894, 0.08288717567777776, -1.395029777777778, 1.9523148509416002, 0.14858810507936507, -1.4444074603174608, 62127.51844, 17.7405, 16.0488, 13.6284, 15.5649, 0.0971645, -1.09458, 62.9826, 62128.82344, 17.6593, 15.8262, 13.7808, 15.6582, 0.0176102, -0.964616, 62.9245, 62128.83944, 17.639, 15.8464, 13.8519, 15.7865, 0.0562787, -0.914168, 63.1239, 62129.23744, 17.6999, 15.9071, 13.7909, 15.7399, 0.0618547, -0.968412, 63.1378, 62129.25144, 17.7303, 15.9982, 13.6995, 15.7165, 0.112805, -1.02443, 63.1446, 62129.77144, 17.9839, 16.1905, 13.4761, 15.3548, 0.0338554, -1.27214, 63.0053, 62129.78644, 17.9839, 16.1905, 13.4761, 15.3548, 0.0338554, -1.27214, 63.0053, 62130.80044, 17.781, 16.0589, 13.7198, 15.5765, 0.0532955, -1.07947, 63.1363, 62130.80044, 17.781, 16.0589, 13.7198, 15.5765, 0.0532955, -1.07947, 63.1363, 62131.56644, 18.3288, 17.0304, 12.684, 14.9115, 0.368965, -1.84984, 62.9546
62131.683, 62132.89955192895, 62132.91622145099, 62133.91610676997, 62133.932791037, 62134.449384973945, 62134.466056642974, 62136.06592194297, 62136.08263295596, 62136.94914762697, 3.001900343125892, 0.4147291809523809, -1.8006803809523801, 3.0981165309614274, 0.08201243867857146, -1.662201071428571, 1.615902720273639, 0.3062143333333333, -1.0332088666666668, 4.4818450457982175, 0.13538545348837205, -1.4860341085271316, 2.3476373962159296, 0.23821112857142854, -1.472468857142857, 62131.58644, 18.3186, 17.1318, 12.6941, 14.7598, 0.349262, -1.90682, 62.9043, 62132.80744, 18.0245, 16.6762, 13.0902, 15.1798, 0.294325, -1.53181, 62.9707, 62132.82744, 17.9433, 16.5548, 13.1816, 15.2382, 0.265428, -1.44911, 62.9178, 62133.82144, 17.9433, 16.4536, 13.2832, 15.2382, 0.184867, -1.40076, 62.9182, 62133.83844, 17.9433, 16.4536, 13.2832, 15.2382, 0.184867, -1.40076, 62.9182, 62134.35344, 17.71, 16.2512, 13.5167, 15.5299, 0.219932, -1.17001, 63.0078, 62134.37744, 17.8115, 16.3423, 13.4253, 15.4949, 0.237948, -1.24462, 63.0739, 62135.97044, 18.2375, 16.6661, 13.0191, 14.9698, 0.150767, -1.64915, 62.8925, 62135.983439999996, 18.1868, 16.6661, 13.0394, 14.9231, 0.144479, -1.64536, 62.8154, 62136.858439999996, 18.1056, 16.5952, 13.2121, 15.1215, 0.158265, -1.5152, 63.0344
