a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
52523.876, 52525.192540683965, 52525.20918944298, 52526.209121310974, 52526.22572331597, 52526.74240261998, 52526.75904737699, 52527.77564320097, 52527.79229788698, 52528.84218677198, 4.598034740700245, 0.45329278823529406, 0.0469936421282353, 3.3457490744581553, 0.3872480746268657, -0.045880298955223865, 1.5586974565168321, 0.3908437631578948, 0.19931557368421052, 3.1593186993777427, 0.4682752647058824, 0.18750373088235295, 3.000273086030012, 0.42102027777777773, 0.14828651111111116, 52523.7933325, 12.6382, 12.6431, 12.2433, 13.1093, 0.430003, 0.0210929, 50.6339, 52525.103332499995, 12.6978, 12.7551, 12.0599, 13.1093, 0.546506, -0.0840738, 50.6221, 52525.1213325, 12.7078, 12.6533, 12.0497, 13.0859, 0.486022, -0.0669622, 50.4967, 52526.1113325, 12.5488, 12.521, 12.3247, 13.0976, 0.368872, 0.104744, 50.4921, 52526.1343325, 12.519, 12.4599, 12.284, 13.2027, 0.425848, 0.150957, 50.4656, 52526.6493325, 12.5587, 12.6329, 12.2636, 13.0392, 0.42071, 0.0330144, 50.4945, 52526.6683325, 12.5091, 12.5311, 12.2534, 13.1794, 0.469565, 0.116685, 50.473, 52527.6763325, 12.4097, 12.4802, 12.4164, 13.343, 0.492147, 0.257485, 50.6493, 52527.7043325, 12.3799, 12.4904, 12.3553, 13.2845, 0.514627, 0.228526, 50.5102, 52528.7423325, 12.4892, 12.4701, 12.3859, 13.4014, 0.490865, 0.244743, 50.7465
52528.861, 52530.37750839601, 52530.39415842198, 52531.394058936006, 52531.410742545, 52531.92735285803, 52531.94402056102, 52533.14389922402, 52533.16062102603, 52534.17714760798, 4.530377695683066, 0.4550838317757013, 0.3345043644859814, 3.460383168311554, 0.34834752857142853, 0.6085026714285715, 1.4235356457200428, 0.4803083030303029, 0.5032598484848485, 3.2429059230002513, 0.36838970930232556, 0.45812499999999984, 3.02150766698982, 0.41675759154929576, 0.4377678450704224, 52528.7613325, 12.4097, 12.5108, 12.3349, 13.3313, 0.542343, 0.221121, 50.5867, 52530.2783325, 12.2011, 12.3581, 12.6812, 13.4598, 0.461331, 0.468019, 50.7002, 52530.302332499996, 12.1812, 12.3581, 12.7322, 13.5416, 0.485265, 0.512023, 50.813, 52531.3073325, 12.2607, 12.3377, 12.7322, 13.343, 0.339347, 0.437132, 50.6735, 52531.3323325, 12.2209, 12.3275, 12.722, 13.5182, 0.444412, 0.49964, 50.7887, 52531.8343325, 12.0321, 12.3377, 12.7322, 13.4715, 0.516516, 0.543897, 50.5735, 52531.8563325, 12.0918, 12.3174, 12.7831, 13.378, 0.40563, 0.519669, 50.5702, 52533.0553325, 12.1812, 12.3479, 12.5488, 13.3546, 0.482094, 0.408779, 50.4326, 52533.0613325, 12.211, 12.3174, 12.6609, 13.3546, 0.395766, 0.441347, 50.5439, 52534.0813325, 11.9626, 12.1138, 12.9053, 13.6701, 0.45208, 0.740073, 50.6518
52534.194, 52535.41056095499, 52535.427226076004, 52536.427113823986, 52536.443696783026, 52536.96041164703, 52536.97699075499, 52538.57691283901, 52538.593634337, 52539.31018663103, 4.107888590225222, 0.36027987777777776, 0.5792124111111109, 3.0932922607725524, 0.35754861126760557, 0.32149463380281695, 1.8106239840918628, 0.32804533421052645, 0.6131670526315789, 4.811469368599009, 0.3201642432432432, 0.2888808099099099, 2.370347701445423, 0.31495796491228084, 0.020299333333333332, 52534.0953325, 12.0123, 12.0425, 12.885, 13.7168, 0.425473, 0.754198, 50.6566, 52535.3253325, 12.3103, 12.4497, 12.5183, 13.2962, 0.453439, 0.312742, 50.5745, 52535.3433325, 12.3004, 12.4497, 12.5386, 13.2962, 0.448188, 0.321663, 50.585, 52536.340332499996, 12.3004, 12.2257, 12.9053, 13.1326, 0.0754774, 0.448487, 50.5641, 52536.3463325, 12.2607, 12.2054, 12.8748, 13.2378, 0.152114, 0.488305, 50.5786, 52536.870332499995, 12.0421, 12.2257, 12.7118, 13.4948, 0.47881, 0.576178, 50.4745, 52536.8843325, 12.0918, 12.2461, 12.7729, 13.5766, 0.472534, 0.59532, 50.6874, 52538.497332499996, 12.5289, 12.582, 12.3451, 12.8522, 0.278395, 0.0257564, 50.3083, 52538.497332499996, 12.5289, 12.582, 12.3451, 12.8522, 0.278395, 0.0257564, 50.3083, 52539.2223325, 12.5587, 12.582, 12.4877, 12.934, 0.232187, 0.0833523, 50.5625
52539.328, 52540.84452253, 52540.86117174502, 52542.261051803966, 52542.27765745602, 52542.794326022, 52542.81098450699, 52543.81088132297, 52543.827515745965, 52545.22743547, 4.691167660392759, 0.26518292233009716, 0.23230215631067952, 4.733360160186003, 0.3781364646464646, 0.30649379797979787, 1.760896138410245, 0.40187302941176467, 0.502059882352941, 3.5295558973531587, 0.36682354285714286, 0.4864177857142855, 4.250523047366597, 0.4204327340425533, 0.7267418085106381, 52539.247332499996, 12.6084, 12.5617, 12.4572, 12.934, 0.212672, 0.0655907, 50.5613, 52540.751332499996, 12.4494, 12.409, 12.4164, 13.1443, 0.340867, 0.208944, 50.4192, 52540.7733325, 12.4892, 12.4701, 12.4673, 13.2027, 0.353688, 0.210603, 50.6293, 52542.1713325, 12.4097, 12.409, 12.559, 13.1911, 0.312117, 0.276276, 50.5688, 52542.2013325, 12.4991, 12.4497, 12.6201, 13.1794, 0.251153, 0.251443, 50.7483, 52542.6993325, 12.0421, 12.185, 12.9155, 13.5065, 0.362274, 0.650041, 50.6492, 52542.7183325, 12.052, 12.2054, 12.885, 13.5065, 0.382507, 0.632023, 50.6489, 52543.7273325, 12.0918, 12.1138, 12.7729, 13.5649, 0.402644, 0.632823, 50.5434, 52543.7463325, 12.0918, 12.1443, 12.8238, 13.5416, 0.380564, 0.631215, 50.6015, 52545.1293325, 12.0023, 12.0527, 12.9461, 13.6467, 0.370705, 0.751596, 50.6478
52545.244, 52546.560541948995, 52546.57722763402, 52546.97716057905, 52546.993840589996, 52547.51045009505, 52547.52710067602, 52548.527007724035, 52548.54375480202, 52549.26027700805, 3.9715312040725905, 0.39829798901098895, 0.869633428571429, 1.069630701557572, 0.46442166666666657, 1.0301064166666667, 1.7221045245093873, 0.3926111794871795, 1.0406075384615383, 3.3892481960894214, 0.3947190147058824, 0.914391205882353, 1.9015368893900262, 0.36538069811320767, 0.8436176037735849, 52545.1593325, 11.9527, 12.0832, 12.9563, 13.6467, 0.405344, 0.760415, 50.6389, 52546.569332499996, 11.7142, 11.9102, 13.1192, 13.8687, 0.467017, 0.996864, 50.6123, 52546.569332499996, 11.7142, 11.9102, 13.1192, 13.8687, 0.467017, 0.996864, 50.6123, 52546.8773325, 11.6347, 11.7778, 13.16, 13.8337, 0.405127, 1.06567, 50.4062, 52546.8953325, 11.6745, 11.8389, 13.16, 13.8921, 0.443277, 1.04973, 50.5655, 52547.4123325, 11.6347, 11.8593, 13.2211, 13.857, 0.425392, 1.06308, 50.5721, 52547.4323325, 11.7043, 11.8389, 13.2618, 13.8804, 0.371522, 1.06512, 50.6854, 52548.548332499995, 11.8235, 11.9407, 13.109, 13.5883, 0.295517, 0.871895, 50.4616, 52548.548332499995, 11.8235, 11.9407, 13.109, 13.5883, 0.295517, 0.871895, 50.4616, 52549.1693325, 11.893, 12.0629, 13.0581, 13.6818, 0.391302, 0.823733, 50.6958
52549.277, 52550.49357594998, 52550.510206523, 52551.51013439102, 52551.52681141603, 52552.04342426098, 52552.06010017003, 52552.86000455503, 52552.87678871199, 52553.70993580698, 3.423282906105034, 0.34594256470588236, 0.8074619764705889, 2.7806724070997597, 0.3177651384615384, 0.9571697384615382, 1.557122912276556, 0.35112141176470585, 0.4468775882352942, 2.309268199058521, 0.41789606779661015, 0.9163660847457631, 2.8638476934617625, 0.4120214285714286, 1.0216990535714285, 52549.1833325, 11.8632, 12.0629, 13.1192, 13.6818, 0.375631, 0.85011, 50.7271, 52550.3943325, 11.8334, 12.0934, 13.1396, 13.6935, 0.400832, 0.858818, 50.7599, 52550.4213325, 11.8036, 12.0425, 13.2109, 13.6351, 0.326991, 0.887657, 50.6921, 52551.410332499996, 11.903, 12.1138, 13.0683, 13.5883, 0.360543, 0.781435, 50.6734, 52551.4303325, 11.9427, 12.1138, 12.9868, 13.5299, 0.353017, 0.729702, 50.5732, 52551.9483325, 12.1017, 12.2156, 12.8646, 13.4131, 0.327277, 0.581201, 50.5949, 52551.9703325, 12.0818, 12.2156, 12.9868, 13.4598, 0.298911, 0.635313, 50.744, 52552.783332499996, 11.595, 11.8389, 13.3433, 13.9155, 0.402474, 1.13179, 50.6927, 52552.783332499996, 11.595, 11.8389, 13.3433, 13.9155, 0.402474, 1.13179, 50.6927, 52553.6103325, 11.8533, 12.0629, 13.1294, 13.4832, 0.278711, 0.800457, 50.5288
52553.727, 52554.74359663598, 52554.760241341995, 52555.56015226197, 52555.57677270401, 52556.09342901198, 52556.110118545985, 52557.110005485985, 52557.12668651102, 52558.17656643099, 2.9729638279907395, 0.343085263888889, 0.9497487777777778, 2.216608600856639, 0.3070248545454546, 1.0174222727272733, 1.6240502923658673, 0.2619804705882352, 0.8520745588235294, 3.535315344007315, 0.39128628378378383, 0.45994187162162165, 3.6656064820359724, 0.3317874399999999, 0.5771510533333333, 52553.6303325, 11.8632, 12.124, 13.16, 13.5299, 0.311103, 0.799972, 50.6771, 52554.6443325, 11.6347, 11.9102, 13.2924, 13.857, 0.414303, 1.06655, 50.6943, 52554.6643325, 11.6546, 11.8491, 13.4146, 13.8921, 0.330639, 1.12271, 50.8104, 52555.4643325, 11.8235, 11.9509, 13.2007, 13.5766, 0.248912, 0.891055, 50.5517, 52555.4943325, 11.8632, 11.9407, 13.272, 13.5883, 0.194305, 0.904891, 50.6643, 52555.999332499996, 11.9527, 12.124, 12.9868, 13.5065, 0.341606, 0.716849, 50.57, 52556.0263325, 12.0123, 12.2665, 12.9257, 13.4832, 0.400323, 0.630369, 50.6876, 52557.0153325, 12.0222, 12.185, 12.8646, 13.4131, 0.352228, 0.615157, 50.4849, 52557.0343325, 11.9924, 12.1443, 12.8951, 13.4598, 0.354791, 0.658988, 50.4917, 52558.0773325, 12.0719, 12.185, 12.9257, 13.3546, 0.268155, 0.600573, 50.5373
52558.193, 52559.50958302998, 52559.52623690499, 52560.52615124799, 52560.54274069102, 52561.15940332101, 52561.17606793498, 52561.59269096897, 52561.609370372986, 52562.80924377698, 3.6812302812527875, 0.27694345652173924, 0.6750666739130434, 2.689851082326291, 0.2539278142857143, 0.7738962571428571, 1.836070776860862, 0.37998057777777766, 0.6022059777777777, 1.2055207507386634, 0.23258626451612904, 0.2657463870967742, 3.8104065729008787, 0.29487003666666656, 0.6553853111111112, 52558.1003325, 12.1017, 12.1647, 12.885, 13.3196, 0.24648, 0.576029, 50.4709, 52559.4143325, 11.8533, 11.9814, 13.2109, 13.6117, 0.261024, 0.884723, 50.6573, 52559.4413325, 11.8533, 11.9509, 13.16, 13.6, 0.26581, 0.876837, 50.5642, 52560.4373325, 11.9725, 11.9, 13.16, 13.6234, 0.192901, 0.861939, 50.6559, 52560.4553325, 12.0321, 11.9204, 13.0785, 13.6818, 0.242302, 0.830492, 50.7128, 52561.067332499995, 12.2209, 12.4192, 12.6812, 13.2495, 0.378913, 0.382823, 50.5708, 52561.0763325, 12.2706, 12.4192, 12.722, 13.2495, 0.333613, 0.379493, 50.6612, 52561.4943325, 12.4296, 12.3479, 12.7525, 13.0041, 0.0840575, 0.290653, 50.5341, 52561.5123325, 12.3898, 12.3377, 12.8442, 13.0625, 0.0820696, 0.349331, 50.6343, 52562.713332499996, 12.1216, 12.2563, 12.9359, 13.4014, 0.295871, 0.579534, 50.7151
52562.827, 52563.843572778984, 52563.86021403998, 52564.86013501901, 52564.87678347401, 52565.39344211098, 52565.41008560197, 52566.409951670976, 52566.42664161197, 52567.69320066297, 3.2672765200820235, 0.2673493417721519, 0.4530282658227848, 3.106864316798085, 0.29609546052631575, 0.34419764473684217, 1.9327327295005536, 0.327315, 0.6018587368421051, 2.6278394252373114, 0.3314206756756755, 0.770794364864865, 3.9872555956900366, 0.3117116021505375, 0.5623030430107528, 52562.7273325, 12.0321, 12.2461, 12.8442, 13.4364, 0.398627, 0.594075, 50.5589, 52563.747332499996, 12.3004, 12.3479, 12.7118, 13.1794, 0.254789, 0.368882, 50.5395, 52563.766332499996, 12.2805, 12.3784, 12.8137, 13.2144, 0.245962, 0.405167, 50.6871, 52564.7633325, 12.062, 12.1749, 12.7525, 13.4598, 0.40642, 0.587386, 50.4491, 52564.7883325, 12.1017, 12.2461, 12.7729, 13.4247, 0.393823, 0.548968, 50.5455, 52565.2953325, 12.0818, 12.0629, 12.9766, 13.5533, 0.275129, 0.706034, 50.6746, 52565.3153325, 12.0918, 12.1036, 12.9461, 13.4832, 0.271073, 0.661898, 50.6246, 52566.3183325, 12.1116, 12.0832, 12.9766, 13.5299, 0.258803, 0.683906, 50.7014, 52566.3333325, 12.052, 12.0425, 12.9868, 13.5065, 0.252137, 0.711281, 50.5879, 52567.603332499995, 11.9725, 12.1545, 12.9461, 13.5883, 0.406718, 0.712781, 50.6614
52567.709, 52568.725602411985, 52568.74228511003, 52569.742182532995, 52569.75875090304, 52570.37545836202, 52570.392130219, 52570.992059343, 52571.00888402204, 52572.04196281501, 3.3010672162030397, 0.3236983888888888, 0.7066151666666667, 2.8964525642310677, 0.25114895890410965, 0.5092766849315066, 1.5341402826844293, 0.24648613636363637, 0.39596650000000005, 2.0216651212752863, 0.2818357111111111, 0.10880623555555552, 2.90821638685178, 0.2362908902439025, 0.16625979878048774, 52567.6173325, 12.0222, 12.1647, 12.8137, 13.5182, 0.419158, 0.636891, 50.5188, 52568.641332499996, 12.2309, 12.1647, 12.8646, 13.2845, 0.174972, 0.520411, 50.5447, 52568.6493325, 12.1712, 12.2461, 12.8442, 13.3196, 0.271958, 0.517917, 50.5812, 52569.6513325, 12.211, 12.2054, 12.885, 13.4014, 0.251868, 0.553213, 50.7027, 52569.6593325, 12.1613, 12.1647, 12.8544, 13.3313, 0.237679, 0.552256, 50.5117, 52570.2773325, 12.5786, 12.4701, 12.5386, 13.0275, 0.187838, 0.153354, 50.6148, 52570.2943325, 12.5885, 12.4192, 12.5081, 12.9808, 0.150153, 0.142924, 50.4965, 52570.9033325, 12.4494, 12.4701, 12.4979, 13.0041, 0.261217, 0.173296, 50.4215, 52570.9123325, 12.5091, 12.5515, 12.4979, 13.0625, 0.299814, 0.148128, 50.621, 52571.942332499995, 12.519, 12.4395, 12.5488, 12.9691, 0.168777, 0.166233, 50.4764
