a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
53517.766, 53518.882668859034, 53518.899330082, 53519.89924680203, 53519.91587393201, 53520.332511354005, 53520.349185698025, 53521.34902339702, 53521.36569631804, 53523.01558337, 3.6764967998156064, -0.7214355789473685, 2.6074264473684208, 3.675170060588575, -0.78724353125, 2.611512656249999, 1.3110252582323643, -1.1699563333333332, 3.236197666666667, 3.367695332766742, -1.0857795890410957, 2.997545479452054, 5.689962185960167, -1.1320298839285712, 3.2875449999999984, 53517.6723325, 12.8469, 9.14132, 13.2415, 15.6797, -0.622329, 2.04275, 50.9094, 53518.7933325, 12.3203, 8.54072, 13.8424, 16.112, -0.742863, 2.68426, 50.8155, 53518.802332499996, 12.3402, 8.64252, 13.8017, 16.0536, -0.710937, 2.61791, 50.838, 53519.7993325, 11.8235, 8.65269, 14.7897, 15.5162, -1.20335, 2.90348, 50.782, 53519.817332499995, 11.8434, 8.66287, 14.9221, 15.5979, -1.22714, 2.94372, 51.0263, 53520.2443325, 11.0386, 8.17425, 15.4721, 16.1704, -1.06479, 3.6662, 50.8554, 53520.251332499996, 10.9889, 8.22515, 15.5231, 16.1471, -1.05128, 3.6719, 50.8842, 53521.2623325, 12.1116, 9.22275, 14.4332, 15.1306, -1.07641, 2.42525, 50.8982, 53521.2713325, 12.052, 9.22275, 14.4841, 15.1423, -1.06634, 2.46113, 50.9012, 53522.9383325, 10.6312, 8.13353, 16.1648, 15.9835, -1.31545, 3.94306, 50.913
53523.029, 53524.44555299004, 53524.462219625035, 53525.462107727035, 53525.478779333025, 53525.995376636994, 53526.012060031026, 53526.81198660304, 53526.828709366986, 53527.61189412799, 4.67852391493862, -1.0503103617021279, 3.885284787234042, 3.303627995430681, -1.028666343283582, 3.7737320895522384, 1.7146794105706142, -1.0316805277777776, 3.6652522222222217, 2.3207632561601383, -0.9260641320754719, 3.314475849056604, 2.9348978252292395, -0.9772932264150945, 3.5857294339622645, 53522.9383325, 10.6312, 8.13353, 16.1648, 15.9835, -1.31545, 3.94306, 50.913, 53524.3643325, 10.5617, 8.31677, 15.8388, 16.2289, -0.910202, 3.8833, 50.9461, 53524.3643325, 10.5617, 8.31677, 15.8388, 16.2289, -0.910202, 3.8833, 50.9461, 53525.370332499995, 10.7604, 8.28623, 15.7166, 15.89, -1.13552, 3.71942, 50.6532, 53525.3973325, 10.7504, 8.34731, 15.686, 15.89, -1.08495, 3.69372, 50.6738, 53525.908332499996, 10.8498, 8.51018, 15.5536, 15.855, -1.0037, 3.55987, 50.7686, 53525.927332499996, 10.9193, 8.48982, 15.4518, 15.9251, -0.962967, 3.53474, 50.786, 53526.7273325, 11.2472, 8.69341, 15.2277, 15.6447, -1.05131, 3.22704, 50.813, 53526.730332499996, 11.287, 8.70359, 15.2582, 15.6213, -1.09116, 3.21082, 50.8701, 53527.5383325, 10.7107, 8.36766, 15.7166, 16.112, -0.956449, 3.75693, 50.907
53527.628, 53528.944502650964, 53528.96119481596, 53529.96108615896, 53529.97775406399, 53530.59435499701, 53530.61105126896, 53531.410957885004, 53531.427610894985, 53532.62751022601, 3.689933997984414, -0.9798012608695658, 3.767473043478263, 3.2189362034174827, -0.8293770156249998, 3.487791406249999, 2.384686759810319, -0.9899212000000001, 3.6857659999999997, 2.360489576980578, -0.9004976727272723, 3.8871303636363645, 3.7790546807013747, -0.8280951428571428, 3.9831994805194815, 53527.5383325, 10.7107, 8.36766, 15.7166, 16.112, -0.956449, 3.75693, 50.907, 53528.857332499996, 10.82, 8.52036, 15.4721, 16.1471, -0.797047, 3.6143, 50.9596, 53528.8633325, 10.8697, 8.47964, 15.462, 16.112, -0.8542, 3.60091, 50.9233, 53529.870332499995, 10.8995, 8.58144, 15.4823, 15.9718, -0.897487, 3.52603, 50.9351, 53529.8973325, 10.9492, 8.48982, 15.4314, 16.0653, -0.895952, 3.55087, 50.9357, 53530.4963325, 10.5915, 8.43892, 15.8796, 16.1471, -0.923003, 3.81816, 51.057, 53530.5263325, 10.6113, 8.35748, 15.8286, 16.1588, -0.943814, 3.83228, 50.9562, 53531.3223325, 10.4126, 8.28623, 15.9203, 16.2522, -0.88187, 3.97287, 50.8714, 53531.3303325, 10.4226, 8.31677, 15.8694, 16.299, -0.823161, 3.95688, 50.9077, 53532.5363325, 10.5418, 8.36766, 15.8083, 16.1938, -0.878277, 3.85746, 50.9115
53532.645, 53533.861553314004, 53533.87817096097, 53534.27814802502, 53534.29483771299, 53534.711450676994, 53534.728128858005, 53535.72804699999, 53535.74486823698, 53536.59456759398, 3.9425944108346376, -0.8592689024390245, 3.7892597560975614, 1.1986829557594227, -0.9465691875000001, 3.749868125, 1.2961641128497219, -0.9136877407407409, 3.8822751851851844, 2.4949499119759024, -0.9167162121212121, 3.9158292424242416, 2.339063158339447, -0.9147844166666665, 3.6244324999999993, 53532.550332499995, 10.6213, 8.33713, 15.7573, 16.3107, -0.84801, 3.85377, 51.0264, 53533.7783325, 10.7802, 8.38802, 15.6657, 15.9835, -1.02051, 3.68404, 50.8174, 53533.7783325, 10.7802, 8.38802, 15.6657, 15.9835, -1.02051, 3.68404, 50.8174, 53534.1993325, 10.5716, 8.35748, 15.8286, 16.2055, -0.901264, 3.85721, 50.9632, 53534.1993325, 10.5716, 8.35748, 15.8286, 16.2055, -0.901264, 3.85721, 50.9632, 53534.6253325, 10.6113, 8.29641, 15.8286, 16.2289, -0.939222, 3.87021, 50.9653, 53534.6313325, 10.5716, 8.36766, 15.8796, 16.334, -0.855024, 3.89255, 51.1528, 53535.6463325, 10.6312, 8.36766, 15.7981, 16.1354, -0.945488, 3.80935, 50.9324, 53535.6463325, 10.6312, 8.36766, 15.7981, 16.1354, -0.945488, 3.80935, 50.9324, 53536.5003325, 10.8796, 8.56108, 15.411, 16.0069, -0.846799, 3.53251, 50.8586
53536.612, 53538.12855540301, 53538.14521130399, 53539.145129347955, 53539.16177891798, 53539.578409299, 53539.59500978198, 53540.19495086096, 53540.211782632956, 53541.19489129101, 4.842826291467526, -0.9137117745098041, 3.694862745098039, 2.819862886974806, -0.9531407534246573, 4.13875095890411, 1.538590370669236, -1.0511803703703704, 4.478911111111111, 1.7666837851314083, -0.8589260769230768, 4.300233333333334, 2.654432995370945, -0.8266922985074628, 4.229287611940299, 53536.5253325, 10.7902, 8.56108, 15.462, 16.0302, -0.81663, 3.58186, 50.8435, 53538.0463325, 10.5815, 8.25569, 15.9509, 16.1704, -1.03332, 3.91027, 50.9585, 53538.0463325, 10.5815, 8.25569, 15.9509, 16.1704, -1.03332, 3.91027, 50.9585, 53539.0573325, 10.0251, 7.8994, 16.5111, 16.7079, -0.94289, 4.48575, 51.1435, 53539.0663325, 10.045, 7.87904, 16.5111, 16.6495, -0.992255, 4.47391, 51.0846, 53539.480332499996, 9.96552, 7.82814, 16.5518, 16.7079, -0.970209, 4.54409, 51.0534, 53539.5083325, 9.93571, 7.99102, 16.5009, 16.5326, -0.938448, 4.44665, 50.9603, 53540.1123325, 10.194, 8.11317, 16.1037, 16.5794, -0.786984, 4.22899, 50.9902, 53540.1123325, 10.194, 8.11317, 16.1037, 16.5794, -0.786984, 4.22899, 50.9902, 53541.0993325, 10.1444, 8.08263, 16.2666, 16.4976, -0.897585, 4.27639, 50.9912
53541.211, 53542.527562625, 53542.54423067404, 53543.54411680303, 53543.56071151402, 53544.07745916, 53544.09408719901, 53545.29393505601, 53545.310629860025, 53546.377201594, 3.6812609875806053, -0.9949238241758239, 3.9843107692307704, 3.2587769538724154, -0.7755909583333334, 3.9957833333333337, 1.70225633604797, -0.9123414000000001, 4.194955142857142, 4.102479484878141, -0.6011928915662652, 4.034809638554217, 4.028321220617882, -0.5992910138888894, 4.689026666666667, 53541.1253325, 10.1146, 8.03174, 16.2463, 16.5093, -0.893776, 4.30512, 50.9018, 53542.4313325, 10.5517, 8.41856, 15.6962, 16.3223, -0.738911, 3.83857, 50.9888, 53542.4553325, 10.5418, 8.4491, 15.7268, 16.3107, -0.739206, 3.83509, 51.0283, 53543.4603325, 10.3729, 8.11317, 16.1648, 16.3808, -1.0012, 4.13258, 51.0316, 53543.4733325, 10.3828, 8.13353, 16.0935, 16.3924, -0.955991, 4.10851, 51.0023, 53543.9923325, 10.2735, 8.14371, 16.0935, 16.556, -0.81622, 4.18049, 51.0667, 53543.9963325, 10.2835, 8.12335, 16.1037, 16.521, -0.853789, 4.17913, 51.0314, 53545.2053325, 10.1046, 8.33713, 15.8694, 16.7897, -0.414467, 4.17332, 51.1008, 53545.2223325, 10.1046, 8.29641, 15.9407, 16.8715, -0.428313, 4.22093, 51.2132, 53546.2923325, 10.671, 6.36228, 15.7064, 18.3963, -0.791423, 5.00709, 51.1359
53546.394, 53547.810560743004, 53547.82711729905, 53548.82710878903, 53548.843780089024, 53549.46037986103, 53549.47704219105, 53551.07688732902, 53551.09358172704, 53551.86014387102, 4.886758607529787, -0.5243632365591397, 5.15569376344086, 3.2192675374885393, -0.7917290142857143, 5.463753428571429, 2.843505202911352, -0.6739650804347825, 5.391779782608696, 7.4516822506381715, -0.3987344972641509, 5.190194905660378, 3.112731011039335, -0.1455570632692308, 6.228660961538461, 53546.298332499995, 10.6014, 6.3012, 15.5944, 18.4574, -0.70511, 5.0484, 50.9544, 53547.7173325, 10.1642, 6.3012, 16.1953, 18.488, -0.767541, 5.34262, 51.1488, 53547.7363325, 10.1444, 6.21976, 16.2259, 18.4676, -0.823998, 5.38491, 51.0576, 53548.7363325, 10.045, 6.28084, 16.3583, 18.4472, -0.819078, 5.42124, 51.1314, 53548.7443325, 9.98539, 6.28084, 16.3379, 18.4065, -0.801796, 5.43362, 51.0106, 53549.372332499996, 8.3758, 8.12335, 17.2768, 17.4077, -0.0594005, 5.32944, 51.1837, 53549.3973325, 8.32613, 8.26587, 17.2051, 17.2956, 0.0147969, 5.2577, 51.0926, 53550.9793325, 9.22034, 7.25808, 17.1025, 17.5809, -0.725077, 5.33748, 51.1619, 53551.0023325, 9.25015, 7.26826, 16.9593, 17.5198, -0.696778, 5.2828, 50.9975, 53551.7813325, 7.24313, 6.3521, 18.3534, 19.1505, -0.0459865, 7.01833, 51.0991
53551.878, 53553.294536527974, 53553.31122078697, 53554.71098956096, 53554.72776085397, 53555.344365686964, 53555.36101302397, 53556.36090442099, 53556.37764015296, 53557.110841154965, 5.157003706025098, -0.21809230989010991, 6.7546412087912096, 4.189363316445407, -0.2148255743298969, 7.181399587628865, 1.84886756326312, -0.21622367761904768, 6.817438809523808, 2.8659140359438147, -0.09777585483076921, 6.452342461538461, 2.202815215782932, -0.07585787163636364, 7.072476, 53551.7813325, 7.24313, 6.3521, 18.3534, 19.1505, -0.0459865, 7.01833, 51.0991, 53553.2033325, 7.6803, 6.54551, 17.9946, 18.9365, -0.0942752, 6.65753, 51.1568, 53553.2293325, 7.61075, 6.53533, 18.0151, 19.0078, -0.0404105, 6.70625, 51.169, 53554.6113325, 7.35243, 6.1994, 18.4252, 19.0791, -0.244388, 7.03711, 51.0562, 53554.643332499996, 7.41204, 6.26048, 18.4047, 18.9772, -0.283544, 6.96592, 51.0544, 53555.2533325, 7.41204, 6.52515, 18.2099, 19.0384, -0.0285268, 6.83136, 51.1854, 53555.2793325, 7.44185, 6.48443, 18.1689, 19.0078, -0.0579715, 6.82457, 51.103, 53556.2623325, 7.59088, 6.44371, 18.1586, 18.8651, -0.215778, 6.75379, 51.0583, 53556.2893325, 7.63063, 6.44371, 18.1689, 18.8957, -0.224932, 6.74346, 51.1389, 53557.0123325, 6.93513, 6.00599, 18.6508, 19.5378, -0.0206098, 7.40688, 51.1297
53557.127, 53558.34364205997, 53558.36032799401, 53559.76014184698, 53559.776742231006, 53560.193482133, 53560.21012942501, 53561.21001083499, 53561.22671901099, 53562.04325934001, 4.205702310866195, -0.07591271365853655, 6.905501951219514, 4.2544611374401216, 0.08138304938144328, 6.4338803092783525, 1.1274736103595326, 0.16294448214285717, 6.48820892857143, 2.8800015308944245, 0.17399714531250002, 6.776702812500001, 2.5383292056878757, 0.16347060909090907, 7.077081636363638, 53557.0303325, 6.8457, 6.00599, 18.6713, 19.497, -0.00686198, 7.44314, 51.02, 53558.2483325, 7.52133, 6.47425, 17.9228, 19.1199, 0.0734866, 6.77348, 51.0383, 53558.2623325, 7.52133, 6.48443, 17.9125, 19.1709, 0.108349, 6.7757, 51.0892, 53559.677332499996, 7.89889, 6.81018, 17.6357, 18.7938, 0.0339001, 6.37105, 51.1385, 53559.677332499996, 7.89889, 6.81018, 17.6357, 18.7938, 0.0339001, 6.37105, 51.1385, 53560.105332499996, 7.5412, 6.65749, 17.7793, 19.1607, 0.243312, 6.67047, 51.1386, 53560.1373325, 7.52133, 6.55569, 17.7075, 19.2524, 0.283754, 6.72539, 51.0369, 53561.1113325, 7.29281, 6.41317, 18.1279, 19.3034, 0.14464, 6.95929, 51.1372, 53561.1293325, 7.33255, 6.39281, 18.1689, 19.283, 0.0851721, 6.95421, 51.1772, 53561.9543325, 7.15371, 6.15868, 18.2817, 19.5072, 0.112769, 7.18469, 51.1013
53562.06, 53563.27656871197, 53563.29322644096, 53563.89316381101, 53563.909748795966, 53564.52645139699, 53564.543125380995, 53565.57631996198, 53565.593152139976, 53566.309626729984, 4.094898313325044, 0.0414167481590909, 7.074410340909091, 1.8427659684097977, -0.06381535000000002, 6.73556925, 2.0347751236154816, 0.30052488837209307, 6.465968372093022, 3.563792903961018, 0.2221371290322581, 6.325590967741935, 2.350011762581422, 0.3266499454545454, 7.286311636363634, 53561.9683325, 7.16365, 6.22994, 18.3022, 19.497, 0.127521, 7.15108, 51.1928, 53563.1913325, 7.45178, 6.43353, 18.2099, 19.0078, -0.107796, 6.84863, 51.103, 53563.2053325, 7.46172, 6.43353, 18.2099, 18.9874, -0.122653, 6.84113, 51.0926, 53563.804332499996, 7.63063, 6.77964, 17.6767, 19.0486, 0.254643, 6.54584, 51.1355, 53563.8233325, 7.59088, 6.78982, 17.6562, 19.0486, 0.28936, 6.55492, 51.0855, 53564.4353325, 7.66043, 7.11557, 17.5742, 18.7122, 0.290418, 6.31886, 51.0624, 53564.463332499996, 7.66043, 7.04431, 17.6152, 18.6409, 0.200924, 6.3435, 50.9608, 53565.4773325, 7.73992, 5.95509, 17.5229, 19.9454, 0.311598, 6.96984, 51.1634, 53565.4963325, 7.69024, 5.88383, 17.5434, 19.9047, 0.271863, 7.01872, 51.0222, 53566.215332499996, 6.78609, 5.48683, 18.4867, 20.3633, 0.282317, 7.798, 51.123
