a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
63936.132, 63937.44855128399, 63937.46519136698, 63938.265106185994, 63938.281750587004, 63938.79840314902, 63938.81506456902, 63939.81494973398, 63939.831582131985, 63940.81487507398, 5.337879946566929, -0.2691391741935483, 1.2995247204301075, 3.31325156948059, -0.4111339999999999, 1.2133209322033898, 2.4757736403499933, -0.6760252105263156, 1.4002479736842102, 3.167020185456935, -0.7291697733333333, 1.1130502533333337, 2.546271984859532, -0.6572615972222221, 1.083549111111111, 63936.0355355, 14.539, 11.5165, 14.8484, 15.5755, -1.01599, 1.1602, 56.4793, 63937.3545355, 13.4221, 11.7199, 14.7875, 16.5446, 0.0243574, 1.64414, 56.4741, 63937.368535500005, 13.4221, 11.7199, 14.7875, 16.5446, 0.0243574, 1.64414, 56.4741, 63938.169535500005, 14.45, 12.1065, 14.4221, 15.4938, -0.562993, 0.892308, 56.4724, 63938.188535500005, 14.4797, 12.0963, 14.4018, 15.5755, -0.534692, 0.902159, 56.5533, 63938.7045355, 14.3215, 11.7911, 14.7367, 15.5755, -0.749464, 1.11642, 56.4249, 63938.7265355, 14.361, 11.781, 14.6352, 15.5055, -0.75947, 1.0657, 56.2827, 63939.7285355, 14.0744, 11.5165, 15.0513, 15.8674, -0.770603, 1.41425, 56.5097, 63939.7465355, 14.0942, 11.4961, 15.0513, 15.8674, -0.788358, 1.41442, 56.5091, 63940.720535500004, 14.2128, 11.8725, 14.6758, 15.669, -0.596812, 1.13223, 56.4301
63940.833, 63942.349520148025, 63942.36618577405, 63943.36610918505, 63943.38274685103, 63943.899402515046, 63943.916074667024, 63945.115936353, 63945.132662765, 63945.88250735805, 4.5008294859043385, -0.8706442307692307, 1.2147488205128205, 3.3001011878320394, -0.8861115466666667, 1.0843083733333334, 1.5423290030521786, -0.5511256923076923, 1.3571041025641024, 3.6874491868432964, -0.6395073882352942, 1.2283022117647058, 2.476443670874034, -0.825397320754717, 1.2651137169811324, 63940.739535500004, 14.2029, 11.8217, 14.6758, 15.5405, -0.674127, 1.11799, 56.2409, 63942.260535500005, 14.2622, 11.9844, 14.6758, 15.4471, -0.668122, 1.03148, 56.3696, 63942.2665355, 14.2622, 11.9743, 14.6758, 15.4121, -0.688724, 1.02569, 56.3244, 63943.2695355, 14.1238, 11.6182, 14.9397, 15.7507, -0.750747, 1.3153, 56.4324, 63943.2885355, 14.0942, 11.6487, 14.9499, 15.7974, -0.707175, 1.32882, 56.4901, 63943.8065355, 14.0151, 11.8522, 14.8281, 15.8207, -0.517663, 1.26906, 56.5161, 63943.8255355, 14.0744, 11.8522, 14.686, 15.7157, -0.529283, 1.19168, 56.3282, 63945.023535500004, 14.3215, 12.0048, 14.5337, 15.4238, -0.633705, 0.967737, 56.2838, 63945.0455355, 14.45, 12.076, 14.483, 15.342, -0.672103, 0.878161, 56.351, 63945.7895355, 14.1733, 11.6691, 14.8687, 15.7273, -0.728901, 1.26342, 56.4383
63945.899, 63946.91560985802, 63946.932268442026, 63947.93218172204, 63947.948848159016, 63948.565432592026, 63948.58216882703, 63948.98206843502, 63948.99877898601, 63949.83197359504, 2.8451839961910865, -0.8650775875000003, 1.3590523749999999, 2.729715166594545, -0.7708320921052634, 1.3018771052631581, 2.2886520181520074, -0.8411425000000001, 1.1932201999999998, 1.2747301319121689, -0.9863911071428572, 1.159649642857143, 2.607290912067738, -1.1514691803278694, 1.3322837704918038, 63945.8035355, 14.2227, 11.6996, 14.9499, 15.704, -0.781675, 1.25448, 56.5761, 63946.8245355, 14.1535, 11.4452, 15.1427, 15.7157, -0.945531, 1.39742, 56.4571, 63946.8335355, 14.0942, 11.4656, 15.234, 15.774, -0.923048, 1.44471, 56.5678, 63947.8425355, 14.1733, 11.5572, 15.0919, 15.7624, -0.859633, 1.35829, 56.5847, 63947.849535500005, 14.1733, 11.4758, 15.163, 15.8207, -0.900422, 1.41298, 56.6327, 63948.4715355, 14.3215, 11.7403, 14.9093, 15.4471, -0.905459, 1.14181, 56.4182, 63948.4855355, 14.3709, 11.7098, 14.8991, 15.4821, -0.92015, 1.14251, 56.4619, 63948.9015355, 14.4994, 11.5572, 15.0107, 15.342, -1.15716, 1.14242, 56.4093, 63948.9015355, 14.4994, 11.5572, 15.0107, 15.342, -1.15716, 1.14242, 56.4093, 63949.7355355, 14.1535, 11.3333, 15.2036, 15.6223, -1.06614, 1.42215, 56.3127
63949.849, 63951.265534297985, 63951.282214163, 63952.28208366399, 63952.298768742025, 63952.91538360798, 63952.932045587004, 63953.33196221503, 63953.34876035301, 63954.365230657, 4.825483652418022, -0.9273913035714285, 1.3742341875000004, 3.0399661573396677, -0.8129108533333332, 1.3631332666666662, 2.0835094215523324, -0.731107574468085, 1.9868078723404259, 1.8065615932080958, -0.6975388666666666, 1.6227759999999998, 3.527114551778364, -0.7517707468354434, 1.7445307594936712, 63949.7555355, 14.1831, 11.313, 15.2645, 15.6573, -1.09777, 1.44253, 56.4179, 63951.1745355, 14.5884, 12.0963, 14.4525, 15.0852, -0.826804, 0.761168, 56.2224, 63951.1995355, 14.618, 12.1879, 14.4931, 15.2019, -0.761633, 0.76701, 56.501, 63952.1855355, 13.6297, 11.313, 15.3558, 16.2411, -0.632925, 1.76538, 56.5395, 63952.2005355, 13.5308, 11.2825, 15.4573, 16.2527, -0.642616, 1.83025, 56.5233, 63952.8165355, 13.6, 11.2011, 15.4269, 16.2411, -0.701587, 1.82406, 56.469, 63952.8505355, 13.7186, 11.3333, 15.3152, 16.1477, -0.686911, 1.70158, 56.5148, 63953.2355355, 13.5012, 11.0078, 15.6603, 16.5096, -0.725166, 2.02747, 56.6789, 63953.2495355, 13.5802, 11.0078, 15.6096, 16.4045, -0.785072, 1.96797, 56.6021, 63954.2685355, 13.7581, 11.3537, 15.2949, 16.0893, -0.712484, 1.66535, 56.496
63954.382, 63955.79852381798, 63955.815202454, 63956.21514881695, 63956.23181247398, 63956.64846778296, 63956.665104581, 63957.66501496897, 63957.68171301398, 63958.58157255997, 4.126264200946471, -0.6667536886792448, 1.522966981132075, 1.2770623972942161, -0.787795375, 1.705395, 1.2635275944759519, -0.8786505151515152, 1.985306666666667, 2.663278193292683, -0.6154375492957745, 1.817569295774648, 2.8531115767836086, -0.5638651999999996, 1.8441401333333332, 63954.2885355, 13.689, 11.2519, 15.4167, 16.1944, -0.733556, 1.76922, 56.552, 63955.7005355, 13.6791, 11.2723, 15.3152, 16.101, -0.71896, 1.72036, 56.3675, 63955.7175355, 13.6494, 11.313, 15.3254, 16.101, -0.692002, 1.71947, 56.3887, 63956.1235355, 13.689, 11.2621, 15.4269, 16.1126, -0.770511, 1.74943, 56.4906, 63956.1325355, 13.689, 11.2621, 15.4269, 16.1126, -0.770511, 1.74943, 56.4906, 63956.5625355, 13.689, 11.0688, 15.6501, 16.2527, -0.890183, 1.89156, 56.6607, 63956.5905355, 13.6, 10.9874, 15.5893, 16.2411, -0.868852, 1.9257, 56.4178, 63957.5685355, 13.7087, 11.6284, 14.9904, 16.0893, -0.434943, 1.52684, 56.4168, 63957.5885355, 13.7186, 11.6385, 15.0716, 16.1593, -0.438416, 1.557, 56.5881, 63958.4835355, 13.6395, 11.2825, 15.3152, 16.206, -0.649434, 1.75378, 56.4433
63958.599, 63959.81558568096, 63959.83225561098, 63960.63217685897, 63960.64881330899, 63961.165460673, 63961.182104458, 63962.182014231, 63962.19874899795, 63963.248594068995, 3.6035634203156373, -0.5865235806451613, 1.8248669892473124, 2.512897105027281, -0.5494842857142858, 1.6804298214285713, 1.1069341292424446, -0.7564538378378376, 1.7445527027027028, 3.3321574912996414, -0.7679948400000001, 1.8002447999999995, 3.1062113779757605, -0.6783168750000003, 1.4351342499999997, 63958.5035355, 13.7186, 11.2316, 15.3254, 16.2761, -0.679149, 1.76421, 56.5517, 63959.720535500004, 13.5209, 11.313, 15.3152, 16.3345, -0.526121, 1.81002, 56.4836, 63959.7385355, 13.5308, 11.313, 15.3558, 16.3462, -0.542699, 1.81928, 56.5458, 63960.5355355, 13.6593, 11.3232, 15.366, 16.2411, -0.645457, 1.75595, 56.5895, 63960.5525355, 13.6692, 11.3639, 15.366, 16.171, -0.663021, 1.72457, 56.57, 63961.0725355, 13.6593, 11.2825, 15.3355, 16.101, -0.714546, 1.72799, 56.3783, 63961.097535500005, 13.689, 11.2723, 15.3152, 16.0426, -0.749883, 1.70366, 56.3191, 63962.0835355, 13.8866, 11.4961, 15.2137, 15.8791, -0.763661, 1.51662, 56.4756, 63962.1105355, 13.9064, 11.4758, 15.2239, 15.9141, -0.769797, 1.52756, 56.5202, 63963.150535500004, 14.0547, 11.6589, 14.9397, 15.9025, -0.633444, 1.36024, 56.5557
63963.265, 63964.38160454003, 63964.39828449003, 63964.79824250702, 63964.814891114, 63965.231523687995, 63965.248105822, 63966.248076645, 63966.264803057, 63967.081340046, 3.8810917850614217, -0.709700103448276, 1.4228793103448283, 1.165072707870264, -0.8974660357142855, 1.433565, 1.2121801201493556, -0.7718039032258066, 1.6099551612903222, 2.747589535156714, -0.6058671095890413, 1.4870095890410955, 2.7233544259230706, -0.5796757575757575, 1.3073703939393944, 63963.1705355, 13.9756, 11.6385, 14.889, 15.7974, -0.634366, 1.35138, 56.3005, 63964.296535500005, 13.936, 11.2825, 15.2949, 15.9842, -0.869197, 1.60908, 56.4976, 63964.3235355, 13.9163, 11.3944, 15.163, 15.8441, -0.817148, 1.51722, 56.3177, 63964.7115355, 13.9262, 11.313, 15.3051, 16.0076, -0.844668, 1.61095, 56.5518, 63964.720535500004, 13.9163, 11.313, 15.366, 15.9492, -0.893144, 1.61445, 56.5444, 63965.131535500004, 13.6494, 11.2926, 15.4269, 16.2294, -0.686528, 1.77943, 56.5983, 63965.1635355, 13.6099, 11.2825, 15.3152, 16.206, -0.636636, 1.76259, 56.4136, 63966.1545355, 14.0448, 11.6996, 14.8281, 15.7624, -0.626117, 1.29034, 56.3348, 63966.1735355, 14.114, 11.7708, 14.8179, 15.7273, -0.635181, 1.23884, 56.43, 63966.9985355, 14.0448, 11.7606, 14.8078, 15.8207, -0.563121, 1.28197, 56.4339
63967.099, 63968.51554940398, 63968.532218411, 63968.93218771998, 63968.94882052201, 63969.46544091702, 63969.482128174, 63970.48201698701, 63970.49876066898, 63971.41525924999, 4.770072783468361, -0.620565846153846, 1.5244534188034182, 1.4538365106694884, -0.8595701428571427, 1.5984248571428576, 1.5842571424171934, -0.8738189999999998, 1.631769047619047, 3.23099202583503, -0.9244889012345675, 1.7259464197530865, 3.0717631918958896, -0.7985759857142853, 1.730333, 63967.0175355, 14.0448, 11.7606, 14.8281, 15.8091, -0.577199, 1.28407, 56.4425, 63968.4275355, 13.936, 11.3944, 15.3254, 16.0192, -0.815091, 1.59176, 56.675, 63968.4335355, 13.936, 11.3944, 15.3254, 16.0192, -0.815091, 1.59176, 56.675, 63968.8355355, 13.6395, 11.1095, 15.6096, 16.171, -0.870585, 1.8658, 56.5296, 63968.849535500005, 13.6988, 11.0688, 15.5994, 16.2527, -0.872783, 1.87686, 56.6198, 63969.3715355, 13.9756, 11.3435, 15.3051, 15.8324, -0.932012, 1.5459, 56.4566, 63969.3885355, 13.9064, 11.313, 15.2848, 15.8441, -0.902465, 1.57312, 56.3483, 63970.3945355, 14.0744, 11.5877, 14.9397, 15.669, -0.780819, 1.3186, 56.2707, 63970.4035355, 14.0843, 11.5775, 14.9499, 15.669, -0.794101, 1.32115, 56.2806, 63971.3255355, 13.8076, 11.2418, 15.2949, 16.0659, -0.795414, 1.6783, 56.4102
63971.432, 63972.84854296103, 63972.865184719994, 63974.465056657995, 63974.48172010502, 63974.99833007503, 63975.014986731025, 63976.014920873014, 63976.03162702298, 63977.198114460014, 4.4434732735993245, -0.7779856756756753, 1.6302134234234238, 5.069396952518199, -0.5843410940170938, 1.6127085470085472, 1.425738078527296, -0.7071076, 1.8652745, 2.6313426186221944, -0.7986580000000001, 2.0358479166666665, 3.750735517264726, -0.6426542268041235, 1.8693990721649478, 63971.332535500005, 13.8076, 11.313, 15.3355, 16.0543, -0.785623, 1.6641, 56.5103, 63972.7495355, 13.9855, 11.7708, 14.8687, 15.9375, -0.506443, 1.3392, 56.5624, 63972.7685355, 13.9459, 11.6691, 14.8484, 15.9025, -0.542331, 1.36674, 56.3658, 63974.3755355, 13.5308, 11.1502, 15.5588, 16.4162, -0.672126, 1.93112, 56.656, 63974.3945355, 13.4715, 11.079, 15.5487, 16.4162, -0.67458, 1.96788, 56.5154, 63974.9135355, 13.343, 11.2113, 15.5893, 16.4512, -0.560914, 1.98416, 56.5948, 63974.919535500005, 13.3331, 11.1706, 15.6501, 16.4162, -0.617164, 2.0053, 56.5701, 63975.9225355, 13.8174, 11.079, 15.4573, 16.1827, -0.890166, 1.78917, 56.5364, 63975.9395355, 13.7581, 11.1095, 15.4979, 16.1827, -0.868216, 1.8072, 56.5483, 63977.1245355, 13.6395, 11.2621, 15.3558, 16.2294, -0.665572, 1.77481, 56.4869
63977.214, 63978.430569626005, 63978.44713884798, 63979.04717596797, 63979.06382457396, 63979.480471737006, 63979.49713497297, 63980.49704186801, 63980.513815943, 63992.34589621596, 3.186436887936034, -0.6362708020833332, 1.8853248958333326, 1.7736874451349918, -0.9612515416666668, 2.051745, 0.9839706716208535, -0.61090453125, 1.8540034375, 2.9080658744453425, -0.6048746533333335, 1.915316399999999, 35.35164325256361, -0.8567768342665175, 1.6841606718924995, 63977.1245355, 13.6395, 11.2621, 15.3558, 16.2294, -0.665572, 1.77481, 56.4869, 63978.3355355, 13.5407, 10.9874, 15.6907, 16.2527, -0.881533, 1.96967, 56.4716, 63978.349535500005, 13.5407, 10.9874, 15.6907, 16.2527, -0.881533, 1.96967, 56.4716, 63978.9485355, 13.4517, 11.0688, 15.6197, 16.4279, -0.695948, 1.99592, 56.5682, 63978.9645355, 13.4913, 11.018, 15.5994, 16.4396, -0.722027, 1.99734, 56.5482, 63979.387535500005, 13.4715, 11.2621, 15.4573, 16.4045, -0.557542, 1.88925, 56.5955, 63979.4145355, 13.5407, 11.2214, 15.4472, 16.2761, -0.659615, 1.84857, 56.4854, 63980.4035355, 13.432, 10.8959, 15.7212, 16.4979, -0.777832, 2.09329, 56.547, 63980.4225355, 13.4913, 10.8857, 15.7719, 16.3462, -0.898916, 2.05534, 56.4951, 63992.2495355, 13.8273, 11.1604, 15.6299, 15.9141, -1.05368, 1.73963, 56.5317
