a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a_offset_x, a_offset_y, b_distance, b_offset_x, b_offset_y, c_distance, c_offset_x, c_offset_y, d_distance, d_offset_x, d_offset_y, e_distance, e_offset_x, e_offset_y, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
63105.241, 63106.65753044103, 63106.674184935015, 63107.07414077201, 63107.09080066604, 63107.50741750202, 63107.52411442799, 63108.52400863999, 63108.540749080035, 63109.42392800605, 4.459625283811346, 1.1888414646464645, 1.0981622929292925, 1.2392961533689772, 1.544745, 1.1582355312499997, 1.4642281323982551, 1.4820114285714285, 0.43822792857142867, 3.067175202343626, 1.5420525641025644, 0.9142397820512821, 2.149587747923185, 1.5916230769230773, 1.1682489846153836, 63105.1555355, 13.1256, 13.2765, 13.7421, 16.3695, 1.22904, 0.984594, 56.5137, 63106.563535500005, 12.75, 13.0628, 14.1075, 17.0102, 1.41206, 1.39771, 56.9305, 63106.576535500004, 12.7105, 13.0018, 14.0669, 17.0815, 1.45355, 1.43407, 56.8607, 63106.9805355, 13.2343, 13.7546, 13.3361, 16.2177, 1.50414, 0.680432, 56.5428, 63107.0015355, 13.343, 13.7852, 13.3057, 16.1126, 1.43647, 0.607499, 56.5465, 63107.4135355, 13.1948, 13.8462, 13.2752, 16.2177, 1.58928, 0.650577, 56.5339, 63107.4445355, 13.1651, 13.7343, 13.3158, 16.2644, 1.5571, 0.711983, 56.4796, 63108.4255355, 13.1157, 13.7038, 13.4478, 16.3228, 1.52991, 0.782229, 56.59, 63108.4465355, 13.1058, 13.6326, 13.4478, 16.4863, 1.57274, 0.845824, 56.6724, 63109.3335355, 12.7797, 13.3273, 13.7928, 16.7198, 1.53421, 1.16716, 56.6196
63109.441, 63110.857519963996, 63110.874182848966, 63112.49067172799, 63112.50734626997, 63113.123953497976, 63113.14063340397, 63114.15717278899, 63114.17389312195, 63115.07375145297, 4.630091653972654, 1.3376954368932035, 0.781937475728155, 5.112932369803704, 1.4031545669291332, 0.6129556220472442, 1.8102065126543536, 1.4527438636363639, 0.7308904318181818, 2.773887136003625, 1.5997164383561642, 0.7441269726027394, 2.7808252636010007, 1.5590811290322582, 0.6844174354838711, 63109.3535355, 12.7698, 13.3579, 13.7522, 16.7081, 1.56569, 1.14849, 56.588, 63110.777535500005, 12.8291, 13.2968, 13.7725, 16.7782, 1.5321, 1.17106, 56.6766, 63110.777535500005, 12.8291, 13.2968, 13.7725, 16.7782, 1.5321, 1.17106, 56.6766, 63112.3915355, 13.4616, 13.7546, 13.2651, 15.9725, 1.32872, 0.537077, 56.4539, 63112.417535500004, 13.5308, 13.7852, 13.2651, 16.0076, 1.32395, 0.518653, 56.5886, 63113.0245355, 13.0169, 13.6224, 13.4985, 16.5096, 1.59612, 0.892067, 56.6474, 63113.0495355, 13.0169, 13.5613, 13.529, 16.4629, 1.53722, 0.90516, 56.5701, 63114.076535500004, 13.2936, 13.8971, 13.2651, 16.1126, 1.52515, 0.579928, 56.5684, 63114.076535500004, 13.2936, 13.8971, 13.2651, 16.1126, 1.52515, 0.579928, 56.5684, 63114.9835355, 13.3628, 13.9581, 13.2143, 15.9725, 1.48365, 0.495318, 56.5078
63115.091, 63116.20759045902, 63116.224163323976, 63117.22410456602, 63117.240779917964, 63117.757431360995, 63117.774087666985, 63118.373939594996, 63118.39071828201, 63119.323939067996, 2.7954565211379356, 1.5044869047619052, 0.43212045119047593, 2.778511042223335, 1.5625098630136982, 0.6913531369863013, 1.3146937444665825, 1.5188538888888887, 0.8069747777777777, 1.8121451685714218, 1.4375469047619052, 0.6982048095238097, 2.018518226266613, 1.5537001538461537, 0.6483621846153849, 63115.0025355, 13.4122, 14.009, 13.2346, 15.9959, 1.48187, 0.479064, 56.6517, 63116.112535500004, 13.7483, 14.3549, 12.8388, 15.6806, 1.52256, 0.110283, 56.6226, 63116.1385355, 13.7087, 14.3244, 12.9301, 15.6573, 1.47595, 0.14686, 56.6205, 63117.1475355, 13.0564, 13.6529, 13.4579, 16.4396, 1.58027, 0.844823, 56.6068, 63117.1475355, 13.0564, 13.6529, 13.4579, 16.4396, 1.58027, 0.844823, 56.6068, 63117.665535500004, 13.2442, 13.7546, 13.4275, 16.3228, 1.50037, 0.727263, 56.7491, 63117.6835355, 13.1849, 13.6529, 13.4782, 16.2411, 1.42815, 0.764226, 56.5571, 63118.2805355, 13.4122, 13.8767, 13.2651, 15.9141, 1.37847, 0.502129, 56.4682, 63118.307535500004, 13.3529, 13.836, 13.2042, 15.9258, 1.4226, 0.516985, 56.3189, 63119.2285355, 13.2244, 13.9072, 13.2854, 16.2527, 1.61029, 0.636969, 56.6698
63119.34, 63120.75655664803, 63120.77322564999, 63121.589779350994, 63121.60646645501, 63122.02307699903, 63122.039737085026, 63123.056284789025, 63123.07300431104, 63123.92289696503, 3.9604043746076045, 1.531373235294117, 0.6704961274509806, 2.0765069093276898, 1.539123090909091, 0.6193462727272725, 1.076896832289443, 1.577708275862069, 0.6394732413793104, 3.2845703647629065, 1.6911358666666667, 0.4615358933333335, 2.1679583701524217, 1.671988448275862, 0.46626536206896557, 63119.2425355, 13.1256, 13.9581, 13.2651, 16.2294, 1.6777, 0.639144, 56.5782, 63120.6575355, 13.0564, 13.7139, 13.4985, 16.4279, 1.58163, 0.834982, 56.6967, 63120.6915355, 13.0762, 13.6732, 13.4579, 16.3462, 1.54072, 0.810202, 56.5535, 63121.5015355, 13.3233, 13.8971, 13.2854, 16.136, 1.51144, 0.582883, 56.6417, 63121.5205355, 13.2837, 13.9276, 13.2245, 16.0659, 1.54213, 0.551957, 56.5017, 63121.9265355, 13.1651, 13.8564, 13.2854, 16.2761, 1.62681, 0.673342, 56.583, 63121.951535500004, 13.1552, 13.7953, 13.3463, 16.2527, 1.56791, 0.702512, 56.5496, 63122.9655355, 13.0564, 13.9276, 13.2448, 16.3695, 1.76504, 0.697095, 56.5983, 63122.9955355, 13.1058, 14.0293, 13.123, 16.2644, 1.79793, 0.597711, 56.5225, 63123.8485355, 13.2145, 13.8564, 13.2752, 16.3111, 1.6228, 0.665962, 56.6573
63123.94, 63125.256575759966, 63125.27325803897, 63126.28980680299, 63126.306451704004, 63126.923096869956, 63126.939735286986, 63128.556256179, 63128.572970838984, 63129.289504594984, 3.8386148786491745, 1.6516067045454548, 0.4594751931818182, 2.549218274337811, 1.6341542857142863, 0.6829465714285712, 1.8003131872527698, 1.5298226829268293, 0.6149612439024392, 4.763984650488416, 1.7278899999999995, 0.4787526915887849, 2.0818243453138985, 1.864355961538462, 0.6265558653846155, 63123.8485355, 13.2145, 13.8564, 13.2752, 16.3111, 1.6228, 0.665962, 56.6573, 63125.1735355, 13.0762, 13.9378, 13.2042, 16.3578, 1.77428, 0.675575, 56.5759, 63125.1735355, 13.0762, 13.9378, 13.2042, 16.3578, 1.77428, 0.675575, 56.5759, 63126.1975355, 13.1948, 13.8564, 13.3666, 16.2294, 1.55544, 0.673862, 56.6471, 63126.2115355, 13.1849, 13.8157, 13.3666, 16.2527, 1.55289, 0.693771, 56.6199, 63126.8315355, 13.4023, 13.8462, 13.3057, 16.0192, 1.39528, 0.550534, 56.5734, 63126.8465355, 13.4715, 13.836, 13.2448, 15.9842, 1.37254, 0.509788, 56.5365, 63128.4675355, 13.3826, 14.2735, 13.0113, 15.9842, 1.70507, 0.354668, 56.6516, 63128.4865355, 13.4023, 14.2633, 12.9403, 15.9025, 1.69141, 0.312465, 56.5084, 63129.1995355, 12.9576, 13.9988, 13.2346, 16.3462, 1.8363, 0.696291, 56.5371
63129.307, 63130.62362822701, 63130.640304020984, 63131.856850590004, 63131.87350786102, 63132.290161551995, 63132.30681517601, 63133.323357649, 63133.34006825599, 63134.28997249997, 3.6366490485890504, 1.6748827272727278, 0.4578650227272725, 3.699065227857542, 1.7180001176470585, 0.3920778588235293, 1.3894920660396752, 1.9537971874999998, 0.79923528125, 2.6369208038651317, 1.915465479452056, 0.7173239589041096, 2.4760320992960168, 1.9044471212121212, 0.81987346969697, 63129.2135355, 12.8983, 14.0191, 13.1839, 16.3578, 1.90175, 0.697222, 56.4591, 63130.5375355, 13.175, 14.0802, 13.1433, 16.101, 1.70925, 0.528073, 56.4994, 63130.546535500005, 13.1849, 14.1311, 13.1433, 16.0893, 1.72072, 0.508402, 56.5485, 63131.7575355, 13.0762, 14.0802, 13.0418, 16.3462, 1.90488, 0.591994, 56.5443, 63131.779535500005, 12.9872, 14.0497, 13.0722, 16.3812, 1.93458, 0.641668, 56.4903, 63132.2085355, 13.0169, 13.9174, 13.0925, 16.4279, 1.8758, 0.687139, 56.4547, 63132.2085355, 13.0169, 13.9174, 13.0925, 16.4279, 1.8758, 0.687139, 56.4547, 63133.2335355, 13.0762, 14.1412, 12.8997, 16.2411, 1.95466, 0.511916, 56.3582, 63133.2665355, 13.0564, 14.1412, 13.0215, 16.4396, 1.98686, 0.599227, 56.6587, 63134.203535500004, 12.8785, 13.6631, 13.4275, 16.5563, 1.73084, 0.913453, 56.5253
63134.306, 63135.822555676, 63135.839174950976, 63137.25571712096, 63137.27226077301, 63137.688995472985, 63137.70568417596, 63138.722235585985, 63138.73895829097, 63139.522161752, 4.350424761476438, 1.7282211320754717, 0.8850901132075469, 3.9058375291668535, 1.9383305102040804, 0.5679826020408163, 1.4324111437477738, 2.1523656666666664, 0.6934443666666666, 3.1617020776386577, 2.260753972602741, 0.4181565479452055, 2.590768705746634, 2.163453571428571, 0.14619729874999998, 63134.222535500005, 12.8093, 13.7343, 13.4072, 16.5563, 1.80249, 0.90782, 56.5071, 63135.7365355, 13.2145, 14.1209, 13.1128, 16.0776, 1.7121, 0.492259, 56.5259, 63135.7445355, 13.1552, 14.0904, 13.0925, 16.1827, 1.78044, 0.538641, 56.5208, 63137.1665355, 12.7994, 13.9479, 13.1839, 16.6964, 2.05777, 0.829883, 56.6277, 63137.1755355, 12.8488, 13.9378, 13.2448, 16.7198, 2.0105, 0.839973, 56.7512, 63137.6005355, 13.1157, 14.4973, 12.5851, 16.1243, 2.18423, 0.291994, 56.3224, 63137.6195355, 13.2145, 14.599, 12.6358, 16.0426, 2.12033, 0.229631, 56.492, 63138.6365355, 13.2936, 14.5787, 12.5546, 15.9725, 2.08468, 0.174165, 56.3995, 63138.6395355, 13.2837, 14.6194, 12.5039, 15.9141, 2.10664, 0.13714, 56.3211, 63139.4235355, 12.8291, 14.5583, 12.6561, 16.4279, 2.43532, 0.450649, 56.4714
63139.539, 63140.55566699699, 63140.57233177598, 63141.372237562966, 63141.38891939895, 63141.80554153998, 63141.822208418984, 63142.82208750497, 63142.83883741999, 63144.071995313985, 5.234424503888127, 2.3314504054054055, 0.35904685945945947, 2.5309565297835683, 2.3127979999999995, 0.6830203818181817, 1.2387827274462528, 1.9260588888888888, 0.25436448148148155, 2.9675748800542463, 2.221509428571428, 0.5478422, 3.131653072041152, 2.1379523863636365, 0.5999879886363636, 63139.459535500006, 12.9378, 14.6296, 12.5546, 16.4629, 2.47419, 0.384427, 56.5849, 63140.4645355, 13.3035, 14.8229, 12.4531, 16.0192, 2.24628, 0.0917029, 56.5987, 63140.4785355, 13.2145, 14.7211, 12.4024, 15.9609, 2.24918, 0.113922, 56.2989, 63141.279535500005, 13.007, 14.2328, 12.9707, 16.4979, 2.09537, 0.589571, 56.7085, 63141.309535500004, 13.1355, 14.3549, 12.8388, 16.2994, 2.06612, 0.436506, 56.6286, 63141.707535500005, 13.3628, 14.4261, 12.6866, 16.101, 1.97861, 0.26477, 56.5764, 63141.7275355, 13.3628, 14.4464, 12.7475, 16.1243, 1.96737, 0.28119, 56.681, 63142.7275355, 12.9971, 14.3956, 12.8388, 16.3578, 2.17245, 0.478175, 56.5893, 63142.7575355, 12.9674, 14.4363, 12.8388, 16.3345, 2.19369, 0.469159, 56.577, 63143.9735355, 12.7599, 14.1209, 13.0824, 16.5797, 2.14806, 0.737836, 56.5428
63144.09, 63145.50656035394, 63145.52317727197, 63146.72307457894, 63146.73974060998, 63147.15638638797, 63147.17304655499, 63148.18960579697, 63148.20623535695, 63149.122843410965, 3.6842025875146693, 2.1628532673267338, 0.44676649504950516, 3.6481452904676352, 2.223060909090909, 0.3559663295454545, 0.9712377731463183, 2.021071666666666, 0.3588300277777778, 2.761276015553542, 2.138721392405064, 0.2255494868354431, 2.782193468144442, 2.267563230769231, -0.0733271123076923, 63143.9905355, 12.7895, 14.1718, 13.123, 16.5213, 2.11133, 0.710968, 56.6056, 63145.4085355, 12.7994, 14.4566, 12.7373, 16.4629, 2.38361, 0.516559, 56.4563, 63145.4355355, 12.8686, 14.4363, 12.8185, 16.3812, 2.26988, 0.503007, 56.5046, 63146.6255355, 13.2936, 14.5889, 12.717, 15.9258, 1.99206, 0.201777, 56.5253, 63146.6405355, 13.3233, 14.5075, 12.5952, 16.0426, 2.05051, 0.214385, 56.4685, 63147.0815355, 13.1355, 14.3752, 12.7373, 16.0659, 2.02809, 0.34429, 56.3139, 63147.0815355, 13.1355, 14.3752, 12.7373, 16.0659, 2.02809, 0.34429, 56.3139, 63148.0915355, 13.5703, 15.1688, 12.1791, 15.5989, 2.21978, -0.255083, 56.5171, 63148.1175355, 13.6297, 15.24, 12.169, 15.5288, 2.19659, -0.310734, 56.5674, 63149.029535500005, 13.4221, 14.9653, 12.3212, 15.774, 2.21132, -0.0775856, 56.4826
63149.139, 63150.155564878, 63150.172234248, 63151.388780257, 63151.422116432026, 63152.03869994303, 63152.05537209, 63153.05526754002, 63153.072088622, 63153.971866465035, 2.6515608251910345, 2.150827532467532, -0.09101587311688308, 3.905180258368833, 2.2527468888888893, 0.045704185111111136, 1.7848344852143692, 2.07536152173913, 0.4544706956521739, 2.98269441824045, 1.937328285714286, 0.0038194992857142934, 2.6082539074732938, 1.9294151470588237, -0.16468504001470596, 63149.0435355, 13.432, 14.9856, 12.3719, 15.739, 2.17621, -0.0813738, 56.5286, 63150.065535500005, 13.3233, 14.9246, 12.4328, 15.8091, 2.20286, -0.00157982, 56.4898, 63150.0745355, 13.2837, 14.9755, 12.4227, 15.7624, 2.22849, -0.0197026, 56.4442, 63151.2995355, 12.8983, 14.5685, 12.8185, 16.2644, 2.26181, 0.42869, 56.5497, 63151.326535500004, 12.8983, 14.5583, 12.8794, 16.3228, 2.25185, 0.462136, 56.6588, 63151.9415355, 13.3233, 14.5583, 12.8287, 15.8558, 1.88373, 0.212891, 56.566, 63151.9645355, 13.4221, 14.538, 12.7373, 15.7273, 1.81921, 0.134132, 56.4247, 63152.959535500006, 13.5209, 14.9449, 12.5343, 15.5639, 1.96837, -0.0975019, 56.5641, 63152.9735355, 13.4913, 14.9449, 12.514, 15.4938, 1.96365, -0.113841, 56.4441, 63153.879535500004, 13.1849, 14.6703, 12.7779, 15.9141, 2.04326, 0.222006, 56.5472
