a1, a2, b1, b2, c1, c2, d1, d2, e1, e2, a_distance, a1_time, a1_sensor1, a1_sensor2, a1_sensor3, a1_sensor4, a1_x, a1_y, a1_f, a2_time, a2_sensor1, a2_sensor2, a2_sensor3, a2_sensor4, a2_x, a2_y, a2_f, b1_time, b1_sensor1, b1_sensor2, b1_sensor3, b1_sensor4, b1_x, b1_y, b1_f, b2_time, b2_sensor1, b2_sensor2, b2_sensor3, b2_sensor4, b2_x, b2_y, b2_f, c1_time, c1_sensor1, c1_sensor2, c1_sensor3, c1_sensor4, c1_x, c1_y, c1_f, c2_time, c2_sensor1, c2_sensor2, c2_sensor3, c2_sensor4, c2_x, c2_y, c2_f, d1_time, d1_sensor1, d1_sensor2, d1_sensor3, d1_sensor4, d1_x, d1_y, d1_f, d2_time, d2_sensor1, d2_sensor2, d2_sensor3, d2_sensor4, d2_x, d2_y, d2_f, e1_time, e1_sensor1, e1_sensor2, e1_sensor3, e1_sensor4, e1_x, e1_y, e1_f, e2_time, e2_sensor1, e2_sensor2, e2_sensor3, e2_sensor4, e2_x, e2_y, e2_f
47203.648, 47204.864599, 47204.897916, 47205.89783, 47205.914492, 47206.331118, 47206.347814, 47207.347706, 47207.440444, 47208.614304, 3.2523997167204635, 47203.5552455, 13.1517, 12.9588, 14.5744, 16.5721, 0.788021, 1.31933, 57.257, 47204.7722455, 13.1517, 13.0515, 14.5537, 16.5374, 0.8219, 1.27966, 57.2943, 47204.798245499995, 13.2013, 13.0825, 14.5433, 16.5027, 0.802645, 1.24602, 57.3298, 47205.806245499996, 13.479, 13.3093, 14.3152, 16.1558, 0.729498, 0.964757, 57.2593, 47205.815245499994, 13.4096, 13.2268, 14.3049, 16.1211, 0.71564, 0.996172, 57.0623, 47206.2422455, 13.4096, 13.299, 14.3774, 16.2252, 0.757763, 1.01919, 57.3111, 47206.249245499996, 13.4096, 13.299, 14.3774, 16.2252, 0.757763, 1.01919, 57.3111, 47207.2522455, 13.2211, 13.134, 14.45, 16.5837, 0.891536, 1.22285, 57.3888, 47207.342245499996, 13.231, 13.1959, 14.3774, 16.5027, 0.911805, 1.16563, 57.3071, 47208.516245499995, 13.231, 13.1959, 14.5537, 16.5259, 0.842091, 1.21359, 57.5064
47208.624, 47209.84063100001, 47209.857276, 47210.857207, 47210.873869, 47211.290507000005, 47211.307175, 47212.70707800001, 47212.724039, 47213.823669000005, 3.0060785409032262, 47208.5342455, 13.2112, 13.1546, 14.4811, 16.5374, 0.871211, 1.21619, 57.3844, 47209.75624549999, 12.9533, 12.9072, 14.761, 16.7918, 0.864238, 1.48718, 57.4134, 47209.7592455, 12.9533, 12.9072, 14.761, 16.7918, 0.864238, 1.48718, 57.4134, 47210.7652455, 12.8046, 12.6598, 15.0409, 16.8959, 0.744894, 1.69137, 57.4011, 47210.7892455, 12.7847, 12.6804, 15.0409, 16.8034, 0.723374, 1.66966, 57.3094, 47211.196245499996, 12.8541, 12.8041, 14.9268, 16.8844, 0.829792, 1.60596, 57.4694, 47211.2162455, 12.755, 12.7835, 14.9372, 16.8497, 0.84649, 1.63498, 57.3253, 47212.6132455, 13.1021, 13.1753, 14.564, 16.3871, 0.828347, 1.22502, 57.2285, 47212.633245499994, 13.1517, 13.1959, 14.5848, 16.3408, 0.785816, 1.19899, 57.2731, 47213.734245499996, 13.1021, 13.2577, 14.4915, 16.4333, 0.915384, 1.19534, 57.2846
47213.839, 47215.055644, 47215.07233, 47216.072286, 47216.088925000004, 47216.705541, 47216.722193, 47218.322094, 47218.339227, 47219.272025, 3.2439207592486956, 47213.7552455, 13.0426, 13.268, 14.5122, 16.4333, 0.937274, 1.21425, 57.2562, 47214.961245499995, 13.0624, 13.1959, 14.5433, 16.5721, 0.942186, 1.26986, 57.3737, 47214.9792455, 13.0624, 13.1856, 14.5433, 16.5837, 0.94271, 1.27555, 57.375, 47215.976245499995, 12.9137, 13.0515, 14.678, 16.734, 0.955892, 1.42396, 57.3773, 47216.0132455, 12.9335, 13.0412, 14.7506, 16.6878, 0.890431, 1.42746, 57.4131, 47216.6082455, 12.8145, 13.1237, 14.7506, 16.7224, 0.993308, 1.44611, 57.4112, 47216.622245499995, 12.9037, 13.0722, 14.8024, 16.6299, 0.869182, 1.4257, 57.4083, 47218.23524549999, 12.8938, 12.9588, 14.7299, 16.6184, 0.853762, 1.44115, 57.2008, 47218.2422455, 12.8839, 12.9897, 14.7195, 16.6068, 0.871104, 1.42991, 57.1999, 47219.181245499996, 12.9236, 13.1546, 14.678, 16.549, 0.917017, 1.34773, 57.3052
47219.288, 47220.404567, 47220.421259, 47220.821215, 47220.837889, 47221.354514, 47221.371179, 47222.371115, 47222.388148, 47223.671028, 3.340074223576432, 47219.1912455, 12.8839, 13.1649, 14.6262, 16.5374, 0.957939, 1.341, 57.2125, 47220.30724549999, 12.9732, 13.0619, 14.7195, 16.5374, 0.831965, 1.36718, 57.2919, 47220.3242455, 13.0029, 13.0515, 14.7506, 16.4565, 0.765994, 1.34976, 57.2615, 47220.732245499996, 12.9137, 13, 14.9165, 16.6299, 0.783074, 1.47043, 57.46, 47220.749245499996, 12.9236, 13.0619, 14.8543, 16.5605, 0.803378, 1.41882, 57.4002, 47221.2632455, 12.8046, 12.9588, 14.8543, 16.6646, 0.85741, 1.50717, 57.2822, 47221.2862455, 12.8046, 12.9175, 14.9268, 16.7456, 0.841424, 1.55511, 57.3945, 47222.2972455, 12.8244, 12.9794, 14.8335, 16.6878, 0.876236, 1.49608, 57.3251, 47222.2972455, 12.8244, 12.9794, 14.8335, 16.6878, 0.876236, 1.49608, 57.3251, 47223.573245499996, 12.9335, 13.1031, 14.7506, 16.5374, 0.853214, 1.37413, 57.3246
47223.708, 47225.024549, 47225.041225, 47226.041159, 47226.057824999996, 47226.474488, 47226.491131999996, 47227.691036, 47227.708654, 47228.974281999996, 4.040655868758359, 47223.609245499996, 12.9533, 13.0928, 14.6988, 16.5374, 0.863311, 1.35908, 57.2823, 47224.9412455, 13.0128, 13.2268, 14.5951, 16.4565, 0.905594, 1.25987, 57.2912, 47224.9412455, 13.0128, 13.2268, 14.5951, 16.4565, 0.905594, 1.25987, 57.2912, 47225.9582455, 12.7252, 13.0412, 14.7817, 16.6646, 0.960863, 1.48915, 57.2128, 47225.9582455, 12.7252, 13.0412, 14.7817, 16.6646, 0.960863, 1.48915, 57.2128, 47226.383245499994, 12.7946, 12.9897, 14.8957, 16.8034, 0.914493, 1.54344, 57.4835, 47226.391245499995, 12.7351, 12.9691, 14.9372, 16.7224, 0.879997, 1.55728, 57.3638, 47227.607245499996, 12.9037, 13.1649, 14.6884, 16.5143, 0.911048, 1.34466, 57.2714, 47227.61024549999, 12.8145, 13.1753, 14.7195, 16.5837, 0.970864, 1.39113, 57.2929, 47228.883245499994, 12.5368, 12.8969, 14.9683, 16.9075, 1.00304, 1.68614, 57.3094
47229.003, 47230.019563999995, 47230.036254, 47231.05283, 47231.069487, 47231.486124999996, 47231.50279, 47233.119352999995, 47233.136257, 47234.135942999994, 2.409518617047996, 47228.91724549999, 12.5566, 12.9072, 14.9787, 17, 1.03232, 1.70123, 57.4425, 47229.9242455, 12.5268, 12.9794, 14.9787, 16.9769, 1.06626, 1.68355, 57.4618, 47229.9452455, 12.4971, 12.8969, 15.0201, 16.9537, 1.01688, 1.72044, 57.3679, 47230.959245499995, 12.7252, 13.0619, 14.7921, 16.6878, 0.97453, 1.49112, 57.2669, 47230.9732455, 12.745, 13.0619, 14.7921, 16.6762, 0.960684, 1.48268, 57.2752, 47231.39824549999, 12.7351, 13.1546, 14.8335, 16.7109, 0.999781, 1.47682, 57.4342, 47231.404245499994, 12.7351, 13.1546, 14.8335, 16.7109, 0.999781, 1.47682, 57.4342, 47233.0432455, 13.3798, 13.9072, 14.0872, 15.832, 0.992978, 0.690172, 57.2062, 47233.0432455, 13.3798, 13.9072, 14.0872, 15.832, 0.992978, 0.690172, 57.2062, 47234.0452455, 13.2013, 13.5876, 14.3049, 16.1095, 0.957546, 0.950684, 57.2033
47234.153, 47235.469564, 47235.486236, 47236.486151, 47236.502828, 47236.919442, 47236.936139, 47238.152691999996, 47238.169506, 47239.585932, 3.7640008828328386, 47234.063245499994, 13.2509, 13.6598, 14.2945, 16.0864, 0.96035, 0.908573, 57.2916, 47235.376245499996, 13.0723, 13.5464, 14.4604, 16.2136, 0.971889, 1.06171, 57.2927, 47235.3902455, 13.0228, 13.5258, 14.4396, 16.283, 1.02424, 1.09325, 57.2712, 47236.4052455, 12.993, 13.4639, 14.5226, 16.3293, 0.993571, 1.15032, 57.3087, 47236.4052455, 12.993, 13.4639, 14.5226, 16.3293, 0.993571, 1.15032, 57.3087, 47236.8242455, 12.9335, 13.4227, 14.4604, 16.3871, 1.05583, 1.17771, 57.2036, 47236.8562455, 12.9533, 13.5052, 14.4604, 16.3061, 1.04744, 1.12923, 57.225, 47238.061245499994, 12.9632, 13.3711, 14.5537, 16.3177, 0.949171, 1.18965, 57.2057, 47238.090245499996, 13.0029, 13.433, 14.5744, 16.3408, 0.95748, 1.17155, 57.3511, 47239.48724549999, 13.0327, 13.4536, 14.4707, 16.1789, 0.9316, 1.09301, 57.1359
47239.601, 47240.817571, 47240.834252, 47241.850828, 47241.867492000005, 47242.384132, 47242.400796, 47243.617356, 47243.634352, 47244.800616, 3.556513187563004, 47239.5022455, 12.9732, 13.4742, 14.4915, 16.1673, 0.953028, 1.10621, 57.1062, 47240.73524549999, 13.0922, 13.5567, 14.4707, 16.1442, 0.933403, 1.03889, 57.2638, 47240.73524549999, 13.0922, 13.5567, 14.4707, 16.1442, 0.933403, 1.03889, 57.2638, 47241.764245499995, 12.7847, 13.0928, 14.8439, 16.5374, 0.87392, 1.44183, 57.2588, 47241.781245499995, 12.7748, 13.0722, 14.8128, 16.5374, 0.883776, 1.44323, 57.1972, 47242.300245499995, 12.745, 13.1959, 14.7921, 16.549, 0.963542, 1.41409, 57.282, 47242.306245499996, 12.7054, 13.1856, 14.7299, 16.5721, 1.01517, 1.41916, 57.1929, 47243.5212455, 12.6657, 13.1856, 14.8439, 16.734, 1.04911, 1.49575, 57.4292, 47243.54224549999, 12.6657, 13.1649, 14.8335, 16.6415, 1.00654, 1.47744, 57.3057, 47244.7082455, 12.5268, 12.9794, 15.0616, 16.919, 1.00458, 1.68936, 57.4869
47244.819, 47246.035565000006, 47246.052231, 47246.852172000006, 47246.868839, 47247.385478000004, 47247.402126, 47248.41874, 47248.435588, 47249.485315000005, 3.3602645460977136, 47244.722245499994, 12.5268, 12.9794, 15.0616, 16.919, 1.00458, 1.68936, 57.4869, 47245.9452455, 12.4177, 12.8969, 15.103, 16.9653, 1.02009, 1.76543, 57.383, 47245.961245499995, 12.4872, 12.866, 15.0201, 16.8844, 0.979367, 1.71628, 57.2576, 47246.760245499994, 12.4475, 12.9278, 15.0927, 16.8728, 0.985533, 1.72394, 57.3408, 47246.777245499994, 12.4376, 12.9175, 15.072, 16.9306, 1.01931, 1.73843, 57.3577, 47247.2892455, 12.6359, 13.0928, 14.9372, 16.7109, 0.971881, 1.5475, 57.3768, 47247.317245499995, 12.626, 13.1031, 14.9476, 16.6068, 0.932342, 1.52537, 57.2835, 47248.3222455, 13.0723, 13.701, 14.3774, 16.2252, 1.07903, 1.00109, 57.376, 47248.3392455, 13.112, 13.6495, 14.3567, 16.1789, 1.02958, 0.988038, 57.2971, 47249.3922455, 12.8442, 13.3505, 14.7195, 16.549, 1.0162, 1.32443, 57.4632
47249.5, 47250.916564, 47250.933254, 47251.54987, 47251.566539, 47252.183153, 47252.199808, 47253.216419000004, 47253.233319, 47254.316343, 4.733351932536424, 47249.408245499995, 12.8641, 13.3402, 14.678, 16.4912, 0.997519, 1.29806, 57.3735, 47250.8222455, 13.2608, 13.7113, 14.2841, 16.098, 0.987005, 0.891818, 57.3542, 47250.8542455, 13.2013, 13.6598, 14.3671, 16.098, 0.954798, 0.943015, 57.3261, 47251.4502455, 13.1319, 13.6392, 14.3982, 16.1558, 0.987759, 0.989862, 57.325, 47251.47024549999, 13.0922, 13.6804, 14.3982, 16.1558, 1.02302, 0.989426, 57.3265, 47252.0832455, 13.1021, 13.6392, 14.3671, 16.1673, 1.02022, 0.993392, 57.2757, 47252.109245499996, 13.0922, 13.6082, 14.3878, 16.2136, 1.02172, 1.02117, 57.3018, 47253.1172455, 13.2211, 13.8247, 14.2634, 16.0748, 1.05214, 0.860617, 57.3841, 47253.137245499995, 13.1616, 13.7526, 14.2323, 16.0633, 1.05835, 0.886577, 57.2098, 47254.2192455, 13.1517, 13.8247, 14.253, 16.1095, 1.10288, 0.885819, 57.339
47254.334, 47255.550584000004, 47255.567252, 47256.783812, 47256.800496, 47257.417106, 47257.433783, 47258.45035, 47258.467078, 47259.883598, 3.100003709138056, 47254.2482455, 13.1219, 13.8454, 14.1909, 16.098, 1.14858, 0.870173, 57.2561, 47255.4582455, 13.3501, 14, 14.1494, 15.7741, 0.992909, 0.673996, 57.2736, 47255.46824549999, 13.3897, 14.0412, 14.1183, 15.7973, 1.01597, 0.649892, 57.3465, 47256.68424549999, 13.0426, 13.8144, 14.2323, 16.098, 1.153, 0.911019, 57.1873, 47256.705245499994, 13.0128, 13.8351, 14.3049, 16.1442, 1.1613, 0.942775, 57.297, 47257.338245499996, 13.2509, 13.9175, 14.2012, 15.9245, 1.04283, 0.774243, 57.2941, 47257.338245499996, 13.2509, 13.9175, 14.2012, 15.9245, 1.04283, 0.774243, 57.2941, 47258.359245499996, 13.4195, 14.134, 13.9006, 15.7048, 1.10162, 0.538464, 57.1589, 47258.3752455, 13.4393, 14.1443, 13.8177, 15.751, 1.15408, 0.520989, 57.1524, 47259.7892455, 13.6278, 14.0412, 13.9835, 15.7163, 0.935286, 0.530999, 57.3689
47259.9, 47261.016575, 47261.033237, 47262.049851, 47262.066486, 47262.483125, 47262.499791, 47264.116356, 47264.133222000004, 47265.266252, 3.0247657878455754, 47259.8202455, 13.5385, 14.0309, 13.911, 15.6816, 0.989765, 0.530906, 57.162, 47260.921245499994, 13.2509, 13.7629, 14.3049, 16.0748, 0.993997, 0.879702, 57.3935, 47260.955245499994, 13.2211, 13.701, 14.336, 15.9939, 0.93351, 0.892816, 57.252, 47261.965245499996, 13.0426, 13.4639, 14.5744, 16.2599, 0.918543, 1.13211, 57.3408, 47261.978245499995, 12.9533, 13.4845, 14.5226, 16.2483, 0.986278, 1.1361, 57.2087, 47262.385245499994, 12.9236, 13.3814, 14.5537, 16.3755, 0.995785, 1.2119, 57.2342, 47262.4182455, 12.9137, 13.4742, 14.5848, 16.3524, 1.01535, 1.19039, 57.325, 47264.04024549999, 13.1814, 13.5979, 14.4915, 16.1095, 0.886431, 0.999017, 57.3804, 47264.04024549999, 13.1814, 13.5979, 14.4915, 16.1095, 0.886431, 0.999017, 57.3804, 47265.1802455, 13.5187, 14.1443, 13.9628, 15.5197, 0.954837, 0.477605, 57.1455
